"Name","Ticker Name","Basic Industry"
"MARUTI  Maruti Suzuki India Ltd  ","MARUTI","Passenger Cars & Utility Vehicles"
"M&M  Mahindra and Mahindra Ltd  ","M&M","Passenger Cars & Utility Vehicles"
"TATAMOTORS  Tata Motors Ltd  ","TATAMOTORS","Passenger Cars & Utility Vehicles"
"BAJAJ-AUTO  Bajaj Auto Limited  ","BAJAJ-AUTO","2/3 Wheelers"
"HYUNDAI  Hyundai Motor India Ltd  ","HYUNDAI","Passenger Cars & Utility Vehicles"
"EICHERMOT  Eicher Motors Ltd  ","EICHERMOT","2/3 Wheelers"
"TVSMOTOR  TVS Motor Company Ltd  ","TVSMOTOR","2/3 Wheelers"
"HEROMOTOCO  Hero MotoCorp Ltd  ","HEROMOTOCO","2/3 Wheelers"
"OLAELEC  Ola Electric Mobility Ltd  ","OLAELEC","2/3 Wheelers"
"OLECTRA  Olectra Greentech Ltd  ","OLECTRA","Passenger Cars & Utility Vehicles"
"FORCEMOT  Force Motors Ltd  ","FORCEMOT","Passenger Cars & Utility Vehicles"
"LANDMARK  Landmark Cars Ltd  ","LANDMARK","Auto-Dealer"
"ERAAYA  Eraaya Lifespaces Ltd  ","ERAAYA","2/3 Wheelers"
"MERCURYEV  Mercury Ev-Tech Ltd  ","MERCURYEV","Passenger Cars & Utility Vehicles"
"PVSL  Popular Vehicles and Services Ltd  ","PVSL","Auto-Dealer"
"WARDINMOBI  Wardwizard Innovations & Mobility Ltd  ","WARDINMOBI","2/3 Wheelers"
"HINDMOTORS  Hindustan Motors Ltd  ","HINDMOTORS","Passenger Cars & Utility Vehicles"
"COMPEAU  Competent Automobiles Company Ltd  ","COMPEAU","Auto-Dealer"
"TUNWAL  Tunwal E-Motors Ltd  ","TUNWAL","2/3 Wheelers"
"BIKEWO  Bikewo Green Tech Ltd  ","BIKEWO","Auto-Dealer"
"RAL  Resourceful Automobile Ltd  ","RAL","Auto-Dealer"
"NAKSH  Naksh Precious Metals Ltd  ","NAKSH","Auto-Dealer"
"MOTHERSON  Samvardhana Motherson International Ltd  ","MOTHERSON","Auto Components & Equipments"
"BOSCHLTD  Bosch Ltd  ","BOSCHLTD","Auto Components & Equipments"
"TIINDIA  Tube Investments of India Ltd  ","TIINDIA","Auto Components & Equipments"
"UNOMINDA  UNO Minda Ltd  ","UNOMINDA","Auto Components & Equipments"
"BALKRISIND  Balkrishna Industries Ltd  ","BALKRISIND","Tyres & Rubber Products"
"SCHAEFFLER  Schaeffler India Ltd  ","SCHAEFFLER","Auto Components & Equipments"
"MRF  MRF Ltd  ","MRF","Tyres & Rubber Products"
"SONACOMS  Sona BLW Precision Forgings Ltd  ","SONACOMS","Auto Components & Equipments"
"EXIDEIND  Exide Industries Ltd  ","EXIDEIND","Auto Components & Equipments"
"ENDURANCE  Endurance Technologies Ltd  ","ENDURANCE","Auto Components & Equipments"
"APOLLOTYRE  Apollo Tyres Ltd  ","APOLLOTYRE","Tyres & Rubber Products"
"MSUMI  Motherson Sumi Wiring India Ltd  ","MSUMI","Auto Components & Equipments"
"SUNDRMFAST  Sundram Fasteners Ltd  ","SUNDRMFAST","Auto Components & Equipments"
"ZFCVINDIA  ZF Commercial Vehicle Control Systems India Ltd  ","ZFCVINDIA","Auto Components & Equipments"
"ARE&M  Amara Raja Energy & Mobility Ltd  ","ARE&M","Auto Components & Equipments"
"TVSHLTD  TVS Holdings Ltd  ","TVSHLTD","Auto Components & Equipments"
"JBMA  JBM Auto Ltd  ","JBMA","Auto Components & Equipments"
"CIEINDIA  CIE Automotive India Ltd  ","CIEINDIA","Auto Components & Equipments"
"ASAHIINDIA  Asahi India Glass Ltd  ","ASAHIINDIA","Auto Components & Equipments"
"HBLPOWER  HBL Engineering Ltd  ","HBLPOWER","Auto Components & Equipments"
"MINDACORP  Minda Corporation Ltd  ","MINDACORP","Auto Components & Equipments"
"CEATLTD  CEAT Ltd  ","CEATLTD","Tyres & Rubber Products"
"CRAFTSMAN  Craftsman Automation Ltd  ","CRAFTSMAN","Auto Components & Equipments"
"JKTYRE  JK Tyre & Industries Ltd  ","JKTYRE","Tyres & Rubber Products"
"ASKAUTOLTD  ASK Automotive Ltd  ","ASKAUTOLTD","Auto Components & Equipments"
"VARROC  Varroc Engineering Ltd  ","VARROC","Auto Components & Equipments"
"SHRIPISTON  Shriram Pistons & Rings Ltd  ","SHRIPISTON","Auto Components & Equipments"
"SANSERA  Sansera Engineering Ltd  ","SANSERA","Auto Components & Equipments"
"BANCOINDIA  Banco Products (India) Ltd  ","BANCOINDIA","Auto Components & Equipments"
