Industry name,Debt to Equity,Div yield,PAT margin,Operating margin,P/B Ratio,P/E Ratio,P/S Ratio,ROCE,ROE
2/3 Wheelers,0.27,1.05,14.14,16.58,6.60,33.86,4.06,24.08,25.41
Abrasives & Bearings,0.03,1.04,12.01,14.23,8.46,48.11,5.74,21.21,18.52
Advertising & Media Agencies,0.19,0.18,11.22,15.38,6.21,43.70,4.45,15.41,13.48
Aerospace & Defense,0.00,0.68,23.40,25.86,9.88,42.61,9.56,30.87,28.00
Airline,25.68,-,11.86,15.40,-,34.91,2.06,23.09,-384.73
Airport & Airport services,-16.68,0.01,-6.31,17.08,-,-,7.69,4.62,37.04
Aluminium,0.56,0.95,4.84,7.86,1.36,11.41,0.75,10.31,10.24
"Aluminium, Copper & Zinc
Products",0.23,0.37,2.16,3.97,4.79,33.07,0.55,24.42,15.27
Amusement Parks/ Other Recreation,0.08,0.17,58.90,26.93,2.42,30.11,7.63,10.38,26.58
Animal Feed,0.35,1.17,4.55,5.74,4.46,27.29,1.43,14.19,15.36
Asset Management Company,0.00,1.93,57.75,73.65,8.99,31.04,19.29,38.27,28.49
Auto Components & Equipments,0.50,0.56,5.16,7.36,5.11,36.48,2.08,15.13,15.68
Auto-Dealer,1.25,0.27,1.52,3.18,2.51,34.63,0.35,10.95,12.41
Biotechnology,0.04,0.31,21.36,27.11,2.71,26.39,5.90,12.81,10.41
Breweries & Distilleries,0.06,0.36,10.01,12.31,10.71,78.29,5.44,21.05,17.99
"Business Process Outsourcing (BPO)/ Knowledge Process
Outsourcing (KPO)",0.36,0.81,4.84,6.74,3.08,45.79,1.40,12.32,11.89
Cables - Electricals,0.02,0.37,9.70,11.82,8.05,49.30,3.88,26.71,22.52
Carbon Black,1.53,3.01,7.65,12.77,3.62,31.03,1.68,13.57,16.16
Castings & Forgings,0.75,0.53,8.20,12.73,4.75,41.22,3.56,13.06,14.91
"Cement & Cement
Products",0.62,0.47,7.63,17.39,2.89,46.03,2.38,14.16,9.89
Ceramics,0.12,0.92,8.52,11.40,4.32,75.83,2.19,19.29,16.35
"Cigarettes & Tobacco
Products",0.07,1.80,20.09,17.36,4.84,25.29,4.67,18.36,22.88
Civil Construction,1.32,0.70,5.93,8.98,4.67,33.06,1.94,9.65,14.82
Coal,0.08,10.36,22.85,25.18,2.49,6.10,1.72,47.52,46.47
Commercial Vehicles,4.25,1.79,5.53,15.22,6.34,27.53,1.62,15.86,28.24
Commodity Chemicals,0.27,0.86,3.18,9.76,1.87,58.75,1.79,6.42,2.67
"Compressors, Pumps & Diesel Engines",0.13,0.93,16.46,16.61,9.57,41.81,5.21,23.19,26.29
Computers - Software & Consulting,0.10,1.09,17.73,22.65,8.36,30.78,4.82,45.94,39.58
Computers Hardware & Equipments,0.19,0.18,4.34,6.02,10.67,75.67,1.98,22.68,22.13
Construction Vehicles,0.04,0.37,9.18,11.63,6.94,29.68,4.52,19.76,16.80
Consulting Services,0.11,0.02,-39.54,-41.69,3.92,74.04,2.65,8.67,6.73
Consumer Electronics,0.07,0.39,5.38,6.59,17.03,92.68,4.30,21.34,18.61
Copper,0.10,-,17.09,21.52,9.43,59.66,7.03,16.40,14.22
Cycles,-,-,-,-,0.27,8.57,9.53,-,-
Dairy Products,1.33,0.48,3.59,6.15,6.59,37.78,1.68,13.71,17.42
Data Processing Services,0.00,-,7.85,5.34,11.03,"3,654.00",9.30,7.11,9.96
"Dealers-Commercial Vehicles, Tractors, Construction Vehicles",-,-,-,-,-,-,-,-,-
"Depositories, Clearing Houses and Other Intermediaries",0.04,0.73,36.58,47.44,19.41,60.78,22.71,40.03,32.49
Development Authority,-,-,-,-,-,-,-,-,-
Digital Entertainment,0.01,0.01,4.97,2.88,4.38,118.78,7.64,2.07,3.65
Distributors,0.14,0.18,1.26,2.74,1.32,25.55,6.51,7.01,5.90
Diversified,2.41,0.44,1.61,5.62,3.53,43.39,2.35,3.50,3.07
Diversified Commercial Services,0.48,0.46,5.75,5.24,0.03,29.68,1.98,13.02,21.59
"Diversified consumer
products",0.00,0.09,4.40,5.93,7.47,92.04,3.49,15.94,11.85
Diversified FMCG,0.01,2.47,23.06,28.44,8.70,35.77,7.76,30.44,25.02
Diversified Metals,2.84,5.63,2.95,17.03,4.80,14.55,1.25,20.59,12.09
Diversified Retail,0.04,-,4.98,6.63,14.61,124.62,4.33,18.65,14.57
Dredging,0.34,-,3.77,6.66,3.14,-,4.01,3.60,2.66
Dyes And Pigments,0.27,0.35,12.18,5.87,1.98,27.27,1.92,6.37,17.97
E-Learning,0.01,2.24,21.76,27.46,6.36,409.66,4.90,33.43,26.85
E-Retail/ E-Commerce,0.05,-,2.58,-3.19,16.21,-,9.49,-2.10,1.77
Edible Oil,0.34,0.01,3.36,4.93,6.49,49.68,1.61,15.53,13.45
Education,0.11,0.83,13.80,17.93,4.46,25.73,5.35,21.24,18.28
Electrodes & Refractories,0.09,0.45,9.96,6.20,2.48,45.37,3.41,4.40,8.15
Electronic Media,0.85,-,100.64,-47.50,2.00,9.91,7.79,-9.22,31.72
Emergency Services,-,-,-,-,-,-,-,-,-
Exchange and Data Platform,0.00,0.37,43.83,33.24,17.66,81.67,36.80,17.76,23.45
Explosives,0.35,0.12,13.75,20.12,16.65,83.03,11.83,29.23,27.97
Ferro & Silica Manganese,0.05,0.84,15.26,12.97,1.76,8.73,1.82,12.00,15.06
Fertilizers,0.28,0.47,5.08,7.56,3.47,6.72,1.31,16.17,14.18
"Film Production, Distribution & Exhibition",1.13,0.03,-0.47,9.39,2.29,-,1.69,3.82,-0.42
Financial Institution,7.83,2.17,24.28,40.91,2.21,12.53,3.01,3.53,18.99
"Financial Products
Distributor",0.07,0.26,26.00,35.22,25.16,61.67,21.05,48.97,38.73
Financial Technology (Fintech),0.03,0.01,-5.98,-11.41,5.92,-,8.13,-7.66,-4.13
Food Storage Facilities,-,-,-,-,-,-,-,-,-
Footwear,0.50,0.58,10.70,14.05,10.89,69.15,6.13,16.18,18.59
Forest Products,0.01,0.13,13.88,17.58,4.08,28.68,3.33,30.89,25.80
