year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,textiles,gems & jewellery,paper & board,plastic components,agriculture,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015,22553.41,9546.85,1175.31,277.64,,897.67,,270.37,6953.42,1337.34,,13093.25,584.92,3794.76,1.0,238.25,106.44,8367.88,22553.41,10278.06,109.98,,10168.08,2703.38,1335.15,1200.0,-88.05,250.59,5.69,9571.97,5781.89,2635.2,961.19,193.69,14915.85,,14915.85,14841.13,11734.02,0.0,0.0,0.0,0.0,0.0,81.9172222836781,484.63,39.09,174.7,1855.15,7.94,81.58,464.02,74.7199999999998,1296.65,9.19404526057851,928.68,442.69,81.73,360.96,70.99,431.95,25.1,46.27,25.1,0.0,406.85,0.0,,,406.85,109.981,37.844997702268,219.8,431.95,-215.11,216.84,57.73,-54.77,1863.2,-119.74,-120.81,1.07,-5908.86,5971.96,1108.5,158.93,-1145.49,-2049.73,,1453.72,2099.75,-646.03,-966.57,-153.95,33.27,149.92,,183.19,119.74,100.06,0.0,1.30676652768448,12508.33,9571.97,1.36787411577763,13093.25,1.46512253951846,1289.64,928.68,12.6909921637696,14915.85,1175.31,-37.1049837566562,20.2302232189248,84.518807174918,141.854014150499,0.586097960120879,6023.95,10278.06,0.670830023096237,100.06,0.0,18.0827777163219,9.19404526057851,1371.37,2.72763536774639,406.85,9.93449108881603,12981.44,1.8039400693731,22553.41,-0.148338688732257,-6.60265887255489,4451.07,3.95843184414179,2.72763536774639,0.661356752703915,2.19432558284345,3.6993,0.0,166.355797042684,6.58593634143256,53.572261315327,0.227494312642184
2016,14078.6,3948.26,1158.22,79.25,,1078.97,,851.15,1101.22,558.84,24.57,10455.79,530.38,2641.97,1.0,133.87,108.03,7040.54,14078.6,3545.08,109.98,,3435.1,2193.71,1194.33,717.0,-325.45,593.47,14.36,8339.81,2937.7,4119.23,1252.86,30.02,8148.86,,8148.86,7870.86,6092.91,0.0,0.0,0.0,0.0,0.0,75.4012217659894,51.43,161.34,239.39,971.98,16.17,111.75,225.89,278.0,992.73,15.5939603821884,717.14,553.59,79.36,474.23,41.73,515.96,-4.15,53.17,-77.48,0.0,520.11,0.0,,,520.11,109.9810083,8.45826901524603,-704.22,515.96,-221.87,294.09,-904.05,-94.26,1100.12,-177.08,-177.62,0.54,-12.77,10.01,269.59,216.8,147.84,-530.44,,-1410.84,537.04,-1947.88,-688.1,-197.81,-134.54,183.19,,78.63,177.08,-881.3,0.0,1.19012423544421,9925.40999999998,8339.81,1.25372040849852,10455.79,1.71946900186853,1191.37,717.14,7.035675432992,8148.86,1158.22,-63.4306000181525,24.9780030580965,144.155529116956,232.564132193205,1.89383314339874,6713.79,3545.08,-10.8150097068792,-881.3,0.0,24.5987782340106,15.5939603821884,1270.73,6.38261057374897,520.11,20.7599511395259,5738.79,3.69433040217067,14078.6,5.08630646720706,200.237713001008,3936.8,14.671319123969,6.38261057374897,0.578811813674655,3.97130671240141,4.7291,0.0,15.5737878243218,2.28486437541607,11.5523730454148,0.543109300746775
2017,14411.71,5716.93,1317.53,155.52,,1162.01,,621.6,3090.2,545.67,41.51,8941.35,594.56,2923.44,1.0,364.21,130.26,4927.88,14411.71,3767.18,109.98,,3657.2,1705.77,635.84,1221.98,-246.57,78.16,16.36,8938.76,3217.95,4905.4,788.14,27.27,7779.37,,7779.37,7208.37,5962.23,0.0,0.0,0.0,0.0,0.0,76.2516759069179,-30.33,235.15,247.07,553.38,22.04,110.37,108.46,571.0,687.13,16.1726463711072,781.82,476.31,78.86,397.45,,397.45,166.88,85.44,77.9,0.0,230.57,-8.93,,,221.64,109.9810083,19.0794180777486,-156.11,385.95,39.56,425.51,-486.56,-95.06,645.68,-135.59,-136.35,0.76,-21.0,12.7,627.53,3.88,-841.72,-308.27,,-325.72,,-325.72,-801.49,,181.3,78.63,,259.93,135.59,-291.7,0.0,0.933774930751021,8346.79,8938.76,1.00028974936121,8941.35,1.50836509682536,1179.27,781.82,5.90451071322854,7779.37,1317.53,-3.14753201764611,26.3905110568079,130.561642523752,160.099685598206,1.9146496849102,7212.83,3767.18,-3.74966096226301,-291.7,0.0,23.7483240930821,16.1726463711072,1258.13,2.84907389672943,221.64,21.5472460007857,5472.95,1.53791604188538,14411.71,19.5081567438612,285.501873946408,1463.5,5.88344597284972,2.84907389672943,0.539795069426182,3.82559633465882,2.0965,0.0,51.6336751729072,3.16027771436459,14.9062139842465,0.369515011547344
2018,15196.65,5613.61,1496.13,242.73,,1253.4,,413.9,3007.97,502.81,212.15,8184.75,1294.42,2635.37,1.0,524.66,134.75,3594.55,15196.65,3908.4,109.98,,3798.42,1506.51,521.13,1075.86,-214.01,105.54,17.99,9090.71,3693.18,4971.34,398.74,27.45,9538.25,,9538.25,8915.36,8494.22,0.0,0.0,0.0,0.0,0.0,81.4002568605352,-730.06,68.94,234.72,491.04,19.89,69.31,267.3,622.89,617.62,13.0056352056195,666.35,574.16,87.41,486.75,-181.05,305.7,96.45,62.87,33.08,0.0,209.25,-12.22,,,197.03,109.9810083,21.0238620834647,986.12,290.29,429.35,719.64,360.04,-93.56,171.64,-92.65,-92.79,0.14,-196.91,20.83,590.57,0.01,-330.04,-1144.74,,-587.71,1569.96,-2157.67,-752.55,-43.98,13.02,259.93,,272.95,92.65,893.47,0.0,0.757952899168492,6890.33,9090.71,0.900342217494563,8184.75,1.45876791475951,1153.1,666.35,6.37528155975751,9538.25,1496.13,8.27274421883048,36.1427777632165,106.359429140566,134.229462684952,1.70983266809948,6682.71,3908.4,9.36723193457919,893.47,0.0,18.5997431394648,13.0056352056195,1240.51,2.0656829082903,197.03,18.8848891407384,6105.94,1.29653574965535,15196.65,81.6641422753131,366.533169774289,448.830000000001,5.04119332719271,2.0656829082903,0.627654779178306,3.88820233343568,1.9026,0.0,82.2295805739514,4.40240789069696,18.8345285406808,0.255672738894215
2019,14505.22,4288.88,1891.15,342.85,,1548.3,,211.39,1943.24,408.31,0.0,10384.61,1901.88,5182.05,1.0,349.7,359.38,2590.6,14505.22,3248.82,109.98,,3138.84,880.63,508.16,420.18,-168.27,103.17,17.39,10375.77,7726.56,1915.33,694.09,39.79,15541.3,,15541.3,14593.32,13230.36,0.0,0.0,0.0,0.0,0.0,81.2357396099425,-605.27,440.34,239.36,692.08,30.37,113.57,452.51,947.98,382.3,8.55964430260017,581.07,749.21,101.19,648.02,-20.82,627.2,142.29,94.9,44.52,0.0,484.91,2.33,,,487.24,109.9810083,9.07219896475635,1907.96,629.96,125.97,755.93,1240.24,-88.21,2396.77,-213.54,-214.25,0.71,,119.85,334.4,0.01,983.0,-4436.85,,-734.72,1046.31,-1781.03,-592.7,-44.0,-132.12,272.95,,140.83,213.54,1694.42,0.0,0.817551853982885,8482.73,10375.77,1.00085198496112,10384.61,2.07938802553909,1229.09,581.07,8.21790973746133,15541.3,1891.15,-4.74226446277311,37.5338453025165,91.7992156383314,134.075325403621,0.881972531565307,2865.37,3248.82,10.9026915380309,1694.42,0.0,18.7642603900575,8.55964430260017,1330.28,3.13513026580788,487.24,29.7640121565826,4129.45,3.35906659809365,14505.22,46.1424285798611,654.682619419643,1418.83,14.9974452262668,3.13513026580788,1.07142807899501,4.46476566876589,4.40907437715948,0.0,33.4197129364212,4.98813507673555,14.0731447514809,0.271462504241602
2020,13807.33,4754.23,1972.07,462.22,,1509.85,,219.61,2273.91,477.84,176.49,9131.34,1527.47,3846.48,1.0,783.29,645.14,2327.96,13807.33,3761.0,109.98,,3651.02,1061.09,551.25,500.0,-78.24,62.98,25.1,8985.24,6380.58,1676.89,882.79,44.98,16208.69,,16208.69,15462.83,12303.72,0.0,0.0,0.0,0.0,0.0,78.2295793182546,376.27,758.0,275.87,1174.49,44.19,129.49,400.8,745.86,410.33,7.13314894664529,381.01,775.18,120.97,654.21,315.34,969.55,270.66,179.34,90.61,0.0,698.89,0.0,,,698.89,109.9810083,15.736384093663,601.38,969.55,337.86,1307.41,-483.56,-222.47,91.27,-165.47,-166.07,0.6,-219.34,8.68,375.57,0.12,-300.59,-422.4,,379.26,900.0,-520.74,-373.92,-153.97,270.25,140.83,,411.08,165.47,435.91,0.0,0.846262314640455,7603.87,8985.24,1.0162599997329,9131.34,3.54468386656518,1035.22,381.01,8.21912508176687,16208.69,1972.07,-18.4852335321185,38.6123971153745,101.655761508179,158.753392155672,0.800752459452273,3011.63,3761.0,2.68935984339265,435.91,0.0,21.7704206817454,7.13314894664529,1156.19,4.31182285551763,698.89,21.468284499045,4822.09,5.06173170337784,13807.33,35.5028086962436,450.44543561446,1268.76,18.5825578303643,4.31182285551763,1.17391921537328,3.67118585482584,6.3547,0.0,21.6453963208334,4.02226774793938,15.0114505401361,0.727008360596147
2021,12992.26,4930.23,1960.31,551.08,,1409.23,,453.12,2464.31,429.29,168.15,8049.6,1099.19,2661.31,1.0,435.93,468.93,3383.24,12992.26,4127.99,109.98,,4018.01,1432.84,1338.07,,12.43,60.87,21.47,7431.43,5050.86,1472.53,865.44,42.6,13358.73,,13358.73,12355.1,10125.04,0.0,0.0,0.0,0.0,0.0,79.0424688574438,434.03,699.74,312.17,491.65,34.4,151.78,106.29,1003.63,391.92,10.4467265975134,505.93,889.62,121.51,768.11,-212.85,555.26,186.45,95.11,91.63,0.0,368.81,0.0,,,368.81,109.9810083,29.820480706149,1557.26,555.26,111.35,666.61,957.89,-67.24,-1317.55,-372.3,-372.29,-0.01,-45.06,195.78,366.94,0.12,-292.55,-632.09,,-453.38,930.75,-1384.13,-479.53,,-392.38,411.08,,18.7,372.3,1184.96,0.0,0.935272215441712,6950.41,7431.43,1.08318318277909,8049.6,2.09750360721839,1274.04,505.93,6.81460075192189,13358.73,1960.31,-17.3114630009891,35.8840585894018,88.9060318608131,142.101553451204,0.703332614662342,2903.35,4127.99,8.87030428790761,1184.96,0.0,20.9575311425562,10.4467265975134,1395.55,2.76081633508575,368.81,22.9109683266707,5560.83,2.83869011242078,12992.26,26.4791220511513,585.914125274646,2212.74,8.93437241853784,2.76081633508575,1.02820679389113,3.14735743061393,3.3534,0.0,307.404425359337,27.4644277239044,83.0069169861345,0.097007324052966
2022,21651.87,6059.62,2319.14,654.1,,1665.04,,511.44,3436.35,403.78,163.41,15453.48,4843.83,3516.18,1.0,485.21,441.31,6165.95,21651.87,4730.67,109.98,,4620.69,2748.72,1293.88,1138.11,138.77,150.67,27.29,14172.48,10623.77,2057.13,1443.92,47.66,26824.05,,26824.05,25529.57,26608.32,0.0,0.0,0.0,0.0,0.0,85.2406702194486,-3743.32,863.49,381.84,887.96,38.47,198.64,294.17,1294.48,514.83,6.74510374085941,571.33,1237.98,124.73,1113.25,,1113.25,392.55,268.8,123.51,0.0,720.7,0.0,,,720.7,109.9810083,15.2601861742713,2105.01,1113.25,302.4,1415.65,839.99,-150.63,-3125.86,-231.94,-232.27,0.33,-1028.59,56.3,470.8,0.01,-971.5,1065.74,,490.8,584.6,-93.8,-549.33,-109.98,44.89,18.7,,63.59,231.94,1873.07,0.0,0.748609276569803,10609.65,14172.48,1.09038643907065,15453.48,2.94852362032451,1684.58,571.33,11.5663780539338,26824.05,2319.14,-15.1833458413387,40.4339072585982,42.0291464189785,97.6463995189154,1.00024520839543,4731.83,4730.67,6.98280088204429,1873.07,0.0,14.7593297805514,6.74510374085941,1809.31,2.68676803092747,720.7,22.5229597600874,7479.39,3.32858085698833,21651.87,24.1503337050003,757.277183920952,3135.68,15.2346284987116,2.68676803092747,1.23887913607462,4.57691405234354,6.553,0.0,307.599572714787,46.8615832429656,124.87263431916,0.0496105571265565
2023,40137.27,12677.22,2422.28,772.78,,1649.5,,649.28,9947.99,390.68,177.88,27303.72,4085.46,4688.27,,1339.86,580.42,16609.71,40137.27,13933.78,114.0,,13819.78,1243.02,900.02,,156.33,148.99,37.68,24960.47,21523.37,1048.7,2319.71,68.69,57886.45,,57886.45,56072.59,47796.59,0.0,0.0,0.0,0.0,0.0,83.8789215783659,757.94,855.48,651.75,4603.47,43.38,349.47,1014.51,1813.86,1254.74,5.30106786648689,664.13,2404.47,131.04,2273.43,-71.67,2201.76,587.99,563.2,17.9,0.0,1613.77,8.96,,,1622.73,114.0001121,8.477,11187.32,2213.74,-227.89,1985.85,9733.34,-531.87,-16008.75,-213.07,-222.52,9.45,-4224.9,4.49,290.53,0.01,,5110.32,7700.0,-724.64,,-724.64,-613.12,-114.0,288.89,63.59,,352.48,213.07,10974.25,0.0,0.9302,23218.229194,24960.47,1.0939,27303.72,4.3153,2937.56,664.13,23.8975056558284,57886.45,2422.28,-55.1326,28.1516,25.8664,109.1506,0.209580601961564,2920.25,13933.78,18.9582363402834,10974.25,0.0,16.1210784216341,5.30106786648689,3068.6,2.80329852668457,1622.73,19.3555953824258,15176.8,4.04295060426382,40137.27,35.4424363126966,1233.4145049,3480.05,11.6460142186829,2.80329852668457,1.44221193917773,2.88057296727808,14.1559,0.0,123.6234,14.3177,65.5284,0.0686
2024,42180.37,16914.76,2426.28,904.1,,1522.18,,752.34,14070.99,529.93,174.25,24836.01,3006.61,4220.82,,1014.07,633.21,15961.3,42180.37,16639.55,114.0,,16525.55,3689.2,2445.87,911.6,152.92,132.4,46.41,21260.75,17901.38,1990.46,1297.17,71.74,32012.03,,32012.03,29141.69,21982.11,0.0,0.0,0.0,0.0,0.0,72.0657202932773,1087.59,970.84,702.03,3383.03,48.32,426.44,541.33,2870.34,1705.83,14.2951571643535,638.19,3937.98,142.59,3795.39,,3795.39,952.36,949.36,-2.85,0.0,2843.03,1.23,,,2844.26,114.0001121,5.2127,507.88,3797.04,-893.57,2903.47,-1436.93,-958.66,-2465.88,-278.53,-279.47,0.94,-6837.88,3104.96,380.59,0.01,,2099.57,,799.07,900.0,-100.93,-530.94,-136.8,141.57,352.48,,445.93,278.53,229.35,0.0,1.0267,21828.412025,21260.75,1.1682,24836.01,6.9471,4433.58,638.19,13.1938729248067,32012.03,2426.28,-196.2154,40.4318,50.7906,287.4378,0.344509316658203,5732.48,16639.55,0.716449409800003,229.35,0.0,27.9342797067227,14.2951571643535,4576.17,8.88497230572382,2844.26,21.1934059987705,20919.62,6.74308926166366,42180.37,40.7845438137231,2043.28933125,5009.96,17.0933709144779,8.88497230572382,0.758931939193516,2.53494655804995,24.9389,0.0,128.055,21.8795,80.5877,0.0407
