year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015,25807.1,19063.0,11324.02,2862.1,,8461.92,,663.19,4762.28,5460.2,431.91,5983.09,179.46,748.98,202.87,495.83,685.14,3670.81,25807.1,11203.16,416.82,,10786.34,10257.88,8484.36,14.75,716.5,831.57,210.7,4346.06,187.81,1304.88,2396.33,457.04,3909.36,,3909.36,1301.94,,0.0,,743.29,157.56,13.4,140.7,120.5,126.49,2607.42,738.16,85.5787136513393,708.79,2636.79,488.62,2148.17,,2148.17,-34.97,450.6,56.51,0.0,2183.14,0.0,,,2183.14,207.005,10.4301982685871,1990.31,2148.17,491.38,2639.55,-217.56,-431.68,-3556.48,-459.46,-467.05,7.59,-194.35,0.13,764.34,10.52,-159.7,1916.83,,1885.11,2710.0,-824.89,-707.04,-206.91,350.66,92.35,,443.01,459.46,1530.85,0.0,1.33537733027156,5803.63000000002,4346.06,1.37666990331473,5983.09,4.03075664160047,2856.96,708.79,0.345227224960747,3909.36,11324.02,41.471823416087,15.0547468127775,73.6841836003847,47.2671069970752,1.05014121015856,11764.9,11203.16,39.1585835021589,1530.85,0.0,100.0,85.5787136513393,3345.58,55.8439233020239,2183.14,13.3123091891167,21461.04,8.45945495619423,25807.1,20.1275715640783,2153.29188658253,10698.22,19.4868233605518,55.8439233020239,0.151483893967164,2.30355542543354,10.5463,0.0,29.2092961512568,5.71609939278441,22.4295250001495,0.357084888816751
2016,29873.46,25209.39,9102.35,578.78,,8523.57,,856.6,5184.77,8019.04,1369.66,5919.82,124.82,1561.05,128.1,937.62,657.08,2511.15,29873.46,13565.81,414.19,,13151.62,9819.16,3899.24,6347.81,-1255.75,827.86,,6488.49,185.28,3513.6,2712.38,77.23,4619.17,,4619.17,1311.9,,0.0,,683.6,178.92,17.45,126.33,153.08,152.52,3307.27,1248.07,98.6181500139635,929.75,3625.59,519.32,3106.27,,3106.27,141.77,624.34,125.25,0.0,2964.5,0.0,,,2964.5,207.0951761,7.6844083354873,1712.96,3106.27,267.43,3373.7,-1045.07,-615.67,-2953.73,-489.31,-503.41,14.1,-441.27,102.71,952.53,1.76,-0.2,1497.63,,1427.26,9346.28,-7919.02,-926.56,-455.05,256.86,443.01,,699.87,489.31,1223.65,0.0,0.893119970902321,5795.0,6488.49,0.912357112363585,5919.82,4.34097337994084,4036.02,929.75,0.507470048943405,4619.17,9102.35,58.829030353047,12.0218783894076,91.2675816218065,44.4604296581671,1.1711633879584,15887.78,13565.81,26.4906898858453,1223.65,0.0,100.0,98.6181500139635,4555.34,64.1781965158243,2964.5,17.2590343284597,23384.97,9.9235240912837,29873.46,28.7845144621737,2660.70810811681,9243.54,21.8527312412602,64.1781965158243,0.154624539641541,2.20211399098174,14.3147,0.0,17.3038904063655,3.78137623186525,14.5428423564432,0.444085587404118
2017,37495.18,29279.76,9476.76,1087.17,,8389.59,,1458.08,9515.65,6514.24,1637.68,9979.94,523.0,1792.09,894.74,1552.01,1343.22,3874.88,37495.18,16864.85,414.19,,16450.66,15153.41,6611.27,9549.3,-1764.52,757.36,,5476.92,258.26,3197.37,1803.14,218.15,4878.86,,4878.86,1331.81,,0.0,,665.53,210.99,15.04,117.06,212.3,110.89,3547.05,1485.0,103.139872839147,1198.4,3833.65,540.71,3292.94,,3292.94,192.33,704.24,59.37,0.0,3100.61,0.0,,,3100.61,207.0951761,8.68293269391326,2312.51,3292.94,367.41,3660.35,-772.28,-575.56,-4181.08,-1161.84,-1162.48,0.64,-1576.23,315.67,723.94,2.2,-2563.51,1717.15,,5008.8,9979.35,-4970.55,-907.49,-0.68,-151.42,699.87,,548.45,1161.84,1150.67,0.0,1.72668945319632,9456.93999999999,5476.92,1.82218107987701,9979.94,3.74778037383178,4491.34,1198.4,0.514823631705351,4878.86,9476.76,97.6351320578851,24.2325358792833,125.428491491865,52.0258953132632,1.19818142467914,20207.15,16864.85,23.5848128456238,1150.67,0.0,100.0,103.139872839147,5032.05,63.5519363129912,3100.61,14.0274330959896,32018.26,8.26935622125297,37495.18,19.608470426213,2830.74938122164,14436.36,18.3850434483556,63.5519363129912,0.130119658046714,2.22327385064202,14.9719,0.0,22.6958502260902,4.17263604479139,17.6917997635159,0.382577987051207
2018,39701.75,30617.42,9499.04,1542.38,,7956.66,,1626.91,10023.13,8858.03,1020.83,10216.19,363.41,3286.28,519.2,1273.09,1551.48,3222.73,39701.75,18283.26,414.19,,17869.07,18550.44,7011.38,11828.41,-1131.86,842.51,,2868.05,213.37,715.14,1801.05,138.49,6533.82,,6533.82,2325.98,,0.0,,1436.99,193.78,8.35,83.34,218.19,385.33,4207.84,1607.32,89.0009213599395,1218.08,4597.08,470.52,4126.56,-297.38,3829.18,1421.08,1378.13,42.95,0.0,2408.1,0.0,,,2408.1,207.0951761,17.1998624011008,2411.25,3829.18,749.6,4578.78,-1364.17,-803.36,-550.04,-141.32,-245.27,103.95,-317.0,642.62,1058.04,4.0,-48.28,-1925.66,,2339.67,4885.21,-2545.54,-1154.92,-269.16,-64.45,548.45,,484.0,141.32,2269.93,0.0,3.43535851885427,9852.77999999999,2868.05,3.56206830424853,10216.19,4.1436194667017,5344.64,1218.08,0.687840034361367,6533.82,9499.04,127.455260577516,24.7588432188215,141.846963185395,39.1505458267,1.10041152398423,20119.11,18283.26,34.7412386628343,2269.93,0.0,100.0,89.0009213599395,5815.16,36.8559280788268,2408.1,14.5101903962947,36833.7,6.06547570321207,39701.75,14.0911778056064,2350.33095649722,16679.45,13.1710646788374,36.8559280788268,0.164572594407048,2.17148090657793,11.628,0.0,30.499656002752,4.0171305199401,15.8709754761692,0.563936275200902
2019,46619.76,35149.27,11112.62,2038.4,,9074.22,,774.77,13455.48,9378.59,1661.55,12275.15,625.45,1910.06,501.11,3869.48,1954.78,3414.27,46619.76,20491.67,414.19,,20077.48,17995.79,4986.66,13095.47,-804.66,718.32,,8132.3,194.32,6208.81,1681.13,48.04,5336.38,,5336.38,1997.69,,0.0,,870.42,230.89,36.61,97.22,240.21,522.34,3338.69,2398.28,107.506774255207,1477.22,4259.75,474.21,3785.54,-121.9,3663.64,1025.92,779.57,246.35,0.0,2637.72,0.0,,,2637.72,207.0951761,1.57025764675553,3214.41,3663.64,120.28,3783.92,230.03,-799.54,-2403.12,-976.54,-991.18,14.64,-423.38,1187.76,1181.42,423.65,-4022.19,2555.24,,-1386.76,11.41,-1398.17,-1535.74,-413.99,3366.53,484.0,,3850.53,976.54,2237.87,0.0,1.43252216470125,11649.7,8132.3,1.50943152613652,12275.15,3.48009098170889,5262.76,1477.22,0.480208987619481,5336.38,11112.62,168.166799587997,33.8182344585655,177.710742113568,43.3621769841362,1.21973465315418,24994.4,20491.67,41.9361064991623,2237.87,0.0,100.0,107.506774255207,5736.97,49.4290136759376,2637.72,13.6739602977178,38487.46,5.65794418504085,46619.76,17.5013793196386,2062.34678778483,11783.91,12.8721573205112,49.4290136759376,0.114466054737305,2.27505908498429,12.7368,0.0,29.6777840587903,3.82018205446408,17.3274097650851,0.0529100529100529
2020,50858.25,41394.5,13163.21,2580.45,,10582.76,,675.36,15603.89,11693.15,1884.95,10418.14,86.92,2132.67,11.89,4444.17,1757.95,1984.54,50858.25,19865.17,406.35,,19458.82,24445.28,6523.83,18113.92,-954.39,761.92,,6547.8,217.65,2815.17,3470.49,44.49,4643.28,,4643.28,3209.35,,0.0,,963.57,224.61,12.81,98.01,241.35,1669.0,1433.93,3029.64,96.1296755741631,1878.55,2585.02,553.29,2031.73,,2031.73,97.48,367.25,-269.77,0.0,1934.25,0.0,,,1934.25,203.1751761,33.6130283055448,3169.95,2031.73,1079.67,3111.4,586.54,-527.99,-31.35,-785.85,-863.25,77.4,-17.03,599.5,2030.46,702.84,-2123.25,-2580.74,,5686.28,11427.07,-5740.79,-1858.37,-690.93,557.86,3850.53,,4408.39,785.85,2384.1,0.0,1.57781544946394,10331.22,6547.8,1.5910901371453,10418.14,2.08154161454313,3910.28,1878.55,0.35274678440897,4643.28,13163.21,146.498174760647,27.9990707000224,158.895915172034,40.3968111114096,1.45476983081444,28899.25,19865.17,51.3451697937665,2384.1,0.0,100.0,96.1296755741631,4463.57,41.6569752416395,1934.25,8.82473547436327,44310.45,3.80321776702895,50858.25,6.6701561542687,838.387935404803,12569.24,9.73689125237791,41.6569752416395,0.0912984619014614,2.56017189885614,9.5201,0.0,26.3967815464123,2.57022102000637,16.9176147119906,1.27337843215281
2021,58075.1,50610.37,13446.72,3164.45,,10282.27,,590.23,20768.88,16574.6,1911.16,7947.96,74.22,1632.42,926.02,3464.14,870.67,980.49,58075.1,21801.28,406.35,,21394.93,31193.03,7908.33,23041.79,-483.23,723.74,2.4,5080.79,216.69,2273.21,2574.35,16.54,4377.15,,4377.15,1506.27,,0.0,,833.99,235.01,4.24,88.48,271.78,72.77,2870.88,2984.79,133.778143312429,2326.85,3528.82,619.18,2909.64,,2909.64,981.71,948.74,32.97,0.0,1927.93,0.0,,,1927.93,203.1751761,52.6925914216461,3041.8,2909.64,-42.82,2866.82,718.32,-543.34,-7966.6,-549.01,-553.07,4.06,-1124.55,22.54,2815.78,7.01,-4387.55,3827.15,,6277.85,16418.98,-10141.13,-1953.13,-0.23,-1097.65,4408.39,,3310.74,549.01,2492.79,0.0,1.54970782102783,7873.73999999999,5080.79,1.56431578553729,7947.96,2.25046307239401,5236.49,2326.85,0.325518044549154,4377.15,13446.72,119.481874040259,6.71853831831214,156.980895102978,44.2175593810315,1.55069610591672,33807.16,21801.28,56.9500702511908,2492.79,0.0,100.0,133.778143312429,5855.67,44.0453262967913,1927.93,9.88123064532777,52994.31,3.3197187779272,58075.1,12.2426875759459,1491.97838254904,12186.69,8.84319636278237,44.0453262967913,0.07537051163063,2.66383900394839,9.489,0.0,74.0594372431236,6.5492132228016,29.56523356849,0.711490572749911
2022,77532.03,63628.95,13550.84,3512.17,,10038.67,,614.08,33747.83,14509.72,4001.08,14620.65,79.33,1082.13,,6211.5,6683.66,564.03,77532.03,30011.28,422.47,,25983.55,40557.35,8643.75,31982.9,-717.57,642.8,5.47,6963.4,461.01,3890.6,2592.21,19.58,4206.22,,4206.22,2552.7,,0.0,,760.01,238.34,14.96,81.07,500.05,958.27,1653.52,2539.01,99.6745296251741,2509.36,1683.17,599.61,1083.56,-611.83,471.73,324.17,274.0,36.49,0.0,147.56,0.0,,,147.56,211.237323,715.71714858288,3012.05,471.73,2089.23,2560.96,803.72,-352.63,-8803.19,-633.43,-633.77,0.34,-3315.2,0.92,2028.57,95.85,-7885.12,7308.44,800.0,8446.92,12947.86,-4500.94,-2602.84,-1020.42,1517.3,3310.74,,4828.04,633.43,2378.62,0.0,2.0882499928196,14541.32,6963.4,2.09964241606112,14620.65,1.18798817228297,3592.92,2509.36,0.310402897532552,4206.22,13550.84,124.441481900614,6.66224662523596,117.779235275378,,1.49193103393124,44774.76,30011.28,56.5500615754763,2378.62,0.0,100.0,99.6745296251741,4192.53,3.50813794808641,147.56,5.09138408950266,70568.63,0.190321342031158,77532.03,2.04768962108714,329.66942869862,16099.58,0.491681794312005,3.50813794808641,0.0542513848792557,2.58342963045895,0.6986,0.0,1108.07328943601,6.19241421085041,48.2000781151238,0.645911380958533
2023,78445.96,72946.93,14257.85,4068.12,,10189.73,,637.71,44810.74,13528.86,2499.84,6584.32,79.11,1274.14,1161.98,2030.17,1063.62,975.3,78445.96,28702.69,432.03,,28270.66,43420.56,6721.92,37339.78,-1280.05,627.33,11.58,6322.71,578.79,1862.35,3859.62,21.95,5237.15,,5237.15,1966.5,,0.0,,1040.15,294.7,23.37,84.0,456.6,67.68,3270.65,3087.9,121.412409421155,5215.64,1142.91,612.98,529.93,-1558.16,-1028.23,-548.8,11.83,-553.67,0.0,-479.43,0.0,,,-479.43,216.0138945,,2714.03,-1028.23,4207.91,3179.68,-588.39,122.74,-4024.98,-2538.5,-2539.42,0.92,,1379.07,1512.28,1010.19,-7620.85,-3451.65,,2800.21,12895.27,-10095.06,-2588.99,-1055.75,-4762.6,4828.04,,65.44,2538.5,175.53,0.0,1.0289,6505.436319,6322.71,1.0414,6584.32,0.8029,5745.57,5215.64,0.367316951714319,5237.15,14257.85,87.6306,5.5212,82.1094,,1.65568035609206,47522.48,28702.69,3.3516320899726,175.53,0.0,100.0,121.412409421155,6358.55,-9.15440649971836,-479.43,7.96632153986405,72123.25,-0.611159580429636,78445.96,10.7207702746498,1239.18381789,11558.72,-1.67033124769839,-9.15440649971836,0.0667612455759353,2.73305254664284,-2.2194,0.0,0.0,4.7549,28.6183,0.7914
2024,82100.53,75114.9,14580.32,4539.23,,10041.09,,809.5,46022.24,14610.43,2976.76,7640.51,87.77,1242.55,102.82,3754.63,1051.89,1400.85,82100.53,29354.16,432.03,,28922.13,43560.27,5516.08,38160.82,-654.88,531.98,6.27,9186.1,499.25,1200.85,7465.37,20.63,6806.66,,6806.66,2382.04,,0.0,,1294.6,332.93,59.55,107.16,538.51,49.29,4424.62,1981.16,94.1104741532558,3218.27,3187.51,655.59,2531.92,,2531.92,793.57,176.19,617.38,0.0,1738.35,0.0,,,1738.35,216.0138945,74.5582,3743.16,2531.92,1987.74,4519.66,-607.38,-169.12,-1993.91,-606.6,-608.38,1.78,-1469.64,1131.73,1469.57,209.46,-1773.84,-1467.92,,2051.67,12114.79,-10063.12,-2368.71,-1079.68,281.33,65.44,,346.77,606.6,3136.56,0.0,0.8222,7552.81142,9186.1,0.8317,7640.51,1.7867,5750.19,3218.27,0.466838862247193,6806.66,14580.32,71.9518,4.4744,67.4774,,1.69319442286885,49702.3,29354.16,46.0807503239474,3136.56,0.0,100.0,94.1104741532558,6405.78,25.5389574328672,1738.35,7.886216761209,72914.43,2.11734321325331,82100.53,30.3468811102915,2587.71800322,8527.13,5.92198856993353,25.5389574328672,0.0829064075469428,2.79689590845045,8.0474,0.0,166.7247,9.8735,52.4175,0.4472
