year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,transportation fuel,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015,37731.35,32119.07,23967.18,3855.9,,20111.28,,47.57,5406.0,6552.68,1.54,5542.65,982.04,1448.7,221.43,369.05,56.28,2465.15,37731.35,7716.15,2871.92,,4844.23,16840.6,10061.95,6641.02,,60.53,77.1,13174.6,4154.72,4234.67,4530.75,254.46,10624.61,,10624.61,8162.57,,0.0,0.0,,178.08,191.13,137.46,7314.85,288.79,52.26,2462.04,412.4,27.0545460021591,2497.62,376.82,881.37,-504.55,211.87,-292.68,,,,0.0,-292.68,224.05,,,-68.63,287.192,0.0,2393.28,-68.63,2340.97,2272.34,121.47,-0.53,-2575.38,-774.55,-775.9,1.35,-20252.49,20248.91,31.36,,311.89,180.0,,3220.1,8956.77,-5736.67,-2363.26,,-2.1,81.27,,79.17,774.55,1618.73,0.0,0.34875127801012,4594.65858727213,13174.6,0.420707270049945,5542.65,0.882816441252072,1993.07,2497.62,0.443298293750037,10624.61,23967.18,-0.775926888286698,32.3534134429405,29.612119880165,62.7414602113922,3.09862560992205,23909.46,7716.15,15.2356651208844,1618.73,0.0,100.0,27.0545460021591,2874.44,-0.645953122044009,-68.63,8.11617986907877,24556.75,-0.181891185976648,37731.35,12.9995830382939,1580.67,12159.39,-0.889433201791049,-0.645953122044009,0.281585737059501,4.88991919545369,-1.0191,0.0,0.0,1.77651815466382,12.9154171247269,0.0
2016,45547.39,37867.99,25448.06,1651.16,,23796.9,,38.92,7662.08,6278.05,175.3,7596.14,830.86,5234.53,,429.5,40.86,1060.39,45547.39,9024.2,3333.94,,5690.26,18488.12,10328.59,4391.22,83.26,3672.77,12.28,18035.07,3698.37,9311.65,5020.96,4.09,12875.27,,12875.27,9348.95,,0.0,0.0,,174.35,189.28,145.43,8566.53,236.55,36.81,3526.32,522.73,31.4482725410807,2951.19,1097.86,1137.26,-39.4,,-39.4,-135.94,-0.3,-135.64,0.0,96.54,0.0,,,96.54,333.3938941,0.0,1869.33,-39.4,3353.19,3313.79,-1441.02,-3.44,-3236.19,-1088.04,-1088.58,0.54,-95.56,235.06,158.26,,-1463.08,1330.12,1114.68,-2052.22,5001.22,-7053.44,-2599.85,,-36.74,79.17,,42.53,1088.04,781.29,0.0,0.378232171829383,6821.44369519495,18035.07,0.421187164785055,7596.14,0.986649453271392,2911.79,2951.19,0.505943085641892,12875.27,25448.06,55.5216223324511,25.6968785897305,94.7311765112499,64.9064327685293,2.99332904855832,27012.4,9024.2,6.06814459036587,781.29,0.0,100.0,31.4482725410807,4049.05,0.749809518557669,96.54,10.5835858262771,27512.32,0.211955064823692,45547.39,-44.5403746143757,-5853.80336040609,13142.69,1.06979011989982,0.749809518557669,0.282678546454583,5.04724961769464,0.2896,0.0,119.647790055249,1.28012478668469,9.41825912251022,0.0
2017,41762.03,37917.14,25486.5,2768.85,,22717.65,,68.48,7662.08,7294.82,174.11,3844.89,1084.83,1744.46,78.31,337.63,134.53,465.13,41762.03,4673.32,3856.94,,816.38,20555.33,12362.57,4864.84,,3315.32,12.6,16533.38,4508.71,8046.78,3973.54,4.35,10868.11,,10868.11,9610.68,,0.0,0.0,,188.67,166.76,,9008.8,214.51,31.94,1257.43,735.22,18.3348346676653,3101.56,-1108.91,1120.72,-2229.63,-3907.94,-6137.57,-83.23,0.03,-83.26,0.0,-6054.34,0.0,,,-6054.34,385.6938941,0.0,659.43,-6137.57,7123.72,986.15,-337.29,10.57,-554.79,-589.63,-595.55,5.92,-76.46,94.25,57.15,,,-94.6,1701.83,1968.81,6360.49,-4391.68,-2050.83,,10.04,42.53,,52.57,589.63,69.8,0.0,0.166938641705447,2760.06,16533.38,0.232553174245073,3844.89,-0.978865474148493,871.93,3101.56,0.426426147175956,10868.11,25486.5,62.9998137954947,32.168741851159,117.192931889721,86.3618599453853,5.83610152953361,27273.97,4673.32,0.642245983892323,69.8,0.0,100.0,18.3348346676653,1992.65,-55.7073861048517,-6054.34,3.45611041415217,25228.65,-14.4972358862823,41762.03,1.35750434899288,134.856111034172,9934.12,-129.551154211567,-55.7073861048517,0.260239025737015,8.93626586666439,-15.6973,0.0,0.0,3.29711539119941,21.2505032494417,0.0
2018,19706.76,16334.91,764.5,122.25,,642.25,,0.18,7768.08,7671.05,253.35,3371.85,74.69,41.72,,211.03,266.88,2777.53,19706.76,9539.13,3856.94,,5682.19,2301.58,231.82,2012.23,,51.0,6.53,7866.05,250.39,7287.96,326.33,1.37,8120.87,,8120.87,7243.74,,0.0,-0.843875102051874,-68.53,164.33,123.35,,6891.39,100.46,32.74,877.13,463.18,16.504512447558,2008.07,-667.76,860.67,-1528.43,1504.66,-23.77,,,,0.0,-23.77,0.0,,,-23.77,385.6938941,0.0,-332.53,-23.77,72.95,49.18,-381.27,-0.44,-3512.52,-1.15,-1.37,0.22,-210.79,78.43,97.22,,,3845.24,,1239.19,2934.81,-1695.62,-166.57,,0.19,52.57,,0.24,1.15,-333.68,0.0,0.429433454069,3377.94502137946,7866.05,0.428658602475194,3371.85,0.988162763250285,479.64,2008.07,10.6224591236102,8120.87,764.5,8401.43937357082,26.0578484817513,40.140754623581,-8335.24077046549,1.00400875132219,9577.37,9539.13,-4.10891936455084,-333.68,0.0,100.843875102052,16.504512447558,1340.31,-0.292702629151803,-23.77,4.05077060412762,11840.71,-0.120618508572693,19706.76,-0.432083371615323,16.4599999999999,-3809.45,-0.249184149917236,-0.292702629151803,0.412085497565302,2.06588651166301,-0.0616,0.0,0.0,0.960279658627149,13.8226026068596,0.0
2019,28928.04,28760.62,760.19,157.42,,602.77,,0.18,17156.9,10562.56,438.21,167.42,4.09,12.27,,128.8,7.45,14.81,28928.04,9127.83,3856.94,,5270.89,16428.15,179.74,16194.92,,51.0,2.49,3372.06,138.52,2364.7,867.66,1.18,2404.2,,2404.2,2418.0,,0.0,2.92571333499709,70.34,2.49,40.52,,2218.73,35.32,50.6,-13.8000000000002,1065.67,43.7513518010149,1239.04,-187.17,38.06,-225.23,,-225.23,,,,0.0,-225.23,0.0,,,-225.23,385.6938941,0.0,-167.13,-225.23,223.72,-1.51000000000001,-162.92,-2.7,-8285.43,0.25,-0.17,0.42,,56.5,170.34,,-323.83,8456.77,,6189.87,22209.52,-16019.65,-450.1,,4.21,0.24,,4.45,-0.25,-166.88,0.0,0.0498927792474386,168.241445189118,3372.06,0.0496491758746879,167.42,0.818222172004132,1013.81,1239.04,3.16263039503282,2404.2,760.19,-812.313183095468,5.98009732967307,4.09831752765993,822.391597952801,2.13538595701278,19491.44,9127.83,-6.94118625738291,-166.88,0.0,97.0742866650029,43.7513518010149,1051.87,-9.36818900257882,-225.23,3.96701672172227,25555.98,-0.778587142440345,28928.04,2.26237632400929,-51.8600000000002,-2292.28,-2.46750870688871,-9.36818900257882,0.0831096749036575,3.16921327412978,-0.584,0.0,0.0,2.03667802752681,36.0815412550981,0.0
2020,22530.29,22052.33,762.06,191.98,,570.08,,0.13,18216.25,3251.12,14.75,477.96,4.06,366.81,,101.02,2.48,3.59,22530.29,7175.38,3856.94,,3318.44,11935.82,136.51,11591.34,,205.83,2.14,3419.09,712.32,2589.02,116.47,1.28,1005.32,,1005.32,1043.73,,0.0,0.0,,3.84,41.61,,909.22,55.4,33.66,-38.4100000000001,910.84,86.7813233597262,1175.23,-302.8,34.77,-337.57,-1002.99,-1340.56,,,,0.0,-1340.56,0.0,,,-1340.56,385.6938941,0.0,94.66,-1340.56,1330.44,-10.12,106.01,-1.23,6815.68,-0.96,-1.03,0.07,,64.56,700.68,,-436.16,-6907.49,,-5278.99,8065.08,-13344.07,-630.04,,2.85,4.45,,7.3,0.96,93.7,0.0,0.138604131508676,473.899999999999,3419.09,0.139791581970641,477.96,-0.140678845842941,837.66,1175.23,1.31921371020655,1005.32,762.06,-80.141221716458,1.4795040385151,68.8159988859269,150.4367246409,2.00290019483289,14371.57,7175.38,9.32041539012454,93.7,0.0,100.0,86.7813233597262,872.43,-133.346596108702,-1340.56,4.38308426472435,19111.2,-5.95003437594456,22530.29,2.97819867409521,-73.1800000000001,-2457.19,-18.682773595266,-133.346596108702,0.0446208193503057,3.13994380785408,-3.4757,0.0,0.0,1.49162950254899,28.6252862693855,0.0
2021,24408.43,23507.8,764.44,223.45,,540.99,,0.67,19358.65,3594.11,13.38,112.17,2.54,9.65,,86.61,8.1,5.27,24408.43,17085.35,3856.94,,13228.41,1158.67,63.81,866.75,,226.58,1.53,6164.41,13.26,5293.17,856.75,1.23,447.17,,447.17,408.07,,0.0,0.0,,5.32,32.88,,352.31,14.44,3.12,39.1,134.37,38.7928528300199,644.02,-470.55,32.46,-503.01,,-503.01,-4.27,,,0.0,-498.74,0.0,,,-498.74,385.6938941,0.0,-288.17,-503.01,513.92,10.91,-311.75,12.67,390.1,-7.09,-7.34,0.25,-412.0,2160.04,70.08,,-959.43,-105.39,,-2601.17,4570.24,-7171.41,-362.58,,-3.46,7.3,,3.84,7.09,-295.26,0.0,0.0177843459471385,109.63,6164.41,0.0181963886243777,112.17,0.218952827551939,141.01,644.02,0.584964156768353,447.17,764.44,-140.535846087523,2.6936064583939,153.641679898025,296.871132443942,0.367812775272382,6284.21,17085.35,-66.0285797347765,-295.26,0.0,100.0,38.7928528300199,173.47,-111.532526779525,-498.74,0.772910794879637,18244.02,-2.04331044643183,24408.43,-0.117905761925561,6.58363372497564,-5583.81,-2.91910906127179,-111.532526779525,0.0183203098273834,1.42861749978783,-1.2931,0.0,0.0,1.91996504022452,224.827778290194,0.0
2022,71766.18,53912.4,70027.02,20684.74,,49342.28,,184.3,4658.49,1138.33,892.87,15549.91,2208.07,9490.01,175.01,2014.95,241.2,1420.67,71766.18,18463.89,3856.94,,14606.95,37685.09,24426.37,6036.08,2303.87,4786.39,132.38,15617.2,3448.56,7120.56,4389.82,658.26,27711.18,,27711.18,17874.49,14762.21,14762.21,0.0,,872.48,470.21,,15950.54,237.52,343.74,9836.69,4068.32,50.1783395726923,4086.92,9818.09,3116.21,6701.88,,6701.88,1665.54,768.33,897.32,0.0,5036.34,0.0,,,5036.34,385.6938941,0.0,10263.68,6701.88,3448.25,10150.13,338.27,-224.72,1386.09,-641.51,-642.75,1.24,-1748.59,81.55,4301.87,,-2.73,-11182.27,,-5666.86,11628.73,-17295.59,-3568.61,,467.5,107.02,,574.52,641.51,9622.17,0.0,0.854304228670952,13341.84,15617.2,0.995691289091514,15549.91,2.63983635598446,10788.8,4086.92,0.395721251596884,27711.18,70027.02,77.1213739364401,14.5586122640754,62.5627616723647,,2.18779737097654,40395.25,18463.89,34.7230612337692,9622.17,0.0,100.0,50.1783395726923,13905.01,18.1743974814497,5036.34,19.2145965964119,56148.98,7.01770666907449,71766.18,10.4480948716996,5050.31755913266,48337.21,27.2767006302572,18.1743974814497,0.386131461922594,3.88683966379782,13.0579,0.0,14.1714977140275,3.865527508017,7.89305255443901,0.0
2023,72831.95,55633.82,70382.39,23799.6,,46582.79,,188.33,6373.48,2001.1,488.12,17198.13,2324.07,11380.93,,1692.34,147.47,1653.32,72831.95,28223.87,3856.94,,24366.93,29684.07,18019.56,6959.07,,4557.12,148.32,14924.01,2387.38,5671.58,6851.66,13.39,36681.21,,36681.21,27362.22,24551.98,24551.98,0.0,,842.48,530.36,,25231.41,395.67,362.3,9318.99,4519.98,37.7276812842324,3306.8,10532.17,3142.79,7389.38,,7389.38,-2856.77,,-2088.44,0.0,10246.15,0.0,,,10246.15,385.6938941,0.0,7933.07,7389.38,1592.58,8981.96,-973.83,-75.06,2823.99,-920.29,-921.12,0.83,-1025.9,273.43,4845.57,,261.71,-11137.82,,-6669.82,17895.22,-24565.04,-2721.07,,-380.76,574.52,,193.76,920.29,7012.78,0.0,0.9967,14874.760767,14924.01,1.1524,17198.13,3.2346,10696.18,3306.8,0.52117028137294,36681.21,70382.39,126.388,22.5488,103.8392,,1.16236185895131,32806.35,28223.87,19.1181806707031,7012.78,0.0,100.0,37.7276812842324,13838.97,27.9329662243966,10246.15,18.4710076027571,57907.94,14.0682077028008,72831.95,17.9008511963165,8563.949801,47841.02,36.3031363168835,27.9329662243966,0.503641739648602,2.58050898051897,26.5655,0.0,7.2124,2.6183,7.5882,0.0
2024,74795.61,54521.13,70759.81,26921.0,,43838.81,,739.49,6906.84,2467.99,191.66,20650.82,3474.89,6695.19,373.5,5693.72,399.88,4013.64,74795.61,39448.05,3856.94,,35591.11,22931.23,18701.13,184.49,-376.34,4272.92,149.03,12416.33,2943.84,5775.06,3682.86,14.57,39204.57,,39204.57,25384.21,22426.06,22426.06,0.0,,900.33,554.19,,23040.32,374.81,514.56,13820.36,10191.85,61.2484973052886,2465.9,21546.31,3175.72,18370.59,,18370.59,-378.65,,-378.65,0.0,18749.24,0.0,,,18749.24,385.6938941,0.0,14840.73,18370.59,-4030.14,14340.45,550.82,-50.54,1086.35,-1177.83,-1178.39,0.56,-4020.58,212.88,9297.58,,-263.78,-15560.55,,-6894.47,19860.22,-26754.69,-2408.79,,366.53,193.76,,560.29,1177.83,13662.9,0.0,1.3833,17175.509289,12416.33,1.6632,20650.82,8.4499,20836.49,2465.9,0.554051374643318,39204.57,70759.81,111.1402,26.9946,84.1456,,0.650085618934269,25644.61,39448.05,34.850273832872,13662.9,0.0,100.0,61.2484973052886,24012.21,47.8241184637403,18749.24,33.4029023739934,62379.28,25.0673000728251,74795.61,22.9631783734472,10864.04731968,47310.73,47.5289399602769,47.8241184637403,0.524156030012991,1.89605341708906,48.6117,0.0,10.9788,5.2181,9.4034,0.0
