year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,chemicals,others,dyes & pigments,additives,resins,methanol,o-xylene,crude oil,acetaldehyde,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,7273.88,2954.59,3102.77,1123.78,13.5,1965.49,,139.54,790.72,209.54,17.08,4151.51,1802.18,729.55,1103.06,61.84,236.64,218.24,7273.88,4230.26,95.92,,4134.34,285.12,3.47,28.62,167.78,,85.25,2758.5,1313.08,,833.39,612.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1143.6,1933.57,143.16,2076.73,-343.98,-589.15,-292.27,-334.79,-336.28,1.49,-278.52,245.6,4.55,71.27,-0.5,-727.67,,-8.11,0.06,-8.17,-26.69,-672.95,123.66,739.03,,862.69,334.79,808.81,0.0,0.851669385535617,2349.33,2758.5,1.50498821823455,4151.51,63.0529525032092,1978.26,31.16,3.75433241909648,11648.83,3102.77,-29.4058133242401,46.333316858145,19.2685437397945,95.0076739221796,0.00935403497657354,39.57,4230.26,6.94327241448283,808.81,0.0,53.6313088953998,18.8977777167321,2201.37,11.3951358205073,1327.4,43.8115950374055,4515.38,18.2488575560774,7273.88,35.6133139114162,1229.82744664015,3453.28,31.3786859436536,11.3951358205073,1.60146029354347,1.71948769106391,13.8386,0.0,58.4416053647045,18.3381872509018,35.2294389402963,0.754250386398764
2016.0,8724.95,3966.02,2863.1,234.11,,2628.99,,92.79,1319.64,111.23,30.54,4540.8,1610.12,759.06,1477.0,160.78,293.72,240.12,8724.95,5925.73,95.92,,5829.81,344.17,7.09,22.18,217.17,3.5,94.23,2455.05,1333.2,,1021.7,100.15,11830.33,1501.85,11830.33,9349.8,4519.3,1113.08,448.02,1841.33,949.32,167.55,0.0,0.0,0.0,0.0,46.786437910016,194.51,1271.65,666.83,1182.07,107.86,472.45,113.95,2480.53,249.43,23.0759412459331,27.0,2702.96,234.51,2468.45,-65.35,2403.1,780.29,743.74,39.88,0.0,1622.81,0.0,,,1622.81,95.919779,44.3304331378854,1979.67,2403.1,173.55,2576.65,163.98,-760.96,-862.78,-674.5,-686.72,12.22,-352.37,232.55,4.61,70.3,-143.17,-704.25,,-1.58,5.9,-7.48,-19.76,-622.42,412.64,863.85,,1276.49,674.5,1305.17,0.0,1.19373536180526,2930.68,2455.05,1.84957536506385,4540.8,90.0037037037037,2495.45,27.0,4.13200027941742,11830.33,2863.1,-27.5229770425761,41.5877366731133,18.1425785215143,87.2532922372037,0.00602626174327889,35.71,5925.73,11.032405689444,1305.17,0.0,53.213562089984,23.0759412459331,2729.96,13.7173688307934,1622.81,39.8004752866872,6269.9,18.5996481355194,8724.95,32.4276258304254,1516.7341002039,4677.29,27.3858241938124,13.7173688307934,1.35591951816343,1.47238399319578,16.9184,0.0,51.346463022508,14.0616774642112,30.4768692581576,0.863359042247036
2017.0,10358.03,4666.66,3133.62,528.94,,2604.68,,219.76,1598.2,307.14,198.05,5429.63,2194.09,994.63,1315.4,205.94,460.86,258.71,10358.03,7094.75,95.92,,6998.83,387.35,10.38,,261.17,5.96,109.84,2875.93,1671.26,26.84,1086.31,91.52,12722.76,1637.67,12722.76,10048.48,5566.13,0.0,5566.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.373252344617,-439.93,1400.62,742.83,1345.91,102.18,555.98,128.23,2674.28,300.17,23.3789680855412,22.3,2952.15,295.43,2656.72,,2656.72,855.0,817.27,41.33,0.0,1801.72,0.0,,,1801.72,95.919779,54.8350688898827,1420.04,2656.72,152.5,2809.22,-545.75,-843.43,-584.8,-609.67,-611.48,1.81,-360.0,293.84,13.92,76.91,,-955.99,,-32.99,7.89,-40.88,-22.58,-913.58,-120.75,1276.49,,1156.99,609.67,810.37,0.0,1.12504129099109,3235.54000000001,2875.93,1.88795624371942,5429.63,120.135426008969,2679.02,22.3,4.0600838646677,12722.76,3133.62,-32.3844283917464,42.8471032913483,19.7519423404609,94.9834740235556,0.00552521230487332,39.2,7094.75,6.36945128258334,810.37,0.0,54.626747655383,23.3789680855412,2974.45,14.1613926537952,1801.72,35.8057229922081,7482.1,17.3944273187083,10358.03,30.0409780985286,1613.27562633623,5370.25,25.3951161069805,14.1613926537952,1.22829920361304,1.45995701046549,18.7836,0.0,57.028471645478,14.4824699954191,34.4879772731093,0.961538461538462
2018.0,11587.93,5816.51,3401.03,832.5,,2568.53,,1391.84,1547.33,434.39,144.75,5500.17,2178.43,1138.2,1030.01,120.84,469.21,563.48,11587.93,7798.16,95.92,,7702.24,390.81,9.87,,270.33,3.26,107.35,3398.96,1851.5,,1453.55,93.91,14153.71,405.84,14153.71,11230.45,5910.99,0.0,5910.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.9982280264327,139.97,1431.54,791.08,1450.75,95.55,537.34,130.66,2923.26,277.5,22.6142827569591,23.82,3176.94,311.11,2865.83,,2865.83,971.03,968.87,2.57,0.0,1894.8,0.0,,,1894.8,95.919779,44.0417130707705,2136.09,2865.83,215.66,3081.49,40.34,-985.74,-1370.96,-1348.95,-1358.32,9.37,-734.39,861.68,19.59,42.66,-211.55,-1239.05,,-1.98,,-1.98,-20.16,-1184.83,-473.92,1156.99,,683.07,1348.95,787.14,0.0,0.977281286040436,3321.74,3398.96,1.61819203521077,5500.17,121.311922753988,2889.65,23.82,4.16159516381802,14153.71,3401.03,-23.3369676990596,47.9222144085248,23.3755217945107,94.6347039020951,0.00144777742441807,11.29,7798.16,5.56136871534036,787.14,0.0,52.0017719735673,22.6142827569591,3200.76,13.3873026930748,1894.8,35.2870995986064,8188.97,16.3514967729353,11587.93,28.3802038469019,1727.07446708283,6085.49,24.2980395375319,13.3873026930748,1.22141832061464,1.485982590765,19.754,0.0,56.7328136073707,13.7849882536393,33.550779814794,0.776300526456679
2019.0,13682.89,7237.15,6425.29,1204.09,,5221.2,,179.31,1817.37,190.96,220.7,6053.35,2585.1,1244.95,1146.63,167.52,393.28,515.87,13682.89,8842.96,95.92,,8747.04,998.52,10.89,,392.39,476.76,118.48,3841.41,2062.29,4.35,1673.83,100.94,16391.78,,16391.78,12884.84,7278.21,0.0,7278.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0551361719106,-247.86,1612.88,900.14,1731.59,103.9,325.61,169.71,3506.94,284.81,23.1320210495748,80.73,3711.02,540.77,3170.25,,3170.25,1038.08,881.64,158.61,0.0,2132.17,0.0,,,2132.17,95.919779,47.2364431408186,2395.25,3170.25,473.37,3643.62,-334.53,-913.84,-832.8,-1070.01,-1085.01,15.0,-739.0,899.14,33.12,45.6,,-1089.16,,-1.42,,-1.42,-74.38,-967.77,473.29,683.07,,1156.36,1070.01,1325.24,0.0,0.902858585779701,3468.25,3841.41,1.57581460973965,6053.35,40.2697881828317,3250.98,80.73,2.55113465695712,16391.78,6425.29,-19.3764539219742,46.2920443822965,23.1594816385474,88.8279799428181,0.00172340483277093,15.24,8842.96,8.0847839587891,1325.24,0.0,50.9448638280894,23.1320210495748,3791.75,13.0075562263525,2132.17,33.0334461889878,9841.48,15.5827460426854,13682.89,26.0241469251988,1994.91481394212,7665.63,24.1114966029474,13.0075562263525,1.19797645088136,1.5473201281019,22.2286,0.0,67.1162376397974,16.1827089571818,37.7004728687282,0.703800522823245
2020.0,13587.62,7479.24,6676.49,1715.63,,4960.86,,108.09,2225.58,234.92,232.47,5825.7,2827.47,1109.22,432.35,376.06,371.53,709.07,13587.62,9453.29,95.92,,9357.37,939.28,18.5,,282.68,501.32,136.78,3195.05,1760.08,,1342.24,92.73,17194.09,,17194.09,13337.05,7038.6,0.0,7038.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1805719290756,-210.21,1660.3,985.43,1870.86,83.3,142.78,482.11,3857.04,357.54,24.5117944596079,78.38,4136.2,689.97,3446.23,-33.2,3413.03,759.08,871.15,-117.73,0.0,2653.95,0.0,,,2653.95,95.919779,43.370776770612,2813.07,3413.03,702.99,4116.02,-369.6,-933.35,-774.65,-289.87,-316.22,26.35,-513.97,339.29,41.26,34.73,-379.84,-2500.85,,17.86,17.86,,-76.78,-1886.04,-462.43,1156.36,,693.93,289.87,2523.2,0.0,0.938398460117995,2998.23,3195.05,1.823351747234,5825.7,44.5446542485328,3524.61,78.38,2.57531876779565,17194.09,6676.49,-14.7948819072651,49.6159499819175,21.5802069938921,85.9910388830747,0.00258111197265714,24.4,9453.29,14.674809774754,2523.2,0.0,52.8194280709244,24.5117944596079,4214.58,15.4352454826048,2653.95,33.9147102208597,10392.57,19.5321182076037,13587.62,32.5925071387448,2462.69309865427,7556.01,28.0743529501369,15.4352454826048,1.26542323085279,1.43734297794736,27.6684,0.0,60.2383947029825,16.9115581982569,37.8491341960528,0.719985600287994
2021.0,17580.82,7368.87,6988.27,2224.8,,4763.47,,118.56,2000.52,229.88,521.63,9946.76,3124.61,1809.75,3178.81,134.91,310.49,1388.19,17580.82,12089.19,95.92,,11993.27,916.24,14.31,,265.19,473.23,163.51,4575.39,2814.3,7.89,1607.6,145.6,18516.86,,18516.86,14024.08,7034.89,0.0,7034.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.4077062741739,-90.7,1755.1,1128.66,1914.12,74.71,77.81,480.43,4492.78,366.02,26.239870042761,71.66,4787.14,697.47,4089.67,,4089.67,1037.87,1052.72,-21.31,0.0,3051.8,0.0,,,3051.8,95.919779,56.1036707830312,3458.58,4089.67,608.86,4698.53,-224.97,-1014.98,-436.16,-192.9,-218.46,25.56,-1036.95,730.33,46.91,16.45,,-582.9,,-3.94,1.96,-5.9,-69.36,-466.06,2439.52,694.06,,3133.58,192.9,3265.68,0.0,1.49105322169258,6822.15000000001,4575.39,2.17396986923519,9946.76,58.0704716717834,4161.33,71.66,2.64970586425539,18516.86,6988.27,-22.3366174048277,50.195680301658,24.616551681115,97.1488493876007,0.00183635131882285,22.2,12089.19,17.6362515026846,3265.68,0.0,53.5922937258261,26.239870042761,4858.8,16.4811960559188,3051.8,31.9968659244639,13005.43,17.3586897539478,17580.82,26.6175777751063,2832.14221636464,10640.12,25.2440403368629,16.4811960559188,1.05324211271147,1.45425954923365,31.8161,0.0,79.7316452990781,20.1274907582725,50.056052934881,0.703656253079728
2022.0,19908.33,6955.11,7289.47,2735.53,,4553.94,,225.47,1646.25,320.76,413.99,12747.92,5277.61,2915.77,2164.34,308.57,607.3,1474.33,19908.33,13349.09,95.92,,13239.77,911.8,16.16,,205.3,522.05,168.29,5647.44,3497.29,,2024.15,126.0,25188.51,,25188.51,20600.72,11689.67,0.0,11689.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.4359912515667,-1208.63,2484.52,1310.14,2493.42,104.66,116.87,631.38,4587.79,451.89,20.0078527868461,70.25,4969.43,721.56,4247.87,-53.73,4194.14,1059.43,1107.29,-51.02,0.0,3134.71,0.0,,,3134.71,95.919779,58.5976346751121,1260.31,4194.14,674.27,4868.41,-2499.07,-1109.03,-339.98,-387.76,-415.05,27.29,-1128.18,1104.6,56.2,27.35,-79.99,-1989.32,-74.95,-7.89,,-7.89,-68.41,-1740.95,-1068.99,3133.58,,2064.59,387.76,872.55,0.0,1.32277810831102,7470.30999999999,5647.44,2.2572917994702,12747.92,60.7030604982206,4318.12,70.25,3.45546521214848,25188.51,7289.47,-4.93342047039789,51.6157955113865,29.0294081808102,85.5786241625946,0.0012105694096002,16.16,13349.09,3.46407945527544,872.55,0.0,46.5640087484333,20.0078527868461,5039.68,12.4449997240805,3134.71,30.2794566117542,14260.89,15.7457205099574,19908.33,24.1097585512784,2889.62930262223,11985.31,23.4825744676229,12.4449997240805,1.26522465721635,1.49136233256349,32.6805,0.0,94.2993528250792,22.1661916256302,58.5967859070417,0.621400178470025
2023.0,22529.84,8476.27,8078.3,3435.61,,4642.69,,978.04,2314.28,414.63,304.47,13875.73,5321.79,3462.61,2597.37,362.88,525.09,1605.99,22529.84,15585.56,95.92,,15462.87,1112.82,49.36,,177.84,709.51,176.11,5831.46,3045.86,,2626.36,159.24,30078.4,,30078.4,24257.92,12659.38,0.0,12659.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.845849513272,-299.74,2519.88,1513.89,2949.28,122.15,191.98,764.77,5820.48,518.01,21.0732286291824,93.06,6245.43,755.83,5489.6,,5489.6,1389.42,1418.38,-34.9,0.0,4100.18,0.0,,,4100.18,95.919779,60.0059,4221.65,5489.6,599.65,6089.25,-452.92,-1414.68,-1396.88,-1606.12,-1622.4,16.28,-1364.5,1444.24,61.05,70.48,,-2184.87,-35.57,74.25,74.25,,-91.52,-1908.86,639.9,2064.59,,2704.49,1606.12,2615.53,0.0,1.4669,8554.168674,5831.46,2.3795,13875.73,59.9899,5582.66,93.06,3.72335763712662,30078.4,8078.3,16.3147,54.0432,32.5215,70.25,0.00316703410079587,49.36,15585.56,8.69570854832704,2615.53,0.0,46.154150486728,21.0732286291824,6338.49,13.631642640566,4100.18,33.4323449340595,16698.38,18.1988864545865,22529.84,27.801139631605,3782.787085,13606.59,26.307556481769,13.631642640566,1.33504720850215,1.44555858114819,42.7458,0.0,64.6063,17.0256,41.7424,0.9288
2024.0,25981.9,11241.08,9282.42,3922.16,,5360.26,,2560.93,2609.11,343.37,555.02,14553.21,5074.76,3633.45,3095.47,349.8,551.37,1848.36,25981.9,18425.09,95.92,,18280.91,1335.8,35.58,,187.61,948.29,164.32,6221.01,3238.83,,2867.97,114.21,30850.12,,30850.12,23819.73,11458.82,0.0,11458.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4653829547503,356.98,2356.1,1747.89,3180.38,114.93,245.7,914.6,7030.39,824.56,25.4616513647273,115.42,7739.53,734.49,7005.04,,7005.04,1683.49,1729.88,5.33,0.0,5321.55,0.0,,,5321.55,95.919779,60.0227,5737.84,7005.04,391.9,7396.94,72.94,-1732.04,-2263.19,-2429.62,-2433.97,4.35,-1647.84,1589.36,105.64,142.76,,-2974.48,0.91,0.0,,,-111.35,-2532.38,500.17,2704.49,,3204.66,2429.62,3308.22,0.0,1.5236,9478.330836,6221.01,2.3394,14553.21,61.6917,7120.46,115.42,3.32349969081339,30850.12,9282.42,16.9616,50.9563,34.7797,68.7744,0.00290039288817585,53.44,18425.09,10.7235239279458,3308.22,0.0,50.5346170452497,25.4616513647273,7854.95,17.2496897905097,5321.55,36.0330936511463,19760.89,20.4817584549244,25981.9,29.0597537495572,4782.8315366,16458.61,28.8820841580692,17.2496897905097,1.18736966888488,1.41013693827276,55.479,0.0,51.2987,14.855,34.7159,1.1701
