year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,34321.14,20106.96,343.61,94.43,,249.18,,0.0,175.09,1350.74,0.0,14426.46,,13079.78,157.2,228.62,165.84,795.02,34321.14,4799.7,50.0,,4749.7,19611.33,16448.57,1825.05,-212.28,103.56,1414.22,9910.11,273.66,4277.83,4699.9,658.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7147.14,1356.94,2476.96,1819.38,-8475.62,-490.9,-365.42,-65.15,-65.87,0.72,,,4.19,,,6953.19,19.62,8100.06,8100.06,,,-80.09,-559.37,787.13,,227.76,65.15,-7212.29,0.0,1.45573157109255,14426.46,9910.11,1.45573157109255,14426.46,1.59676667458286,3630.76,2273.82,15.6625243735631,5381.8,343.61,673.777654631575,0.0,752.75773440113,78.9800797695546,5.55340958809926,26654.7,4799.7,-134.012598015534,-7212.29,0.0,100.0,68.1251625850087,3666.36,16.6834516332825,897.87,14.8734404078812,24411.03,2.61608443076192,34321.14,50.3863673680022,2285.98413975563,4536.91,18.7067941746359,16.6834516332825,0.156807145683389,7.15068441777611,17.9574,0.0,22.8109303128515,4.26719378294477,12.7939782236332,0.439426304546842
2016.0,49178.58,27724.36,422.58,135.58,,287.0,,0.0,485.15,1893.62,,21734.26,,18493.68,548.92,1329.15,211.82,1150.69,49178.58,7426.64,53.55,102.03,7271.06,27491.1,22681.01,2605.96,-280.04,403.21,2036.77,14260.84,334.91,5638.49,6953.89,1333.55,7293.54,,7293.54,2353.69,,0.0,,822.21,629.63,,,336.46,565.39,4939.85,39.84,68.2753505156618,2958.78,2020.91,56.34,1964.57,,1964.57,686.05,753.81,-67.76,0.0,1278.52,0.0,,,1278.52,5.387219,10.4710901577616,-9870.83,1964.57,3376.49,2925.45,-12056.7,-739.58,-685.9,-94.62,-95.46,0.84,-95296.46,94670.76,34.42,,,11656.2,1425.37,10370.0,95795.09,-85425.09,,-190.52,1099.47,227.76,,1327.23,94.62,-9965.45,0.0,1.52405187913194,21734.2599999999,14260.84,1.52405187913194,21734.26,1.66397974840982,4923.35,2958.78,17.2595484878603,7293.54,422.58,716.608265378793,0.0,790.035627418236,73.4273620394428,4.98539043228162,37024.7,7426.64,-136.633925364089,-9965.45,0.0,100.0,68.2753505156618,4979.69,17.5294849963118,1278.52,14.0998529687202,34917.74,2.59974972843868,49178.58,49.4168839563476,3178.13323281939,6431.27,17.2153221376019,17.5294849963118,0.148307250839695,6.62191515947993,23.8753,0.0,29.0224625449733,5.06591695667073,14.6196682926046,0.360792010621717
2017.0,66899.58,35857.44,586.51,225.38,,361.13,,0.0,1090.3,2008.84,,31411.21,,25654.78,2984.4,325.8,355.83,2090.4,66899.58,9600.31,109.37,,9490.94,36266.36,27420.12,5695.84,-369.07,484.87,3034.6,21032.91,309.04,8922.42,10002.9,1798.55,9963.02,,9963.02,3247.66,,0.0,,1034.35,931.67,,,426.4,855.24,6715.36,25.95,67.66331895349,3852.63,2888.68,71.16,2817.52,,2817.52,980.97,1070.0,-89.03,0.0,1836.55,0.0,,,1836.55,54.989009,10.7193263498907,-10439.98,2817.52,4519.66,4170.26,-13604.14,-1006.1,-3048.24,-145.71,-148.96,3.25,-130394.49,127491.96,,,,12515.94,337.91,12224.95,126898.58,-114673.63,,-38.18,-972.28,1296.9,,324.62,145.71,-10585.69,0.0,1.57181166208302,33059.7732255426,21032.91,1.49343148427869,31411.21,1.73132379699063,6670.15,3852.63,16.9869567441305,9963.02,586.51,751.15403684577,0.0,808.69996747974,57.5459306339701,5.13000621854919,49249.65,9600.31,-106.249811804051,-10585.69,0.0,100.0,67.66331895349,6741.31,18.4336677031663,1836.55,14.5424771408083,45866.67,2.74523397605785,66899.58,41.5887917064022,4330.90288977541,10413.63,19.1301114234853,18.4336677031663,0.148925000724967,6.96848122612707,33.5842,0.0,34.9598918539075,6.68787346450271,16.7815318536012,0.306617834937399
2018.0,80852.45,79432.53,782.38,317.72,,464.66,,0.0,2553.43,86.99,31.59,2182.9,,638.85,1100.03,228.82,,215.2,80852.45,15817.21,115.03,,15620.17,55367.73,43575.78,12397.39,-762.98,92.36,65.18,9667.51,609.26,7656.16,1380.69,21.4,12652.84,,12652.84,4082.96,,0.0,,970.23,1415.48,,,462.24,1235.01,8569.88,12.28,67.8279342819478,4648.98,3933.18,101.96,3831.22,,3831.22,1346.71,1427.0,-80.29,0.0,2484.51,0.0,,,2484.51,57.7968388,9.25977369113099,-17191.28,3831.22,1317.59,5148.81,-20867.53,-1472.56,504.94,-206.02,-207.04,1.02,-214728.27,216539.97,99.26,,-1200.0,16588.98,4537.97,6118.65,6118.65,,,-196.83,-97.36,324.69,,227.33,206.02,-17397.3,0.0,0.246888307046762,2386.79517725764,9667.51,0.225797542490259,2182.9,1.82409904968402,8480.2,4648.98,16.1722436667604,12652.84,782.38,312.052661208806,0.0,379.249834424524,67.1971732157177,4.02279099790671,63629.33,15817.21,-137.497194305784,-17397.3,0.0,100.0,67.8279342819478,8582.16,19.6359868614477,2484.51,11.9129130403144,71184.94,3.0728938949902,80852.45,-76.0874216186729,5491.36617557854,-7217.18,15.7076374404841,19.6359868614477,0.156492969600798,5.11167582652061,43.1976,0.0,40.9687112246977,6.46875611685902,19.247797902859,0.226020624381975
2019.0,107839.04,101761.41,1085.17,430.84,,654.33,,0.0,5060.63,184.72,19.64,6738.46,,805.38,5309.78,241.69,,381.61,107839.04,19563.63,115.37,,19310.41,76594.95,58422.51,18606.89,-660.83,156.1,70.28,11680.46,766.33,9322.32,1570.84,20.97,17386.02,,17386.02,5189.3,,0.0,,1193.61,1719.6,,,591.0,1685.09,12196.72,13.25,70.22866648031,6037.3,6172.67,137.37,6035.3,,6035.3,2144.96,2043.73,101.23,0.0,3890.34,0.0,,,3890.34,57.7968388,8.89665204155923,-15693.66,6035.3,1447.04,7482.34,-21006.25,-2169.75,-6637.58,-324.33,-354.78,30.45,-402362.65,397955.67,114.11,,-2020.38,22343.91,57.45,7467.9,7467.9,,,-230.15,12.67,227.33,,240.0,324.33,-16017.99,0.0,0.636024185769057,7429.05506090804,11680.46,0.576900224819913,6738.46,1.99966872608616,12072.6,6037.3,16.0214712902126,17386.02,1085.17,-66.9353738961495,0.0,15.1599949269586,82.0953688231081,4.41389046920229,86351.72,19563.63,-92.1314366370222,-16017.99,0.0,100.0,70.22866648031,12209.97,22.3762540247854,3890.34,12.5548858978575,96158.58,3.60754324222471,107839.04,-172.370530250321,7773.4282768048,-4509.72,19.8855733828538,22.3762540247854,0.161221947079648,5.51222038036908,67.4411,0.0,44.8517298798507,8.98231485428127,21.343091117341,0.198356943319503
2020.0,137155.96,123873.19,1908.76,680.62,,1228.14,,0.0,8076.41,276.68,27.27,14130.38,,867.18,12062.57,679.36,171.76,349.51,137155.96,31813.21,119.99,,31480.05,98227.61,65884.25,32887.35,-847.61,189.87,113.75,7115.14,816.52,5434.39,847.01,17.22,23822.53,,23822.53,8764.84,,0.0,,1600.84,2293.44,,,756.21,4114.35,15057.69,11.62,63.2565474783745,7990.48,7078.83,270.7,6808.13,,6808.13,1927.01,2079.96,-152.95,0.0,4881.12,0.0,,,4881.12,60.1689069,12.2912334006893,-14110.33,6808.13,4411.97,11220.1,-23223.43,-2107.0,-9632.54,-470.03,-476.12,6.09,-389657.63,381971.27,123.21,0.64,-1600.0,24177.4,8568.04,2135.17,2135.17,,,-943.28,434.53,240.0,,674.53,470.03,-14580.36,0.0,1.98720516181293,14139.2429350217,7115.14,1.98595951731097,14130.38,1.85203016589742,14798.61,7990.48,12.4806314046816,23822.53,1908.76,-56.403138887197,0.0,12.8131730760755,69.2163119632725,3.2755572292139,104205.99,31813.21,-61.2040786599912,-14580.36,0.0,100.0,63.2565474783745,15069.31,20.4895113995029,4881.12,11.3799728423736,130040.82,3.55880998536265,137155.96,139.654791716142,10601.6002380683,7591.29,15.3430603199111,20.4895113995029,0.173689353346366,4.31128955550226,81.3588,0.0,27.2379877775975,4.20733390685581,15.6927257950099,0.451253356196837
2021.0,137364.34,123651.24,2138.13,910.93,,1227.2,,51.06,8107.56,256.27,33.12,14632.31,,709.72,12061.56,1373.9,,487.13,137364.34,35938.74,120.32,,35515.17,93025.73,54117.53,39334.92,-919.21,201.68,290.81,8399.87,857.39,6401.55,1122.4,18.53,23549.72,,23549.72,10348.67,,0.0,,1644.9,2242.42,,,443.13,6018.22,13201.05,14.17,56.1162510637069,7550.09,5665.13,302.25,5362.88,,5362.88,1407.37,1470.7,-63.33,0.0,3955.51,0.0,,,3955.51,60.2587339,15.2091717389254,4385.94,5362.88,3774.77,9137.65,-3451.19,-1300.52,424.26,-281.94,-291.77,9.83,-216421.88,217083.29,194.79,,-150.0,-4112.94,103.21,-9373.64,17416.82,-26790.46,,-2.74,697.26,674.53,,1371.79,281.94,4104.0,0.0,1.74196862570492,14632.31,8399.87,1.74196862570492,14632.31,1.71030676455512,12912.97,7550.09,11.0141665848194,23549.72,2138.13,-61.0056774040014,0.0,12.2202832984851,73.2259607024865,2.77845021834377,99854.0,35938.74,17.4269587918667,4104.0,0.0,100.0,56.1162510637069,13215.22,16.7964205094583,3955.51,10.0128120559097,128964.47,2.87957558708468,137364.34,154.196381918626,9513.7934072737,6169.92,11.0062567580277,16.7964205094583,0.171439836568938,3.82218018773057,65.7498,0.0,78.3105043665532,8.69239693350645,30.8914966228334,0.194216240362019
2022.0,167108.18,156530.82,2668.81,1070.37,,1598.44,,32.68,9390.74,324.31,,11485.76,,1017.11,6981.08,2900.73,121.9,464.94,167108.18,42055.88,120.66,,41537.66,113088.32,74118.82,39455.13,-908.4,203.84,218.93,11963.98,1063.92,9465.91,1411.51,22.64,27872.31,,27872.31,11260.28,,0.0,,2428.68,3224.53,,,709.7,4897.37,16612.03,6.81,59.6249108882615,7677.54,8941.3,354.91,8586.39,,8586.39,2235.9,2242.0,-6.1,0.0,6350.49,0.0,,,6350.49,60.5429233,19.0001007005337,-23855.66,8586.39,6361.34,14947.73,-36464.05,-2339.34,3806.46,-579.38,-596.76,17.38,-202947.09,207365.62,367.31,,-400.0,21550.34,172.92,14731.36,26243.58,-11512.22,,-602.63,1501.14,1371.79,,2872.93,579.38,-24435.04,0.0,0.960028351769227,11485.76,11963.98,0.960028351769227,11485.76,2.11837776162677,16263.93,7677.54,10.4437221083554,27872.31,2668.81,11.3067942700121,0.0,11.3067942700121,,2.92562799779722,123039.86,42055.88,-87.6677964617931,-24435.04,0.0,100.0,59.6249108882615,16618.84,22.7842256346891,6350.49,10.483105394852,155144.2,3.80022689493716,167108.18,-687.924929498615,12023.7582952556,-1747.83,15.1001239303517,22.7842256346891,0.166792014609937,3.97347957051428,105.2626,0.0,68.9618154976221,10.5127019764599,33.581202598978,0.275516248570759
2023.0,215605.75,195294.03,3521.98,1375.07,,2146.91,,79.53,12758.99,292.48,,21230.72,,1070.21,15978.86,3319.46,146.98,715.21,215605.75,51493.13,120.89,,50816.78,140894.81,86504.16,54755.03,-919.0,204.64,349.98,23217.81,1512.28,20425.44,1252.85,27.24,35684.44,,35684.44,11940.67,,0.0,,2802.09,4614.35,,,1239.97,3284.26,23743.77,5.37,66.5532091858524,9423.86,14325.28,443.77,13881.51,,13881.51,3591.77,3593.0,-1.23,0.0,10289.74,0.0,,,10289.74,60.5429233,17.6229,-27302.41,13881.51,2624.05,16505.56,-40241.51,-3566.46,-12400.21,-809.57,-825.2,15.63,-273616.33,263978.81,546.88,,-2500.0,38021.04,158.12,14416.93,40153.15,-25736.22,,-1206.86,-1681.58,2872.93,,1191.35,809.57,-28111.98,0.0,0.9144,21230.365464,23217.81,0.9144,21230.72,2.473,23305.37,9423.86,10.1319257917421,35684.44,3521.98,10.6751,0.0,10.6751,,3.13992623870408,161684.63,51493.13,-78.7793783509003,-28111.98,0.0,100.0,66.5532091858524,23749.14,28.835369141284,10289.74,12.1137374827133,192387.94,4.77247939816076,215605.75,-560.734567921275,17271.2415,-3080.11,19.9827433290616,28.835369141284,0.165507830844029,4.18707796554608,170.2331,0.0,32.9865,6.6635,20.9603,0.5342
2024.0,295687.74,262102.01,4882.48,1822.55,,3059.93,,42.59,14345.84,392.51,0.0,34512.44,,1244.89,22807.52,9432.26,15.69,1012.08,295687.74,72010.53,123.6,297.21,70878.22,183164.22,112904.31,70549.2,-926.71,198.82,438.6,40512.99,1671.95,36925.14,1886.56,29.34,46938.8,,46938.8,15261.1,,0.0,,3109.68,5849.47,,,1439.87,4862.08,31677.7,7.18,67.5025352160686,14002.67,17682.21,629.13,17053.08,,17053.08,4408.97,4436.0,-27.03,0.0,12644.11,0.0,,,12644.11,61.899632,17.5955,-54337.69,17053.08,4706.2,21759.28,-71542.09,-4554.88,-7762.87,-946.87,-982.38,35.51,-96605.43,89181.3,808.13,,-200.0,64774.36,9067.17,26276.15,48834.19,-22558.04,,-1814.58,2673.8,1191.35,,3865.15,946.87,-55284.56,0.0,0.854,34598.09346,40512.99,0.8519,34512.44,2.2178,31055.75,14002.67,9.61372089593813,46938.8,4882.48,9.0012,0.0,9.0012,,3.0603670046589,220378.65,72010.53,-117.780088114737,-55284.56,0.0,100.0,67.5025352160686,31684.88,26.9374376848151,12644.11,12.1703851968112,255174.75,4.27616985404941,295687.74,-186.704031437379,23021.14851792,-12330.29,17.5586959296092,26.9374376848151,0.158744491739833,4.106173638772,204.5972,0.0,35.3883,6.302,20.7796,0.4972
