year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015,2640.01,1896.26,356.84,281.73,,75.11,,0.76,1800.77,29.41,1.57,732.39,,3.74,712.82,3.37,11.46,1.0,2640.01,2560.29,79.56,,2480.73,17.34,,,11.36,,5.98,62.38,2.1,,8.52,51.76,200.24,,200.24,51.02,,0.0,,21.05,12.89,,9.31,10.7,6.38,149.22,11.42,80.2237315221734,,160.64,2.54,158.1,,158.1,32.17,30.73,1.44,0.0,125.93,0.0,,,125.93,15.9125,22.112284602557,38.56,158.1,-88.87,69.23,3.7,-34.37,-15.19,-9.08,-9.12,0.04,-896.6,873.49,,,17.0,-27.63,0.18,0.0,,,,-27.81,-4.26,7.39,,3.13,9.08,29.48,0.0,11.7407823020199,732.390000000001,62.38,11.7407823020199,732.39,,158.1,0.0,0.561147853379666,200.24,356.84,-9.0122608947539,0.0,4.0466440271674,13.0589049219213,0.0,0.0,2560.29,14.7223332001598,29.48,0.0,100.0,80.2237315221734,160.64,62.8895325609269,125.93,6.13354127628868,2577.63,4.77005768917542,2640.01,15.7017697049028,116.83372802024,744.08,4.91858344171949,62.8895325609269,0.0758481975447063,1.03113709775065,0.7914,0.0,175.568612585292,8.63532193618692,137.609302788845,0.125949116556911
2016,2747.27,2202.33,356.83,281.68,,75.15,,0.97,2102.88,30.35,3.72,534.2,,8.19,276.0,225.25,23.92,0.84,2747.27,2695.98,79.57,,2616.41,19.35,,,10.74,1.87,6.74,31.94,2.63,,7.69,21.62,242.65,,242.65,55.59,,0.0,,24.05,12.97,,12.82,12.4,6.17,187.06,9.13,80.8530805687204,,196.19,1.38,194.81,,194.81,31.68,32.3,-0.62,0.0,163.13,0.0,,,163.13,15.9131453,17.0720048386939,96.29,194.81,-45.61,149.2,-16.66,-36.25,179.44,-1.89,-1.94,0.05,-464.05,747.41,,,-102.03,-54.57,0.41,0.0,,,,-54.98,221.16,3.13,,224.29,1.89,94.4,0.0,16.7251095804634,534.200000000001,31.94,16.7251095804634,534.2,,194.81,0.0,0.680015693747723,242.65,356.83,-6.27593368328632,0.0,8.97269730063878,15.2486309839251,0.0,0.0,2695.98,38.9037708633835,94.4,0.0,100.0,80.8530805687204,196.19,67.2285184422007,163.13,7.17445025098239,2715.33,5.93789471002122,2747.27,43.5714503283997,155.484720496894,356.85,6.05086091143109,67.2285184422007,0.0883240453249954,1.01902462184438,1.0251,0.0,166.203297239294,10.0570024629263,137.051977674703,0.102714600146735
2017,2814.13,2584.33,348.17,280.11,,68.06,,1.19,2489.71,32.71,2.15,220.31,,0.63,182.25,1.55,34.71,1.17,2814.13,2766.02,79.57,,2686.45,19.0,,,9.49,1.87,7.64,29.11,1.54,,8.32,19.25,153.9,,153.9,59.54,,0.0,,28.29,20.35,,17.53,4.86,6.04,94.36,11.1,68.5250162443145,,105.46,1.46,104.0,,104.0,33.98,35.23,-1.25,0.0,70.02,0.0,,,70.02,15.913178,39.7736312188913,41.51,104.0,-14.73,89.27,-9.74,-38.02,-263.81,-0.36,-0.63,0.27,-352.45,395.08,,,-306.08,-0.69,0.02,0.0,,,,-0.71,-222.99,224.29,,1.3,0.36,41.15,0.0,7.56818962555823,220.31,29.11,7.56818962555823,220.31,,104.0,0.0,0.442025447338944,153.9,348.17,-0.603953553020499,0.0,10.4590643274854,11.0630178805059,0.0,0.0,2766.02,26.7381416504223,41.15,0.0,100.0,68.5250162443145,105.46,45.4970760233918,70.02,3.73426402682925,2785.02,2.48815797422294,2814.13,23.9596673198474,62.5467115384616,261.05,2.53143505831483,45.4970760233918,0.0546883050889618,1.01739322203021,0.44,0.0,929.045454545455,23.5187197489534,616.837655983311,0.042810313616126
2018,2918.37,2841.58,348.74,281.34,,67.4,,8.19,2729.5,20.28,2.09,85.15,,3.96,28.62,12.4,39.18,0.99,2918.37,2879.75,79.57,,2800.18,2.01,,,-8.36,1.87,8.5,36.61,2.85,,13.61,20.15,241.9,,241.9,83.69,,0.0,,42.62,26.91,,32.39,6.63,7.53,158.21,10.36,69.6858205870194,,168.57,1.36,167.21,,167.21,25.59,27.6,-2.01,0.0,141.62,0.0,,,141.62,15.9135097,19.6649099347125,141.92,167.21,-1.27,165.94,8.12,-32.14,-103.52,-7.57,-7.58,0.01,-426.74,330.79,,,,-27.59,0.22,0.0,,,,-27.81,10.81,1.3,,12.11,7.57,134.35,0.0,2.32586724938541,85.1499999999998,36.61,2.32586724938541,85.15,,167.21,0.0,0.693639961002466,241.9,348.74,-4.20972229601272,0.0,3.46289789169078,7.6726201877035,0.0,0.0,2879.75,55.5394791236048,134.35,0.0,100.0,69.6858205870194,168.57,58.5448532451426,141.62,5.80235689300983,2881.76,4.85270887515976,2918.37,116.715432833927,132.845505651576,113.82,4.91778800243077,58.5448532451426,0.082888735835415,1.01341088636166,0.8899,0.0,581.924935385998,28.6175691292647,488.812034763006,0.033793243282386
2019,3184.97,3076.47,350.39,282.6,,67.79,,33.34,2928.18,32.03,1.42,116.58,,0.29,9.22,60.27,39.15,7.65,3184.97,3135.06,79.57,,3052.45,1.88,,,-8.08,2.14,7.82,48.03,4.69,,23.89,19.45,423.05,,423.05,121.02,,0.0,,51.78,53.53,,40.9,5.01,10.7,302.03,25.51,77.4234724027893,,327.54,1.55,325.99,,325.99,18.82,18.02,0.8,0.0,307.17,0.0,,,307.17,15.9136111,12.9520927991545,312.3,325.99,1.1,327.09,8.91,-23.7,-236.67,-26.96,-27.07,0.11,-254.99,115.28,,,-70.0,-27.77,0.07,0.0,,,,-27.84,47.86,12.11,,59.97,26.96,285.34,0.0,2.42723297938788,116.58,48.03,2.42723297938788,116.58,,325.99,0.0,1.20736893176175,423.05,350.39,-7.37894644644568,0.0,1.83341212622621,9.21235857267189,0.0,0.0,3135.06,67.4482921640468,285.34,0.0,100.0,77.4234724027893,327.54,72.6084387188276,307.17,10.3919743444248,3136.94,9.64436085740211,3184.97,255.465793594762,283.132739041075,110.83,9.79789860481139,72.6084387188276,0.132826996800598,1.01591995049537,1.9302,0.0,364.49331675474,35.747585040964,341.64340630152,0.0355343297159386
2020,3592.22,3389.41,437.85,284.97,,152.88,,0.0,3195.22,26.99,0.88,210.75,,0.43,144.78,4.96,56.35,4.23,3592.22,3535.43,79.57,,3423.41,0.89,,,-7.94,2.14,6.69,55.9,2.1,,34.28,19.52,779.86,,779.86,130.38,,0.0,,21.68,84.72,,9.6,7.91,16.07,649.48,35.3,87.8080681147898,,684.78,2.9,681.88,,681.88,15.02,13.94,1.08,0.0,666.86,0.0,,,666.86,15.913729,11.9320351279114,638.83,681.88,13.82,695.7,-38.71,-18.16,-575.48,-54.92,-55.24,0.32,-572.06,141.5,,,-90.0,-118.97,0.08,0.0,,,,-119.05,-55.62,59.97,,4.35,54.92,583.91,0.0,3.7701252236136,210.75,55.9,3.7701252236136,210.75,,681.88,0.0,1.7811122530547,779.86,437.85,-10.0523511755441,0.0,0.168491780576001,10.2208429561201,0.0,0.0,3535.43,74.8736952786398,583.91,0.0,100.0,87.8080681147898,684.78,85.510219783038,666.86,19.2821916568636,3536.32,18.5640077723525,3592.22,208.245534321569,632.337564967443,303.65,18.8622034660565,85.510219783038,0.217096948405164,1.01606310972074,4.1904,0.0,109.530116456663,20.8511842773867,106.65662183475,0.108938395337437
2021,3868.53,3278.02,442.58,289.39,,153.19,,2.29,3074.14,48.78,0.88,583.88,,0.52,420.83,124.67,35.94,1.92,3868.53,3800.92,79.57,,3618.45,12.47,,,6.63,2.14,3.7,55.14,2.15,,32.92,20.07,323.73,,323.73,142.25,,0.0,,23.53,101.88,,9.08,7.05,9.79,181.48,68.3,77.1568900009267,,249.78,4.68,245.1,,245.1,66.32,67.84,-1.52,0.0,178.78,0.0,,,178.78,15.9137444,26.704408897909,169.36,245.1,9.74,254.84,-11.1,-74.38,-149.28,-7.22,-7.64,0.42,-861.86,825.9,,,-106.1,-0.18,0.01,0.0,,,,-0.19,19.9,4.35,,24.25,7.22,162.14,0.0,10.5890460645629,583.879999999998,55.14,10.5890460645629,583.88,,245.1,0.0,0.731460978806092,323.73,442.58,-5.14382610485325,0.0,0.53555431995799,5.67938042481124,0.0,0.0,3800.92,50.0849473326537,162.14,0.0,100.0,77.1568900009267,249.78,55.2250332066846,178.78,6.42735204109729,3813.39,4.62139365598819,3868.53,23.0110537682157,128.960848633211,560.43,4.70359807625522,55.2250332066846,0.0836829493373452,1.01778779874346,1.1234,0.0,860.583941605839,41.6042555746048,615.456398430619,0.0310308446595916
2022,4438.42,4239.34,393.59,288.53,,105.06,,4.08,4074.76,53.99,0.8,195.29,,2.7,116.52,22.05,50.14,3.88,4438.42,4368.2,79.57,,4069.59,8.78,,,3.79,2.14,2.85,61.44,2.03,,39.25,20.16,623.83,,623.83,161.56,,0.0,,28.37,111.77,,5.31,11.99,9.43,462.27,105.17,90.960678389946,,567.44,4.22,563.22,,563.22,138.99,141.29,-2.3,0.0,424.23,0.0,,,424.23,15.9137444,15.005,610.59,563.22,-19.61,543.61,209.82,-142.84,-565.49,74.8,-16.89,91.69,-588.75,592.85,,,-644.39,-47.73,,0.0,,,,-47.73,-2.63,24.25,,21.62,-74.8,685.39,0.0,3.1785,195.28704,61.44,3.1785,195.29,,563.22,0.0,1.58497421174318,623.83,393.59,0.942,0.0,0.942,,0.0,0.0,4368.2,109.868073032717,685.39,0.0,100.0,90.960678389946,567.44,68.0041036820929,424.23,12.8677764120467,4376.98,9.55813104663371,4438.42,155.593846464328,345.01379515,221.74,9.71178059612655,68.0041036820929,0.140552268600087,1.01607527127879,2.6658,0.0,639.6635,65.4031,478.1931,0.0235
2023,5317.96,4857.05,400.71,290.54,,110.17,,4.09,4687.92,54.31,,456.36,,0.82,390.5,7.71,47.65,9.68,5317.96,5248.07,159.26,,4775.24,8.75,,,4.55,2.14,2.06,61.14,2.33,,38.95,19.86,1076.47,,1076.47,169.79,,0.0,,20.45,114.21,,0.32,19.86,15.27,906.68,71.14,90.8357873419603,,977.82,3.2,974.62,,974.62,242.1,241.12,0.98,0.0,732.52,0.0,,,732.52,159.281546,17.3932,787.71,974.62,-5.93,968.69,60.73,-241.71,-805.14,-8.16,-8.74,0.58,-2347.33,1880.4,,,-330.05,3.05,68.64,0.0,,,,-63.61,-14.38,21.62,,7.24,8.16,779.55,0.0,7.4642,456.361188,61.14,7.4642,456.36,,974.62,0.0,2.68640662823488,1076.47,400.71,0.5968,0.0,0.5968,,0.0,0.0,5248.07,72.4172526870233,779.55,0.0,100.0,90.8357873419603,977.82,68.0483431958159,732.52,18.5401059956399,5256.82,13.7744548661517,5317.96,135.331137891863,679.0510506,501.77,13.9578930921272,68.0483431958159,0.202421605277212,1.01331727663694,4.5995,0.0,275.3234,40.8712,206.2457,0.0632
2024,6650.53,5439.71,401.81,293.76,,108.05,,4.47,5265.4,60.76,,1206.87,,0.79,1104.02,21.53,77.14,3.39,6650.53,6568.97,159.41,,5973.19,10.39,,,3.95,2.14,4.3,71.17,2.78,,48.6,19.79,1699.29,,1699.29,193.51,,0.0,,19.5,126.83,,0.11,28.16,19.02,1505.78,34.62,90.6496242548358,,1540.4,3.48,1536.92,,1536.92,366.86,366.61,0.25,0.0,1170.06,0.0,,,1170.06,159.5488813,13.6242,1311.8,1536.92,-26.96,1509.96,171.2,-369.36,-1272.65,-1.48,-2.84,1.36,-3152.19,2683.48,,,-802.46,-25.42,101.92,0.0,,,,-127.34,13.73,7.24,,20.97,1.48,1310.32,0.0,16.9576,1206.872392,71.17,16.9576,1206.87,,1536.92,0.0,4.22908837510266,1699.29,401.81,0.1729,0.0,0.1729,,0.0,0.0,6568.97,77.1098517616181,1310.32,0.0,100.0,90.6496242548358,1540.4,68.8558162526702,1170.06,23.3597188784319,6579.36,17.5934850305164,6650.53,93.2349651990315,1143.7039946,1226.69,17.8119248527547,68.8558162526702,0.255511966715435,1.01241594953242,7.3399,0.0,223.9336,42.7248,170.081,0.0608
