year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,na,wood pulp,explosives,lubricants,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,23501.45,13964.14,403.05,289.17,24.8,89.08,,237.69,10909.16,135.82,2592.39,9537.31,58.33,9.76,862.92,5795.0,108.9,2702.4,23501.45,16734.19,6316.36,,10417.83,3094.34,,,,2905.83,188.51,3672.92,2.28,,2111.16,1559.48,462.56,27.86,462.56,710.87,,0.0,0.0,0.0,0.0,-3.81139744033206,-17.63,200.86,366.58,24.06,8.03,75.26,53.71,-248.310000000001,14151.29,3005.6598062954,243.92,13659.06,7.17,13651.89,,13651.89,268.5,230.0,,0.0,13383.39,0.0,,,13383.39,631.636,97.6947186026859,12604.96,13651.89,-607.21,13044.68,17.15,-456.87,257.73,-40.84,-40.84,,-2123.14,1351.13,970.13,100.45,,-12942.01,,0.0,,,-243.82,-13082.58,-79.32,178.93,,99.61,40.84,12564.12,0.0,2.58077496923429,9478.98000000001,3672.92,2.59665606656284,9537.31,56.9687192522138,13895.81,243.92,1.14764917504032,462.56,403.05,92.3805702339063,36.5431670812773,9.25487337384283,-46.5825297787862,0.0,0.0,16734.19,2716.21411276375,12564.12,0.0,103.811397440332,3005.6598062954,13902.98,2893.33059494984,13383.39,70.0798798498931,19828.53,56.9470819885581,23501.45,-8.38049622394681,-250.455319900762,2988.55,79.9763239212654,2893.33059494984,0.0196821898223301,1.4043972250823,21.1885,0.0,17.1036175283762,13.6788745914801,16.0476305367626,5.71192052980132
2016.0,21378.76,14983.6,334.27,16.45,,317.82,,28.02,11416.51,140.74,3080.51,6395.16,152.41,0.38,312.98,4464.57,96.14,1368.68,21378.76,16045.81,6316.36,,9729.45,3350.38,,,,3177.66,172.72,1982.57,72.7,,1703.78,206.09,203.34,11.97,203.34,711.65,,0.0,0.0,0.0,0.0,-46.498475459821,-94.55,132.99,360.72,22.39,10.89,91.05,188.16,-508.309999999998,17405.26,8309.70296055867,112.34,16784.61,16.41,16768.2,,16768.2,175.2,175.2,,0.0,16593.0,0.0,,,16579.56,631.63644,104.301881621171,-782.52,16768.2,-16840.44,-72.24,-287.71,-422.57,18340.45,-23.13,-23.13,,-0.07,1568.92,16794.73,16210.81,,-17381.26,,0.0,,,-110.11,-17306.84,176.67,99.61,,276.28,23.13,-805.65,0.0,3.14881693962887,6242.75000000001,1982.57,3.22569190495165,6395.16,150.262951753605,16880.54,112.34,0.6083106470817,203.34,334.27,331.947286783208,178.626399145418,8.59481677581162,-144.726070861978,0.0,0.0,16045.81,-396.208321038654,-805.65,0.0,146.498475459821,8309.70296055867,16896.95,8153.61463558572,16579.56,87.030184794024,19396.19,77.5515511657365,21378.76,-15.3876884423208,-519.237542491142,3374.37,103.32641356217,8153.61463558572,0.00951130935564083,1.33235779309365,26.2699,0.0,11.1153830048839,11.4944469615432,10.6512206049021,9.38356164383562
2017.0,18885.4,15264.41,340.45,33.96,0.05,306.44,,28.41,11529.07,102.48,3298.01,3620.99,68.44,12.74,60.19,922.09,38.01,2519.52,18885.4,13917.44,6207.41,,7710.03,3662.49,,,,3449.67,212.82,1305.47,110.0,,1054.23,141.24,398.09,22.08,398.09,1029.69,,0.0,0.0,0.0,0.0,20.9726443768997,83.49,140.81,415.63,23.06,11.5,188.4,166.8,-631.6,15278.24,3679.2283152051,118.89,14527.75,17.52,14510.23,,14510.23,11.14,11.14,,0.0,14499.09,0.0,,,14499.09,620.7409177,85.1967445424849,-744.09,14510.23,-14778.38,-268.15,-299.74,-176.2,18867.3,-6.52,-6.52,,-5.03,4026.66,10790.83,10449.86,4061.36,-17674.32,,0.0,,,-116.39,-12352.76,448.89,276.28,,725.17,6.52,-750.61,0.0,2.72128045837897,3552.54999999999,1305.47,2.7737060215861,3620.99,123.047522920347,14629.12,118.89,1.16930533117932,398.09,340.45,-297.737797038005,95.9257562415213,5.69864578622938,399.362199065756,0.0,0.0,13917.44,-188.552839810093,-750.61,0.0,79.0273556231003,3679.2283152051,14646.64,3642.16383229923,14499.09,83.2148933471294,17579.93,76.7740688574243,18885.4,-12.904580682135,-648.621648368083,5026.29,104.179288719765,3642.16383229923,0.0210792464019825,1.35695932585303,23.3577,0.0,12.535480805045,13.0593675848432,12.3462360514084,6.79644808743169
2018.0,18464.92,16312.44,368.81,51.93,,316.88,,119.0,12137.39,66.99,3672.18,2152.48,21.39,1.84,221.06,292.98,74.63,1540.58,18464.92,12694.71,6207.41,,6487.3,3939.0,,,,3702.35,236.65,1831.21,130.19,,1499.0,202.02,1025.86,119.94,1025.86,969.08,,0.0,0.0,0.0,0.0,4.10289903105687,42.09,148.57,525.04,13.98,12.11,189.44,37.85,56.77999999999879,9292.95,911.404090226737,16.76,9332.97,18.14,9314.83,,9314.83,21.41,118.63,,0.0,9293.42,0.0,,,9293.42,620.7409177,110.209397855926,302.31,9314.83,-9223.21,91.62,287.94,-77.25,8207.45,-119.15,-119.15,,-653.19,34.13,92.48,8867.82,,-9084.68,,0.0,,,-14.48,-10242.24,-574.92,725.17,,150.25,119.15,183.16,0.0,1.1637605736098,2131.09,1831.21,1.17544137482867,2152.48,556.777446300716,9331.59,16.76,2.78154063067704,1025.86,368.81,-1024.82090801755,14.3078853203002,2.32226392040496,1041.45105725826,0.0,0.0,12694.71,17.8542881094886,183.16,0.0,95.8971009689431,911.404090226737,9349.73,905.915037139571,9293.42,56.1004730754594,16633.71,50.3301395294429,18464.92,0.932009779812859,38.5511865272892,4136.35,73.207028754497,905.915037139571,0.0555572404321275,1.45453657468347,14.9715,0.0,18.9359783588819,13.8624729119452,18.7906060923684,5.82010582010582
2019.0,19058.28,17078.18,374.55,64.87,8.93,300.75,,181.33,12515.16,51.27,4029.67,1980.1,30.67,0.25,22.74,253.51,113.01,1559.92,19058.28,13997.39,6162.73,,7834.66,4311.29,,,,4099.36,211.93,749.6,152.07,,507.23,90.3,1043.83,115.53,1043.83,988.58,6.079999999999999,0.0,0.14,4.47,1.47,-0.901487790157401,-9.41,262.89,474.66,8.83,10.81,191.89,48.91,55.25,10551.46,1016.13385321365,18.04,10588.67,26.25,10562.42,,10562.42,92.75,157.25,,0.0,10469.67,0.0,,,10469.67,616.2728327,77.1101314559102,-933.23,10562.42,-10479.62,82.8,-865.2,-150.83,9623.22,-93.22,-93.71,0.49,-527.69,3.32,55.37,8932.75,1064.99,-8781.26,,0.0,,,-15.58,-8112.89,-91.27,150.25,,58.98,93.22,-1026.45,0.0,2.60062700106724,1949.43,749.6,2.64154215581644,1980.1,586.5,10580.46,18.04,2.78689093578961,1043.83,374.55,5482.74822122811,8.19499551476677,0.328996170300856,-5474.22422954304,0.0,0.0,13997.39,-98.3349779178602,-1026.45,0.0,100.901487790157,1016.13385321365,10606.71,1003.00527863733,10469.67,57.7893108623888,18308.68,54.9350203690994,19058.28,0.52371486322352,28.7453471836946,5488.74,74.7973014969219,1003.00527863733,0.0547704199959283,1.36155954788714,16.9886884546297,0.0,13.9386863578317,10.4257612597777,13.7346959047622,5.53209459459459
2020.0,22398.48,17121.1,438.38,127.47,,310.91,,185.49,12232.59,41.54,4350.57,5277.38,14.98,7.97,93.97,1071.48,114.16,3974.82,22398.48,16813.3,6162.73,,10650.57,4915.32,,,,4617.66,297.66,669.86,132.94,,399.82,137.1,954.66,81.63,954.66,1162.08,2.88,0.0,0.05,2.45,0.38,1.64246957031823,15.68,104.69,545.25,8.87,10.08,226.45,251.06,-207.42,11566.33,1189.838267027,5.26,11353.65,54.39,11299.26,,11299.26,18.38,,,0.0,11280.88,0.0,,,11280.88,616.2728327,65.555859054903,-2050.65,11299.26,-11386.99,-87.7300000000001,-1908.28,-54.64,10439.2,-13.21,-13.24,0.03,-671.95,,20.41,11103.95,,-7396.48,,0.0,,,-2.6,-7393.88,992.07,58.98,,1051.05,13.21,-2063.86,0.0,7.85596990415908,5262.4,669.86,7.87833278595527,5277.38,2149.14828897338,11304.52,5.26,2.17769971257813,954.66,438.38,-3307.75312273771,8.03937604338554,1.44761601482211,3317.24011479592,0.0,0.0,16813.3,-216.18796220644,-2063.86,0.0,98.3575304296818,1189.838267027,11358.91,1181.6646764293,11280.88,52.0259455041323,21728.62,50.3644890188977,22398.48,-3.118022350002,-261.384125402903,8383.01,67.0949783802109,1181.6646764293,0.0426216421828624,1.33218820814474,18.305,0.0,7.64818355640535,5.13154585952787,7.50131306613046,8.57142857142857
2021.0,22496.27,18267.16,497.32,144.44,0.1,352.78,,171.41,13132.86,44.38,4593.29,4201.55,1.0,11.99,92.01,230.27,203.58,3662.7,22496.27,16751.71,6162.73,,10588.98,5243.73,,,27.56,4937.78,278.39,500.83,101.59,,302.02,97.22,748.78,13.45,748.78,732.72,0.42,0.0,0.06,0.28,0.08,1.89775367931836,14.21,59.94,443.9,2.63,8.47,167.19,36.38,16.0599999999995,7679.18,1027.70373140308,1.59,7693.65,19.67,7673.98,,7673.98,33.88,17.61,27.56,0.0,7640.1,0.0,,,7640.1,616.2728327,129.060359917079,522.05,7673.98,-7631.5,42.4799999999999,411.97,67.6,6346.11,-48.49,-48.51,0.02,-996.57,29.68,-80.47,7463.3,,-7706.55,,0.0,,,-0.2,-7706.35,-838.39,1051.05,,212.66,48.49,473.56,0.0,8.38717728570573,4200.55,500.83,8.3891739712078,4201.55,4827.40251572327,7675.57,1.59,1.50563017775275,748.78,497.32,-3003.47971960547,3.82607611875681,4.7790037127901,3012.08479943702,0.0,0.0,16751.71,63.2442105825476,473.56,0.0,98.1022463206816,1027.70373140308,7695.24,1020.33975266433,7640.1,34.8961875734243,21995.44,33.961630083565,22496.27,-0.0418501564691507,-3.59406214246114,8587.93,45.60788122526,1020.33975266433,0.0332846289629347,1.34292379703326,12.3973,0.0,10.5184193332419,4.79724154728084,10.4131553011992,12.2699386503067
2022.0,22440.3,18910.89,582.14,156.7,,425.44,,158.16,13157.9,85.39,5108.52,3504.89,13.16,2.36,247.36,789.47,144.01,2308.53,22440.3,16357.95,6162.73,,10195.22,5708.99,,,24.52,5458.25,226.22,373.36,70.63,,209.08,93.65,1335.44,0.03,1335.44,895.83,0.32,0.0,0.0,0.0,0.32,-0.897831426346373,-11.99,58.19,438.84,6.78,8.42,280.74,114.85,439.610000000001,10939.56,852.091445516084,1.5,11377.67,20.83,11356.84,,11356.84,155.27,158.31,-3.04,0.0,11201.57,0.0,,,11201.57,616.2728327,93.5283858651101,2230.0,11356.84,-10873.74,483.1,2125.59,-378.69,8952.53,-186.46,-186.48,0.02,-1587.03,,25.06,10701.58,-0.62,-10783.37,,0.0,,,,-10783.37,399.16,232.16,,631.32,186.46,2043.54,0.0,9.35218020141418,3491.73,373.36,9.38742768373688,3504.89,7572.22666666667,11358.34,1.5,2.29401862095029,1335.44,582.14,2625.25969917299,1.93504908384314,1.96101372550488,-2621.36363636364,0.0,0.0,16357.95,153.023722518421,2043.54,0.0,100.897831426346,852.091445516084,11379.17,838.792457916492,11201.57,51.4722023080681,22066.94,49.917202532943,22440.3,5.14121498721688,413.054466259981,8034.18,68.4778349365293,838.792457916492,0.0595107908539547,1.37182837702768,18.1763,0.0,10.0680556548913,6.89438218114128,9.8415340486169,9.2896174863388
2023.0,23430.68,19934.25,749.9,196.16,,553.74,,108.73,13824.44,81.67,5395.61,3466.49,20.55,3.57,38.23,1174.89,266.61,1962.64,23430.68,16706.45,6162.73,,10543.72,6041.43,,,29.94,5814.28,197.21,682.8,65.2,,462.88,154.72,2182.6,94.12,2182.6,1597.36,4.35,1.83,0.05,2.47,0.0,21.1866581141758,-7.32,197.82,421.48,6.21,7.4,328.15,173.88,585.240000000002,14553.13,693.593420690919,1.92,15136.45,42.94,15093.51,,15093.51,291.2,244.66,5.42,0.0,14802.31,0.0,,,14802.31,616.2728327,100.961318284199,1211.01,15093.51,-14363.61,729.9,504.31,-23.2,12652.83,-119.42,-119.66,0.24,-1803.28,222.55,87.27,14265.71,,-14328.07,,0.0,,,,-14328.07,-464.23,631.32,,167.09,119.42,1091.59,0.0,5.04677797305214,3445.94,682.8,5.07687463386057,3466.49,7862.203125,15095.43,1.92,2.91052140285371,2182.6,749.9,-50.4295466048243,2.70216583506097,0.475343915808707,53.607056355694,0.0,0.0,16706.45,50.0132869055255,1091.59,0.0,78.8133418858242,693.593420690919,15138.37,678.196188032622,14802.31,66.3597223125847,22747.88,63.1749057218997,23430.68,6.93681619313051,531.837373347884,7666.88,88.6023661519952,678.196188032622,0.0931513724740383,1.40249304909182,24.0191,0.0,8.89500439233776,7.88119118364464,8.61993969297883,11.3503393400421
2024.0,24044.43,20071.71,,,,628.88,,142.39,14170.94,0.02,47.14,3972.72,37.66,,35.29,1476.7,498.41,,24044.43,17325.73,6162.73,,11163.0,6195.54,,,,5887.21,,523.16,78.0,,,89.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.37,16042.12,-15164.76,877.36,-342.73,-133.26,14572.64,-174.63,-174.78,0.15,,8.1,69.84,15087.99,,-15097.85,,0.0,,,,-15097.85,-123.84,167.09,,43.25,174.63,226.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
