year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015,35984.8607,14870.7514,1871.2784,266.213,,1605.0654,,2490.8995,7476.2995,3389.9782,0.0,21022.6181,7508.5525,212.1272,,953.9377,928.3099,11419.6908,35984.8607,17229.3854,356.3855,,16777.2604,9145.8289,8096.3471,,91.4912,144.1058,16.6314,9609.6464,548.2205,2499.6466,5996.3753,565.404,3017.144,,3017.144,1432.5689,874.708,28.9912579578568,,42.0264,107.5819,62.7942,48.4322,124.6437,172.3825,1584.5751,1122.2601,89.7151478351713,1403.3392,1303.496,55.821,1247.675,-29.49,1218.185,278.11,270.5489,7.5611,0.0,940.075,0.0,,,940.075,178.193,37.9103798620062,-36.3682,1191.8645,552.4927,1798.3572,-1749.6131,-85.1123,4488.9057,-481.8985,-483.1039,1.2054,-69.1082,98.3034,718.0598,429.5973,9.8545,-4001.7292,0.0952,-1841.9467,2022.1045,-3864.0512,-1792.8225,-356.3539,450.8083,459.8045,,910.6128,481.8985,-518.2667,0.0,1.40630206747253,13514.0656,9609.6464,2.18765782058328,21022.6181,1.86806169171359,2651.0142,1403.3392,1.6123437324986,3017.144,1871.2784,708.506146041872,944.865044972994,24.9784605076854,261.337359438807,0.699869683105469,12058.3245,17229.3854,-17.1773935881085,-518.2667,0.0,71.0087420421432,89.7151478351713,2706.8352,31.1577770235693,940.075,10.0511570061442,26375.2143,2.61241806057624,35984.8607,8.10540488210621,1179.7415914311,14554.9989,5.45623060936347,31.1577770235693,0.0838448153281305,2.08857483099774,5.2756,0.0,29.9965880658124,1.6458261628659,14.5200526014661,1.26382306477093
2016,27481.7838,15364.286,635.471,32.1942,,603.2768,,27.9865,3805.9525,5081.8416,156.7092,14220.8885,8971.8718,1522.8229,,1051.3715,8.6894,2666.1329,27481.7838,14117.9732,356.7432,,13730.8799,5220.7209,6375.0611,,-2103.3907,137.2232,17.6408,8143.0897,555.777,2033.775,5542.109399999999,11.4283,3621.9612,,3621.9612,2221.6324,1560.2505,43.0775045298663,,93.5964,89.99450000000002,98.4408,49.97939999999999,166.1901,163.1807,1400.3288,1296.0925,74.4464435455576,1384.815,1311.6063,74.8175,1236.7888,513.4885,1750.2773,253.6622,147.2252,169.187,0.0,1496.6151,0.0,,,1496.6151,178.3716082,23.8367658276125,849.4445,1750.2773,-195.7679,1665.5094,-520.813,-295.2519,3900.8127,-318.5409,-330.0794,11.5385,-114.5698,3932.8392,670.6912,370.2975,,-4719.9742,0.3595,-1976.9985,3185.187100000001,-5162.1856,-1564.1374,-713.3262,30.283,910.8505,0.04190000000000001,941.1754,318.5409,530.9036,0.0,0.644597676481447,5249.0167,8143.0897,1.74637502765075,14220.8885,2.26390694785946,2621.6038,1384.815,5.69964829236897,3621.9612,635.471,800.766258298465,830.400235858407,87.4190461372143,117.053023697156,0.664451750057154,9380.712,14117.9732,14.6579041211154,530.9036,0.0,56.9224954701337,74.4464435455576,2696.4213,41.3205724014934,1496.6151,13.5562607611648,19338.6941,5.44584409400674,27481.7838,19.4931401906794,1133.40910426058,5814.3998,10.6007787293434,41.3205724014934,0.131794981954556,1.94658138322575,8.3904,0.0,13.658466819222,1.45101733733919,10.6699668408642,1.74520069808028
2017,26857.8793,15025.1777,582.9418,55.2202,,527.7216,,28.0772,7335.1713,1622.1404,58.7995,13654.523,9673.378,596.0389,,922.5066,21.1989,2441.4006,26857.8793,14703.3833,356.8006,,14330.9639,3944.6071,4759.6229,,-1821.8214,195.6753,16.9438,8209.8889,605.938,3007.7537,4570.4996,25.6976,3704.0565,,3704.0565,2203.6414,1375.0527,37.1228867594217,,303.1355,107.7358,75.6062,19.2881,181.0496,141.7735,1500.4151,757.3903,60.9549395372344,1236.1462,1021.6592,98.95709999999998,922.7021,-42.25,880.4521,283.89,-2.7693,286.6593,0.0,596.5621,0.0,,,596.5621,178.400309,59.8086124401914,-696.2011,880.4521,748.9928999999998,1629.445,-2199.558,-126.0881,2102.5944,-94.5017,-120.5565,26.0548,-4663.4049,4652.5236,1106.1983,18.568,-3521.9964,-1536.0841,0.0578,-1289.7487,484.5422,-1774.2909,-1220.3719,,-129.6908,941.1335,-0.0135,811.4292,94.5017,-790.7028,0.0,0.485040245482586,3982.12652744076,8209.8889,1.66317999747841,13654.523,1.71225563772311,2158.8483,1236.1462,6.35407599866745,3704.0565,582.9418,905.072247446153,918.657177205585,104.396970861541,117.981900620973,0.61771918167977,9082.5619,14703.3833,-21.346942197021,-790.7028,0.0,62.8771132405783,60.9549395372344,2257.8054,16.1056425570182,596.5621,11.5768415453496,18647.9904,2.22118095526626,26857.8793,18.4860289433421,949.576618128119,5136.7258,4.05731176170861,16.1056425570182,0.137913215657351,1.82664620461877,3.344,0.0,44.4677033492823,1.80613766036349,15.3636712490811,1.34498991257566
2018,31323.0545,16530.781,565.1698,93.3558,,471.814,,15.1728,9251.3271,1651.9564,46.3601,16416.6645,9731.6427,404.91,949.5976,1008.848,26.0388,4295.6274,31323.0545,23434.7858,356.8133999999999,750.1036,22314.9265,2123.5495,2689.6397,,-1624.391,240.9425,23.1718,5764.7192,822.1709,955.9972,3968.7081,17.843,3056.4664,,3056.4664,2028.289,1153.0463,37.7248151656436,,361.7778,143.8794,57.1089,5.354299999999999,126.7391,180.3832,1028.1774,793.2424000000001,59.5923383944283,1023.4897,797.9300999999999,131.816,666.1141,-120.6586,545.4555,180.2518,-11.1847,191.4365,0.0,365.2037,0.0,,,365.2037,178.4067028,97.7025698260998,30.8938,545.4555,633.2271,1178.6826,-1097.1869,-50.60189999999999,-3939.3782,332.148,-18.3544,350.5024,-16698.7809,16725.0974,205.2653,231.7368,-3189.493,3991.4999,0.0128,-1382.6606,1080.0,-2462.6606,-930.4491,-570.2086,83.01549999999999,809.4056,0.08050000000000002,892.5016,-332.148,363.0418,0.0,1.16044959055531,6689.66603530634,5764.7192,2.84778216083795,16416.6645,1.53293697044533,1689.6038,1023.4897,5.40804975778961,3056.4664,565.1698,1069.21692161904,1158.66357233634,59.7661319784179,149.212782695717,0.243539768133917,5707.3023,23434.7858,11.8778272844746,363.0418,0.0,62.2751848343564,59.5923383944283,1821.4198,11.9485592905585,365.2037,6.61077405929485,25558.3353,1.16592620301446,31323.0545,5.89743189542553,600.148866070981,10176.4442,1.55838292321836,11.9485592905585,0.097578810521177,1.33660511204672,2.04702906337038,0.0,98.4597647422521,1.58602165266548,22.3212269269281,0.992309600595386
2019,33480.8735,16919.0803,565.369,127.0596,,438.3094,,18.8041,9627.7907,1741.25,144.4694,18078.1854,11357.2623,170.8024,,3612.8335,9.3077,2927.9795,33480.8735,23079.9264,441.4444,750.1036,21888.3784,-648.3363,1999.8866,,-3674.5055,205.3444,26.7517,11049.2834,720.8039999999999,1378.9737,8931.2192,18.2865,3295.3911,,3295.3911,2084.6588,1279.4556,38.82560707286,,349.0389,197.7149,72.8179,6.4803,112.0426,67.1086,1210.7323,419.7117,49.4764946109128,739.9402,890.5038,124.862,765.6417999999999,,765.6417999999999,78.0597,,78.0597,0.0,687.5821000000001,0.0,,,687.5821000000001,220.7221948,64.2033963596674,654.8999,765.6417999999999,399.1722,1164.814,-408.4294,-101.4847,1192.3462,-57.191,-58.1413,0.9503,-567.2137,1558.7254,175.0812,36.3559,-400.0001,803.4603999999999,3094.2237,-1888.2104,200.0,-2088.2104,-657.0077,-140.2199,2650.7065,892.5016,-0.0087,3543.1994,57.191,597.7089,0.0,0.608368490829602,6722.03586680657,11049.2834,1.63614098268128,18078.1854,2.03473469883107,1505.582,739.9402,5.82874388231403,3295.3911,565.369,1047.1276867014,1167.91149994306,31.8831694969377,152.666982738596,0.187708089918346,4332.2889,23079.9264,18.1377227121843,597.7089,0.0,61.17439292714,49.4764946109128,1630.444,20.8649619767438,687.5821000000001,6.71188263198515,22431.5901,2.05365639579266,33480.8735,24.2719478118597,975.162251070448,4017.6514,2.97913471682475,20.8649619767438,0.098426078997013,1.45064905839561,3.1151,0.0,64.7170235305448,1.99274288553692,27.7329677805555,0.992063492063492
2020,39689.474,20875.9122,705.8039999999999,182.9798,18.5815,522.8242,,0.0,14657.2265,1887.8211,193.9568,21287.4379,10687.8145,146.0799,100.4065,1714.6773,9.7694,8628.6903,39689.474,26804.6191,495.0623,,26309.5568,944.1226,2294.0173,,-2473.8761,290.2525,39.5424,11940.7323,716.6738,2239.2128,8967.137,17.7087,2369.9495,,2369.9495,1948.1764,1010.0321,42.6182962970308,,268.2739,206.1404,108.1023,18.0373,137.6071,199.9833,421.7731,2544.8605,125.17708077746,590.3086,2376.325,96.3857,2279.9393,1186.1678,3466.1071,1201.7855,,1201.7855,0.0,2264.3216,0.0,,,2264.3216,247.5311706,21.8636582272946,20.3581,3466.1071,-2950.7459,515.3612,-462.6238,-32.3793,-4849.2298,2915.5331,-23.9387,2939.4718,-11134.5551,10686.3839,271.7903,1963.3835,-4493.6807,2616.6707,,252.2172,1074.5664,-822.3492,-533.1523,-791.5942,-2212.201,3543.1994,-0.0311,1330.9673,-2915.5331,2935.8912,0.0,0.887776632756499,10600.7031139408,11940.7323,1.78275815629834,21287.4379,6.87168660595492,2870.2479,590.3086,3.35780117426368,2369.9495,705.8039999999999,1558.4458252745,1697.60010329334,24.4017941099589,163.556072128797,0.22843388585962,6123.083299999999,26804.6191,123.879905457901,2935.8912,0.0,57.3817037029692,125.17708077746,2966.6336,95.5430316131209,2264.3216,10.3437047021127,27748.7417,5.70509349657796,39689.474,2.54608162141943,212.567499194656,8348.8093,8.44750522867904,95.5430316131209,0.0597122929873044,1.48069531792004,9.1476,0.0,15.031265031265,1.2697637298267,12.9587756051169,1.45454545454545
2021,37317.8533,24762.3002,606.1442,181.5274,,424.6168,,0.7015000000000001,19385.7205,1537.5341,78.7029,14783.2124,11673.2742,103.7255,335.1865,705.5887,6.6798,1958.7577,37317.8533,26389.2146,495.0623,,25894.1523,935.1933,2097.5857,,-2227.6593,238.8389,32.2415,9993.4454,959.7138,2357.1376,6666.7893,9.8047,3928.7769,,3928.7769,2398.5566,1547.5721,39.3906841592354,,228.3452,191.2206,55.9889,11.1434,167.529,196.7574,1530.2203,550.6288,52.9642978709226,574.7539,1506.0952,82.6648,1423.4304,-45.3587,1378.0717,324.6152,47.8573,276.7579,0.0,1053.4565,0.0,,,1053.4565,247.5311706,46.9935853755962,885.4847,1378.0717,383.9094,1761.9811,-1023.631,147.1346,-256.4678,74.7739,-7.624,82.3979,-2394.0897,2444.8921,422.3904,197.0454,-2059.45,-1345.4696,,-454.6828,616.89,-1071.5728,-686.4396,-198.7489,-716.4527,1335.4579,0.0885,619.0937,-74.7739,960.2586,0.0,0.311526698879501,3113.22505589453,9993.4454,1.47929085598446,14783.2124,3.39767263867196,1998.1843,574.7539,6.48158787958377,3928.7769,606.1442,922.89086898963,1038.71988448873,11.6039893993472,127.433004898447,0.202125371324996,5333.9298,26389.2146,24.4416678381509,960.2586,0.0,60.6093158407646,52.9642978709226,2080.8491,26.8138539503223,1053.4565,7.31281829532343,27324.4079,2.82292899200609,37317.8533,24.1178018953478,1106.57286597334,4588.1995,3.99199641204934,26.8138539503223,0.105278748710875,1.41413277604707,4.2559,0.0,67.4475434103245,2.69253244874897,36.3708054118389,0.696742727747779
2022,35394.4193,24714.8121,612.018,233.6827,,378.3353,,110.5749,19792.6802,1376.1854,20.7937,12600.8587,10670.9392,41.5579,203.6999,249.1912,12.407,1423.0635,35394.4193,27229.6427,495.0623,,26734.5804,1050.7006,1962.0481,,-1921.2515,184.3531,31.3644,7114.076,1126.003,1657.5306,4320.9659,9.5765,4053.553,,4053.553,2234.1929,1457.6728,35.960373529099,,242.1081,238.956,97.5876,3.8245,133.787,60.2569,1819.3601,603.4564,59.7701941975349,435.652,1987.1645,76.7039,1910.4606,-235.1887,1675.2719,339.9193,33.5579,306.3614,0.0,1335.3526,0.0,,,1335.3526,247.5311706,55.6101,1854.682,1675.2719,175.5618,1850.8337,-49.77479999999999,53.62310000000001,210.4144,-147.6442,-148.3611,0.7169,-1479.2073,1609.8442,68.9096,334.1338,-380.0001,-2546.7082,,-406.4606,692.8003,-1099.2609,-401.7804,-496.8558,-481.6118,619.0938,-0.0869,137.3951,147.6442,1707.0378,0.0,0.2713,1930.0488188,7114.076,1.7713,12600.8587,4.8454,2346.1126,435.652,6.62325781267871,4053.553,612.018,784.5348,1005.9863,6.541,227.9925,0.135411765795957,3687.214,27229.6427,42.1121371794078,1707.0378,0.0,64.039626470901,59.7701941975349,2422.8165,32.9427689732933,1335.3526,8.29591273030975,28280.3433,3.77277725248624,35394.4193,24.1690080241082,1389.0642863952,5747.2954,4.90404011066954,32.9427689732933,0.114525201434792,1.29984883349204,5.3947,0.0,70.5229,3.4585,40.2883,0.7885
2023,35789.7562,24342.6631,626.9864,285.7939,,341.1925,,154.5951,19795.4665,1446.2716,18.4554,12938.9563,9790.9813,49.2112,100.0515,683.8092,76.1072,2238.7959,35789.7562,28803.6116,495.0623,,28308.5493,564.6826,1049.6592,,-1491.8632,182.5415,30.1586,6421.462,1058.2314,1934.9036,3418.6939,9.6331,3979.1807,,3979.1807,2038.0927,1029.5528,25.8734869718281,,246.5903,380.3735,137.7038,3.6601,169.0555,71.1567,1941.088,1194.167,78.7914708170956,320.5597,2814.6953,75.6587,2739.036599999999,,2739.036599999999,428.215,34.58,427.6086,0.0,2310.8216,0.0,,,2310.8216,247.5311706,42.8472,1592.9905,2739.036599999999,-763.2357000000001,1975.8009,-299.563,-83.2474,31.2477,-44.7011,-46.9893,2.2882,-1755.1821,1372.1639,43.5407,969.7532,48.0,-1715.2452,,-411.4034,,-411.4034,-298.767,-742.8431,-91.007,137.3951,0.0981,46.4862,44.7011,1548.2894,0.0,0.4905,3149.727111,6421.462,2.015,12938.9563,9.5445,3059.5963,320.5597,6.3465183614828,3979.1807,626.9864,555.4421,938.4596,4.163,387.1805,0.106171508714553,3058.1229,28803.6116,38.9097534575396,1548.2894,0.0,74.1265130281719,78.7914708170956,3135.255,58.0727987547789,2310.8216,10.4180252321226,29368.2942,6.45665644405815,35789.7562,24.7922123455778,1573.7918140966,6347.9281,8.02268004474828,58.0727987547789,0.111182112495083,1.24254404958023,9.3355,0.0,38.2411,3.068,28.9428,1.1204
2024,37069.1219,23500.6604,635.028,330.9274,,304.1006,,7.7491,19434.2356,1479.3056,15.5116,14850.2283,10329.4243,84.1907,50.0001,1491.9055,131.1095,2763.5982,37069.1219,29064.8009,495.0623,,28569.7386,1528.8812,1840.9788,,-1281.7668,143.8216,31.6611,6475.4398,1187.8178,1409.5615,3862.8897,15.1708,3242.579099999999,,3242.579099999999,2194.7689,1061.67,32.741529728604,,261.5003,351.3776999999999,115.3886,2.9414,227.0692,174.8217,1047.8102,834.9377,58.0632836373984,285.5447,1597.2032,70.1795,1527.0237,,1527.0237,275.8225,65.7641,210.0584,0.0,1251.2012,0.0,,,1251.2012,247.5311706,98.9178,1089.9615,1527.0237,-457.7602,1069.2635,144.9639,-124.2659,179.64,-19.2718,-19.2718,,-2495.3497,1619.3776,88.1824,583.2778,79.9,-1029.1644,,783.1503,1240.0,-456.8497,-266.1545,-986.8546,240.4371,46.4862,-0.0339,286.8894,19.2718,1070.6897,0.0,0.6981,4520.50452438,6475.4398,2.2933,14850.2283,6.3478,1812.5684,285.5447,5.10619862431263,3242.579099999999,635.028,753.8385,1132.4239,7.5082,386.0936,0.114192831095568,3318.9919,29064.8009,33.0196941070767,1070.6897,0.0,67.258470271396,58.0632836373984,1882.7479,38.5866053352407,1251.2012,5.92464939027395,30593.6821,3.37531923031605,37069.1219,11.1097930748394,801.0432219204,7210.2443,4.30486761049858,38.5866053352407,0.0874738578579602,1.27539569348985,5.0547,0.0,177.7158,7.6504,119.0729,0.5566
