year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,2347.8012,1693.6742,1810.868,301.2019,,1509.6661,,91.5904,2.1028,99.314,7.0475,623.5239,529.9167,7.0726,,35.8623,2.555,48.1173,2347.8012,1193.6742,561.5427,,632.1315,762.3473,713.7752,,30.6031,17.969,,391.7797,133.662,26.9357,202.2331,28.9489,6433.5211,,6433.5211,5980.3307,5666.1206,85.492578861675,-165.9375,138.9191,131.233,49.4276,55.8969,87.4322,17.2388,453.1904,20.8755,7.3686849336672,71.9659,402.1,80.6043,321.4957,,321.4957,110.1102,105.5733,4.5369,0.0,211.3855,0.0,,,211.3855,,0.0,207.3776,321.4957,147.6222,469.1179,-163.2743,-98.466,-461.2058,-464.6349,-465.0881,0.4532,-2900.7326,2904.1617,,,,237.7271,32.5892,0.0,,,-61.4033,,-16.1011,51.3704,,35.2693,464.6349,-257.2573,0.0,0.23907167639949,93.6634296582893,391.7797,1.59151660997239,623.5239,5.46733383449662,393.4616,71.9659,3.55272780787998,6433.5211,1810.868,17.152844177357,25.3571876448808,0.470166795598137,8.67451026312197,0.761758107865614,909.291,1193.6742,-3.99870142650189,-257.2573,0.0,14.507421138325,7.3686849336672,474.0659,3.28568907623541,211.3855,20.1154026169958,1956.0215,9.00355191913182,2347.8012,13.5782996699846,244.977768105608,1804.1859,17.708810326972,3.28568907623541,2.74023247794575,1.96686935178795,3.76437103587567,0.0,0.0,0.0,3.02694494583981,
2016.0,3081.533,2251.5043,2162.394,96.9509,,2065.4431,,81.687,15.9961,114.5206,0.2996,789.9357000000001,660.2005,8.3774,,32.5869,7.4075,81.3634,3081.533,1511.8648,561.5427,,950.3221,966.6185,908.4687,,40.093,18.0568,,603.0497,200.4696,113.4911,272.8911,16.1979,8575.1764,593.2247,8575.1764,7918.5915,7444.1723,85.2914057837924,-130.2838,236.5333,146.2188,,78.6177,46.8038,96.5294,656.5849000000001,20.0977,7.89117994120797,91.23450000000001,585.4481,97.0964,488.3517,,488.3517,170.4401,160.8181,9.4899,0.0,317.9116,0.0,,,317.9116,,0.0,425.2558,488.3517,170.4665,658.8182,-70.9565,-162.6059,-624.9949,-630.5108,-632.5016,1.9908,-13.8961,2.5175,2.9023,,,196.4808,,-146.8012,,-146.8012,-93.2734,,-3.2583,35.0343,,31.776,630.5108,-205.255,0.0,0.215202368872896,129.777723988089,603.0497,1.30990148904808,789.9357000000001,6.35270867928251,579.5862,91.23450000000001,3.96559387419684,8575.1764,2162.394,15.6597786904087,23.6896691834305,0.307537265139938,8.33742775816175,0.778684906216482,1177.2663,1511.8648,-2.39359507519869,-205.255,0.0,14.7085942162076,7.89117994120797,676.6825999999999,3.70734764126835,317.9116,23.3847127394403,2478.4833,10.3166703066299,3081.533,15.8237962919342,364.220876504781,2301.7288,21.0277797326851,3.70734764126835,2.78276312471747,2.0382331806389,5.6614,0.0,0.0,0.0,2.52145112051056,
2017.0,5802.1529,2782.2965,2744.399699999999,222.8683,,2521.5314,,152.8936,36.6174,94.84209999999999,0.7854000000000001,2968.1114,933.1599,20.9979,,1881.3134,8.2853,124.3549,5802.1529,3837.0633,624.0845,,3211.8167,1034.0529,980.9244,,51.745,1.3835,,931.0367,266.7552,122.6604,525.0391,16.582,11881.119,859.295,11881.119,10917.5984,10368.9542,84.9751172427446,-272.9594,326.3217,189.4732,859.295,98.44209999999998,69.9053,137.4613,963.5206,31.4169,8.37410600802837,121.8039,873.1336,126.0209,747.1127,,747.1127,264.4742,251.2437,11.652,0.0,482.6385,0.0,,,482.6385,62.4084486,0.0,448.8218,747.1127,218.8842,965.9969,-263.2092,-253.9659,-2474.6322,-632.5457,-642.1815,9.6358,-20.6213,,5.2213,0.019,,2024.2917,1840.6155,44.6935,200.0,-155.3065,-120.1866,,-1.5187,31.776,,30.2573,632.5457,-183.7239,0.0,2.18568790339523,2034.95565280701,931.0367,3.18796391162668,2968.1114,7.13373381312093,868.9166,121.8039,4.32922325417832,11881.119,2744.399699999999,14.7990923212735,22.824083503095,0.420786345718436,8.44577752753993,0.386005907173854,1481.1291,3837.0633,-1.54635182090172,-183.7239,0.0,15.0248827572554,8.37410600802837,994.9375,4.06223100702888,482.6385,17.8381414920876,4871.1162,8.31826579406413,5802.1529,19.1110687939531,541.028949124342,2830.9717,12.5783304122192,4.06223100702888,2.04770870481541,1.51213374561738,7.7335,0.0,82.4917566431758,10.3791700050825,39.6138313989572,0.0
2018.0,5612.47,3619.76,3616.3,376.45,,3239.85,,147.05,129.5,132.34,0.99,1946.41,1147.04,33.36,51.71,556.46,23.44,134.4,5612.47,4642.71,624.08,,3995.96,293.08,246.0,,46.3,0.78,,676.68,315.87,7.25,313.6,39.96,15008.89,1471.89,15008.89,13671.56,12862.76,84.2759191385905,-213.88,364.38,276.56,,120.13,93.9,167.71,1337.33,72.64,9.39423235162627,59.41,1350.56,154.65,1195.91,,1195.91,411.23,417.17,-5.45,0.0,784.68,0.0,,,784.68,62.4084486,0.0,722.97,1195.91,163.64,1359.55,-240.12,-396.46,432.49,-889.93,-896.79,6.86,,1375.1,34.27,,-92.88,-1121.71,,-542.46,,-542.46,-79.84,,33.75,30.26,,64.01,889.93,-166.96,0.0,1.18138153227713,799.417255261288,676.68,2.87641130224035,1946.41,21.1297761319643,1255.32,59.41,4.15034427453474,15008.89,3616.3,15.2308298690769,23.0351040272366,0.601932478317167,8.40620663647691,0.0946106907388142,439.25,4642.71,-1.11240737989285,-166.96,0.0,15.7240808614095,9.39423235162627,1409.97,5.22810147852373,784.68,25.4330107237139,4935.79,13.9810101434841,5612.47,18.9214592051155,775.999316336514,4101.16,16.9013356423296,5.22810147852373,2.67420404919759,1.20887800444137,12.5734,0.0,105.540267548953,17.9252595215626,58.6524578537132,0.0
2019.0,6997.57,4904.45,4786.17,570.04,,4216.13,,376.55,212.0,124.16,21.58,2029.05,1576.22,75.52,,213.55,16.24,147.52,6997.57,5594.48,624.08,,4931.04,190.52,125.67,,64.07,0.78,,1212.57,458.28,299.15,415.75,39.39,19916.25,1946.43,19916.25,18274.07,17409.12,85.2567124835248,-429.18,472.45,335.03,,150.2,123.99,212.46,1642.18,51.41,8.50355865185464,47.15,1646.44,198.8,1447.64,,1447.64,511.29,501.21,17.77,0.0,936.35,0.0,,,936.35,62.4084486,0.0,852.78,1447.64,219.91,1667.55,-321.28,-493.49,-997.62,-1368.83,-1376.88,8.05,,10.08,39.22,,-82.5,200.94,,134.0,150.0,-16.0,-54.04,,56.1,64.01,,120.11,1368.83,-516.05,0.0,0.37348344261619,452.874818013113,1212.57,1.67334669338677,2029.05,31.7028632025451,1494.79,47.15,4.16120823121619,19916.25,4786.17,15.3209081099551,22.7325721274793,0.908882168151389,8.32054618567557,0.124256409889748,695.15,5594.48,-2.59110023222243,-516.05,0.0,14.7432875164752,8.50355865185464,1693.59,4.7014372685621,936.35,25.8390665514261,5785.0,13.3810737155898,6997.57,17.8945866184312,933.594583598132,5217.19,16.7370336474525,4.7014372685621,2.84616659783325,1.25079900187328,15.0037,0.0,97.9824976505795,16.5155749650773,54.4568642941916,0.0
2020.0,12084.13,9743.66,6623.44,904.56,,5718.88,,361.94,287.3,337.08,3070.13,2292.27,1909.43,48.53,,92.24,34.59,207.48,12084.13,11135.52,647.77,,10461.93,226.8,,,48.2,178.6,,721.81,445.97,3.73,257.34,14.77,24675.01,2372.18,24675.01,22552.88,21349.14,85.1709077321549,-333.21,613.76,424.74,,183.57,117.72,197.16,2122.13,63.33,8.85697716029295,62.76,2122.7,339.81,1782.89,,1782.89,433.0,448.84,-15.87,0.0,1349.89,0.0,,,1349.89,64.7774691,0.0,1287.39,1782.89,358.97,2141.86,-372.95,-481.52,-4699.58,-1677.55,-1683.06,5.51,,8.93,12.23,,-75.3,3383.53,110.34,-150.0,50.0,-200.0,-90.73,,-28.66,120.11,,91.45,1677.55,-390.16,0.0,0.530396231643114,382.845303962316,721.81,3.17572491375847,2292.27,29.4080624601657,1845.65,62.76,3.72540703924245,24675.01,6623.44,16.5039222140676,23.5193055175048,0.83702318059658,7.85240648403378,0.00338825667773036,37.73,11135.52,-1.58119490123813,-390.16,0.0,14.8290922678451,8.85697716029295,2185.46,5.47067660762853,1349.89,16.2436016588162,11362.32,11.170766948055,12084.13,12.695802518399,1349.45843254491,10629.17,12.1223795565901,5.47067660762853,2.04193516620559,1.08518775952986,20.839,0.0,105.604875473871,12.831556558683,65.2037712426675,0.0
2021.0,13646.39,9633.6,7893.52,1264.17,,6629.35,,1006.21,402.3,517.81,1038.34,3960.89,2167.33,72.1,,1431.99,84.45,205.02,13646.39,12305.28,647.77,,11625.8,269.26,,,51.9,217.36,,1071.85,565.54,,371.45,134.86,23787.2,2237.23,23787.2,22045.47,20614.23,85.5768228290845,-257.9,690.12,495.13,,168.03,103.84,232.02,1741.73,208.9,8.20033463375261,34.48,1916.15,371.36,1544.79,,1544.79,379.48,389.35,3.7,0.0,1165.31,0.0,,,1165.31,64.7774691,0.0,1385.47,1544.79,217.1,1761.89,-120.31,-256.11,-1155.48,-1967.71,-1969.91,2.2,-115.0,2.09,125.93,,-115.0,-140.25,,0.0,,,-36.44,,89.74,91.45,,181.19,1967.71,-582.24,0.0,1.67333115641181,1793.56,1071.85,3.69537715165368,3960.89,45.802494199536,1579.27,34.48,3.01350981564625,23787.2,7893.52,20.3663311322888,28.5888567011842,0.845934954194962,9.06846052309036,0.0,0.0,12305.28,-2.4477029663012,-582.24,0.0,14.4231771709155,8.20033463375261,1950.63,4.8988952041434,1165.31,12.5592665815211,12574.54,8.53932798344471,13646.39,10.2037472972508,1033.73653681083,10130.95,9.46999986997452,4.8988952041434,1.74311301377141,1.10898654886358,17.9896,0.0,158.649997776493,15.0630009728221,94.0438765168176,0.0
2022.0,15403.96,11987.98,10402.93,1670.31,,8732.62,,1073.14,532.31,446.88,1171.76,3351.14,2586.89,230.86,,284.31,17.46,231.62,15403.96,13924.11,647.77,,13238.77,385.56,,,64.84,320.72,,1094.29,531.21,,418.34,144.74,30352.5,2860.78,30352.5,27850.98,26472.23,85.8336875051478,-419.56,698.37,548.23,,196.43,134.81,220.47,2501.52,140.87,8.70567498558603,39.6,2602.79,421.06,2181.73,,2181.73,565.56,539.55,12.94,0.0,1616.17,0.0,,,1616.17,64.7774691,0.0,1315.16,2181.73,334.53,2516.26,-648.26,-552.84,-1292.15,-2281.71,-2283.2,1.49,-0.01,1050.0,39.04,,-130.0,-120.75,,0.0,,,-39.26,,-97.74,181.19,,83.45,2281.71,-966.55,0.0,0.69839804804942,764.25,1094.29,3.06238748412212,3351.14,56.0941919191919,2221.33,39.6,2.91768761300903,30352.5,10402.93,20.1053644619542,26.1234406839674,1.66470158924382,7.68277781125697,0.0,0.0,13924.11,-3.18441644016144,-966.55,0.0,14.1663124948522,8.70567498558603,2642.39,5.32466847870851,1616.17,15.5232790134224,14309.67,10.4919124692612,15403.96,11.9007306843273,1541.1517640588,12950.06,11.6069896029261,5.32466847870851,1.97043487518794,1.10627968322571,24.9498,0.0,160.299882163384,18.6563659954171,97.9371185366278,0.0
2023.0,18243.6,12827.69,12956.37,2198.36,,10758.01,,828.9,774.72,462.8,3.26,5337.41,3055.56,246.59,202.19,1372.81,223.15,237.11,18243.6,16502.53,648.26,,15810.61,408.2,,,78.5,329.7,,1332.87,701.28,,500.17,131.42,41833.25,4176.66,41833.25,38173.86,36243.89,85.5186245390927,-468.67,944.45,648.18,,292.46,196.77,316.78,3659.39,163.09,9.1374205924713,48.07,3774.41,543.25,3231.16,,3231.16,674.76,799.88,13.66,0.0,2556.4,0.0,,,2556.4,64.8263978,0.0,2677.97,3231.16,448.33,3679.49,-301.45,-700.07,-2442.18,-2129.03,-2131.29,2.26,-199.01,50.0,33.19,,-242.41,-132.41,15.54,0.0,,,-47.58,,103.38,83.45,,186.83,2129.03,548.94,0.0,1.71198241388883,2281.85,1332.87,4.0044490460435,5337.41,68.2178073642605,3279.23,48.07,3.22877858535994,41833.25,12956.37,17.9875116396564,22.3809854224883,1.89382298291824,6.28729676575015,0.0,0.0,16502.53,1.31220978527846,548.94,0.0,14.4813754609073,9.1374205924713,3822.48,6.11092850782571,2556.4,19.3914159826335,16910.73,14.0125852353702,18243.6,17.3352330892874,2465.39951472536,14221.9,15.4909580530985,6.11092850782571,2.29303701023921,1.10550321677949,39.4348,0.0,86.301946504103,13.4044637207779,57.3579235993386,0.0
2024.0,21566.12,15505.84,,,,11538.94,,929.99,964.17,,1756.01,6060.28,3723.43,393.34,106.66,559.86,152.57,,21566.12,19280.61,650.73,,18629.88,409.16,,,,,,1876.35,952.76,,,55.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2743.02,3611.38,510.97,4122.35,-648.95,-730.38,-2584.24,-2685.0,-2687.01,2.01,,92.73,259.01,,,-86.69,,0.0,,,-0.85,,72.09,186.83,,258.92,2685.0,58.0200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
