year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,others,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,64978.2962,7738.9698,5022.6397,2846.8872,,2175.7525,,216.3792,745.3052,287.8286,5932.9266,55620.1041,25136.2845,6242.6047,,17671.3839,2004.1048,4565.7262,64978.2962,16786.0699,482.0,,16304.0699,9299.9336,,4.2783,1619.2223,7038.3997,626.0662,38892.2927,2339.379,,33057.6523,3495.2614,15629.8776,0.4539,15629.8776,14075.8948,7871.2944,7871.2944,52.5667225954476,-671.3042999999999,740.9417,3392.1583,133.2109,228.5676,602.8411,1285.8218,1553.9828,2439.257,25.5487592557986,14.6625,3978.5773,806.0575,3172.5198,,3172.5198,784.4728,700.0,-40.8687,0.0,2388.047,0.0,,,2388.047,,20.1011035377444,-2459.7076,3172.5198,-809.3831,1996.4575,-3563.4985,-892.6666,1082.8962,-504.3274,-506.9765,2.6491,-37.8767,,1623.2606,1.8397,,-1263.8702,,0.0,,,-8.2694,-575.9718,-2640.681599999999,11175.365,,8534.6834,504.3274,-2964.035,0.0,0.783801043439128,30483.8196,38892.2927,1.4301060760041,55620.1041,217.369636828645,3187.1823,14.6625,3.11188509102096,15629.8776,5022.6397,609.482184139269,554.444914140177,153.267133649725,98.2298636506327,0.000270057257416758,4.5332,16786.0699,-18.9639041063252,-2964.035,0.0,47.4332774045524,25.5487592557986,3993.2398,15.2787312934556,2388.047,12.2179785032997,26086.0035,3.67514560961972,64978.2962,7.62698626833346,562.984908364984,7381.4858,14.226361585686,15.2787312934556,0.240539972791715,3.87096542472994,24.7722717842324,0.0,0.0,0.0,-4.30348578114442,
2016.0,56518.6,9961.8,13324.6,6689.9,85.5,6549.2,,1401.4,886.4,1459.0,480.6,45742.0,23997.8,4836.9,,13303.4,2264.8,1339.1,56518.6,11019.1,361.5,,10657.6,12849.2,,,814.8,9551.9,2482.5,32650.3,2151.2,,27861.5,2637.6,16758.5,400.1,16758.5,14617.0,8807.9,8807.9,51.3733329355252,-562.2,952.3,3273.0,202.9,233.8,389.6,956.0,2141.5,1934.2,24.3201957215741,5.9,4069.8,862.8,3207.0,,3207.0,1209.0,845.9,154.0,0.0,1998.0,0.0,,,1998.0,,31.481981981982,3136.2,3217.3,873.3,4090.6,-93.5,-860.9,1359.0,-1470.8,-1473.4,2.6,-155.8,2983.4,,2.2,,-5879.7,,0.0,,,,-613.8,-1384.5,1728.6,,344.1,1470.8,1665.4,0.0,0.665972441294567,21744.2,32650.3,1.40096721929048,45742.0,544.559322033898,3212.9,5.9,1.25771130090209,16758.5,13324.6,545.245483032189,522.593359670952,117.842341901437,95.1902185402002,0.00724197075986242,79.8,11019.1,9.93764358385297,1665.4,0.0,48.6266670644748,24.3201957215741,4075.7,11.9223080824656,1998.0,13.4609502980941,23868.3,3.53511941201658,56518.6,9.69214246779389,796.645650140319,8219.5,18.1321523536405,11.9223080824656,0.296513006337737,5.12914847855088,27.6348547717842,0.0,0.0,0.0,-3.15580145741836,
2017.0,51509.14,10396.47,8923.65,1531.99,42.14,7349.52,,1389.4,980.74,1269.56,367.13,40152.75,21340.39,4220.16,,11116.84,2589.82,885.54,51509.14,12536.63,361.5,,12175.13,13389.09,,,959.92,10218.8,2017.82,25583.42,1574.34,950.0,20180.95,2878.13,17950.2,603.36,17950.2,14682.35,8401.5,8401.5,51.2700137045827,510.85,687.23,3567.36,168.37,227.23,197.22,1239.81,3267.85,1043.89,24.0205680159553,16.45,4295.29,712.71,3582.58,,3582.58,966.95,821.78,145.17,0.0,2615.63,0.0,,,2615.63,,30.5438842649763,-423.21,3591.89,1539.16,5131.05,-4517.1,-1037.16,3020.86,-1502.28,-1513.84,11.56,-65.57,4615.67,,3.04,-30.0,-164.28,,0.0,,,-10.22,-1104.06,2433.37,333.7,,2767.07,1502.28,-1925.49,0.0,0.735334056197334,18812.36,25583.42,1.5694832825322,40152.75,218.786018237082,3599.03,16.45,2.01153115597317,17950.2,8923.65,461.174018560535,445.963991546636,89.0887490055817,73.8787219916832,0.0815235035252695,1022.03,12536.63,-10.7268442691446,-1925.49,0.0,48.7299862954173,24.0205680159553,4311.74,14.571592517075,2615.63,13.8820831205459,25925.72,5.07799198355865,51509.14,14.8544289333904,1865.4993993714,12558.54,20.8639004261911,14.571592517075,0.348485725057728,4.1086910916251,36.1774550484094,0.0,0.0,0.0,-2.25739724565952,
2018.0,47660.73,9671.64,10107.78,2478.09,63.66,7566.03,,1457.82,989.37,277.96,358.0,37011.51,19375.18,6750.79,,6524.2,2185.78,2175.56,47660.73,9485.65,334.39,,9151.26,12077.14,100.0,,977.58,8858.36,2138.38,26097.94,1665.6,764.06,19506.52,4161.76,18519.25,104.53,18519.25,15059.02,7829.04,7829.04,47.3837223429675,728.77,747.68,4298.99,157.47,228.97,213.98,1670.15,3460.23,761.21,22.7948756024137,34.62,4186.82,946.97,3239.85,,3239.85,1252.43,1234.77,17.66,0.0,1987.42,0.0,,,1987.42,33.43875,54.1775610675335,-733.67,3239.85,2100.5,5340.35,-4564.1,-1509.92,593.97,-1248.47,-1249.85,1.38,-66.51,1912.75,,1.25,-5.05,-2540.35,,0.0,,,-28.55,-1294.89,-2680.05,2771.43,0.17,91.55,1248.47,-1982.14,0.0,0.675774792953007,17636.33,26097.94,1.41817745002096,37011.51,94.5831889081456,3274.47,34.62,1.83217778780306,18519.25,10107.78,439.109172186296,398.984069023582,107.507626002884,67.3825228401695,0.0953566703388803,904.52,9485.65,-10.7031332262376,-1982.14,0.0,52.6162776570325,22.7948756024137,4221.44,10.731644100058,1987.42,15.1857435888398,21562.79,4.16993193348067,47660.73,11.1951458343415,1541.708162168,13771.22,20.9518588604893,10.731644100058,0.388564128161696,5.02450859983238,29.7171,0.0,18.9848605684942,3.97768161907724,7.60669715784187,2.85372446492666
2019.0,50427.79,11042.87,11245.18,3496.12,294.8,7454.26,,1499.01,901.79,580.03,348.43,39644.23,19684.77,12459.03,,95.38,1261.0,6144.05,50427.79,12074.93,334.39,,11740.54,10159.64,100.0,,-259.31,8802.84,1516.11,28193.22,2632.81,4016.2,15865.29,5678.92,20008.47,,20008.47,15439.68,7356.68,7356.68,44.1621973094394,1172.01,625.58,4295.17,319.55,232.54,171.16,2109.14,4568.79,375.51,24.7110348767297,177.49,4766.81,1024.47,3742.34,,3742.34,1396.28,1586.29,-199.83,0.0,2346.06,0.0,,,2346.06,33.43875,28.2214500124003,-7693.61,3742.34,2480.94,6223.28,-12824.67,-1092.22,5292.2,-1388.67,-1390.27,1.6,,6438.85,260.2,1.82,-20.0,2321.16,,0.0,,,-169.6,-798.18,-80.25,91.49,0.09,11.33,1388.67,-9082.28,0.0,0.707952479354966,19959.46,28193.22,1.40616183607264,39644.23,22.0847935094935,3919.83,177.49,1.77929299486536,20008.47,11245.18,442.708404066698,356.271162912507,175.215403776501,88.7781626223096,0.344238848589598,4156.66,12074.93,-45.392176413289,-9082.28,0.0,55.8378026905606,24.7110348767297,4944.3,11.7253343209151,2346.06,17.6294392021073,22234.57,4.65231571718689,50427.79,10.7560945534447,2221.92194701711,20657.33,19.4291809559144,11.7253343209151,0.396774675233636,4.17623870283306,35.0797,0.0,10.1169622317181,1.96564304720607,5.62188423032583,2.78951817413356
2020.0,52739.56,11817.34,12172.04,4486.18,334.41,7351.45,,2040.11,940.15,676.95,338.54,41392.33,19453.92,11234.73,,297.91,1254.07,9151.7,52739.56,13199.58,334.39,,12865.19,8411.45,,,-470.11,7608.1,1273.46,31128.53,4089.23,5886.5,15530.86,5621.94,21445.37,,21445.37,16565.22,8173.34,8173.34,43.8143990987332,635.67,486.44,4763.59,136.63,201.26,145.16,2170.95,4880.15,295.99,24.136398672534,359.43,4816.71,997.63,3819.08,118.92,3938.0,1095.99,1180.0,-84.01,0.0,2842.01,0.0,,,2842.01,33.43875,38.8276862581759,1536.65,3938.0,2600.4,6538.4,-3181.85,-1819.9,-1334.09,-1378.8,-1380.37,1.57,-75.0,63.97,64.39,1.35,,63.94,-10.0,0.0,,,-348.29,-1340.38,266.5,11.33,,277.83,1378.8,157.85,0.0,0.70476858367549,21938.41,31128.53,1.32972324745177,41392.33,11.9562362629719,4178.51,359.43,1.76185503826803,21445.37,12172.04,404.142833262571,333.070071768405,201.633788552028,130.561027057862,0.449027166015888,5926.97,13199.58,0.73605631425338,157.85,0.0,56.1856009012668,24.136398672534,5176.14,13.2523243944963,2842.01,19.335080280764,21611.03,5.38876319787272,52739.56,14.2260973545442,2801.97071234129,19695.99,21.5310638671837,13.2523243944963,0.406627776189259,3.99554834320486,42.4954,0.0,6.27067870875436,1.35014258408222,4.53047542183944,6.19195046439628
2021.0,51637.4,11303.91,13161.57,5605.39,398.26,7157.92,,1948.42,1054.95,752.21,338.03,40385.84,16688.56,5669.55,,7166.33,1031.7,9829.7,51637.4,15368.18,334.39,,15033.79,10855.03,,,-52.35,9666.33,1241.05,25414.19,2260.73,9.07,18786.58,4357.81,22882.36,,22882.36,17540.98,7919.15,7919.15,48.9397946715286,2458.27,541.0,4291.02,124.75,182.96,113.71,2022.9,5341.38,357.89,24.9068277922382,266.72,5432.55,1157.19,4275.36,2.02,4277.38,1037.93,645.0,442.26,0.0,3239.45,0.0,,,3239.45,33.43875,30.9672944081324,15123.94,4277.38,2477.04,6754.42,9244.99,-875.47,-1190.11,-1206.29,-1207.52,1.23,-70.58,-4.77,75.65,1.11,,-7070.18,,0.0,,,-204.25,-1003.16,6863.65,277.83,,7141.48,1206.29,13917.65,0.0,0.932442859677999,23697.28,25414.19,1.58910592861704,40385.84,17.0369676064787,4542.08,266.72,1.7385737415825,22882.36,13161.57,319.595012480287,288.257094110922,134.821368949706,103.483450580341,0.00331138755532535,50.89,15368.18,60.8226161986788,13917.65,0.0,51.0602053284714,24.9068277922382,5699.27,14.156975067257,3239.45,17.3208390582236,26223.21,6.27345683554943,51637.4,18.3706088096751,3168.87307078165,17249.69,21.0789436354858,14.156975067257,0.443135401859892,3.36002050991074,48.4382,0.0,10.2692709473102,2.16465379439856,4.58854364681793,3.01552997939388
2022.0,57755.42,13314.57,13992.19,6704.01,530.07,6758.11,,2471.85,1294.14,1860.91,363.96,44998.31,14363.58,4641.55,,14343.61,1045.44,10604.13,57755.42,19264.0,334.39,,18929.61,13471.57,,,-565.57,12788.9,1248.24,25019.85,2559.77,,16605.16,5854.92,24620.21,,24620.21,19200.39,8755.25,8755.25,40.6341781812584,592.29,536.42,4589.83,98.74,200.04,232.32,4372.98,5419.82,986.34,26.0199242817181,65.14,6341.02,1109.87,5231.15,,5231.15,144.65,1900.0,-562.62,0.0,5086.5,0.0,,,5086.5,33.43875,32.8703435871275,10180.43,5231.15,4393.77,9624.92,1582.96,-1027.45,-12789.09,-1497.02,-1500.19,3.17,-11494.38,,200.35,1.96,,-1463.68,,0.0,,,-116.99,-1337.55,-4072.34,7141.48,,3069.14,1497.02,8683.41,0.0,1.22441701289176,30634.7299999999,25019.85,1.79850438751631,44998.31,81.3062634326067,5296.29,65.14,1.75956801615758,24620.21,13992.19,218.67252593139,230.177384758294,76.4321567525216,87.9370155794255,0.00242836378737542,46.78,19264.0,35.2694392127443,8683.41,0.0,59.3658218187416,26.0199242817181,6406.16,20.6598562725501,5086.5,16.1790065057673,32735.57,8.80696564928452,57755.42,27.5187865632029,4190.77271250108,15228.77,26.4041735880399,20.6598562725501,0.426283974733454,2.99810112126246,76.0564,0.0,9.77629758968344,2.58135054505814,5.53066219076639,3.36224867191177
2023.0,65991.67,15231.07,15845.95,7889.2,1129.45,6827.3,,1883.91,1385.39,3643.06,365.67,51878.2,12160.67,4719.07,,20306.15,1149.01,13543.3,65991.67,23506.17,334.39,,23171.78,11660.08,,,-1125.71,11452.85,1332.94,30825.42,3137.34,,20644.15,7043.93,26927.85,,26927.85,20258.45,10010.26,10010.26,37.5743328932685,-691.45,531.64,4895.89,137.52,202.13,491.64,5044.69,6669.4,1671.8,30.9761083785003,64.35,8276.85,1783.91,6492.94,,6492.94,681.77,2250.0,-594.77,0.0,5811.17,0.0,,,5811.17,33.43875,31.6484467517761,8835.5,6492.94,4642.68,11135.62,455.58,-2755.7,-5734.34,-1776.07,-1781.13,5.06,-4683.84,,738.17,2.4,-15.0,-1731.3,,0.0,,,-55.68,-1671.94,1369.86,3069.14,,4439.0,1776.07,7059.43,0.0,1.28846679136894,39717.5299999999,30825.42,1.68296814771705,51878.2,101.900388500389,6557.29,64.35,1.69935220040452,26927.85,15845.95,140.444938353313,179.764653509285,63.4403842118847,102.760099367857,0.00208626075621847,49.04,23506.17,26.2160922613577,7059.43,0.0,62.4256671067315,30.9761083785003,8341.2,21.580519796419,5811.17,18.6465432054882,35166.25,8.80591444344415,65991.67,44.5106183790575,4372.50504752855,9823.51,24.7218921670353,21.580519796419,0.408049228031356,2.8074190733752,86.8921,0.0,15.7105766807339,3.88395173479984,8.51672658010838,2.0144675396026
2024.0,77983.71,14967.96,,,,6730.0,,935.79,1376.67,5.61,2400.63,63015.75,13225.92,4616.67,,26421.84,17226.59,10.67,77983.71,29046.42,334.39,,28712.03,12614.06,,,,10543.76,,36323.23,3414.67,,,7610.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8225.74,7595.04,5722.04,13317.08,-3122.01,-1969.33,-6411.73,-908.18,-916.15,7.97,-101.49,,1744.77,2.95,,-1998.85,,0.0,,,-25.65,-1972.89,-184.84,4439.0,,4254.16,908.18,7317.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
