year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,29994.64,8740.78,5686.72,2622.49,,3064.23,,543.95,3500.23,1035.21,379.28,21471.74,83.65,3578.28,624.73,8829.41,330.3,8025.37,29994.64,19405.75,281.2,,19003.35,291.05,27.22,,-217.88,282.94,198.77,10297.84,468.58,,3643.67,6185.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5335.67,7698.54,-728.45,6970.09,-184.27,-1450.15,-1763.04,-1051.6,-1059.29,7.69,-16171.64,15470.11,810.32,78.24,,-3360.21,10.45,1.62,17.54,-15.92,-18.64,-2385.11,212.42,240.73,-20.42,432.73,1051.6,4284.07,0.0,2.07694914661715,21388.09,10297.84,2.08507220931768,21471.74,127.95481530343,7759.18,60.64,3.01640312869281,17153.44,5686.72,-454.725291476216,1.05530873107668,72.373283434693,528.153883641986,0.00209370933872692,40.63,19405.75,24.9749904392355,4284.07,0.0,98.2654791108955,46.9824128571295,8059.1,36.9952032944995,6345.95,39.3930993867024,19696.8,21.1569467078118,29994.64,85.3899912026444,5406.85154795584,6331.95,32.7013900519176,36.9952032944995,0.57188350985376,1.5456573438285,22.5674,0.0,20.4066485284082,6.71520102880285,14.9782047623184,3.2571521632919
2016.0,25408.32,8947.86,5585.4,2769.16,,2816.24,,582.12,3502.58,212.94,654.26,17640.18,128.56,4084.53,471.72,8662.96,410.14,3882.27,25408.32,21496.57,282.08,,21176.79,-601.24,28.16,,-1179.72,206.24,344.08,4512.99,453.92,0.03,3286.87,772.17,13434.64,,13434.64,8299.21,162.66,0.862471938213454,-46.79,265.93,4866.92,1.47,167.23,959.64,121.59,5135.43,968.83,45.4367217878559,45.82,6058.44,276.89,5781.55,,5781.55,1062.47,1269.6,-207.13,0.0,4719.08,0.0,,,4719.08,141.0381314,47.8194338179036,3154.3,5781.55,-532.18,5249.37,-1031.6,-1063.47,-770.52,-463.61,-645.4,181.79,-11001.78,11005.63,638.06,61.64,,-2698.98,0.91,1.01,15.31,-14.3,-3.75,-2251.33,-315.2,432.73,7.64,125.17,463.61,2690.69,0.0,3.88033885009894,17511.930427108,4512.99,3.90875672226174,17640.18,127.179615888258,5827.37,45.82,2.40531385397644,13434.64,5585.4,-1345.99878857999,2.88272145736693,104.093807128438,1452.97531716579,0.00193798359459207,41.66,21496.57,20.0280022389882,2690.69,0.0,99.1375280617865,45.4367217878559,6104.26,35.1262110484538,4719.08,27.8883846294842,20895.33,18.5729713731565,25408.32,46.5628803919153,3965.69067865884,8516.85,21.9527115256062,35.1262110484538,0.52874963791388,1.18197089117008,16.7296,0.0,24.3326200267789,5.3510607035692,17.3987372752799,1.96523982067187
2017.0,31160.0,14255.0,11282.0,3293.0,,7989.0,,411.0,3810.0,131.0,703.0,18116.0,90.0,4418.0,914.0,7962.0,896.0,3836.0,31160.0,25973.0,285.0,,25667.0,-728.0,31.0,,-1211.0,41.0,411.0,5915.0,485.0,,4889.0,541.0,19318.0,,19318.0,11469.0,124.0,0.843772647271974,39.0,262.0,6844.0,,234.0,1248.0,275.0,7849.0,960.0,45.5999585878455,55.0,8754.0,478.0,8276.0,,8276.0,1403.0,1537.0,-134.0,0.0,6873.0,0.0,,,6873.0,142.6783424,49.7599084417685,6995.0,8276.0,-208.0,8068.0,513.0,-1586.0,-2643.0,-3300.0,-3300.0,,-17820.0,18455.0,831.0,32.0,-86.0,-4112.0,,3.0,22.0,-19.0,-27.0,-3385.0,240.0,125.0,-13.0,352.0,3300.0,3695.0,0.0,3.04750633981403,18026.0,5915.0,3.06272189349112,18116.0,151.472727272727,8331.0,55.0,1.71228505584116,19318.0,11282.0,-968.855359610887,2.06476860958691,80.3246570555958,1051.24478527607,0.00173256843645324,45.0,25973.0,19.1272388446009,3695.0,0.0,99.156227352728,45.5999585878455,8809.0,35.5782172067502,6873.0,33.0005941770648,25245.0,22.0571245186136,31160.0,45.8808374967098,6121.42133881102,13342.0,26.4620952527625,35.5782172067502,0.619961489088575,1.19970738844184,24.1158,0.0,18.1012033604525,4.79383573520345,13.2242734703145,2.74898344882882
2018.0,31312.0,17370.0,14625.0,4197.0,,10428.0,,298.0,4068.0,446.0,624.0,15448.0,40.0,5427.0,2130.0,2325.0,601.0,4925.0,31312.0,27563.0,278.0,,27273.0,-944.0,33.0,,-1506.0,58.0,471.0,4693.0,544.0,,3474.0,675.0,22073.0,,22073.0,12735.0,138.0,0.851719295066371,50.0,300.0,7365.0,,236.0,1161.0,292.0,9338.0,703.0,45.4899651157523,23.0,10018.0,893.0,9125.0,,9125.0,1763.0,1987.0,-224.0,0.0,7362.0,0.0,,,7362.0,139.2246384,22.6568990257533,6339.0,9125.0,407.0,9532.0,-1468.0,-1725.0,-973.0,-4339.0,-4354.0,15.0,-21631.0,25795.0,476.0,16.0,2.0,-5547.0,,3.0,19.0,-16.0,-5.0,-1691.0,-181.0,352.0,39.0,210.0,4339.0,2000.0,0.0,3.28318772640102,15408.0,4693.0,3.29171105902408,15448.0,397.739130434783,9148.0,23.0,1.50926495726496,22073.0,14625.0,-916.422779563171,1.07484256784307,81.3986544647307,998.896276595745,0.00174146500743751,48.0,27563.0,9.06084356453586,2000.0,0.0,99.1482807049336,45.4899651157523,10041.0,33.3529651610565,7362.0,34.3664299936136,26619.0,23.5117526826776,31312.0,34.4458024571658,6813.3797260274,19780.0,26.7097195515728,33.3529651610565,0.704937404190087,1.13601567318507,26.482,0.0,18.3048863378899,4.89131066023012,13.1942535604024,1.23775141825683
2019.0,35349.0,18749.0,16519.0,5284.0,,11235.0,,212.0,3808.0,545.0,842.0,18707.0,18.0,6245.0,2002.0,6273.0,898.0,3271.0,35349.0,30439.0,271.0,,30163.0,-1469.0,32.0,,-2107.0,53.0,553.0,6379.0,2367.0,,3202.0,810.0,26012.0,,26012.0,15599.0,142.0,0.630478240811933,22.0,356.0,8079.0,,234.0,1294.0,289.0,10413.0,810.0,43.1454713209288,16.0,11207.0,1276.0,9931.0,,9931.0,1746.0,2354.0,-608.0,0.0,8185.0,0.0,,,8185.0,135.6278868,13.2437394360485,8676.0,9931.0,592.0,10523.0,231.0,-2078.0,995.0,-2312.0,-2326.0,14.0,-24938.0,25833.0,468.0,17.0,,-5335.0,,2.0,18.0,-16.0,-4.0,-1099.0,4336.0,210.0,-23.0,4523.0,2312.0,6364.0,0.0,2.9297695563568,18689.0,6379.0,2.93259131525317,18707.0,621.6875,9947.0,16.0,1.57467159028997,26012.0,16519.0,-3157.07740658158,0.406927571889897,81.8906658465324,3239.375,0.00164262952133776,50.0,30439.0,24.4656312471167,6364.0,0.0,99.3695217591881,43.1454713209288,11223.0,31.4662463478395,8185.0,34.3355195029341,28970.0,23.154827576452,35349.0,41.0520911998854,7530.59560970698,18344.0,26.8898452642991,31.4662463478395,0.735862400633681,1.16130621899537,30.203,0.0,18.0114558156475,4.84405599001117,12.5813953488372,0.735294117647059
2020.0,51808.0,29994.0,28973.0,6330.0,,22643.0,,311.0,4154.0,314.0,542.0,23844.0,15.0,7525.0,6885.0,1294.0,1815.0,6310.0,51808.0,37546.0,543.0,,37003.0,257.0,32.0,128.0,-2030.0,1348.0,779.0,14005.0,2272.0,,10857.0,876.0,32666.0,,32666.0,19902.0,151.0,0.471438192616176,3.0,415.0,9955.0,,197.0,1030.0,582.0,12764.0,613.0,40.9508357313415,240.0,13137.0,1959.0,11178.0,,11178.0,2209.0,1968.0,241.0,0.0,8969.0,0.0,,,8969.0,271.3665096,30.2709247767519,9911.0,11178.0,1643.0,12821.0,-1205.0,-1705.0,-11140.0,-929.0,-941.0,12.0,-40413.0,35425.0,257.0,47.0,-399.0,-1997.0,,122.0,152.0,-30.0,-11.0,-1357.0,-3226.0,4528.0,-8.0,1294.0,929.0,8982.0,0.0,1.70146376294181,23829.0,14005.0,1.70253480899679,23844.0,47.575,11418.0,240.0,1.12746350050047,32666.0,28973.0,-5420.40096100556,0.18436600746954,76.930906753199,5497.51623376623,0.00482075320939647,181.0,37546.0,27.4964795199902,8982.0,0.0,99.5285618073838,40.9508357313415,13377.0,27.4566827894447,8969.0,30.2039520672962,37803.0,17.3119981470043,51808.0,27.0581828952392,8669.71238146359,32041.0,23.888030682363,27.4566827894447,0.63052038295244,1.37985404570394,33.035,0.0,13.2208263962464,3.15819594630587,8.78108880915003,2.28963938179737
2021.0,54693.0,27647.0,29042.0,8137.0,,20905.0,,245.0,5041.0,237.0,551.0,27714.0,18.0,5217.0,6605.0,5056.0,1027.0,9791.0,54693.0,43553.0,543.0,,43010.0,1121.0,31.0,176.0,-668.0,716.0,866.0,10019.0,2707.0,,6296.0,1016.0,35673.0,,35673.0,21256.0,142.0,0.389650435903905,-3.0,420.0,11749.0,,170.0,538.0,365.0,14417.0,983.0,43.1699044094974,177.0,15223.0,2813.0,12410.0,,12410.0,3667.0,2480.0,1187.0,0.0,8743.0,0.0,,,8743.0,271.3665096,31.0533932042754,15765.0,12410.0,2175.0,14585.0,3530.0,-2350.0,-4548.0,-685.0,-817.0,132.0,-22867.0,25947.0,585.0,63.0,-886.0,-9649.0,,44.0,68.0,-24.0,-4.0,-3256.0,1568.0,1294.0,14.0,2876.0,685.0,15080.0,0.0,2.76434773929534,27696.0,10019.0,2.76614432578102,27714.0,71.1129943502825,12587.0,177.0,1.22832449555816,35673.0,29042.0,-6471.82045768649,0.168825161887142,65.186976144423,6537.1762589928,0.00516611944068147,225.0,43553.0,42.2728674347546,15080.0,0.0,99.6103495640961,43.1699044094974,15400.0,24.508732094301,8743.0,28.1752249630658,44674.0,15.9855923061452,54693.0,23.8065315466466,8175.16293311845,34340.0,20.0743921199458,24.508732094301,0.652240688936427,1.25578031364085,32.2026,0.0,30.5394595467447,6.13061499781875,17.0243944805195,1.01682851187147
2022.0,52687.0,26536.0,29908.0,10384.0,,19524.0,,79.0,5057.0,387.0,753.0,26887.0,23.0,4604.0,6039.0,4849.0,1111.0,10261.0,52687.0,42591.0,543.0,,41966.0,1053.0,33.0,131.0,-736.0,667.0,958.0,9043.0,885.0,,7013.0,1145.0,40638.0,,40638.0,25526.0,155.0,0.369112653181751,-5.0,593.0,15872.0,,168.0,579.0,427.0,15112.0,880.0,39.3523303312171,109.0,15883.0,2615.0,13268.0,,13268.0,2394.0,2464.0,-70.0,0.0,10874.0,0.0,,,10874.0,271.3665096,104.864724505388,10591.0,13268.0,2048.0,15316.0,-2443.0,-2282.0,2232.0,-747.0,-780.0,33.0,-34210.0,42195.0,504.0,84.0,-16.0,-12775.0,,1.0,25.0,-24.0,-5.0,-11389.0,48.0,2876.0,-17.0,2907.0,747.0,9844.0,0.0,2.97069556563087,26864.0,9043.0,2.97323896936857,26887.0,122.724770642202,13377.0,109.0,1.35876688511435,40638.0,29908.0,-4325.97770067425,0.184125695162163,44.1048402972587,4370.26666666667,0.0053062853654528,226.0,42591.0,24.2236330528077,9844.0,0.0,99.6308873468183,39.3523303312171,15992.0,26.7582066046557,10874.0,30.6502612042892,43644.0,20.6388672727618,52687.0,30.7100678003335,10242.1147120892,33351.0,25.5312155150149,26.7582066046557,0.77130981076926,1.23704538517527,40.0516,0.0,29.046280298415,7.43018007951257,19.4613885067534,3.61026346327417
2023.0,52817.0,24789.0,30525.0,12590.0,,17935.0,,21.0,5057.0,190.0,1043.0,28571.0,35.0,12913.0,5102.0,6231.0,1015.0,3275.0,52817.0,41104.0,543.0,,40173.0,1046.0,40.0,11.0,-543.0,659.0,879.0,10667.0,2783.0,,6279.0,1605.0,46276.0,,46276.0,30033.0,168.0,0.337107788054283,-12.0,644.0,19799.0,,189.0,916.0,441.0,16243.0,1031.0,37.3282046849339,127.0,17147.0,2431.0,14716.0,,14716.0,3257.0,3045.0,212.0,0.0,11459.0,0.0,,,11459.0,271.3665096,113.7271,13538.0,14716.0,1703.0,16419.0,-349.0,-2532.0,-798.0,-593.0,-806.0,213.0,-38291.0,37083.0,454.0,84.0,,-13267.0,,-34.0,36.0,-70.0,-17.0,-12995.0,-527.0,2907.0,-6.0,2374.0,593.0,12945.0,0.0,2.6752,28536.3584,10667.0,2.6784,28571.0,116.874,14843.0,127.0,1.51600327600328,46276.0,30525.0,-4221.7787,0.2287,69.0823,4291.0897,0.00464674970805761,191.0,41104.0,27.9734635664275,12945.0,0.0,99.6628922119457,37.3282046849339,17274.0,24.7622957904745,11459.0,35.214709371293,42150.0,21.6956661680898,52817.0,35.0647917057903,10755.072912,30672.0,27.8780653950954,24.7622957904745,0.876157297839711,1.2849601012067,42.2063,0.0,25.7355,7.2429,16.7224,4.4191
2024.0,52307.0,22297.0,31085.0,14752.0,,16333.0,,22.0,5040.0,560.0,807.0,29545.0,25.0,12158.0,6801.0,7629.0,1576.0,1356.0,52307.0,39470.0,543.0,,38288.0,2373.0,26.0,,465.0,817.0,1065.0,10464.0,2344.0,,6313.0,1807.0,48118.0,,48118.0,31242.0,135.0,0.301342532939856,10.0,612.0,20965.0,,193.0,939.0,572.0,16876.0,1076.0,37.3082838023193,125.0,17827.0,2371.0,15456.0,,15456.0,3782.0,2873.0,909.0,0.0,11674.0,0.0,,,11674.0,271.3665096,120.9353,15282.0,15456.0,1500.0,16956.0,937.0,-2611.0,-2331.0,-379.0,-393.0,14.0,-47843.0,44868.0,567.0,92.0,,-14480.0,,-138.0,6.0,-144.0,-11.0,-14073.0,-1529.0,2374.0,-8.0,837.0,379.0,14903.0,0.0,2.8211,29519.9904,10464.0,2.8235,29545.0,124.648,15581.0,125.0,1.54794917162619,48118.0,31085.0,-6357.6324,0.2276,95.0883,6452.9483,0.00134279199391943,53.0,39470.0,30.9717777131219,14903.0,0.0,99.6986574670601,37.3082838023193,17952.0,24.2611912382061,11674.0,37.2368138039815,41843.0,22.3182365648957,52307.0,38.2878976200461,10955.699025,28614.0,29.5768938434254,24.2611912382061,0.919915116523601,1.32523435520649,42.9982,0.0,35.8922,10.7905,22.9183,3.3694
