year,assets,cash and balance with reserve bank of india,balances with banks and money at call,investments,govt securities,equity shares - corporate,debentures & bonds,units - mf/ insurance/cp/ptc,investments outside india,advances,term loans,cash credit,bills discounted,fixed assets,other assets,liabilities,shareholders funds,share capital,total reserves,deposits,term deposits / fixed deposits,savings deposit,demand deposits,borrowings,borrowings in the form of bonds / debentures,borrowings from other banks,borrowings from other financial institutions,borrowings from reserve bank of india,borrowings from out of india,other liabilities & provisions,total income,interest earned,interest/discount on advances/bills,other income,interest expended,operating_expenses,employee cost,selling and distribution expenses,general and administration expenses,depreciation and amortization,ppop,provisions and contingencies,current income tax,deferred tax,other taxes,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,free cash flow (est),operational ratios,gross npa (%),casa ratio (%),casa amount (crs),deposits (crs),casa vs total liabilities (%),liabilities (crs),sales per branch (crs),total income (crs),number of branches,profitability ratios,net interest margin (%),return on assets (%),net profit (crs),total assets (crs),credit deposit ratio (%),credit (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,eps,valuation ratios,p/e,price to book value,book value,dividend yield (%)
2016.0,740796.0728,30058.3087,8860.5293,195836.2768,157661.0655,73.9032,4887.3774,29058.2987,1372.6755,464593.9589,321802.8571,124277.4115,18513.6903,3387.4029,38103.8418,740796.0728,72677.7647,505.6373,72172.1274,546424.192,310113.3421,147886.1798,88424.6701,84968.9823,20402.9,1579.2856,,31950.5077,31036.289,36725.1338,70973.1684,60221.4451,44827.8559,10751.7233,32629.933,16979.7,5702.198,,,705.839,21363.5354,9067.3223,6507.59,-165.88,0.0,12296.2131,252.8186517,19.5327,-30132.1854,18637.9247,3562.8553,22200.78,-45587.0521,-6745.9133,-655.7074,-804.7616,-815.9133,11.1517,,,,149.0542,,33347.0357,,0.0,,,,-2401.6935,2559.1429,36331.4518,,38918.838,-30936.947,0.0,0.94,43.2468,236310.977465856,546424.192,31.8995991127042,740796.0728,15.6604519858782,70973.1684,4532.0,0.0,3.9453,1.8473,12296.2131,740796.0728,85.0244,464593.890702848,18.2589,17.3251573477731,0.0958066207502173,10.1928846581601,24.3182,0.0,22.0247,3.7263,72677.7647,0.8869
2017.0,863840.1917,37896.8755,11055.2196,214463.3366,162418.6994,111.3742,19469.8472,27502.0773,1118.0146,554568.2021,392234.8218,133617.4162,28715.9641,3670.9835,42229.82,863840.1917,89462.3507,512.5091,88949.8416,643639.6563,334487.1659,193578.6335,115573.8569,74028.8666,25857.0,2120.2156,22450.0,,23601.651,56709.3181,81602.4568,69305.9578,52055.2624,12296.499,36166.7334,19703.3442,6483.6646,,,833.1247,25732.3792,11182.738,7916.97,-327.54,0.0,14549.6412,256.2545717,19.3737,23585.4021,22139.075,4630.9994,26770.0744,4674.5266,-7859.1989,-1956.2516,-1058.7482,-1068.1751,9.4269,-1060.3674,,,162.864,,-11567.6312,,0.0,,,,-2889.0316,10061.5193,38918.838,,48952.0951,22526.6539,0.0,1.05,48.0319,309152.35607436,643639.6563,35.7881421870359,863840.1917,17.2776745289011,81602.4568,4723.0,0.0,4.0513,1.8135,14549.6412,863840.1917,86.1613,554568.295183612,17.947,17.829905827051,0.0944647604777568,9.65590759622193,28.3891,0.0,25.4024,4.1313,89462.3507,0.7627
2018.0,1063934.3234,104670.473,18244.6097,242200.2416,188364.8036,119.7947,34787.3284,13554.1438,1547.6836,658333.0908,468509.5213,168164.364,21659.2055,3651.4501,36878.7038,1063934.3234,106294.9957,519.0181,105775.9776,788770.6396,445677.8548,223810.2098,119282.575,123104.97,33782.0,4784.8399,34229.95,13800.0,36508.1801,45763.7181,95461.6592,80241.355,62661.7888,15220.3042,40146.4913,22690.3821,6805.7439,,,906.3418,32624.7858,15138.0575,10107.25,-896.68,0.0,17486.7283,259.5090267,19.2924,26074.0657,26697.2951,7377.4655,34074.7606,2215.4958,-10216.1907,-533.0982,-760.4105,-769.9194,9.5089,-14.3331,,,241.6454,,48411.4329,,0.0,,,,-3390.5804,73952.4004,48952.0951,,122915.0827,25313.6552,0.0,1.3,43.4972,343093.142648091,788770.6396,32.2475866321967,1063934.3234,19.7031288338493,95461.6592,4845.0,0.0,3.9176,1.8142,17486.7283,1063934.3234,83.4632,658333.216470627,17.8657,18.3180644947349,0.0897251428969173,10.0092607031358,33.6919,0.0,28.0698,4.6178,106294.9957,0.6873
2019.0,1244540.6906,46763.6184,34584.0208,293116.0725,242129.3559,398.0968,28696.9969,16559.9323,1505.2031,819401.2167,585143.1244,202214.2263,32043.866,4074.2499,46645.7579,1244540.6906,149206.3521,544.6613,148661.6908,923140.9284,531942.7821,248700.3765,142497.7698,117085.1238,36907.0,915.5858,27831.68,17400.0,34030.858,55108.2863,116597.9354,98972.0505,77544.1902,17625.8849,50728.8285,26119.37,7761.7595,,,1140.1037,39749.7369,18671.5716,12129.61,-1008.12,0.0,21078.1653,272.330661,19.38,-56054.6699,32199.662,9131.2649,41330.9269,-85169.1666,-12216.4302,-1326.1185,-1530.5607,-1551.7953,21.2346,,,,204.4422,,15717.9986,,0.0,,,,-4052.5854,-41662.7898,122915.0827,,81347.6392,-57585.2306,0.0,1.36,42.3769,391198.50808714,923140.9284,31.4331633382385,1244540.6906,22.3239393834961,116597.9354,5223.0,0.0,4.0409,1.8262,21078.1653,1244540.6906,88.7623,819401.120289193,16.4995,18.0776488260186,0.0936875236628764,8.34107042417265,38.6996,0.0,29.9292,4.2281,149206.3521,0.6475
2020.0,1530511.2589,72205.121,14413.597,391826.6581,323039.9049,404.4055,26450.3537,35922.726,2182.7805,993702.8781,720870.6632,234048.9951,38783.2198,4476.1611,53931.0892,1530511.2589,170986.0294,548.3286,170437.7008,1147502.2947,662877.2849,310377.1353,174247.8745,144628.5372,36907.0,1133.9756,69657.67,1726.0,35203.8916,67394.3976,138073.4696,114812.6509,91787.8779,23260.8187,58626.3979,30697.5289,9525.6682,,,1195.8533,48749.5428,22492.2278,9833.15,516.69,0.0,26257.315,548.328646,5.2207,-16689.775,36607.1513,14387.9173,50995.0686,-57186.8257,-10498.0179,-1104.9219,-1528.6401,-1546.8752,18.2351,,,,423.7182,,22851.7866,,0.0,,,,-6540.3089,5057.0897,81347.6392,,86618.718,-18218.4151,0.0,1.26,42.233,484624.644120651,1147502.2947,31.6642325433762,1530511.2589,25.5030420391577,138073.4696,5414.0,0.0,3.8166,1.8924,26257.315,1530511.2589,86.597,993702.562141359,16.401,19.0169154697623,0.090213952231384,8.95108953796198,47.8861,0.0,18.001,2.7643,170986.0294,0.29
2021.0,1746870.5237,97340.7363,22129.6594,443728.2921,351141.0385,433.2926,61789.7218,24169.627,2368.1247,1132836.6309,735239.3644,363054.49,34542.7765,4953.5625,45925.8881,1746870.5237,203720.8289,551.2776,203169.5513,1335060.2208,719378.0571,403500.0577,212182.106,135487.3236,35802.0,886.0455,65935.4025,9020.0,23843.8756,72602.1504,146063.1192,120858.2265,94834.5362,25204.8927,55978.656,32722.6301,10364.7937,,,1302.4133,57361.8331,26245.3079,11644.77,-1102.31,0.0,31116.5252,551.2776482,11.5158,41494.7862,41658.9837,18988.0713,60647.055,-6564.6965,-12587.5723,-1120.1692,-1603.2126,-1617.3763,14.1637,,,,483.0434,,-7381.1141,,0.0,,,,,32993.5029,86618.718,,119470.3957,39891.5736,0.0,1.32,46.1164,615681.711665011,1335060.2208,35.2448394607376,1746870.5237,25.7062863780359,146063.1192,5682.0,0.0,3.8254,1.8989,31116.5252,1746870.5237,84.8528,1132835.97903498,16.6085,21.3034785032853,0.0836141644262378,8.57482532901671,56.4444,0.0,26.4606,4.0416,203720.8289,0.4352
2022.0,2068535.0503,129995.6352,22331.2892,455535.693,366527.3063,485.5855,64708.3638,17365.5256,2622.4243,1368820.9314,906357.2596,433411.2539,29052.4179,6127.9191,85767.828,2068535.0503,240092.9387,554.5541,239212.415,1559217.44,808168.297,511738.5438,239310.5992,184817.2073,37152.0,700.1848,84255.7858,9020.0,53689.2367,84407.4643,157263.0195,127753.1191,98512.0227,29509.9004,55743.5282,37442.1858,12031.686,,,1599.8039,64077.3055,27115.9503,13346.03,-1291.91,0.0,36961.3552,554.5540976,23.2556,-14208.7221,49015.4792,15963.5962,64979.0754,-65182.5351,-14005.2624,-1291.5956,-2122.491,-2140.7866,18.2956,,,,830.8954,,48191.7491,,0.0,,,,-3592.396,32691.4314,119470.3957,,152326.9244,-16331.2131,0.0,1.17,48.1683,751048.53415152,1559217.44,36.3082334061777,2068535.0503,23.8277302272727,157263.0195,6600.0,0.0,3.6429,1.9375,36961.3552,2068535.0503,87.789,1368821.3984016,16.6685,23.5028904554386,0.0760262773778922,8.615559714085,66.6506,0.0,22.0546,3.3998,240092.9387,1.0545
2023.0,2466081.4672,117160.7706,76604.3125,517001.428,437369.8175,495.4258,58280.9906,15527.7108,1500.9958,1600585.9,1022732.9437,557132.9186,20720.0377,8060.7866,146712.5151,2466081.4672,280199.0077,557.9743,278574.0145,1883394.6463,1047405.7701,562492.728,273496.1482,206765.5655,48675.0,439.6822,91482.45,9020.0,57148.4333,95722.2477,192800.3618,161585.5367,127095.8563,31214.8251,74743.3173,47652.0844,15512.3633,,,2242.4793,70404.9601,26296.2587,14596.28,-219.68,0.0,44108.7014,557.9742786,24.035,27313.4078,58485.3016,15488.7886,73974.0902,-31184.95,-15475.7324,-2428.8813,-3239.8566,-3280.4687,40.6121,,,,810.9753,,16121.9226,,0.0,,,,-8604.5187,41006.4491,152326.9244,,193765.0831,24073.5512,0.0,1.12,44.3873,835988.03183712,1883394.6463,33.8994491040194,2466081.4672,24.3158483793669,192800.3618,7929.0,0.0,3.7572,1.9454,44108.7014,2466081.4672,84.9841,1600585.98960624,17.0009,22.8779142259888,0.0781808567009371,8.80117844614337,79.0515,0.0,20.3633,3.2178,280199.0077,1.1803
2024.0,3617623.0869,178683.2228,40464.1953,702414.9587,644806.3974,1972.9997,20074.7321,21024.1598,1902.4564,2484861.5188,1833590.2105,627238.3851,24032.9232,11398.9878,199800.2035,3617623.0869,440245.8051,759.6911,436833.3979,2379786.2764,1471023.2886,598747.2923,310015.6955,662153.0751,296097.5948,115804.9831,138755.04,4556.0,106939.4572,135437.9303,307581.5749,258340.5755,207220.0137,49240.9994,149808.1008,63386.024,22240.2099,,,2810.0988,94387.4501,33575.1716,12968.4,-2885.38,0.0,60812.2785,759.6910662,24.3602,35014.9646,70895.3051,19003.4713,89898.7764,-35040.0742,-19843.7376,7094.173,-3738.8898,-3834.894,96.0042,9500.6717,,,1332.3911,,-22236.9351,,0.0,,,,-8404.4222,19872.2025,193765.0831,,219147.4181,31276.0748,0.0,1.24,38.1867,908761.846010039,2379786.2764,25.1204126074055,3617623.0869,34.9762991698886,307581.5749,8794.0,0.0,3.1861,1.9992,60812.2785,3617623.0869,104.4153,2484860.97986189,16.9695,19.7711057691837,0.0850231125552584,8.21728008533386,80.0487,0.0,18.0915,2.5142,440245.8051,1.3465
2024.0,3567249.53,144716.5,37147.05,708816.68,,,,,,2463520.82,,,,12022.78,201025.7,3567249.53,458682.27,760.81,454865.35,2379084.53,2379084.53,0.0,0.0,599337.16,,,,,,130145.57,307581.5749,258340.5755,207220.0137,49240.9994,149808.1008,63386.024,22240.2099,,,2810.0988,94387.4501,33575.1716,12968.4,-2885.38,0.0,60812.2785,759.6910662,24.3602,35014.9646,70895.3051,19003.4713,89898.7764,-35040.0742,-19843.7376,7094.173,-3738.8898,-3834.894,96.0042,9500.6717,,,1332.3911,,-22236.9351,,0.0,,,,-8404.4222,19872.2025,193765.0831,,219147.4181,31276.0748,0.0,1.24,38.1867,908761.846010039,2379786.2764,25.1204126074055,3617623.0869,34.9762991698886,307581.5749,8794.0,0.0,3.1861,1.9992,60812.2785,3617623.0869,104.4153,2484860.97986189,16.9695,19.7711057691837,0.0850231125552584,8.21728008533386,80.0487,0.0,18.0915,2.5142,440245.8051,1.3465
