year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,zinc,lead,others,ready mix concrete,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015,48992.0,13269.58,14550.51,5104.34,,9446.17,,2004.71,,4316.65,20.67,33203.8,1211.75,658.82,27253.59,3531.51,193.6,354.53,48992.0,43353.07,845.06,,42508.01,2650.7,,,2518.62,132.08,,2988.23,630.79,,1045.91,1311.53,14788.39,1311.69,14788.39,7660.75,468.45,468.45,0.0,0.0,0.0,2.6234769302135,-132.78,4326.18,841.85,282.19,1168.48,141.6,512.48,7127.64,3140.05,69.4307493919216,23.51,10244.18,644.19,9599.99,-29.87,9570.12,1392.12,1984.55,857.23,0.0,8178.0,0.0,,,8178.0,422.532,22.7333788000909,5530.7,9570.12,-2100.66,7469.46,94.68,-2033.44,-3806.96,-1611.03,-1617.35,6.32,-48579.37,45615.62,767.82,,,-1902.01,,0.0,,,-23.51,-1878.5,-178.27,228.45,,50.18,1611.03,3919.67,0.0,10.7060199516102,31992.0500000001,2988.23,11.1115275597929,33203.8,408.065929391748,9623.5,23.51,1.01634856785089,14788.39,14550.51,-497.460331837658,27.3180738853472,11.9965382159592,536.774943938964,0.0,0.0,43353.07,26.5050488930844,3919.67,0.0,97.3765230697865,69.4307493919216,10267.69,55.3001374727066,8178.0,20.9189377305382,46003.77,16.6925212279556,48992.0,14.5203634695116,5540.33325600933,38155.61,18.8637159951994,55.3001374727066,0.301853159699543,1.13006991200393,19.3548,0.0,8.36226672453345,1.57743109080856,6.3164129906532,2.71856657398826
2016,50697.0,16282.0,16524.0,6139.0,,10385.0,,2428.0,,640.0,331.0,36913.0,1058.0,107.0,35221.0,53.0,90.0,384.0,50697.0,37385.0,845.0,,36540.0,-1815.0,,,-2498.0,563.0,19.0,15127.0,931.0,,14052.0,144.0,14181.0,1282.0,14181.0,7529.0,51.0,51.0,0.0,0.0,0.0,1.65714688667936,184.0,4488.0,774.0,269.0,1404.0,172.0,187.0,6652.0,2763.0,66.3916508003667,17.0,9398.0,745.0,8653.0,-30.0,8623.0,448.0,1805.0,182.0,0.0,8175.0,0.0,,,8175.0,422.5319,143.675933247541,6451.0,8623.0,-1982.0,6641.0,1632.0,-1822.0,-3236.0,-1533.0,-1550.0,17.0,-44891.0,42679.0,509.0,,,-3214.0,,0.0,,,-10.0,-3204.0,1.0,50.0,,51.0,1533.0,4918.0,0.0,2.37026508891386,35855.0,15127.0,2.44020625371852,36913.0,508.235294117647,8670.0,17.0,0.858206245461147,14181.0,16524.0,-1177.05255707172,26.7884223630602,9.03848865032659,1212.87946808511,0.0,0.0,37385.0,34.6802059093153,4918.0,0.0,98.3428531133206,66.3916508003667,9415.0,57.6475565898033,8175.0,24.3744728703964,35570.0,16.1252145097343,50697.0,16.0567344417562,5600.10727125131,34877.0,21.8670589808747,57.6475565898033,0.279720693532162,1.35607864116624,19.3491,0.0,9.48364523414526,2.07379296509295,8.2289697291556,15.149863760218
2017,49047.0,17146.0,17904.0,7911.0,,9993.0,,3071.0,,980.0,354.0,34649.0,1936.0,136.0,23783.0,8380.0,91.0,323.0,49047.0,30805.0,845.0,,29960.0,-1988.0,,,-2748.0,556.0,111.0,20230.0,824.0,7908.0,11311.0,187.0,17273.0,1525.0,17273.0,7534.0,26.0,26.0,0.0,0.0,0.0,-1.8178660336942,-676.0,5427.0,722.0,246.0,1060.0,181.0,212.0,9739.0,2474.0,70.7057256990679,202.0,12011.0,1811.0,10200.0,,10200.0,1884.0,2196.0,-262.0,0.0,8316.0,0.0,,,8316.0,422.5319,149.368992216555,7588.0,10200.0,-382.0,9818.0,108.0,-2338.0,12007.0,-1987.0,-2008.0,21.0,-27173.0,40840.0,327.0,,,-11266.0,,0.0,,,-194.0,-18972.0,8329.0,51.0,,8380.0,1987.0,5601.0,0.0,1.61705388037568,32713.0,20230.0,1.71275333662877,34649.0,51.4950495049505,10402.0,202.0,0.964756478999106,17273.0,17904.0,1051.45023389804,29.0671879987233,2.35916054899457,-1020.02388535032,0.256711572796624,7908.0,30805.0,32.4263301105772,5601.0,0.0,101.817866033694,70.7057256990679,12213.0,48.1445029815319,8316.0,36.0967484470972,28817.0,16.9551654535446,49047.0,33.2201868978048,6463.65176470588,19457.0,26.9956175945463,48.1445029815319,0.352172406059494,1.59217659470865,19.6828,0.0,14.6752494563782,3.96166612562896,9.9539118152788,10.1782932317812
2018,40724.0,18789.0,20657.0,9355.0,,11302.0,,3220.0,,1708.0,351.0,24143.0,1379.0,184.0,20222.0,1964.0,112.0,282.0,40724.0,35932.0,845.0,,35087.0,-1213.0,,,-2208.0,802.0,134.0,6005.0,947.0,,4807.0,251.0,22082.0,437.0,22082.0,9812.0,,0.0,0.0,0.0,0.0,2.25523050448329,498.0,6228.0,776.0,265.0,1653.0,181.0,211.0,12270.0,1716.0,63.3366542885608,246.0,13740.0,1483.0,12257.0,240.0,12497.0,3221.0,2647.0,-178.0,0.0,9276.0,0.0,,,9276.0,422.5319,36.4381689820087,9800.0,12497.0,-186.0,12311.0,517.0,-3028.0,2396.0,-2723.0,-2733.0,10.0,-33938.0,38558.0,499.0,,,-18612.0,,0.0,,,-243.0,-10469.0,-6416.0,8380.0,,1964.0,2723.0,7077.0,0.0,3.79084096586178,22764.0,6005.0,4.02048293089092,24143.0,51.8008130081301,12503.0,246.0,1.06898387955657,22082.0,20657.0,-619.552031787169,26.8656467871575,2.59336560238021,649.011044176707,0.0,0.0,35932.0,32.0487274703378,7077.0,0.0,97.7447694955167,63.3366542885608,13986.0,42.0070645774839,9276.0,36.0119819119214,34719.0,22.7777232099008,40724.0,25.7890893717865,8006.73857725854,31047.0,25.8154291439386,42.0070645774839,0.542235536784206,1.13336301903596,21.955,0.0,13.7075836939194,3.53866678726483,8.95090626340626,2.65824887855125
2019,40533.0,20886.0,25841.0,11063.0,,14778.0,,2254.0,,1536.0,393.0,21572.0,1544.0,196.0,19488.0,23.0,48.0,273.0,40533.0,33605.0,845.0,,32760.0,-816.0,,,-1925.0,956.0,145.0,7744.0,1174.0,2538.0,3798.0,234.0,21118.0,,21118.0,10448.0,,0.0,0.0,0.0,0.0,-0.303059001799413,-64.0,7033.0,905.0,244.0,1758.0,235.0,337.0,10670.0,1782.0,58.9639170375983,113.0,12339.0,1883.0,10456.0,,10456.0,2500.0,2230.0,347.0,0.0,7956.0,0.0,,,7956.0,422.5319,106.208976782718,8781.0,10456.0,214.0,10670.0,671.0,-2560.0,-1092.0,-3341.0,-3400.0,59.0,-41660.0,43656.0,253.0,,,-9630.0,,0.0,,,-208.0,-11958.0,-1941.0,1964.0,,23.0,3341.0,5440.0,0.0,2.58626033057851,20028.0,7744.0,2.78564049586777,21572.0,93.5309734513274,10569.0,113.0,0.817228435432065,21118.0,25841.0,6076.70831384956,25.2603229472488,3.28392840231082,-6048.1640625,0.0755244755244755,2538.0,33605.0,25.7600151529501,5440.0,0.0,100.303059001799,58.9639170375983,12452.0,37.6740221611895,7956.0,32.2333709475739,32789.0,19.6284508918659,40533.0,21.409071966732,6686.05317521041,31230.0,23.6750483558994,37.6740221611895,0.521007574075445,1.20615979764916,18.8308,0.0,14.6780805913716,3.47504835589942,9.58030838419531,7.23589001447178
2020,45153.0,22162.0,29611.0,13142.0,,16469.0,,2489.0,,1115.0,267.0,24813.0,1835.0,379.0,20329.0,1918.0,68.0,284.0,45153.0,40310.0,845.0,,39465.0,-570.0,,,-1822.0,1090.0,162.0,5413.0,1488.0,611.0,3181.0,133.0,18561.0,,18561.0,9714.0,,0.0,0.0,0.0,0.0,-1.56780345886536,-291.0,6957.0,689.0,232.0,1704.0,99.0,324.0,8847.0,1934.0,58.084154948548,112.0,10669.0,2279.0,8390.0,,8390.0,1585.0,1428.0,-62.0,0.0,6805.0,0.0,,,6805.0,422.5319,102.443113028901,6621.0,8390.0,483.0,8873.0,-1117.0,-1135.0,-2648.0,-3618.0,-3637.0,19.0,-35616.0,36063.0,523.0,,,-2098.0,,0.0,,,-170.0,,1875.0,3.0,,1878.0,3618.0,3003.0,0.0,4.24496582301866,22978.0,5413.0,4.58396452983558,24813.0,75.9107142857143,8502.0,112.0,0.626827868022019,18561.0,29611.0,1708.34483900119,33.2238295350466,5.65365551425031,-1669.46735395189,0.0151575291490945,611.0,40310.0,16.1790851786003,3003.0,0.0,101.567803458865,58.084154948548,10781.0,36.6628953181402,6805.0,21.3940613990941,39740.0,15.0709808872057,45153.0,14.5127736237349,5327.20381406436,36707.0,16.881667080129,36.6628953181402,0.411069031958009,1.12014388489209,16.1065,0.0,9.63275696147518,1.6261690647482,5.9589903533995,10.6348694811473
2021,44669.0,21159.0,32292.0,15484.0,,16808.0,,1922.0,,1119.0,252.0,24568.0,1425.0,406.0,12957.0,9376.0,126.0,278.0,44669.0,32313.0,845.0,,31468.0,4480.0,,4312.0,-1058.0,1044.0,182.0,7876.0,1545.0,2161.0,3918.0,252.0,22629.0,,22629.0,10957.0,,0.0,0.0,0.0,0.0,1.05616686552654,239.0,7520.0,760.0,276.0,1732.0,93.0,337.0,11672.0,1819.0,59.6181890494498,386.0,13105.0,2531.0,10574.0,,10574.0,2594.0,1827.0,69.0,0.0,7980.0,0.0,,,7980.0,422.5319,112.772400940299,10567.0,10574.0,1110.0,11684.0,638.0,-1755.0,-2435.0,-2427.0,-2481.0,54.0,-51337.0,49822.0,1507.0,,,-9697.0,,5016.0,5016.0,,-244.0,-15972.0,-1565.0,1878.0,,313.0,2427.0,8140.0,0.0,2.93842051802946,23143.0,7876.0,3.1193499238192,24568.0,28.3937823834197,10960.0,386.0,0.700761798587886,22629.0,32292.0,-2283.37131455157,26.2914843784524,6.33092491935127,2315.99372384937,0.222108748800792,7177.0,32313.0,35.9715409430377,8140.0,0.0,98.9438331344735,59.6181890494498,13491.0,35.264483627204,7980.0,29.7882749436034,36793.0,17.8647384091876,44669.0,26.2321914444882,6898.5417060715,26298.0,24.6959428093956,35.264483627204,0.506592939174819,1.38238479868783,18.8876,0.0,14.4433384866261,3.56692352922972,8.38032762582462,7.80791788856305
2022,44671.0,19746.0,35364.0,17968.0,,17396.0,,2075.0,,1103.0,114.0,23983.0,1953.0,716.0,15052.0,5763.0,161.0,338.0,44671.0,34282.0,845.0,,33437.0,4295.0,,2111.0,942.0,1030.0,212.0,6094.0,2038.0,289.0,3479.0,288.0,29440.0,,29440.0,13214.0,,0.0,0.0,0.0,0.0,-0.94429347826087,-278.0,9452.0,717.0,349.0,2452.0,107.0,415.0,16226.0,1216.0,59.2459239130435,290.0,17152.0,2917.0,14235.0,-134.0,14101.0,4471.0,2445.0,24.0,0.0,9630.0,0.0,,,9630.0,422.5319,78.972,12691.0,14101.0,2180.0,16281.0,-1199.0,-2391.0,846.0,-2968.0,-2998.0,30.0,-52253.0,55131.0,936.0,,,-12258.0,,-2204.0,,-2204.0,-332.0,-7606.0,1279.0,313.0,,1592.0,2968.0,9723.0,0.0,3.615,22029.81,6094.0,3.9355,23983.0,49.6241,14525.0,290.0,0.832485013007578,29440.0,35364.0,2380.045,20.9404,6.9553,-2352.1493,0.0905139723470043,3103.0,34282.0,33.0264945652174,9723.0,0.0,100.944293478261,59.2459239130435,17442.0,32.710597826087,9630.0,37.6519687896933,38577.0,21.5576100826039,44671.0,28.6623423102394,9089.11537,31711.0,28.0905431421737,32.710597826087,0.659040540843053,1.30304532991074,22.7929,0.0,13.5876,3.8168,7.3494,5.8121
2023,35454.0,18278.0,38089.0,20527.0,,17562.0,,2165.0,257.0,492.0,116.0,14862.0,1862.0,380.0,9850.0,1412.0,232.0,1126.0,35454.0,12942.0,845.0,,12097.0,5070.0,,1500.0,2314.0,1067.0,189.0,17442.0,2086.0,8537.0,6229.0,590.0,34098.0,,34098.0,16586.0,,0.0,0.0,0.0,0.0,-0.419379435744032,-143.0,11222.0,843.0,335.0,3711.0,85.0,533.0,17512.0,1382.0,55.4108745380961,333.0,18561.0,3264.0,15297.0,,15297.0,4777.0,3431.0,-189.0,0.0,10520.0,0.0,,,10520.0,422.5319,303.2202,15166.0,15297.0,2453.0,17750.0,556.0,-3140.0,6525.0,-3470.0,-3490.0,20.0,-44785.0,53450.0,1441.0,,,-23224.0,,796.0,1500.0,-704.0,-287.0,-31901.0,-1533.0,1592.0,,59.0,3470.0,11696.0,0.0,0.7453,12999.5226,17442.0,0.8521,14862.0,46.9369,15630.0,333.0,0.895219092126336,34098.0,38089.0,5289.4316,20.4187,5.866,-5263.1469,0.938649358677175,12148.0,12942.0,34.3011320312042,11696.0,0.0,100.419379435744,55.4108745380961,18894.0,30.8522493987917,10520.0,86.7754830113258,18012.0,29.6722513679698,35454.0,61.8168684373226,9798.591816,15851.0,81.2857363622315,30.8522493987917,0.961753257742427,2.73945294390357,24.8994,0.0,11.7834,9.5782,7.1291,25.7328
2024,33904.0,18893.0,41741.0,23795.0,,17946.0,,1638.0,578.0,933.0,116.0,12693.0,1924.0,161.0,9874.0,173.0,287.0,274.0,33904.0,15233.0,845.0,,14388.0,7853.0,,4246.0,2318.0,1090.0,199.0,10818.0,2102.0,1911.0,6306.0,499.0,28934.0,,28934.0,15273.0,,0.0,0.0,0.0,0.0,-0.539158083915117,-156.0,10927.0,826.0,268.0,2843.0,61.0,504.0,13661.0,1103.0,51.0264740443769,955.0,13809.0,3466.0,10343.0,,10343.0,2556.0,2549.0,-44.0,0.0,7787.0,0.0,,,7787.0,422.5319,70.5341,13343.0,10343.0,3358.0,13701.0,1399.0,-1757.0,-3405.0,-3488.0,-3539.0,51.0,-23640.0,23507.0,568.0,4.0,,-9946.0,,3330.0,5442.0,-2112.0,-1029.0,-5493.0,-8.0,59.0,,51.0,3488.0,9855.0,0.0,0.9955,10769.319,10818.0,1.1733,12693.0,11.8304,11298.0,955.0,0.693179368007475,28934.0,41741.0,4926.7154,23.88,3.4123,-4899.4231,0.581303748440885,8855.0,15233.0,34.0602751088685,9855.0,0.0,100.539158083915,51.0264740443769,14764.0,26.9129743554296,7787.0,48.9387507580352,23086.0,22.9677914110429,33904.0,35.8638016073264,7675.57082,21402.0,51.1192805094203,26.9129743554296,0.853409627182633,2.22569421650364,18.4308,0.0,15.8566,8.1058,8.9513,4.4482
