year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,61380.0,19061.0,12869.0,5522.0,,7347.0,,769.0,6108.0,4371.0,33.0,42752.0,,8627.0,749.0,27722.0,598.0,5056.0,61380.0,48068.0,574.0,,47492.0,-403.0,,,-433.0,30.0,,13715.0,124.0,,5546.0,8045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7955.0,16798.0,-1770.0,15028.0,-584.0,-6489.0,665.0,-1986.0,-1986.0,,-23184.0,24406.0,2248.0,146.0,-350.0,-4961.0,,0.0,,,,-3901.0,3659.0,24100.0,-37.0,27722.0,1986.0,5969.0,0.0,3.11717098067809,42752.0,13715.0,3.11717098067809,42752.0,2100.75,16394.0,8.0,3.6754992617919,47300.0,12869.0,60.3358419101389,0.0,61.5908562367865,1.25501432664756,0.0,0.0,48068.0,12.6194503171247,5969.0,0.0,100.0,36.5898520084567,17307.0,25.7167019027484,12164.0,34.3942095877478,47665.0,19.8175301401108,61380.0,99.9050650778878,9455.0153589713,9464.0,25.3058167595906,25.7167019027484,0.770609318996416,1.27694100024965,26.4896,0.0,20.91953068374,5.29408896101194,13.1012700063558,2.68429125687991
2016.0,72327.0,26635.0,14739.0,6491.0,,8248.0,,934.0,11076.0,5550.0,422.0,46097.0,,9798.0,2.0,29176.0,1062.0,6059.0,72327.0,61082.0,1148.0,,59925.0,-343.0,,,-405.0,62.0,,11588.0,623.0,,6095.0,4870.0,53983.0,,53983.0,38319.0,,0.0,,46.0,28207.0,229.0,179.0,3841.0,351.0,15664.0,3051.0,34.6683215086231,,18715.0,1115.0,17600.0,,17600.0,4907.0,4898.0,9.0,0.0,12693.0,0.0,,,12693.0,229.6944664,43.8651233378736,9578.0,17600.0,-1175.0,16425.0,-1497.0,-5350.0,-1207.0,-2308.0,-2308.0,,-23180.0,23545.0,2302.0,57.0,-258.0,-6908.0,,0.0,,,,-5568.0,1463.0,27722.0,-9.0,29176.0,2308.0,7270.0,0.0,3.97799447704522,46097.0,11588.0,3.97799447704522,46097.0,,17600.0,0.0,3.66259583418142,53983.0,14739.0,58.6064952235069,0.0,62.2892855158105,3.68279029230357,0.0,0.0,61082.0,13.4672026378675,7270.0,0.0,100.0,34.6683215086231,18715.0,23.5129577830058,12693.0,28.9764401784685,60739.0,17.5494628561948,72327.0,70.245963729482,10492.6396022727,14937.0,20.7802625978193,23.5129577830058,0.746374106488587,1.18409678792443,27.6415,0.0,22.0311849935785,4.57880438164164,13.3831322468608,1.99105053573628
2017.0,79539.0,32203.0,16240.0,7635.0,,8605.0,,1247.0,15334.0,6237.0,434.0,47682.0,,10960.0,9643.0,19153.0,1351.0,6575.0,79539.0,68017.0,1148.0,,66749.0,-264.0,,,-346.0,82.0,,11786.0,269.0,,6263.0,5254.0,59289.0,,59289.0,42406.0,,0.0,,115.0,30944.0,276.0,180.0,4168.0,679.0,16883.0,3386.0,34.1867800097826,,20269.0,1331.0,18938.0,,18938.0,5120.0,5068.0,52.0,0.0,13818.0,0.0,,,13818.0,229.6944664,42.7862399452336,10478.0,18938.0,-1000.0,17938.0,-2427.0,-5033.0,-13494.0,-2292.0,-2292.0,,-61377.0,47917.0,2617.0,23.0,-369.0,-6968.0,,0.0,,,,-6968.0,-9984.0,29176.0,-39.0,19153.0,2292.0,8186.0,0.0,4.04564737824538,47682.0,11786.0,4.04564737824538,47682.0,,18938.0,0.0,3.65080049261084,59289.0,16240.0,59.7417855453634,0.0,63.8960852772015,4.15429973183813,0.0,0.0,68017.0,13.8069456391573,8186.0,0.0,100.0,34.1867800097826,20269.0,23.3061782118099,13818.0,27.9515298215577,67753.0,17.3726096631841,79539.0,41.9824080479679,11347.4250712852,27029.0,20.3155093579546,23.3061782118099,0.745407913099234,1.1693988267639,30.0914,0.0,16.9616568188918,3.45192983489698,10.6183176279047,2.52253134796238
2018.0,74749.0,31282.0,18143.0,8986.0,,9157.0,,1442.0,11993.0,7733.0,334.0,42565.0,,12151.0,5906.0,16770.0,1403.0,6335.0,74749.0,63502.0,1092.0,,62280.0,-415.0,,,-623.0,208.0,42.0,11662.0,738.0,,7294.0,3630.0,61941.0,,61941.0,44778.0,,0.0,,149.0,32472.0,247.0,162.0,4095.0,889.0,17163.0,4153.0,34.4133933904845,,21316.0,1408.0,19908.0,,19908.0,3753.0,4003.0,-250.0,0.0,16155.0,0.0,,,16155.0,218.4114257,58.8077837171386,12475.0,19908.0,-1111.0,18797.0,-268.0,-6054.0,5684.0,-1842.0,-1842.0,,-64246.0,69550.0,1708.0,849.0,-245.0,-20536.0,5.0,0.0,,,,-7495.0,-2377.0,19153.0,-6.0,16770.0,1842.0,10633.0,0.0,3.64988852683931,42565.0,11662.0,3.64988852683931,42565.0,,19908.0,0.0,3.41404398390564,61941.0,18143.0,62.7456460353567,0.0,68.0931450896821,5.34749905432537,0.0,0.0,63502.0,17.1663357065595,10633.0,0.0,100.0,34.4133933904845,21316.0,26.0812708868116,16155.0,31.5564220837891,63087.0,21.6123292619299,74749.0,51.0049941932683,12784.9118444846,25066.0,25.4401436175239,26.0812708868116,0.828653226130115,1.17711253188876,36.9849,0.0,15.3359884709706,3.9095019882598,10.8361306061175,3.83462623413258
2019.0,77816.0,32166.0,20669.0,10172.0,,10497.0,,1212.0,12062.0,7476.0,346.0,46223.0,,13370.0,6077.0,15551.0,3931.0,7294.0,77816.0,62711.0,2178.0,,60306.0,-325.0,,,-573.0,248.0,38.0,15430.0,1604.0,,10490.0,3336.0,73107.0,,73107.0,54439.0,,0.0,,33.0,38296.0,406.0,171.0,5078.0,1163.0,18668.0,2858.0,29.444512837348,,21526.0,1599.0,19927.0,,19927.0,5225.0,5189.0,36.0,0.0,14702.0,0.0,,,14702.0,436.1733444,63.701627502511,13989.0,19927.0,650.0,20577.0,-317.0,-6271.0,-587.0,-2306.0,-2306.0,,-77033.0,77996.0,1644.0,2.0,-234.0,-14571.0,3.0,0.0,,,,-13761.0,-1169.0,16770.0,-50.0,15551.0,2306.0,11683.0,0.0,2.99565780946209,46223.0,15430.0,2.99565780946209,46223.0,,19927.0,0.0,3.53703614108085,73107.0,20669.0,53.1730913220727,0.0,63.7091181419016,10.5360268198289,0.0,0.0,62711.0,15.9806858440368,11683.0,0.0,100.0,29.444512837348,21526.0,20.1102493605264,14702.0,31.9414612252749,62386.0,18.8932867276653,77816.0,46.1346952608107,12593.3877653435,27297.0,23.4440528774856,20.1102493605264,0.939485452863164,1.24086683356987,33.7511,0.0,21.9933572535414,5.17485884386403,14.2987494193069,2.89640307153442
2020.0,79612.0,36665.0,25762.0,11788.0,,13974.0,,945.0,13916.0,6355.0,602.0,43820.0,,15459.0,4006.0,13562.0,1524.0,9269.0,79612.0,62234.0,2129.0,,59808.0,2158.0,,,-873.0,3031.0,32.0,15220.0,1529.0,,10386.0,3305.0,79047.0,,79047.0,59540.0,,0.0,,35.0,42434.0,441.0,176.0,5326.0,1025.0,19507.0,3228.0,28.7613698179564,114.0,22621.0,2144.0,20477.0,,20477.0,4934.0,5235.0,-301.0,0.0,15543.0,0.0,,,15543.0,425.8992566,47.9411,15572.0,20477.0,878.0,21355.0,-1902.0,-3881.0,-116.0,-3063.0,-3063.0,,-33793.0,36766.0,1817.0,2.0,-1338.0,-17391.0,2.0,0.0,,,,-9551.0,-1935.0,15551.0,-54.0,13562.0,3063.0,12509.0,0.0,2.8791,43819.902,15220.0,2.8791,43820.0,180.6228,20591.0,114.0,3.06835649406102,79047.0,25762.0,53.939040611826,0.0,66.559,12.619959388174,0.0,0.0,62234.0,15.8247624830797,12509.0,0.0,100.0,28.7613698179564,22735.0,19.6629853125356,15543.0,31.9775748540191,64392.0,19.5234386775863,79612.0,43.1275010995124,13179.333061,30559.0,24.9750940000643,19.6629853125356,0.992903079937698,1.27923643024713,36.5031,0.0,17.541,4.4019,11.3955,2.7331
2021.0,92984.0,45146.0,28414.0,13815.0,,14599.0,,906.0,22118.0,6540.0,539.0,48282.0,,16394.0,2037.0,17612.0,2167.0,10072.0,92984.0,71531.0,2130.0,,69029.0,3831.0,,,-444.0,4275.0,,17622.0,1562.0,,12022.0,4038.0,85912.0,,85912.0,61734.0,,0.0,,69.0,45179.0,288.0,99.0,3387.0,1126.0,24178.0,2746.0,31.3390446037806,126.0,26798.0,2321.0,24477.0,,24477.0,6429.0,6013.0,416.0,0.0,18048.0,0.0,,,18048.0,426.0660846,63.7300531914894,19902.0,24477.0,1305.0,25782.0,181.0,-6061.0,-6309.0,-1720.0,-1720.0,,-43464.0,38645.0,1340.0,329.0,-1357.0,-9566.0,9.0,0.0,,,,-9155.0,4027.0,13562.0,23.0,17612.0,1720.0,18182.0,0.0,2.73987061627511,48282.0,17622.0,2.73987061627511,48282.0,195.261904761905,24603.0,126.0,3.02357992538889,85912.0,28414.0,55.9176559253982,0.0,67.6642669242946,11.7466109988964,0.0,0.0,71531.0,21.1635161560667,18182.0,0.0,100.0,31.3390446037806,26924.0,21.007542601732,18048.0,32.6464265810355,75362.0,19.4097909317732,92984.0,55.3972068307519,16116.1554112023,29092.0,25.2310187191567,21.007542601732,0.923943904327626,1.29991192629769,42.3662,0.0,32.2839905396283,8.18816312764373,20.9868333085723,1.97404496435752
2022.0,98417.0,46109.0,29759.0,14821.0,,14938.0,,411.0,22869.0,6911.0,851.0,52437.0,,18966.0,5467.0,12270.0,2833.0,12901.0,98417.0,69306.0,2103.0,,66597.0,4135.0,,,-129.0,4264.0,,24976.0,2669.0,,17444.0,4863.0,103940.0,,103940.0,76112.0,,0.0,,106.0,51664.0,444.0,93.0,4008.0,514.0,27828.0,3224.0,29.8749278429863,128.0,30924.0,2429.0,28495.0,,28495.0,7260.0,6960.0,300.0,0.0,21235.0,0.0,,,21235.0,420.6738641,61.4014585817451,22096.0,28495.0,588.0,29083.0,-251.0,-6736.0,-3150.0,-1787.0,-1787.0,,-57692.0,53569.0,1658.0,1218.0,-127.0,-24275.0,11.0,0.0,,,,-12697.0,-5329.0,17612.0,-13.0,12270.0,1787.0,20309.0,0.0,2.09949551569507,52437.0000000001,24976.0,2.09949551569507,52437.0,223.6171875,28623.0,128.0,3.49272488994926,103940.0,29759.0,62.0858187415817,0.0,62.0858187415817,,0.0,0.0,69306.0,19.5391572060804,20309.0,0.0,100.0,29.8749278429863,31052.0,20.4300558014239,21235.0,38.9741425089528,73441.0,21.5765568956583,98417.0,60.2969120122427,18927.8036497631,31391.0,30.6394828730557,20.4300558014239,1.05611835353648,1.42003578333766,50.4874,0.0,37.7757618732595,11.6763947598253,25.4379209068659,1.62541946308725
2023.0,100558.0,48389.0,31249.0,15818.0,,15431.0,,275.0,23686.0,7843.0,1241.0,52082.0,,20773.0,4476.0,6534.0,4137.0,16162.0,100558.0,67745.0,2074.0,,64793.0,5371.0,,,87.0,5284.0,,27442.0,2426.0,,19126.0,5890.0,124014.0,,124014.0,93851.0,,0.0,,144.0,62764.0,756.0,155.0,4571.0,1151.0,30163.0,4390.0,27.8621768510007,157.0,34396.0,2753.0,31643.0,,31643.0,8375.0,8167.0,208.0,0.0,23268.0,0.0,,,23268.0,414.8560044,60.612,19169.0,31643.0,564.0,32207.0,-5231.0,-7807.0,821.0,-2130.0,-2130.0,,-76768.0,78441.0,1299.0,1463.0,-1530.0,-25857.0,30.0,0.0,,,,-13674.0,-5867.0,12270.0,131.0,6534.0,2130.0,17039.0,0.0,1.8979,52082.1718,27442.0,1.8979,52082.0,202.5478,31800.0,157.0,3.96857499439982,124014.0,31249.0,58.4802,0.0,58.4802,,0.0,0.0,67745.0,13.7395777896044,17039.0,0.0,100.0,27.8621768510007,34553.0,18.7623977937975,23268.0,43.4925324142459,73116.0,23.1388850215796,100558.0,57.4996944341426,20155.36789,35053.0,34.3464462321943,18.7623977937975,1.23325841802741,1.48436046940734,56.0945,0.0,25.4517,8.8565,16.9501,2.3815
2024.0,114950.0,42489.0,31716.0,17301.0,88.0,14327.0,,277.0,23352.0,5052.0,990.0,70952.0,,25152.0,11307.0,8191.0,5150.0,21152.0,114950.0,81176.0,2075.0,,78188.0,6688.0,,,1509.0,5179.0,,27086.0,2493.0,,18089.0,6504.0,128933.0,,128933.0,97176.0,,0.0,,100.0,65139.0,851.0,172.0,4763.0,622.0,31757.0,7417.0,30.3832222937495,277.0,38897.0,2944.0,35953.0,,35953.0,8719.0,7306.0,1413.0,0.0,27234.0,0.0,,,27234.0,415.0867464,70.0962,20787.0,35953.0,-2303.0,33650.0,-4628.0,-8235.0,-3261.0,-1832.0,-1832.0,,-76238.0,70213.0,1441.0,2976.0,-63.0,-15825.0,1.0,0.0,,,,-14733.0,1701.0,6534.0,-44.0,8191.0,1832.0,18955.0,0.0,2.6195,70951.777,27086.0,2.6195,70952.0,130.7942,36230.0,277.0,4.06523521251104,128933.0,31716.0,65.0052,0.0,65.0052,,0.0,0.0,81176.0,14.7014340781646,18955.0,0.0,100.0,30.3832222937495,39174.0,21.1225985589415,27234.0,41.2341800965128,87864.0,23.6920400173989,114950.0,42.5706188086368,21825.530557,51269.0,33.5493249236227,21.1225985589415,1.12164419312745,1.41605893367498,65.6241,0.0,22.8392,7.7495,15.6688,3.0691
