year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,crude oil,natural gas,oil refining,others,packaging,benzene,ethanol,explosives,steel,additives,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015,227224.18,127598.94,121643.45,55391.98,,66251.47,,36323.5,16628.58,15111.68,3.92,92810.47,45543.85,6758.17,7270.91,115.62,5580.06,27541.86,227224.18,67969.97,2427.95,,65542.02,64297.95,8044.45,24686.81,6720.21,15216.39,9630.09,94956.26,29199.77,16979.31,23310.77,25466.41,437524.23,30407.77,437524.23,428763.76,208046.78,198487.12,3153.63,1774.64,4168.5,462.89,0.0,0.0,0.0,0.0,0.0,89.6952335645503,9592.19,17717.07,7104.78,997.75,6391.42,3130.13,1840.42,8760.47,5553.86,3.27166566295083,3458.47,10855.86,4528.66,6327.2,1668.09,7995.29,2722.26,1405.84,1597.39,0.0,5273.03,0.0,,,5273.03,242.795,30.3895386315499,44529.4,7995.29,4929.16,12924.45,33854.62,-2249.67,-8648.27,-2693.14,-3162.4,469.26,-207.0,553.13,985.84,849.97,-79.25,-38374.04,,548.5,5855.87,-5307.37,-4472.8,-2470.85,-2492.91,2608.53,,115.62,2693.14,41836.26,0.0,0.497772553384053,47266.62,94956.26,0.977402332400202,92810.47,3.31179972646864,9785.67,3458.47,3.59677590532002,437524.23,121643.45,19.0924648377047,42.4288200878758,6.84345355191395,30.1798088020851,0.812785558092787,55245.01,67969.97,9.56204414096106,41836.26,0.0,10.3047664354497,3.27166566295083,14314.33,1.20519725273272,5273.03,7.39836991463992,132267.92,2.32062890489912,227224.18,2.78211813915741,2790.95080782561,100317.48,7.75788189990374,1.20519725273272,1.92551791803143,3.34300839032296,3.6197,0.0,16.9581272849499,1.31743437719198,10.0983272357141,1.7920173771382
2016,230626.78,153077.08,96037.6,4690.63,,91346.97,,21025.08,30085.66,15738.64,1739.72,70652.15,38739.11,7548.6,7095.74,512.94,1061.33,15694.43,230626.78,88134.31,2369.67,,85764.64,62462.37,6388.31,18549.25,6858.99,18156.92,12508.9,80030.1,22331.82,17545.81,30369.49,9782.98,347176.43,59651.56,347176.43,326111.76,142265.03,135458.45,2087.89,1189.83,3528.86,0.0,0.0,0.0,0.0,0.0,0.0,83.3505719267866,3479.2,19187.92,7114.02,666.0,4918.17,2142.98,4168.51,21064.67,2322.16,6.73629543341983,3105.97,20280.86,4818.57,15462.29,1364.25,16826.54,5584.31,3615.02,1836.42,0.0,11242.23,0.0,,,11242.23,242.7952482,29.5095927254638,22944.26,16826.54,6926.86,23753.4,2254.0,-3063.14,-12416.75,-4306.58,-4642.43,335.85,-580.93,571.92,1587.38,564.86,-1047.36,-10367.09,,-4003.07,3425.84,-7428.91,-3479.06,-3449.91,160.42,101.49,,261.91,4306.58,18637.68,0.0,0.398762965434255,31913.04,80030.1,0.882819714082576,70652.15,6.41748310511692,18568.26,3105.97,3.61500526876973,347176.43,96037.6,11.7270486005227,37.8087068198036,6.41791024506451,32.4995684643454,0.599995506857659,52880.19,88134.31,5.36835982788348,18637.68,0.0,16.6494280732134,6.73629543341983,23386.83,3.23818929758567,11242.23,12.3297937245363,150596.68,4.87464205154319,230626.78,10.4148262759675,10854.4235952846,104220.88,12.7557928348222,3.23818929758567,1.50536043559209,2.61676502601541,7.907,0.0,8.29328443151638,1.05787026811692,6.22580812149402,3.55826661583429
2017,275805.45,159959.47,118708.68,10829.19,,107879.49,,10737.82,40109.19,4852.06,3140.14,109027.4,62240.87,8502.37,7195.41,86.5,4458.5,26543.75,275805.45,99728.72,4739.34,,94989.38,31172.21,5558.03,14754.01,6759.23,1173.96,2926.98,144904.52,30134.29,30072.76,49123.59,35573.88,359942.15,85499.75,359942.15,328133.52,156950.55,0.0,0.0,0.0,156950.55,0.0,0.0,0.0,0.0,0.0,0.0,78.7949507997327,-15259.8,19520.69,9718.92,740.43,4231.71,2049.49,9187.52,31808.63,4200.62,10.0041770601192,3465.04,32544.21,6222.97,26321.24,,26321.24,7214.84,7334.05,-671.11,0.0,19106.4,0.0,,,19106.4,485.5904964,47.129444740726,27799.42,26321.24,14232.8,40554.04,-6029.1,-6725.52,-14733.9,-4594.81,-5554.23,959.42,-2586.82,2728.85,1693.35,1106.59,-4747.77,-13274.57,,-10664.81,,-10664.81,-2426.23,-12707.29,-209.05,261.91,,52.86,4594.81,23204.61,0.0,0.322878333953972,46786.53,144904.52,0.752408551506882,109027.4,8.59622976935331,29786.28,3465.04,3.03214684890776,359942.15,118708.68,13.3651181626181,40.6623877433817,6.46336794478854,33.7606375255521,0.549686188692685,54819.5,99728.72,6.44676095867072,23204.61,0.0,21.2050492002673,10.0041770601192,36009.25,5.30818632938654,19106.4,22.7548268755615,130900.93,6.92749182440013,275805.45,21.6477662031607,18572.4477351371,85793.83,19.1583728338236,5.30818632938654,1.30505814877842,2.76555690276582,13.4382,0.0,9.59329870567983,1.83792566975692,6.61016195838569,4.91273432449903
2018,300819.81,185741.87,131686.47,17759.15,,113927.32,,14348.43,39088.94,27424.32,2972.43,102896.69,65313.21,10116.52,8399.32,83.39,5959.31,13024.94,300819.81,110171.02,9478.69,,100692.33,54725.62,3912.27,14805.33,12019.57,1888.63,22099.82,135923.17,32921.01,36808.03,52032.53,14161.6,424038.7,82388.89,424038.7,384311.48,188819.25,0.0,0.0,0.0,188819.25,0.0,0.0,0.0,0.0,0.0,0.0,80.9419446857091,2288.37,20988.94,10079.41,868.36,5128.39,3118.44,1525.09,39727.22,3414.62,10.1740336436273,3510.55,39631.29,7067.01,32564.28,,32564.28,11218.16,6957.58,3941.71,0.0,21346.12,0.0,,,21346.12,971.1809928,93.2500299732239,26457.43,32564.28,4980.89,37545.17,-4206.68,-6881.06,-15778.68,-7165.41,-7554.56,389.15,-1141.56,829.0,1790.97,1096.62,-1611.13,-10678.13,,-3548.87,2602.44,-6151.31,-2452.25,-11408.49,0.62,52.86,,53.48,7165.41,19292.02,0.0,0.27650532282318,37583.48,135923.17,0.757020970008277,102896.69,10.2761191266326,36074.83,3510.55,3.22006277486214,424038.7,131686.47,18.1027543709665,45.0540931816089,6.57648273577864,33.527821546421,0.526729987613803,58030.38,110171.02,4.5495894596413,19292.02,0.0,19.0580553142909,10.1740336436273,43141.84,5.03400279266963,21346.12,21.8772377654269,164896.64,7.09598214293135,300819.81,21.8151329543862,21409.0028056877,98138.31,19.3754401112017,5.03400279266963,1.40961029129032,2.73048039311972,15.0134,0.0,7.82856204013304,1.51681726011069,5.21665962091557,11.9115144639818
2019,334187.04,195428.68,143878.84,25171.01,,118707.83,,23598.96,41421.88,25286.08,2237.0,122707.89,71470.38,15457.83,8518.09,87.65,2922.94,24251.0,334187.04,108657.51,9181.04,,99476.47,73361.23,176.84,34489.52,15823.07,2214.12,20657.68,152168.3,37382.59,48593.55,56054.27,10137.89,528981.8,76950.54,528981.8,495125.0,269679.61,0.0,0.0,0.0,269679.61,0.0,0.0,0.0,0.0,0.0,0.0,84.5028165430266,-1730.59,22846.38,11102.17,1090.5,6659.07,3392.2,3832.91,33856.8,3128.51,6.9917925342611,4344.1,32641.21,7514.29,25126.92,,25126.92,8232.77,5100.94,3131.83,0.0,16894.15,0.0,,,16894.15,941.4158922,50.2687339343844,12421.8,25126.92,8272.35,33399.27,-15517.94,-5459.53,-20771.46,-5917.35,-6985.67,1068.32,-513.43,500.0,1687.7,1348.63,-2516.47,8334.49,,16402.38,18758.99,-2356.61,-3775.27,-11635.34,-15.17,53.48,,38.31,5917.35,6504.45,0.0,0.336716057155137,51237.51,152168.3,0.8063958787737,122707.89,6.78414861536336,29471.02,4344.1,3.67657815423032,528981.8,143878.84,19.2353650480889,40.3872626514696,7.55118351982582,28.7030811232065,0.794779118350862,86358.72,108657.51,1.22961697358964,6504.45,0.0,15.4971834569734,6.9917925342611,36985.31,3.19371101236375,16894.15,16.1912009719439,182018.74,5.05529777576055,334187.04,15.4018371790165,17711.4550974214,114995.73,15.5480739435314,3.19371101236375,1.58289142511331,3.07560002065205,12.2674,0.0,8.84186271472901,1.37473719764055,6.37135637905969,5.68531038721573
2020,330063.77,212497.77,165757.94,32076.14,,133681.8,,29737.75,31052.17,28296.11,1143.08,105917.63,63677.62,12844.09,8086.39,589.11,2953.5,17766.92,330063.77,93768.87,9181.04,,84587.83,83388.1,144.47,49106.17,11413.14,2832.06,19892.26,152906.8,25224.3,63486.08,54601.67,9594.75,489305.21,77048.34,489305.21,470455.41,247077.03,0.0,0.0,0.0,247077.03,0.0,0.0,0.0,0.0,0.0,0.0,86.4178290682823,-2765.58,24131.93,8792.65,1101.35,5575.61,2752.57,6090.75,18849.8,3554.72,4.57884354021082,6027.89,16376.63,8766.1,7610.53,-11304.64,-3694.11,-5007.34,-428.78,-5611.5,0.0,1313.23,0.0,,,1313.23,941.4158922,297.119686800895,7190.3,-3694.11,9139.21,5445.1,3551.92,-1806.72,-26882.37,-10978.23,-11678.0,699.77,-735.67,,2030.79,1592.02,-89.95,20189.32,,14946.81,18352.92,-3406.11,-3847.72,-5802.3,497.25,38.31,,535.56,10978.23,-3787.93,0.0,0.276246772543798,42240.01,152906.8,0.692694046307947,105917.63,0.387163667551996,13638.42,6027.89,2.95192622446925,489305.21,165757.94,24.4253383150333,42.5382466360831,8.90811594129912,27.0210242623489,1.24289628316946,116544.98,93768.87,-0.774144628462059,-3787.93,0.0,13.5821709317177,4.57884354021082,22404.52,0.26838667832701,1313.23,7.69849473040773,177156.97,0.397871599176123,330063.77,-3.06424243240519,-3584.6840919734,116984.35,1.40049677467586,0.26838667832701,1.48245658710133,3.51997171342686,0.9536,0.0,57.0819351230425,0.799446464482296,8.52145288539991,5.20514390691978
2021,356963.69,229311.78,185022.72,41622.78,,143399.94,,33052.13,39752.12,25086.22,986.1,114494.28,78188.01,13379.56,8867.29,1668.37,2515.68,9875.37,356963.69,110500.04,9181.04,,101319.0,90946.53,531.59,48434.28,12964.73,9865.67,19150.26,155517.12,33590.69,41172.86,65870.85,14882.72,384762.56,130127.91,384762.56,346669.35,156647.96,0.0,0.0,0.0,156647.96,0.0,0.0,0.0,0.0,0.0,0.0,78.2589319501357,1157.38,23367.33,10712.04,1015.62,4737.0,2749.56,3665.05,38093.21,5377.8,11.2981392992083,3951.06,39519.95,9804.3,29715.65,,29715.65,7879.61,4944.65,890.43,0.0,21836.04,0.0,,,21836.04,941.4158922,50.4545110537425,48783.98,29715.65,12684.11,42399.76,10311.29,-3927.07,-21057.69,-3560.35,-4559.25,998.9,-4580.49,115.28,1749.88,1241.03,-1.13,-27948.11,,8001.77,10050.4,-2048.63,-4146.87,-8383.19,-221.82,535.56,,313.74,3560.35,45223.63,0.0,0.233455133428397,36306.27,155517.12,0.736216565738872,114494.28,8.52093109190951,33666.71,3951.06,2.07954223135407,384762.56,185022.72,22.7734110947574,49.3063106628786,9.11419794642718,35.6470975145484,0.854415980301908,94413.0,110500.04,11.7536461967609,45223.63,0.0,21.7410680498643,11.2981392992083,43471.01,5.67519875114668,21836.04,16.7124761667573,201446.57,6.11715998341456,356963.69,15.4271564842225,20787.6243769327,134746.96,19.7611150186009,5.67519875114668,1.07787590384893,3.23043946409431,15.8559,0.0,3.85976198134448,0.762732277743972,4.07229041147192,13.0718954248366
2022,399787.91,242673.76,196191.7,49220.31,82.55,146888.84,,44446.07,50021.82,13925.61,1018.78,143317.1,103206.94,18136.57,7764.92,882.98,3571.47,9754.22,399787.91,131286.36,9181.04,,122105.32,80328.87,,50579.83,13627.36,9931.27,6190.41,188172.68,42485.28,47482.66,82032.87,16171.87,598149.21,130296.19,598149.21,555028.77,294501.48,0.0,0.0,0.0,294501.48,0.0,0.0,0.0,0.0,0.0,0.0,84.1566872586858,-12197.02,25333.5,10991.7,2003.76,7931.88,3139.93,3397.71,43120.44,4475.18,7.95714835099423,4856.64,42738.98,11005.91,31733.07,,31733.07,7548.97,6871.93,635.97,0.0,24184.1,0.0,,,24184.1,941.4158922,47.8334,22791.27,31733.07,11922.9,43655.97,-13634.16,-7230.54,-20799.99,-3855.04,-4322.94,467.9,-1882.12,78.0,2119.06,2318.68,-1877.7,-1595.11,,8710.95,9297.95,-587.0,-4201.79,-10896.02,396.17,313.74,,709.91,3855.04,18936.23,0.0,0.2132,40118.415376,188172.68,0.7616,143317.1,7.534,36589.71,4856.64,3.04879977083638,598149.21,196191.7,24.8007,44.628,7.7538,27.5811,0.84394525067189,110798.5,131286.36,3.16580372980849,18936.23,0.0,15.8433127413142,7.95714835099423,47595.62,4.04315505156314,24184.1,17.290678936483,211615.23,6.04923245427807,399787.91,16.6932324503617,24474.8044583,146615.13,18.4208778429077,4.04315505156314,1.49616632979221,3.04515952761582,17.5609,0.0,4.5157,0.8318,4.6039,10.5927
2023,432390.28,268028.38,223884.28,58300.47,98.39,165485.42,,48990.69,47357.57,19791.35,1016.35,149633.36,113853.41,15667.38,10161.7,773.01,3760.09,5417.77,432390.28,134757.54,13771.56,,120985.98,96692.89,,58157.63,14613.0,10522.88,13399.38,200939.85,48676.43,58510.95,84122.6,9629.87,839472.2,95480.46,839472.2,817196.81,440693.11,0.0,0.0,0.0,440693.11,0.0,0.0,0.0,0.0,0.0,0.0,90.3227813857326,-7064.61,28416.45,8769.85,1965.63,8252.78,4107.34,9214.97,22275.39,6235.22,3.39625421782877,6953.03,21557.58,11859.44,9698.14,,9698.14,1456.32,429.06,1013.51,0.0,8241.82,0.0,,,8241.82,1412.1238383,50.1278,20985.35,9698.14,18759.44,28457.58,-7332.47,-139.76,-25285.63,-3333.25,-4137.4,804.15,-821.81,12.91,1980.68,3730.71,,3953.69,,6514.84,16601.51,-10086.67,-6315.79,-3309.42,-346.59,709.91,,363.32,3333.25,17652.1,0.0,0.1781,35787.387285,200939.85,0.7447,149633.36,2.3948,16651.17,6953.03,3.74958081022928,839472.2,223884.28,27.0261,42.3695,6.5984,21.9418,0.983213629456281,132495.45,134757.54,2.10276171146585,17652.1,0.0,9.6772186142674,3.39625421782877,28510.61,0.981785936449116,8241.82,7.19427049671068,231450.43,1.90610667751366,432390.28,5.41685241381712,8851.83886825,163412.96,6.11603625296217,0.981785936449116,1.94146871201638,3.20865370501717,5.9847,0.0,13.0232,0.7965,8.3849,3.8491
2024,475423.31,301947.44,253435.09,72469.95,98.39,180866.75,,59065.64,61557.28,15994.7,1100.17,156710.1,112507.49,12779.41,9530.9,832.2,4063.08,16997.02,475423.31,176714.98,13771.56,,162943.42,77174.26,,41367.53,16637.1,10810.17,8359.46,221534.07,51500.96,58751.44,89544.05,21737.62,774348.59,91996.79,774348.59,704911.96,390292.58,0.0,0.0,0.0,390292.58,0.0,0.0,0.0,0.0,0.0,0.0,83.562827950652,1845.65,30003.88,11079.56,2302.31,9017.59,4047.5,2715.27,69436.63,4780.82,9.58450121281941,7363.64,66853.81,14509.6,52344.21,,52344.21,12725.37,11570.4,1110.13,0.0,39618.84,0.0,,,39618.84,1412.1238383,41.7121,68096.6,52344.21,18282.3,70626.51,8108.62,-10638.53,-29701.62,-3673.93,-4284.68,610.75,-4266.31,5118.51,1875.92,2277.42,-110.56,-38294.02,,-16942.76,343.61,-17286.37,-7388.58,-11021.81,100.96,363.32,,464.28,3673.93,64422.67,0.0,0.1995,44196.046965,221534.07,0.7074,156710.1,8.1085,59707.85,7363.64,3.05541190053832,774348.59,253435.09,25.4224,47.6841,5.9925,28.2542,0.65922956842708,116495.74,176714.98,8.31959544215093,64422.67,0.0,16.437172049348,9.58450121281941,74217.45,5.11640887729905,39618.84,23.5172825756617,253889.24,8.33338188655495,475423.31,23.7054569681415,41573.77466373,175376.39,22.4196273570017,5.11640887729905,1.62875604479721,2.69033960788157,28.7686,0.0,5.831,1.3073,4.6712,7.1535
