year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,87646.99029999999,75754.4768,17.329,5.3223,,12.0067,,0.0,9.3229,80229.671,464.3817,6931.608,,,,5.0672,6752.0123,174.5285,87646.99029999999,8681.6084,3583.96,,4555.1484,66747.5665,51013.9117,10770.2299,4960.9055,2.2295,0.2899,12217.8154,,200.0,11976.3977,41.4177,6938.7965,,6938.7965,33.7066,,0.0,,0.7139,3.0983,,0.2077,3.1532,26.7412,6905.0899,1.3761,99.5340618506394,4991.8498,1914.6162,0.4421,1914.1741,,1914.1741,1155.8744,407.1068,748.7675999999999,0.0,758.2997,0.0,,,758.2997,3.58396,20.0395574467457,-1292.0389,1914.1741,-5621.4829,-3707.3088,2799.9854,-384.7155,2.0647,-0.0778,-0.0791,0.0013,,1.7472,,0.3953,,1058.0787,542.5,0.0,,,,-213.9568,-231.8955,236.9627,,5.0672,0.0778,-1292.1167,0.0,0.567336121316745,6931.608,12217.8154,0.567336121316745,6931.608,1.38345987493454,6906.0239,4991.8498,400.415286513936,6938.7965,17.329,0.0,0.0,0.0,0.0,8.20926569320957,71269.63,8681.6084,-18.621625522524,-1292.1167,0.0,100.0,99.5340618506394,6906.466,10.9284037945197,758.2997,9.15564025346379,75429.1749,0.865174830766551,87646.99029999999,-56.808713202093,2735.27489236515,-4814.8862,8.73455315031256,10.9284037945197,0.0791675387397758,10.095708797462,2.11581518766951,0.0,0.0,0.0,10.8374562040847,
2016.0,108400.3876,92260.1619,17.4035,5.6448,,11.7587,,0.0,7.8679,14279.1675,83607.3651,10494.2284,,,,1211.2082,7409.1544,1873.8658,108400.3876,11525.3502,4526.46,,4998.8902,82051.3197,59455.2187,16436.8483,5645.9973,512.0126,1.2428,14823.7177,,5675.7203,8911.8657,236.1317,7506.2392,,7506.2392,38.2,,0.0,,0.9991,4.089,,0.199,2.3395,30.7724,7468.0392,1.0657,99.5052875479907,5518.8425,1950.2624,0.3466,1949.9158,,1949.9158,1101.2232,416.1314,685.0917999999999,0.0,848.6925999999999,0.0,,,848.6925999999999,,40.0008789990628,-16377.4988,1949.9158,-10227.8419,-8277.9261,-7635.1836,-464.3891,1.9372,-0.1064,-0.1184,0.012,,1.5946,,0.449,,17581.7027,2400.0,0.0,,,,-152.0,1206.1411,5.0671,,1211.2082,0.1064,-16377.6052,0.0,0.707934987186109,10494.2284,14823.7177,0.707934987186109,10494.2284,1.3533197042677,7468.7583,5518.8425,431.306300456805,7506.2392,17.4035,0.0,0.0,0.0,0.0,7.59223639902933,87503.1833,11525.3502,-218.186561387492,-16377.6052,0.0,100.0,99.5052875479907,7469.1049,11.3064955350743,848.6925999999999,7.98143202571905,93576.6699,0.782923953308816,108400.3876,4.16284210025585,3250.28160123364,78078.4263,7.36370336061458,11.3064955350743,0.0692455014801072,9.40538775125462,1.87495879782435,0.0,0.0,0.0,12.1592126922732,
2017.0,129649.6308,112172.5391,17.481,5.965599999999999,,11.5154,,0.0,6.54,24558.8355,93985.5648,11087.1751,,,1.3279,7.5175,10859.043,219.2867,129649.6308,12009.5971,6526.46,,5483.1371,104842.5498,72526.2237,24184.045,6389.9166,1741.2026,1.1619,12797.4839,,5769.3529,6979.5872,48.5438,9046.7744,,9046.7744,25.949,,0.0,,1.7925,2.995400000000001,,0.219,2.6345,18.5266,9020.8254,0.886,99.7229620316386,6888.0928,2133.6186,0.3502000000000001,2133.2684,,2133.2684,1199.457,455.2315,743.9192999999999,0.0,933.8114,0.0,,,933.8114,,39.9776348895723,-19455.1836,2133.2684,308.9677,2442.2361,-21450.7302,-446.6895,1.7854,-0.1238,-0.1366,0.0128,,1.455,,0.4542,,18249.7075,,4249.589,25829.8556,-21580.2666,,-667.8062,-1203.6907,1211.2082,,7.5175,0.1238,-19455.3074,0.0,0.866355854528561,11087.1751,12797.4839,0.866355854528561,11087.1751,1.3097037833172,9021.3612,6888.0928,517.520416452148,9046.7744,17.481,0.0,0.0,0.0,0.0,8.85915328500071,106394.8616,12009.5971,-215.05242133594,-19455.3074,0.0,100.0,99.7229620316386,9021.7114,10.3220369903333,933.8114,7.72032131144353,116852.1469,0.720257662314917,129649.6308,4.27896775356587,3948.59951761217,92279.2539,7.77554311126724,10.3220369903333,0.0697786360375814,10.7955021072272,0.0143,0.0,0.0,0.0,12.5157854306889,
2018.0,162332.1298,141836.0194,17.5858,6.2909,,11.2949,,0.0,5.327999999999999,42385.082,105824.2311,14106.1938,,,1.212,99.821,12363.494,1641.6668,162332.1298,13565.2098,6526.46,,7038.7498,123295.845,92556.9417,22297.1924,6389.9166,2050.287,1.5073,25471.075,,4966.7885,20283.9799,220.3066,11018.5088,,11018.5088,37.8593,,0.0,,1.7772,5.439500000000001,,0.2378,5.483,25.1596,10980.6495,1.7234,99.6720436435101,8436.8673,2545.5056,0.354,2545.1516,,2545.1516,537.8449,543.4233,,0.0,2007.3067,0.0,,,2007.3067,,18.6630251007933,-27936.1572,2545.1516,416.6364,2961.788,-30344.7595,-553.1857,1.6744,-0.1401,-0.1481,0.008,,1.3279,,0.4866,,28026.7863,,10987.041,39163.1482,-28176.1072,,-281.0647,92.3035,7.5175,,99.821,0.1401,-27936.2973,0.0,0.553812267444542,14106.1938,25471.075,0.553812267444542,14106.1938,1.30167021828114,10982.0189,8436.8673,626.557154067486,11018.5088,17.5858,0.0,0.0,0.0,0.0,9.94843239357787,134952.5726,13565.2098,-253.539728533865,-27936.2973,0.0,100.0,99.6720436435101,10982.3729,18.2175894799848,2007.3067,8.02421033218575,136861.0548,1.23654306912198,162332.1298,9.17648502187923,8659.92451103104,94370.8238,14.7974615180666,18.2175894799848,0.0678763274625625,11.9667983166762,3.0756,0.0,0.0,0.0,12.8732845704046,
2019.0,209148.386,-64357.127,12.001,0.726,,11.275,,0.0,13.145,3.166,46.69,209074.11,,125026.512,131.444,81.066,3105.128,80861.404,209148.386,25028.653,9380.46,,15648.193,170954.789,165964.966,4981.732,64431.403,8.091,25595.404,13164.944,12.179,2985.977,7607.247,2559.541,11133.594,,11133.594,48.495,,0.0,,2.318,6.251,,0.219,2.798,37.128,11085.099,0.001,99.5644353476515,8183.097,2902.003,0.4179999999999999,2901.585,,2901.585,646.836,646.924,,0.0,2254.749,0.0,,,2254.749,,16.6412492033481,-41748.188,2901.585,142.243,3043.828,-44172.763,-619.253,1.314,-0.412,-0.422,0.01,,1.212,,0.514,,41749.453,2854.0,27017.283,27017.283,,,-375.0,2.579,1.128,,3.707,0.412,-41748.6,0.0,15.8811241430271,209074.11,13164.944,15.8811241430271,209074.11,1.35458274538356,11084.682,8183.097,927.722189817515,11133.594,12.001,3863.1753359348,0.0,4098.82710650308,235.651770568278,6.94934221989493,173932.675,25028.653,-374.978645709553,-41748.6,0.0,100.0,99.5644353476515,11085.1,20.251762368917,2254.749,5.65592781047289,195983.442,1.07806186943274,209148.386,4.39726422705828,8613.62786203712,195886.065,9.00867098201409,20.251762368917,0.0532329902847063,8.35635805091069,2.40366570509335,0.0,0.0,0.0,16.5295819613716,
2020.0,278051.874,1828.796,12.224,1.177,,11.047,,0.0,11.512,2.84,1803.397,276223.078,,148579.8,,100.763,5367.014,122175.501,278051.874,30299.752,11880.46,,18419.292,230522.994,218597.505,11915.807,,9.682,2547.745,17229.128,37.752,3863.409,10766.419,2561.548,13421.017,,13421.017,65.84,,0.0,,2.984,6.265,,0.258,3.657,52.934,13355.177,0.073,99.5099700715676,10162.696,3192.554,0.458,3192.096,,3192.096,,,,0.0,3192.096,0.0,,,3192.061,,15.631978561858,-62700.606,3192.096,-10.496,3181.6,-65292.831,-589.375,1.472,-0.236,-0.241,0.005,,1.116,,0.592,,62696.807,2500.0,28900.728,28900.728,,,-200.0,-2.327,3.707,,1.38,0.236,-62700.842,0.0,16.032330713429,276223.078,17229.128,16.032330713429,276223.078,1.31409932954799,13354.792,10162.696,1097.92351112565,13421.017,12.224,2827.32109042704,0.0,3720.51923784911,893.198147422074,7.73526862530096,234376.721,30299.752,-467.183984641402,-62700.842,0.0,100.0,99.5099700715676,13355.25,23.7840470658818,3192.061,5.12025588443118,260822.746,1.1480091660882,278051.874,5.12248872377656,13354.719,260707.631,10.5349410120584,23.7840470658818,0.0482680328923084,9.17670461461203,2.6868,0.0,0.0,0.0,18.431434679246,
2021.0,381130.28,702.304,46.958,1.601,,45.357,,0.0,11.982,19.126,625.839,380427.976,,165568.991,,458.924,190522.417,23877.644,381130.28,35913.382,13068.506,,22844.876,320222.342,262204.926,58008.726,,8.69,1.458,24994.556,50.761,2897.027,21368.889,677.879,15770.473,,15770.473,113.247,,0.0,,5.134,7.847,,0.237,2.919,97.347,15657.226,0.39,99.2843778369869,11237.053,4420.563,4.432,4416.131,,4416.131,,,,0.0,4416.131,0.0,,,4416.132,1306.8506,31.0724431818182,-89906.647,4416.131,-265.735,4150.396,-93752.969,-304.074,0.423,-0.833,-0.865,0.032,,1.005,,0.251,,90202.035,3088.92,65778.122,65778.122,,,-1872.193,295.811,1.38,,297.191,0.833,-89907.48,0.0,15.2204334415862,380427.975999999,24994.556,15.2204334415862,380427.976,1.39299725648709,15653.184,11237.053,335.842092934111,15770.473,46.958,2749.35874608693,0.0,3635.41121166753,886.052465580604,8.99694378546693,323110.679,35913.382,-570.100085140122,-89907.48,0.0,100.0,99.2843778369869,15657.616,28.0025335955364,4416.132,4.39528610727072,356135.724,1.15869355748906,381130.28,4.40123256153487,15652.794,355645.692,12.2966196834372,28.0025335955364,0.0413781686409172,10.6124864542136,3.3792,0.0,6.79154829545455,0.835126618540131,22.5222010981748,4.57516339869281
2022.0,449992.686,1373.097,53.586,15.624,,37.962,,0.0,10.003,19.092,1306.04,448619.589,,200692.499,,303.376,220961.137,26662.577,449992.686,40996.34,13068.506,,27927.834,388428.38,341483.92,46932.698,,11.762,1.699,20567.966,24.571,,20477.362,66.033,20299.264,,20299.264,122.635,,0.0,,5.943,10.748,,0.211,5.456,100.488,20176.629,2.333,99.4073578234166,14074.782,6104.18,14.025,6090.155,,6090.155,0.319,,,0.0,6089.836,0.0,,,6090.397,1306.8506,30.0435631665916,-64412.282,6090.155,127.385,6217.54,-70925.582,295.76,-4.719,-6.633,-6.633,,,0.918,,0.996,,64266.302,,49731.474,49731.474,,,-1006.275,-150.699,297.191,,146.492,6.633,-64418.915,0.0,21.811567998508,448619.589000001,20567.966,21.811567998508,448619.589,1.43269977467502,20164.937,14074.782,378.816556563281,20299.264,53.586,3292.86430902125,0.0,3292.86430902125,,9.47442181424,388416.618,40996.34,-317.34606239911,-64418.915,0.0,100.0,99.4073578234166,20178.962,30.0030434600979,6090.397,4.6958025611567,429424.72,1.35344355352478,449992.686,4.69865114959922,20161.5478904796,429092.249,14.8559529948283,30.0030434600979,0.0451102087468151,10.9764112113423,4.6599,0.0,4.60310307088135,0.683767023348913,20.6227251614825,6.52680652680653
2023.0,491146.748,7455.416,54.322,29.683,5.45,19.189,,0.0,13.664,46.624,7375.939,483691.332,,244147.006,,541.659,218386.865,20615.802,491146.748,45470.317,13068.506,,32401.811,418940.02,372133.153,46796.105,,10.762,,26736.411,13.161,,26618.448,104.802,23891.83,,23891.83,134.345,,0.0,,5.285,13.099,,0.228,7.14,108.821,23757.485,40.798,99.6084561124033,17447.208,6351.075,14.062,6337.013,,6337.013,,,,0.0,6337.013,0.0,,,6337.619,1306.8506,30.9335753026335,-28583.834,6337.013,113.72,6450.733,-35303.852,269.285,0.091,-0.756,-0.775,0.019,,0.292,,0.555,,28643.279,,8619.729,8619.729,,,-1868.796,59.536,146.492,,206.028,0.756,-28584.59,0.0,18.0911092367633,483691.332,26736.411,18.0911092367633,483691.332,1.36321072116524,23784.221,17447.208,439.818673833806,23891.83,54.322,3397.94857331983,0.0,3397.94857331983,,9.21324691886357,418929.258,45470.317,-119.641693415699,-28584.59,0.0,100.0,99.6084561124033,23798.283,26.5263020873663,6337.619,5.12138062077632,464410.337,1.29037177295939,491146.748,5.11923102555346,23743.423,463808.39,13.9379257021674,26.5263020873663,0.0486449927588648,10.8014806230623,4.8491,0.0,5.48555402033367,0.764503708210347,19.0412823042738,5.6390977443609
2024.0,485082.426,472900.866,,,,15.795,,,53.59500000000001,,,12181.56,,,,467.37,,4944.508,485082.426,49178.567,13068.506,,36110.061,435357.786,,,,,,546.073,,,,162.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7914.098,6412.104,137.189,6549.293,1340.906,23.8989999999991,-7.544,-8.32,-8.327,0.007,,,,0.776,,-8046.422,,-15085.549,-15040.974,-44.575,,-1960.276,-139.868,162.638,,22.77,8.32,7905.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
