year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,tobacco,paper & board,others,wheat,edible oils & fats,processed sugar,waste paper,aroma chemicals,plywood,coffee,hydrogen,aluminum,surface chemistry,adhesives,packaging films,soybeans,packaging,bopp films,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015,44195.66,18609.03,21726.97,7548.48,,14178.49,,2114.14,2441.64,1506.36,,23955.03,7836.76,1722.4,5963.82,7588.61,293.55,549.89,44195.66,30735.69,801.55,,29934.14,1778.06,,38.69,1631.6,7.05,100.72,11681.91,1904.62,0.02,3671.18,6106.09,36507.4,13881.61,36507.4,23083.14,10987.83,1802.39,650.57,3387.02,1747.9,406.49,255.15,878.26,609.56,799.4,451.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.1890027775191,-214.53,1601.9,1780.04,1983.48,581.65,1419.54,1044.57,13424.26,1613.45,41.1908544569046,78.45,14959.26,961.74,13997.52,,13997.52,4389.79,4043.28,353.15,0.0,9607.73,0.0,,,9607.73,801.552,52.1424280851632,9308.87,13997.52,-493.06,13504.46,30.19,-4225.78,-4822.57,-3044.5,-3051.06,6.56,-95234.05,92351.09,551.95,576.92,-88.79,-4573.61,978.79,-15.4,,-15.4,-5.67,-4771.91,-87.31,121.06,,36.29,3044.5,6264.37,0.0,1.37976324077141,16118.2699999999,11681.91,2.05060901855946,23955.03,179.426003824092,14075.97,78.45,1.68028031520272,36507.4,21726.97,20.7050552474614,55.0382861262803,14.0807727716818,48.4140036505007,0.00172503041252694,53.02,30735.69,17.1591786870607,6264.37,0.0,59.8109972224809,41.1908544569046,15037.71,26.3172124007735,9607.73,43.2923609242244,32513.75,21.7390802626321,44195.66,40.7783157925027,8554.12439343541,20977.14,31.2591973695726,26.3172124007735,0.826040384960876,1.43792639761788,7.9909,0.0,27.1517184130282,8.50184359364449,16.8462390550157,1.92041788293133
2016,50031.28,24929.93,15005.32,994.35,,14010.97,,2419.17,6853.2,2589.27,924.75,23233.92,8519.82,1686.35,6471.33,5639.2,426.22,491.0,50031.28,41656.43,804.72,,39650.41,2020.58,,25.83,1867.43,15.13,112.19,6354.27,2228.01,3.6,4036.67,85.99,36582.67,15361.9,36582.67,22904.14,11054.75,1764.47,631.34,3227.32,2231.33,404.06,243.64,804.29,584.92,796.29,367.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7660425004517,-196.55,1642.94,2331.59,2114.41,541.57,1629.17,1194.46,13678.53,1828.15,42.3880487673535,71.93,15434.75,1000.68,14434.07,,14434.07,5105.7,4948.76,158.49,-1.55,9328.37,0.0,,,9328.37,804.7206991,73.3259937159439,9211.92,14434.07,-142.64,14291.43,-251.79,-4827.72,-3710.9,-2137.67,-2144.78,7.11,-150445.25,148136.52,716.31,376.9,-402.58,-5465.1,531.7,-14.31,,-14.31,-23.05,-5009.7,35.92,36.27,,72.19,2137.67,7074.25,0.0,2.31562398198377,14714.1,6354.27,3.65642630860823,23233.92,201.66828861393,14506.0,71.93,2.43797999642793,36582.67,15005.32,13.3680101979485,57.4665619524813,11.9761675763222,56.074719330855,0.00101520941664948,42.29,41656.43,19.3377082645963,7074.25,0.0,63.2339574995483,42.3880487673535,15506.68,25.4994236341962,9328.37,33.2119803988414,43677.01,18.6450756406792,50031.28,28.652815334841,8193.36996456993,28595.34,22.393589657107,25.4994236341962,0.731195963805044,1.20104579293041,7.7281,0.0,28.2993232489228,6.52546156692612,16.663237133932,2.59106843468983
2017,54215.95,27806.86,16895.59,2015.35,,14880.24,,3537.02,8485.51,2775.79,,24537.39,7863.99,2207.5,10099.78,2747.27,532.65,1086.2,54215.95,45340.96,1214.74,,42526.51,2044.92,,17.99,1871.7,23.86,131.37,6830.07,2551.22,0.01,4135.93,142.91,40088.68,15359.78,40088.68,25504.55,11765.56,0.0,0.0,11765.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8523972353293,644.17,1765.79,2444.31,2028.34,550.32,1597.97,1141.52,14584.13,2002.2,41.374098623352,45.33,16541.0,1038.04,15502.96,,15502.96,5302.06,5339.68,-37.62,0.0,10200.9,0.0,,,10200.9,1214.7383071,56.5637801276555,10002.02,15502.96,-351.09,15151.87,63.11,-5212.96,-2780.33,-2897.11,-2944.49,47.38,-81494.14,80519.23,720.43,248.85,119.65,-7137.62,1066.96,-12.86,,-12.86,-21.77,-6840.12,84.07,72.19,,156.26,2897.11,7104.91,0.0,2.44117556628263,16673.4,6830.07,3.59255322419829,24537.39,343.002206044562,15548.29,45.33,2.37273039887923,40088.68,16895.59,12.1468111283418,53.9247677031968,12.8160029151396,54.5939594899946,0.000569904122012414,25.84,45340.96,17.7229831463645,7104.91,0.0,60.1476027646707,41.374098623352,16586.33,25.4458365803015,10200.9,32.8120739764673,47385.88,18.8153117302196,54215.95,26.7046252631961,8913.28555843529,33377.31,22.4982003027726,25.4458365803015,0.73942594384125,1.19573890804253,8.3976,0.0,33.3964466037916,7.78838814620067,20.375357478116,1.6937065430558
2018,62381.31,35960.37,18690.08,3124.09,,15565.99,,5025.58,13493.77,2777.09,1015.88,24503.0,7237.15,2357.01,9903.45,2594.88,679.18,1731.33,62381.31,51400.07,1220.43,,48305.67,2124.64,,11.13,1917.94,73.66,121.91,8856.6,3382.28,,5435.08,39.24,40627.54,3702.23,40627.54,25087.06,11756.21,0.0,0.0,11756.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.8653607872886,1041.85,1793.6,2487.46,2109.33,620.92,1285.12,1000.59,15540.48,2153.29,43.5511724313114,109.6,17584.17,1145.37,16438.8,412.9,16851.7,5628.45,5863.36,-65.7,0.0,11223.25,0.0,,,11223.25,1220.4294911,56.0020008481857,12650.85,16851.7,-401.44,16450.26,1920.16,-5719.57,-6691.24,-2547.81,-2619.04,71.23,-99613.19,94577.57,691.4,409.79,-206.66,-6019.85,912.79,-7.84,,-7.84,-45.32,-5770.01,-60.24,156.26,,96.02,2547.81,10103.04,0.0,1.9494896461396,17265.85,8856.6,2.76663731002868,24503.0,154.756386861314,16548.4,109.6,2.17374885500758,40627.54,18690.08,12.3820576437351,62.1694642223499,18.7915045577724,68.5789111363872,0.000349999523346953,17.99,51400.07,24.8674667479252,10103.04,0.0,61.1346392127114,43.5511724313114,17693.77,27.6247343550705,11223.25,30.9173090335286,53524.71,17.9913663243045,62381.31,27.6614061674934,9587.15846516968,34658.97,21.8350869950177,27.6247343550705,0.651277441913291,1.21364251060358,9.1961,0.0,27.8270136253412,6.30592832869941,17.5050962570441,2.01250488472059
2019,69797.92,38184.82,22852.69,4366.29,,18486.4,,3401.36,14071.45,2751.77,1517.98,29568.96,7587.24,3646.22,12506.55,3768.73,740.45,1319.77,69797.92,57949.79,1225.86,,54725.99,2226.57,,7.89,2044.14,41.9,132.64,9621.56,3368.28,,5883.34,369.94,44995.65,788.74,44995.65,27675.61,13184.97,0.0,0.0,13184.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4596066508651,-180.14,1961.98,2728.44,2497.82,714.88,1357.45,1109.89,17320.04,2493.86,44.0351456196321,58.04,19755.86,1311.7,18444.16,,18444.16,5979.84,5982.79,98.97,0.0,12464.32,0.0,,,12464.32,1225.8631601,56.5509791147852,11749.05,18444.16,-727.46,17716.7,-481.77,-5485.88,-5081.75,-2759.48,-2768.64,9.16,-95743.24,92300.57,1112.91,415.9,-408.73,-6600.57,969.13,-6.87,,-6.87,-86.68,-6285.21,66.73,96.02,,162.75,2759.48,8989.57,0.0,2.28463159820237,21981.72,9621.56,3.07319810924632,29568.96,318.783597518952,18502.2,58.04,1.96894326225928,44995.65,22852.69,11.8290876556792,59.0911263642477,23.9293234003991,71.1913621089676,0.000192062818519273,11.13,57949.79,19.9787535017274,8989.57,0.0,61.5403933491349,44.0351456196321,19813.9,27.7011666683335,12464.32,30.7466254190184,60176.36,17.8577241270227,69797.92,27.3295092158931,10818.2249790069,39584.41,21.5088268654641,27.7011666683335,0.6446560298645,1.20445509811166,10.1678,0.0,29.180353665493,6.50045819753949,18.1667951286723,1.93798449612403
2020,75235.36,37110.8,25934.67,5802.48,,20132.19,,2780.2,13455.59,1975.11,0.0,36506.91,8038.07,2092.0,17175.02,6843.27,764.65,1593.9,75235.36,64029.16,1229.22,,60777.76,2116.79,,5.63,1617.65,349.72,143.79,9089.41,3446.74,,5388.02,254.65,45619.7,1187.64,45619.7,27702.44,13121.76,0.0,0.0,13121.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7800160895403,-176.34,1993.6,2658.21,2554.33,744.55,1286.46,1230.16,17917.26,3025.37,45.9069875514306,80.44,20862.19,1563.27,19298.92,-132.11,19166.81,4030.76,4581.16,-429.88,0.0,15136.05,0.0,,,15136.05,1229.2231241,82.4298534129208,13806.18,19166.81,-1128.49,18038.32,418.0,-4650.14,-5516.71,-2113.6,-2140.35,26.75,-82043.1,76850.96,1437.26,551.11,-202.39,-7890.87,625.3,-3.23,,-3.23,-45.54,-7048.71,398.6,162.75,,561.35,2113.6,11692.58,0.0,3.13208888145655,28468.84,9089.41,4.01642240805509,36506.91,239.274614619592,19379.36,80.44,1.75902373155317,45619.7,25934.67,11.1324304551366,60.9224765816643,22.373096826267,72.1631429527947,0.000123225105561279,7.89,64029.16,25.6305499597762,11692.58,0.0,62.2199839104597,45.9069875514306,20942.63,33.1787582995943,15136.05,29.297878403742,66145.95,20.1182661982344,75235.36,29.6982453221692,12914.7630899195,43486.62,23.639307465536,33.1787582995943,0.606359828676303,1.17501713281886,12.3135,0.0,13.9684086571649,3.40971032616006,9.76909108359361,5.90116279069767
2021,71580.36,38037.39,29067.71,7256.48,,21811.23,,3333.47,12937.42,1306.44,,31815.24,9470.87,2090.29,14046.71,4001.53,705.93,1499.91,71580.36,59004.62,1230.88,,56067.22,2401.79,,5.28,1727.73,511.71,157.07,10173.95,4119.31,,5668.53,386.11,45485.13,3039.43,45485.13,29952.43,13605.07,0.0,0.0,13605.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.9146156117395,-526.86,1644.59,2820.95,2734.93,672.11,1004.83,1100.4,15532.7,3252.26,41.2991234717808,58.94,18726.02,1561.83,17164.19,,17164.19,4132.51,3960.45,172.06,0.0,13031.68,0.0,,,13031.68,1230.8844231,101.5367,11493.86,17164.19,-1318.78,15845.41,-394.93,-3956.62,6497.89,-1579.43,-1582.09,2.66,-59089.38,65601.77,1199.36,723.94,-361.57,-18378.89,290.65,-2.26,,-2.26,-43.47,-18629.29,-387.14,561.35,,231.28,1579.43,9914.43,0.0,2.1962,22344.02899,10173.95,3.1271,31815.24,292.2146,17223.13,58.94,1.56479922222975,45485.13,29067.71,12.4524,65.8508,15.7295,69.1279,9.54162572354504e-05,5.63,59004.62,21.7970796170089,9914.43,0.0,56.0853843882605,41.2991234717808,18784.96,28.6504182795564,13031.68,28.0477722114027,61406.41,18.2056642352735,71580.36,24.7921825499025,10607.20142619,42784.46,22.0858637849036,28.6504182795564,0.635441481434293,1.21313144631725,10.5873,0.0,20.6379,4.6938,14.1044,4.9199
2022,75092.5,42483.35,31461.61,8605.2,,22856.41,,2466.18,15657.32,2806.38,0.0,30942.01,9997.77,1952.5,11624.95,3877.94,896.84,2592.01,75092.5,61399.57,1232.33,,58850.91,2214.84,,4.54,1667.14,356.29,186.87,11478.09,4223.4,,6647.7,606.99,56341.27,3404.29,56341.27,37447.8,16064.5,0.0,0.0,16064.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5600438186786,-566.46,2197.34,3061.99,2881.13,864.05,1123.11,1087.66,18893.47,2648.74,38.2352225997036,60.53,21481.68,1652.15,19829.53,,19829.53,4771.7,4803.32,-31.62,0.0,15057.83,0.0,,,15057.83,1232.3255931,94.1157214174646,14807.79,19829.53,-695.82,19133.71,184.1,-4510.02,-1517.06,-1674.81,-1812.03,137.22,-71640.8,70482.26,962.97,857.46,-427.24,-13337.03,291.82,-0.35,,-0.35,-42.14,-13547.07,-46.3,231.28,,184.98,1674.81,13132.98,0.0,1.82471473912471,20944.2399999999,11478.09,2.69574554651514,30942.01,328.598380968115,19890.06,60.53,1.79079424098131,56341.27,31461.61,13.7781437593615,59.4693028235069,12.3491883748349,58.0403474389803,8.59940875807436e-05,5.28,61399.57,23.3096982016912,13132.98,0.0,53.4399561813214,38.2352225997036,21542.21,26.7261103627945,15057.83,31.2665951000724,63614.41,20.0523754036688,75092.5,32.0041415787868,13092.4366606571,40908.57,24.5243248446202,26.7261103627945,0.750291573725738,1.2230134510714,12.219,0.0,20.5254112447827,5.14400295323621,14.1673349206047,4.58532695374801
2023,82261.74,45437.17,33850.3,10028.45,,23821.85,,1696.6,16363.55,2789.64,2034.4,35203.44,10593.9,2321.33,16357.07,3831.26,867.39,1232.49,82261.74,67593.8,1242.8,,65609.55,2252.32,,3.28,1621.13,426.08,201.83,12415.62,4351.26,,7224.64,839.72,66043.27,4208.01,66043.27,42076.46,19809.83,0.0,0.0,19809.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.7291793698283,-39.5,2647.52,3569.46,3122.44,1199.84,1376.3,1280.72,23966.81,2447.04,39.9947640387885,73.58,26340.27,1662.73,24677.54,72.87,24750.41,5997.1,6019.69,-22.59,0.0,18753.31,0.0,,,18753.31,1242.8017741,102.7198,17911.7,24750.41,-438.52,24311.89,-599.6,-5800.59,-5159.37,-1809.46,-1858.32,48.86,-86204.4,82310.44,1216.27,556.9,-1166.14,-12730.43,2477.39,-0.74,,-0.74,-40.04,-15150.44,21.9,184.98,,206.88,1809.46,16102.24,0.0,1.9821,24609.000402,12415.62,2.8354,35203.44,337.3742,24751.12,73.58,1.95103942948807,66043.27,33850.3,10.4109,53.4934,11.1026,54.1851,6.71659235018596e-05,4.54,67593.8,24.3813487733118,16102.24,0.0,56.2708206301717,39.9947640387885,26413.85,28.3954898053958,18753.31,35.4366427226022,69846.12,22.7971229395342,82261.74,36.3361618729629,16899.73450376,46509.41,27.7441274199705,28.3954898053958,0.802843095708892,1.21700126342949,15.0896,0.0,25.4115,7.1284,17.8969,4.0422
2024,87327.6,49173.27,36851.76,11481.63,,25370.13,,1087.04,22821.94,1304.73,300.0,36070.67,12631.51,3311.45,11916.88,6217.69,959.99,1033.15,87327.6,72233.3,1248.47,,70477.24,2678.69,,1.76,2083.66,371.82,221.45,12415.61,4489.55,,7097.34,828.72,65440.81,4664.48,65440.81,40988.89,21309.84,0.0,0.0,21309.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.2313050526117,-370.71,2872.13,3732.23,3329.5,1083.65,1636.62,1352.66,24451.92,3595.18,42.8587298965279,75.94,27971.16,1647.82,26323.34,-7.57,26315.77,5893.8,6138.25,223.99,0.0,20421.97,0.0,,,20421.97,1248.4721471,84.0588,16118.23,26315.77,-1456.89,24858.88,-3057.8,-5682.85,2127.55,-2546.38,-2647.23,100.85,-71342.23,75061.34,1016.53,990.35,-1050.35,-18255.03,1442.83,-1.26,,-1.26,-46.02,-19606.06,-9.25,206.88,,197.63,2546.38,13571.85,0.0,1.8879,23439.430119,12415.61,2.9053,36070.67,347.5337,26399.28,75.94,1.77578519994703,65440.81,36851.76,15.3274,60.461,14.6634,59.797,4.54084196623995e-05,3.28,72233.3,20.7391228806612,13571.85,0.0,58.7686949473883,42.8587298965279,28047.1,31.206780600668,20421.97,35.2403934270068,74911.99,23.3854703438546,87327.6,40.0429096976685,17696.7797435,44194.54,28.2722373199065,31.206780600668,0.749371447285852,1.20896594783846,16.3576,0.0,26.1988,7.4594,18.8546,3.2085
