year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,others,coal,mild steel,hot rolled coil(strip),iron,zinc,cold rolled coil(strip),material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,74892.4,52645.74,53792.0,15222.61,,38569.39,,7789.86,4197.28,4200.24,855.56,19023.96,8584.74,2026.83,,1795.06,1592.44,5024.89,74892.4,25724.6,1067.19,,24657.41,28756.36,15656.53,9840.36,2966.59,236.1,56.78,20411.44,12515.39,264.34,7185.02,446.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8466.17,3248.92,5094.49,8343.41,833.55,-710.79,-6274.64,-4313.12,-4451.59,138.47,-942.87,159.09,64.0,57.16,-292.41,-1805.37,,4363.91,11072.71,-6708.8,-2165.35,-343.72,386.16,423.5,,809.66,4313.12,4153.05,0.0,0.511439663247669,10439.22,20411.44,0.932024394163273,19023.96,2.11697018245327,6553.91,2908.69,0.856769036287924,46087.32,53792.0,25.6201241245004,53.5306983208684,15.3753846492719,43.2859588456399,1.09366559635524,28134.11,25724.6,9.01126383569277,4153.05,0.0,43.4458111254896,20.2624279302854,9338.41,4.70081575583045,2166.48,12.0297256142329,54480.96,2.89279018965876,74892.4,8.99625470639544,3961.25516220775,44032.27,8.42182191365463,4.70081575583045,0.615380465841661,2.91131446164372,8.8473,0.0,10.2590620867383,0.890301424094936,5.25177260368735,1.21192089461797
2016.0,73028.21,60044.16,49387.56,2827.63,,46559.93,,6439.32,4764.03,888.04,913.3,13463.59,6741.74,2510.71,,598.54,1221.58,2391.02,73028.21,20410.25,300.9,,20109.35,30819.2,14602.1,15542.71,-479.54,136.51,1017.42,21798.76,11011.32,2069.9,8611.87,105.67,36706.92,4152.04,36706.92,30792.17,32206.52,23058.59,9147.93,0.0,0.0,0.0,0.0,0.0,54.4845495072864,1083.56,5039.73,953.29,25.27,3093.12,163.63,1517.53,5914.75,772.4,18.2176821155248,3218.73,3468.42,2847.24,621.18,-5860.45,-5239.27,-1709.6,6.71,-1716.31,0.0,-3529.67,0.0,,,-3529.67,24.1722044,,5669.49,-5239.27,11553.93,6314.66,-491.29,-153.88,-5032.77,-3905.17,-3906.77,1.6,,854.94,59.25,18.29,-1283.46,-981.53,53.16,285.55,5863.06,-5577.51,-2805.86,-320.03,-344.81,809.9,,465.09,3905.17,1764.32,0.0,0.308359282821592,6721.85000000001,21798.76,0.617631002864383,13463.59,-0.627744483072516,3839.91,3218.73,0.743242225370113,36706.92,49387.56,29.3306109686714,68.4570189745407,20.2673061184132,59.3937141242825,1.74704229492534,35657.57,20410.25,4.80650514943776,1764.32,0.0,45.5154504927136,18.2176821155248,6687.15,-9.61581630929536,-3529.67,7.49551283490258,51229.45,-4.83329661236391,73028.21,4.59452966750247,2066.56614789847,44978.84,-17.2936147278941,-9.61581630929536,0.502640281063989,3.57801643781923,-14.7149,0.0,0.0,1.50947077332694,9.83611596120918,0.585685838116434
2017.0,80959.0,61832.0,56039.0,5773.0,,50266.0,,3027.0,4750.0,4389.0,729.0,17798.0,9270.0,3948.0,300.0,1027.0,1719.0,1534.0,80959.0,24098.0,301.0,,23784.0,30733.0,14023.0,14335.0,1329.0,972.0,74.0,26128.0,11604.0,4875.0,9483.0,166.0,52290.0,4623.0,52290.0,45990.0,28399.88,28399.88,0.0,0.0,0.0,0.0,0.0,0.0,53.461464907248,-1390.0,6221.0,1168.0,33.0,4097.0,191.0,6325.0,6300.0,5499.0,22.5645438898451,3643.0,8156.0,3025.0,5131.0,,5131.0,1554.0,,1577.0,0.0,3577.0,0.0,,,3577.0,241.722044,15.0964,8561.0,5131.0,6344.0,11475.0,-2891.0,-23.0,-6284.0,-3927.0,-3952.0,25.0,-2968.0,2490.0,121.0,18.0,-524.0,-2030.0,57.0,-807.0,3995.0,-4802.0,-3494.0,-218.0,247.0,465.0,,712.0,3927.0,4634.0,0.0,0.3264,8528.1792,26128.0,0.6812,17798.0,2.4085,8774.0,3643.0,0.933100162386909,52290.0,56039.0,30.0122,51.344,20.7108,42.0426,1.60154369657233,38594.0,24098.0,8.86211512717537,4634.0,0.0,46.538535092752,22.5645438898451,11799.0,6.84069611780455,3577.0,16.0018967372472,54831.0,4.41828579898467,80959.0,5.11164698309638,2283.117125,44665.0,14.8435554817827,6.84069611780455,0.645882483726331,3.35957340858163,14.9042,0.0,12.5871,1.8741,6.9998,1.1994
2018.0,85551.0,64227.0,58347.0,8779.0,,49568.0,,3392.0,4878.0,6548.0,1912.0,19253.0,10082.0,4692.0,,601.0,1990.0,1888.0,85551.0,27907.0,302.0,,27564.0,32439.0,12450.0,17101.0,2071.0,702.0,115.0,25205.0,13988.0,2172.0,8582.0,463.0,66464.0,1259.0,66464.0,52723.0,35995.0,35995.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3763842079923,412.0,7755.0,1260.0,41.0,4771.0,133.0,1293.0,13741.0,213.0,20.9948242657679,3591.0,10363.0,3054.0,7309.0,-234.0,7075.0,2450.0,1578.0,872.0,0.0,4625.0,0.0,,,4625.0,241.722044,16.6745697179392,12174.0,7075.0,6777.0,13852.0,-471.0,-1207.0,-6134.0,-3769.0,-3776.0,7.0,-7804.0,8289.0,178.0,5.0,-175.0,-6301.0,49.0,797.0,5571.0,-4774.0,-3417.0,-655.0,-261.0,712.0,,451.0,3769.0,8405.0,0.0,0.363856377702837,9171.00000000001,25205.0,0.763856377702837,19253.0,2.97020328599276,10900.0,3591.0,1.13911597854217,66464.0,58347.0,31.2130236938149,52.1497866308344,23.2830796036797,44.2198425406992,1.29648475292937,36181.0,27907.0,12.645943668753,8405.0,0.0,43.6236157920077,20.9948242657679,13954.0,6.95865430909966,4625.0,18.062506214165,60346.0,5.40613201482157,85551.0,14.4584975132506,6986.20141342756,48319.0,16.5729028559143,6.95865430909966,0.776893315098596,3.06557494535421,19.1909,0.0,15.0097181476637,2.49667505844273,7.52472767665186,1.11091824336053
2019.0,107425.0,75696.0,63791.0,12019.0,,51772.0,,10443.0,5397.0,10040.0,1375.0,28398.0,10815.0,6770.0,,5813.0,3789.0,1211.0,107425.0,34893.0,301.0,,34501.0,36345.0,12139.0,15527.0,3331.0,5113.0,235.0,36187.0,13128.0,5371.0,17442.0,246.0,77187.0,,77187.0,58675.0,39179.0,39179.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1718294531463,-180.0,9525.0,1435.0,29.0,6437.0,169.0,1582.0,18512.0,405.0,24.5080130073717,3789.0,15128.0,3421.0,11707.0,,11707.0,3586.0,2356.0,1230.0,0.0,8121.0,0.0,,,8121.0,241.722044,12.1167343923162,15578.0,11707.0,6791.0,18498.0,-455.0,-2465.0,-11432.0,-8302.0,-8333.0,31.0,-8525.0,8503.0,189.0,124.0,-981.0,725.0,-153.0,2494.0,6827.0,-4333.0,-3598.0,-907.0,4871.0,495.0,,5366.0,8302.0,7276.0,0.0,0.485892723906375,17583.0,36187.0,0.78475695691823,28398.0,4.08973343890209,15496.0,3789.0,1.20999827561882,77187.0,63791.0,29.9300937623603,49.4086115537591,27.1006127974918,46.5791305888906,1.25251483105494,43704.0,34893.0,9.42645782320857,7276.0,0.0,48.8281705468537,24.5080130073717,18917.0,10.5212017567725,8121.0,21.7524354979084,71238.0,7.55969280893647,107425.0,20.9419033097199,10468.4386264628,49988.0,23.2740091135758,10.5212017567725,0.718519897602979,3.07869773306967,33.8375,0.0,8.65459918729221,2.0230851155695,5.71840143786013,1.40003414717432
2020.0,122042.0,91352.0,64175.0,13633.0,,50542.0,,24141.0,5999.0,10028.0,1957.0,29375.0,9623.0,3166.0,,11401.0,4381.0,804.0,122042.0,38362.0,301.0,,37939.0,48086.0,16393.0,22854.0,1315.0,7202.0,322.0,35594.0,13354.0,6813.0,15244.0,183.0,64262.0,,64262.0,52071.0,33073.0,33073.0,0.0,0.0,0.0,0.0,0.0,0.0,52.077433008621,-27.0,8770.0,1496.0,28.0,5533.0,252.0,2526.0,12191.0,954.0,20.4553235193427,4022.0,9123.0,3522.0,5601.0,-1309.0,4292.0,-999.0,789.0,-1788.0,0.0,5291.0,0.0,,,5291.0,241.722044,9.07202278892125,14110.0,4292.0,8657.0,12949.0,2147.0,-986.0,-19092.0,-10699.0,-10740.0,41.0,-8286.0,765.0,423.0,31.0,-939.0,3054.0,107.0,8241.0,18561.0,-10320.0,-4371.0,-1190.0,-1928.0,5366.0,,3438.0,10699.0,3411.0,0.0,0.55492498735742,19752.0,35594.0,0.825279541495758,29375.0,2.06713078070612,9623.0,4022.0,1.00135566809505,64262.0,64175.0,34.5139069241031,58.0426223895926,28.2176091624911,51.7463246279806,1.36314582138575,52293.0,38362.0,5.30795804674613,3411.0,0.0,47.922566991379,20.4553235193427,13145.0,8.23348168435467,5291.0,11.1315472885434,86448.0,4.33539273364907,122042.0,18.1070560534711,10686.7844827586,59020.0,13.7922944580575,8.23348168435467,0.526556431392471,3.18132526979824,22.0458,0.0,6.64298868718758,0.920610806988135,5.78470901483454,1.36565380675999
2021.0,133232.0,100434.0,68941.0,16999.0,,51942.0,,29042.0,12458.0,6243.0,3844.0,29703.0,10692.0,3333.0,,11746.0,2901.0,1031.0,133232.0,46977.0,302.0,,46558.0,49215.0,19083.0,20468.0,3095.0,5816.0,753.0,37040.0,12150.0,5154.0,18956.0,780.0,70727.0,,70727.0,51509.0,28743.0,28743.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6878137062225,-872.0,15036.0,1501.0,28.0,5210.0,219.0,1445.0,19218.0,710.0,28.1759441231779,3565.0,16363.0,3781.0,12582.0,-386.0,12196.0,3803.0,2162.0,-19.0,0.0,8393.0,0.0,,,8393.0,241.722044,18.6643771697338,17557.0,12196.0,6385.0,18581.0,636.0,-1660.0,-3759.0,-7852.0,-7865.0,13.0,-600.0,8033.0,532.0,9.0,-5785.0,-6115.0,39.0,3312.0,9365.0,-6053.0,-4015.0,-483.0,7683.0,3438.0,,11121.0,7852.0,9705.0,0.0,0.513255939524838,19011.0,37040.0,0.801916846652268,29703.0,4.42103786816269,16147.0,3565.0,1.02590620965753,70727.0,68941.0,2.15131784864759,52.4196912070355,16.7696565667991,67.038029925187,1.09892074845137,51624.0,46977.0,13.7217752767684,9705.0,0.0,60.3121862937775,28.1759441231779,19928.0,11.8667552702645,8393.0,16.7862192282102,96192.0,6.29953764861295,133232.0,16.1584605348677,10623.3798786487,65745.0,17.8661898375801,11.8667552702645,0.530855950522397,2.83611128850288,34.8257,0.0,13.4340443982461,2.40927904442403,7.65906513448414,1.38933418830822
2022.0,162870.0,108450.0,91762.0,20116.0,,71646.0,,12599.0,18028.0,10102.0,3010.0,47485.0,21028.0,6146.0,,15527.0,1914.0,2870.0,162870.0,63501.0,301.0,,62959.0,53235.0,15293.0,25883.0,6935.0,3832.0,1292.0,46134.0,24328.0,721.0,20473.0,612.0,118820.0,,118820.0,87384.0,51457.0,51457.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8845312236997,-3112.0,25589.0,1870.0,59.0,8930.0,228.0,2129.0,31436.0,2361.0,28.4438646692476,3849.0,29948.0,4511.0,25437.0,-722.0,24715.0,8013.0,4411.0,1489.0,0.0,16702.0,0.0,,,16702.0,241.722044,24.9311459705425,23335.0,24715.0,6951.0,31666.0,-3679.0,-4652.0,-17652.0,-7429.0,-7462.0,33.0,-11372.0,4151.0,1009.0,17.0,-2612.0,-9134.0,72.0,2299.0,16052.0,-13753.0,-3890.0,-1571.0,-3451.0,11121.0,,7670.0,7429.0,15906.0,0.0,0.573481597086747,26457.0,46134.0,1.02928425889799,47485.0,7.42114835022084,29286.0,3849.0,1.29487151544212,118820.0,91762.0,6.1611661096461,48.7199124726477,14.5591440834876,57.1178904464892,0.794239460795893,50435.0,63501.0,13.3866352465915,15906.0,0.0,59.1154687763003,28.4438646692476,33797.0,14.0565561353308,16702.0,25.0873766447368,116736.0,10.2548044452631,162870.0,24.8983736784928,18195.4825005058,73079.0,26.3019480008189,14.0565561353308,0.729538896052066,2.56484149855908,69.5917,0.0,10.5271174579727,2.78206933654014,6.23522797881469,2.36827736827737
2023.0,172841.0,116237.0,99453.0,24397.0,,75056.0,,10506.0,24320.0,10048.0,3767.0,49144.0,19517.0,6000.0,,18716.0,2187.0,2724.0,172841.0,63659.0,301.0,,62949.0,59847.0,19744.0,28602.0,7460.0,2791.0,1250.0,49335.0,30705.0,3.0,17098.0,1529.0,131687.0,,131687.0,116531.0,75321.0,75321.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4802372291874,-590.0,21218.0,1975.0,58.0,13842.0,426.0,3318.0,15156.0,1787.0,12.8661143468983,5023.0,11920.0,4952.0,6968.0,,6968.0,2031.0,1218.0,810.0,0.0,4937.0,0.0,,,4937.0,241.722044,16.5283,20444.0,6968.0,10396.0,17364.0,3546.0,-466.0,-7361.0,-6255.0,-6266.0,11.0,,2809.0,1016.0,152.0,-6728.0,-7085.0,59.0,3128.0,13009.0,-9881.0,-4808.0,-4194.0,5998.0,7670.0,,13668.0,6255.0,14189.0,0.0,0.6005,29625.6675,49335.0,0.9961,49144.0,2.3872,11991.0,5023.0,1.3241128975496,131687.0,99453.0,24.4259,56.1898,16.8327,48.5966,0.866664572173612,55171.0,63659.0,10.7747917410223,14189.0,0.0,42.5197627708126,12.8661143468983,16943.0,3.74904128729487,4937.0,9.70884005635354,123506.0,2.85638245555163,172841.0,10.266378546477,7229.7891,70422.0,7.75538415620729,3.74904128729487,0.761896772177898,2.71510705477623,20.5708,0.0,33.4479,2.6133,11.898,0.4942
2024.0,185438.0,133024.0,109046.0,29460.0,,79586.0,,10856.0,30141.0,16806.0,4955.0,43094.0,23234.0,6498.0,,8129.0,2128.0,3105.0,185438.0,75283.0,305.0,,74531.0,60701.0,22499.0,24742.0,9320.0,2852.0,1288.0,49454.0,27202.0,,21530.0,722.0,135180.0,,135180.0,113200.0,72337.0,72337.0,0.0,0.0,0.0,0.0,0.0,0.0,52.4959313507915,-1736.0,25594.0,2357.0,111.0,11575.0,358.0,2241.0,21980.0,1704.0,17.5203432460423,6108.0,17576.0,5435.0,12141.0,-39.0,12102.0,4061.0,2422.0,608.0,0.0,8041.0,0.0,,,8041.0,244.5453966,22.1515,5449.0,12102.0,9843.0,21945.0,-14053.0,-2443.0,-8729.0,-5210.0,-5244.0,34.0,-3584.0,5724.0,1030.0,17.0,-3611.0,-5477.0,6.0,1682.0,10813.0,-9131.0,-5989.0,-822.0,-8757.0,13668.0,,4953.0,5210.0,239.0,0.0,0.4016,19860.7264,49454.0,0.8714,43094.0,2.9813,18249.0,6108.0,1.23966032683455,135180.0,109046.0,16.1928,57.7161,16.8729,58.3962,0.781358341192567,58823.0,75283.0,0.176801301967747,239.0,0.0,47.5040686492085,17.5203432460423,23684.0,5.9483651427726,8041.0,13.4199611719026,135984.0,4.33622019219362,185438.0,13.587152840263,10993.09362,80908.0,10.6810302458722,5.9483651427726,0.72897680087145,2.46321214616846,32.9549,0.0,25.2269,2.7128,10.7053,0.8781
