year,assets,cash and balance with reserve bank of india,balances with banks and money at call,investments,govt securities,equity shares - corporate,debentures & bonds,units - mf/ insurance/cp/ptc,investments outside india,advances,term loans,cash credit,bills discounted,fixed assets,other assets,liabilities,shareholders funds,share capital,total reserves,deposits,term deposits / fixed deposits,savings deposit,demand deposits,borrowings,borrowings in the form of bonds / debentures,borrowings from other banks,borrowings from other financial institutions,borrowings from reserve bank of india,borrowings from out of india,other liabilities & provisions,total income,interest earned,interest/discount on advances/bills,other income,interest expended,operating_expenses,employee cost,selling and distribution expenses,general and administration expenses,depreciation and amortization,ppop,provisions and contingencies,current income tax,deferred tax,other taxes,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,free cash flow (est),operational ratios,gross npa (%),casa ratio (%),casa amount (crs),deposits (crs),casa vs total liabilities (%),liabilities (crs),sales per branch (crs),total income (crs),number of branches,profitability ratios,net interest margin (%),return on assets (%),net profit (crs),total assets (crs),credit deposit ratio (%),credit (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,eps,valuation ratios,p/e,price to book value,book value,dividend yield (%)
2015.0,106012.0747,3928.2964,2334.0613,28659.1051,22881.72,601.9858,4210.4607,412.3508,14.4428,66160.7126,49142.8736,15045.4628,1972.3762,1206.7051,3723.1942,106012.0747,14144.0831,386.1763,13754.9099,74860.3088,47642.8614,14036.1089,13181.3385,12149.7132,618.0,2173.7352,3252.0671,1763.45,4342.4609,4857.9696,,,,,,,,,,,,,,,,,,,4463.1934,2832.9574,413.1019,3246.0593,2130.153,-913.0189,-3453.7944,-203.1512,-223.0032,19.852,-87.6136,,,4.95,,-726.9313,,0.0,,,,-68.9477,282.4677,5979.89,,6262.3577,4260.0422,0.0,1.85,36.3576477792996,27217.4474,74860.3088,25.6739125962979,106012.0747,10.4151781028369,11748.3209,1128.0,0.0,4.17851335637163,1.92768956010638,1865.9786,106012.0747,88.3788935158654,66160.7126,14.127549514856,15.8829386418956,0.110820592213162,7.49515355293692,12.0798363338196,0.0,54.352971501924,7.17211395465505,14144.0831,0.0685374861973118
2016.0,192259.7905,6903.4348,3976.2806,51260.2202,40760.972,671.3066,5186.3054,3870.5913,24.0353,118665.2952,74420.8749,40412.01,3832.4103,1551.5922,9902.9675,192259.7905,23962.4738,917.1911,23041.8691,138643.0224,85866.6239,29494.7214,23281.6771,20975.3382,1105.7,2244.8948,8096.143,1567.0,7961.6004,8678.9561,18996.4179,16384.1838,12470.3723,2612.2341,9483.81,5471.5197,2816.9697,,,287.3758,4041.0882,1951.3092,1036.12,-2.32,0.14,2089.779,183.4382158,4.38892936457081,6133.7216,3123.7154,1342.8196,4466.535,2923.9658,-1256.7792,-6363.005,-237.7034,-249.0475,11.3441,-218.3469,,,3.8622,,-1463.9069,,0.0,,,,-98.0955,-1693.1903,6262.3577,,10879.7154,5896.0182,0.0,2.36,38.0663935237465,52776.3985,138643.0224,27.4505648647318,192259.7905,14.1976217488789,18996.4179,1338.0,0.0,3.81646801338006,1.40125787499182,2089.779,192259.7905,85.5905282111046,118665.2952,10.9699263517791,11.0009108611998,0.0988059846034213,8.02336987844719,11.3923,0.0,59.7772179454544,5.21395358487392,23962.4738,0.0734214390602056
2017.0,214589.9576,7492.4258,15079.5841,45074.1873,36157.5389,702.7118,4846.2884,2475.352,56.3866,136082.1288,88319.013,41979.5477,5783.5681,1537.6279,9324.0037,214589.9576,27617.9366,920.4489,26695.6201,157425.8599,88161.1455,41503.9313,27760.7831,21095.4809,994.8,5100.0202,8838.8152,500.0,5661.8455,8450.6802,21176.0913,17698.9329,13402.1048,3477.1584,9572.7841,5618.4953,2768.5293,,,290.6622,5984.8119,2573.3141,1800.31,-63.74,0.0,3411.4978,184.0897877,3.23769424679096,14411.9212,5148.067,1339.977,6488.044,9355.5288,-1431.6516,-2971.8402,-300.572,-320.0324,19.4604,-88.9,,,3.4239,,256.5174,,0.0,,,,-109.7784,11696.5984,10879.7154,,22572.0099,14111.3492,0.0,2.6,43.9983078027957,69264.7143999999,157425.8599,32.2777054316357,214589.9576,15.51362,21176.0913,1365.0,0.0,3.98871819130345,1.67703080359852,3411.4978,214589.9576,86.4420425503421,136082.1288,13.2292360791604,16.1101392682416,0.0986816509814157,7.76994895411557,18.5317066487884,0.0,47.0598858771065,5.81345220197704,27617.9366,0.0687994496044032
2018.0,264933.3976,8908.5076,10711.6004,64562.3468,51628.0145,1244.9591,5975.0322,3116.8183,154.5061,169717.9249,113001.9931,49610.1501,7105.7817,1527.1602,9505.8577,264933.3976,37483.8239,952.8243,36528.8316,192643.2709,94868.2992,65529.2031,32245.7686,25154.1531,701.8,3652.6105,11338.948,1375.0,8085.7946,9652.1497,23800.7038,19748.4956,14727.9543,4052.2082,10216.8077,6425.7223,2950.2348,,,302.6901,7158.1738,3073.8704,2080.6,53.32,0.0,4084.3034,190.5648506,3.2660526487687,-10274.9151,6218.2203,1470.7101,7688.9304,-15872.7553,-2091.0902,-2515.4958,-286.7452,-343.1258,56.3806,-1604.8267,,,7.607,,9837.2233,,0.0,,,,-135.9168,-2953.1876,22572.0099,,19620.108,-10561.6603,0.0,2.22,50.7544183833727,97774.9717000001,192643.2709,36.9054911859856,264933.3976,16.8321809052334,23800.7038,1414.0,0.0,3.75410541380927,1.70348466063619,4084.3034,264933.3976,88.0995864050188,169717.9249,12.5482216353156,17.1604311969968,0.0898365552082438,7.06793944787474,21.4326,0.0,48.9254686785551,5.33130960726844,37483.8239,0.0667556742323097
2019.0,312172.0909,10877.5243,13798.0161,71189.085,57892.411,728.0357,5680.7827,4183.7365,195.4101,205694.8097,137776.8421,58775.8751,9142.0925,1651.5501,8961.1057,312172.0909,42900.4529,1454.3774,41444.0027,225880.363,107294.6899,79684.7139,38900.9592,32248.2914,456.0,7652.7642,11209.84,1629.0,11300.6872,11142.9836,28547.2346,23890.0533,18318.0924,4657.1813,12684.2487,7514.8008,3183.6118,,,366.9196,8348.1851,3482.8534,2520.46,16.12,0.0,4865.3317,190.8754827,3.13853493189379,-3387.719,7385.794,1535.3796,8921.1736,-9864.7031,-2444.1895,798.1149,-390.1014,-420.0748,29.9734,-65.6924,,,45.1432,,7633.0674,,0.0,,,,-183.9604,5043.4633,19620.108,,24675.5404,-3777.8204,0.0,2.14,52.4993281952535,118585.6731,225880.363,37.9872757869272,312172.0909,18.8555050198151,28547.2346,1514.0,0.0,3.71595224546168,1.68611520664822,4865.3317,312172.0909,91.0636086147958,205694.8097,12.1815961625255,17.0430928535544,0.0914471070033763,7.27666189510088,25.4896,0.0,52.4037254409642,6.01348263326692,42900.4529,0.0598914467527606
2020.0,360251.6838,9505.0501,43787.249,75051.5457,61530.1199,1155.5352,5392.5605,3979.8779,400.3299,219748.1867,153734.1733,58235.8809,7778.1325,1623.1305,10536.5218,360251.6838,49018.1689,1456.5192,47558.7843,262820.5199,115199.214,104608.5934,43012.7125,37993.3112,456.0,20422.954,10046.22,387.0,6681.1372,10419.6838,32301.7219,26929.6142,20999.2372,5372.1077,13429.9488,8850.936,3911.1165,,,371.9494,10020.8371,4073.6553,1857.49,,0.0,5947.1818,191.3038338,0.0,30159.4318,7804.6744,2826.5061,10631.1805,21529.2009,-2000.9496,-7454.0612,-311.8637,-346.7018,34.8381,-83.3254,,,51.8025,,5882.9148,,0.0,,,,-222.3457,28588.2854,24675.5404,,53292.2991,29847.5681,0.0,2.3,56.168105122145,147621.3059,262820.5199,40.9772702081122,360251.6838,20.1759662086196,32301.7219,1601.0,0.0,3.87818857611511,1.7688790979032,5947.1818,360251.6838,83.6115029312062,219748.1867,13.0831390050507,18.4113460527316,0.0896643190096312,7.34935008557613,30.8759,0.0,41.98582065624,5.11172176803964,49018.1689,0.0
2021.0,383470.157,12493.6069,27132.9249,105099.1877,85037.9436,1299.4692,11331.579,3750.0436,1063.7286,223670.1553,144288.991,70831.116,8550.0483,1535.2697,13539.0125,383470.157,63729.1296,1490.9178,62236.053,280100.0452,110787.3257,117225.7389,52086.9806,23650.6455,456.0,8925.9697,8595.91,,5672.7658,15990.3367,31846.7802,26840.2677,18589.0762,5006.5125,11500.6207,8584.138,3765.3969,,,366.7718,11762.0215,4797.1849,2536.93,-198.78,0.0,6964.8366,198.1835668,2.57591758320934,-5298.3036,9302.9828,3637.29,12940.2728,-15905.8144,-2332.762,-1769.0998,-251.3408,-293.9204,42.5796,-23.0182,,,15.6221,,-6585.8964,,0.0,,,,-40.5,-13653.2998,53292.2991,,39626.5318,-5549.6444,0.0,3.25,60.4472303383977,169312.7195,280100.0452,44.152776013806,383470.157,19.6463789019124,31846.7802,1621.0,0.0,4.16390303184796,1.87296814962651,6964.8366,383470.157,79.8536662642424,223670.1553,12.465893760675,21.869829716726,0.0830489142861774,6.01718804896403,34.939,0.0,50.2017802455709,5.49787471773043,63729.1296,0.0513112884834664
2022.0,429428.3954,36026.2201,6897.715,100580.2168,74719.224,1233.4917,16801.8093,2517.9091,2363.1933,271253.6018,178799.131,85667.3708,6787.1,1643.7169,13026.9248,429428.3954,72487.7781,1492.3309,70964.1409,311684.1134,122549.9687,124472.165,64661.9797,25967.1169,306.0,10495.2555,9971.0,,5194.8614,19289.387,33024.7391,27038.8194,19378.694,5985.9197,10220.9122,10752.9545,4613.3521,,,380.9929,12050.8724,3478.1822,2683.45,105.17,0.0,8572.6902,198.466176,2.55869292660971,2161.3329,11361.3091,2312.6834,13673.9925,-8861.7198,-2650.9398,-1334.921,-476.0179,-507.1946,31.1767,-343.4248,,,201.7565,,2456.0721,,0.0,,,,-218.9626,3282.484,39626.5318,,42923.9351,1685.315,0.0,2.34,60.6813554392728,189134.1447,311684.1134,44.0432320559117,429428.3954,19.245185955711,33024.7391,1716.0,0.0,4.05487469492002,2.1091660637579,8572.6902,429428.3954,87.0283694735145,271253.6018,12.6830476205079,25.9583888733886,0.0769039482571673,5.92414896215449,42.9907,0.0,40.8158043483823,4.83971208335426,72487.7781,0.0626887787086112
2023.0,489862.4773,19965.5575,12576.7503,121403.7287,89706.0582,1230.221,18969.7809,7109.279,1219.5002,319861.2074,215597.7108,98712.6164,5550.8802,1920.3232,14134.9102,489862.4773,83520.2499,1493.2783,81966.6658,363096.0526,171280.7911,121785.0232,70030.2383,23416.2684,0.0,225.9792,14000.06,4700.0,4490.2292,19829.9064,41333.9018,34250.8509,26978.4462,7083.0509,12698.9356,13786.9937,5547.7845,,,461.727,14847.9725,3908.6774,3412.17,39.52,0.0,10939.2951,198.6556582,2.7341,-8369.1775,14390.9861,1440.0423,15831.0284,-20722.4488,-3477.7571,490.8644,-749.7883,-769.8023,20.014,-224.22,,,242.274,,-2541.9058,,0.0,,,,-258.9206,-10420.2189,42923.9351,,32542.3078,-9118.9658,0.0,1.78,52.8277,191815.29337937,363096.0526,39.1569679793824,489862.4773,22.6860053787047,41333.9018,1822.0,0.0,4.5487,2.3799,10939.2951,489862.4773,88.0927,319861.11632876,14.1228,26.4656725438874,0.0843785832052746,5.86519410426237,54.8627,0.0,31.5971,4.151,83520.2499,0.0865
2024.0,600357.0457,36252.0376,16536.3645,155403.7587,113395.069,1224.58,16849.3691,,1718.8868,376075.2659,248016.4071,120474.1113,7584.7475,2155.2965,13934.3225,600357.0457,96718.7568,993.9604,95645.5026,448953.7451,244650.2897,129095.1628,75208.2926,28368.0956,,,20970.18,,7397.9156,26316.4482,56072.0117,45798.911,35657.9938,10273.1007,19805.7109,16678.846,6892.6322,,,614.792,19587.4548,5805.8724,4183.4,48.73,0.0,13781.5824,198.7920898,2.893,13900.7864,18013.7167,781.5919,18795.3086,-279.3691,-4615.1531,2021.5038,-856.9968,-884.7258,27.729,-733.1239,,,308.9012,,4314.441,,0.0,,,,-336.621,20236.7312,32542.3078,,52788.4021,13043.7896,0.0,1.39,45.5066,204303.584967677,448953.7451,34.0303468462612,600357.0457,28.6666726482618,56072.0117,1956.0,0.0,4.4489,2.5282,13781.5824,600357.0457,83.767,376075.083657917,15.347,24.5783626842837,0.09339777404398,6.20724527034036,69.1329,0.0,25.8314,3.6735,96718.7568,0.112
