year,assets,investments,shareholders,policyholders,assets held to cover linked liabilities,loans,secured loans,unsecured loans,fixed assets,current assets,cash & bank balances,advances & other assets,other current assets,liabilities,shareholders funds,share capital,reserves,fair value change account,borrowings,policyholders funds,credit/debit fair value change account,policy liabilities,insurance reserves,provision for linked liabilities & discontinued policyholders liabilities,funds for future appropriation,current liabilities,operating profit from premiums,fire,marine,misc,life,income from investments,"interest, dvidend & rent",net profit on sale of investments,profit on sale of investments,loss on sale of investments,other income,sundry receipts,profit on sale of fixed assets,provisions,doubtful debts,reduction in value of investment,other provisions,bad debts written off,profit before tax_x,tax,profit after tax,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),profitability ratios,roe(%),eps(rs),debt to equity,free cash flow per share(rs),valuation ratios,price to book,price/free cash flow,price to earnings,dividend yield (%)
2014,1724457.5591,1489368.5938,508.0812,1389872.3872,98988.12539999999,3360.832899999999,,3360.832899999999,2782.8116,176734.919,88082.4139,30353.4989,58299.0062,1724457.5591,538.5953,100.0,430.0037,8.5916,,1646105.5402,108191.14,1529303.0648,8611.3354,77812.1111,1.3125,5608.075699999999,1634.2652,,,,1634.2652,33.9586,34.0509,0.0923,,-0.0923,0.0,0.0,,0.0,,,,,1668.2238,11.5425,1656.6813,,98.6472171805163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,319.336981324542,2.61925897233202,0.0,-66.78516,0.0,0.0,0.0,0.0,0.0
2015,1992078.5179,1772906.1906,506.2049,1677741.4539,94658.5318,2883.8343,,2883.8343,2868.6193,137382.6498,64375.4909,10579.9595,62427.1994,1992078.5179,562.5442,100.0,450.7114,11.8328,,1921419.4857,158668.652,1754324.8856,8425.9481,70096.483,0.005,5658.6001,1803.0519,,,,1803.0519,32.5359,32.6282,0.0923,,-0.0923,,,,0.0,,,,,1834.459,10.6753,1823.7837,,98.8631491771749,54190.3698,,61606.4376,61606.4376,-164.74,-7251.3278,-69098.8855,-190.4391,-490.2878,299.8487,-308396.165,88580.13,131869.9712,,,-1634.2652,,0.0,,,,-1634.2652,-16542.7809,81106.5524,-155.3417,64408.4298,190.4391,53999.9307,0.0,337.514244040821,2.88345249011858,0.0,116.87559,0.0,0.0,0.0,0.0,0.0
2016,2170807.8534,1957266.8094,513.0857,1872242.6118,84511.1119,2421.4061,,2421.4061,2911.475300000001,151605.6967,42910.6948,41797.0468,66897.9551,2170807.8534,582.9429,100.0,471.5108,11.4321,,2111241.2363,103971.5416,1998832.0226,8437.6721,58983.6213,0.0529,5824.0772,2497.0348,,,,2497.0348,31.8294,31.9109,0.0815,,-0.0815,,,,0.0,,,,,2528.863,11.0151,2517.8479,,99.1731867520671,77405.4126,,85554.9748,84704.6702,-549.4597,-6749.7979,-97077.8349,-22.4827,-22.4827,,-244137.7932,,147082.441,,,-1803.0519,,0.0,,,,-1803.0519,-21475.4742,64408.4298,,42932.95559999999,22.4827,77382.9299,0.0,448.725377202483,3.98078719367589,0.0,194.59055,0.0,0.0,0.0,0.0,0.0
2017,2529146.669,2335630.7347,573.9752,2232036.0066,103020.7529,1990.0293,,1990.0293,2403.358,163940.1805,32729.1685,52928.6362,78282.3758,2529146.669,606.4528,100.0,501.7964,4.6564,,2468027.851,194997.6387,2263383.4272,9646.7851,60512.3325,0.0327,25655.8638,2200.3336,,,,2200.3336,48.22600000000001,35.7699,15.5125,13.9843,-1.5282,,,,0.0,,,,,2248.3627,16.6219,2231.7408,,98.5925426465296,70555.1374,,92777.0192,91847.5241,-7765.2064,-13527.1803,-78248.8937,333.3605,,333.3605000000001,-238136.7307,,159554.4765,,,-2497.0348,,0.0,,,,-2497.0348,-10190.7911,42932.95559999999,,32742.1645,-333.3605,70888.4979,0.0,380.418836601361,3.52844395256917,0.0,-553.34656,0.0,0.0,0.0,0.0,0.0
2018,2791615.2098,2604268.9479,585.7975,2515549.5671,88133.5833,1099.3374,,1099.3374,2574.101,175147.2777,22680.5305,64981.0405,87485.7067,2791615.2098,650.3725,100.0,526.7775,23.595,,2740044.4867,196733.4934,2533613.0204,9697.9729,50920.27269999999,0.0779,36178.7985,2421.8226,,,,2421.8226,37.9907,35.2133,4.007,3.3922,-0.6148,,,,0.0,,,,,2459.4136,13.0102,2446.4034,,98.9951207556366,67864.5072,,84531.6508,84531.6508,-1361.5956,-15305.548,-75609.8834,-304.3102,-571.4148,267.1046,-405017.4843,156000.032,176917.3716,,,-2369.7337,,0.0,,,,-2369.7337,-10115.1099,32742.1645,66.5056,22693.5602,304.3102,67560.197,0.0,398.250915146415,3.86783146245059,0.0,51.3393,0.0,0.0,0.0,0.0,0.0
2019,3055612.6585,2829867.4531,636.6193,2753549.4619,75681.3719,1062.0501,,1062.0501,2642.5064,174736.6038,42178.1258,33240.449,99318.029,3055612.6585,678.6836,100.0,554.605,24.0786,,3013325.8107,216778.4589,2786763.7357,9783.6161,41607.9913,0.1729,38594.298,2660.5954,,,,2660.5954,43.30859999999999,37.3753,19.2655,12.5994,-6.6661,,,,0.0,,,,,2703.483400000001,14.9868,2688.496599999999,,1.56221138609586,19764.7457,,42836.8762,42836.8762,-4917.6585,-18154.472,1895.2048,-374.914,-509.2076,134.2936,-335509.7119,151365.8896,191458.1829,,,-2252.4225,,0.0,,,,-2252.4225,19407.528,22693.5602,84.2115,42185.2997,374.914,19389.8317,0.0,419.624366650863,4.25058750988142,0.0,-273.83695,0.0,0.0,0.0,0.0,0.0
2020,3123732.4814,2920498.3013,679.4175999999999,2887309.1335,32509.7502,2997.889000000001,,2997.889000000001,2767.4737,222465.6341,28581.2324,84188.9576,109695.4441,3123732.4814,739.5269,100.0,622.001,17.5259,,3090495.0884,-4340.5372,3082050.0411,12785.5845,32497.6517,0.2144,62126.7348,2697.7429,,,,2697.7429,35.4434,35.201,3.9994,2.1209,-1.8785,,,,-11.9897,,5.8752,6.1145,,2720.7463,8.0383,2712.708,,1.58513190509262,74768.6864,,86826.68300000002,86826.683,-720.912,-11337.0846,-85762.5899,-455.6313,-558.3636,102.7323,-442337.4691,150171.073,209925.7318,,,-2608.2455,,0.0,,,,-2660.5955,-13602.149,42185.2997,40.5563,28623.707,455.6313,74313.0551,0.0,394.115382324354,4.28886640316206,0.0,143.34324,0.0,0.0,0.0,0.0,0.0
2021,3728902.444,3521317.9252,713.5667,3487654.857,32949.5015,2813.2217,,2813.2217,3305.331,179201.0295,30293.2545,35689.541,113218.234,3728902.444,6360.6922,100.0,6224.9977,35.6945,,3689606.4502,272870.7907,3403801.6282,12934.0313,32931.9617,3.3399,67910.1785,2889.0101,,,,2889.0101,22.988,17.7765,7.0315,6.1215,-0.91,,,,-4.7597,,,4.7597,,2906.7744,6.2076,2900.5668,,0.0,55723.0696,0.0,72219.0719,72219.0719,-4704.4184,-11791.5839,-54185.8725,-788.8597,-1074.0961,285.2364,-507988.249,231371.5711,232138.8614,,,,,0.0,,,,,1537.1971,28623.7071,173.0564,30333.9606,788.8597,54934.2099,0.0,82.3206282129724,4.5859,0.0,-287.79477,0.0,0.0,0.0,0.0,0.0
2022,4159345.1693,3926044.2719,6412.1363,3895693.4957,23938.6399,2250.1101,,2250.1101,3353.533,191117.8385,37432.1407,35228.0839,118457.6139,4159345.1693,10409.1389,6324.9977,4043.0456,41.0956,,4123215.7667,400239.3361,3710121.8007,12854.6299,23885.8306,1834.4331,56301.5439,12193.4585,,,,12193.4585,201.2286,160.958,43.0608,41.6657,-1.3951,,,,-8327.4646,,,8327.4646,,4066.7192,23.5981,4043.1211,,23.4657738794913,-3135.4887,,6101.165799999999,6101.1658,759.8810000000001,-9996.5355,10485.9253,-457.125,-715.327,258.202,-427398.7965,189609.0269,249526.1658,,,,,0.0,,,,,7350.4366,30333.9605,-109.4047,37574.9924,457.125,-3592.6137,0.0,48.4407975754687,6.3923,0.0,6.4627297809136,0.0,0.0,0.0,0.0,0.0
2023,4491131.4411,4244850.8244,29363.5268,4189177.7551,26309.5425,1008.8874,,1008.8874,3488.5604,186279.3277,38353.4564,23713.4428,124212.4285,4491131.4411,45669.395,6324.9977,39492.0486,-147.6513,,4415384.1292,348280.341,4051425.7158,15678.0724,26159.2428,3918.6741,44437.705,36048.8721,,,,36048.8721,1147.8187,1068.6669,86.27040000000001,82.7111,-3.5593,2.9342,2.9342,,-742.4474000000001,,7.759,734.6884,,36456.7815,59.3916,36397.3899,632.4997701,5.21328401628052,59718.0086,,56034.0376,56034.0376,167.4881,3516.4829,-58196.0982,-543.5389,-885.5307,341.9918,-542491.3293,220844.2774,267739.2784,,,-948.591,,0.0,,,-948.591,,573.3194,37574.9924,296.7943,38445.1061,543.5389,59174.4697,0.0,129.562452099391,57.5453013998725,0.0,56.4100557696646,0.0,7.38079010629064,9.47792007480193,9.29094099768126,0.561114747965959
