year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,electrical components,chemicals,nuclear,steel,switchgear,metals,electronics,machine tools,others,building materials,food processing,cement,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015,88447.52,29205.5,12290.36,4793.0,6.93,7490.43,-3.07,494.04,17672.82,3825.3,88.97,58826.6,2270.72,23051.11,5380.08,1515.8,274.83,26334.06,88447.52,37084.58,185.91,,36646.11,9336.04,400.0,8108.6,362.99,119.62,344.83,42026.9,18850.6,3791.08,15318.46,4066.76,57017.41,540.66,57017.41,50489.51,5496.79,2196.2,147.04,19.7,891.25,708.52,195.73,33.6,64.07,1240.68,0.0,0.0,0.0,44.0562277381593,-205.26,16793.14,4162.46,249.22,685.6,2804.71,674.66,6527.9,2403.78,15.6648293915841,1579.47,7352.21,1008.15,6344.06,357.16,6701.22,1645.04,1628.74,16.3,0.0,5056.18,0.0,,,5056.18,92.9562,29.8747283697774,3117.98,6344.06,670.15,7014.21,-2171.18,-1725.05,-1884.08,-901.15,-952.9,51.75,-915.51,,558.31,854.19,-2147.24,-1436.56,98.89,1180.39,5109.83,-3929.44,-1150.01,-1322.73,-202.66,1794.12,,1591.46,901.15,2216.83,0.0,1.34570667834173,56555.8800000001,42026.9,1.39973683521744,58826.6,5.24270166574864,7923.53,1579.47,4.63919771267888,57017.41,12290.36,-62.3400130462544,13.4858261404526,141.381586891291,217.207426077998,0.348840137868624,12936.59,37084.58,3.88798789703005,2216.83,0.0,55.9437722618407,15.6648293915841,8931.68,8.86778266497899,5056.18,17.0689878765083,46420.62,5.71658764428895,88447.52,17.830547389613,4164.74157765302,23357.34,13.6341843429264,8.86778266497899,0.644646791679405,2.38502148332272,36.2625,0.0,31.6028955532575,4.34635942968152,19.1688948775594,0.945317044793485
2016,99464.81,32529.81,8368.95,1093.55,6.93,7268.47,,412.13,19187.86,4584.22,474.09,67091.14,1955.11,18967.75,4803.32,3570.26,199.8,37594.9,99464.81,42135.31,186.3,,41706.78,8606.11,408.31,7904.16,-156.14,78.28,371.5,48723.39,22215.92,4175.98,21407.67,923.82,63177.26,635.39,63177.26,57209.69,26243.25,4033.91,102.37,12.46,831.09,687.1,175.49,40.89,35.01,1520.23,18804.7,0.0,0.0,43.4663516588089,71.66,18741.55,4974.8,197.78,977.38,3579.97,1277.36,5967.57,2411.49,13.2627784110929,1686.32,6692.74,997.4,5695.34,560.28,6255.62,1256.04,1515.58,-273.97,0.0,4999.58,0.0,,,4999.58,93.1478845,34.0025786065091,3299.86,5695.34,710.58,6405.92,-1489.83,-1616.23,-1522.25,-797.23,-1087.23,290.0,-5.25,788.54,446.58,1121.35,-256.34,-2464.33,70.19,168.5,1589.29,-1420.79,-1208.59,-1512.33,-686.72,2764.78,,2078.06,797.23,2502.63,0.0,1.33685340859903,65136.0299999999,48723.39,1.37698013212956,67091.14,4.70962806584753,7381.66,1686.32,7.54900674517114,63177.26,8368.95,-118.257916027978,12.085597056383,120.171187844416,250.514700928777,0.33047057206889,13924.48,42135.31,3.96128290464006,2502.63,0.0,56.5336483411911,13.2627784110929,8379.06,7.91357523260743,4999.58,14.5476023335571,50741.42,5.02648122486737,99464.81,17.3065485509545,3972.23017520246,22952.18,11.8655351058293,7.91357523260743,0.635171976903188,2.36060468049244,35.7816,0.0,22.6596910143761,2.70424208485029,14.756219671419,1.50057556322973
2017,101953.22,32138.97,8976.98,2226.58,102.51,6647.89,,503.78,19776.81,4028.24,500.33,69711.47,1762.86,19921.95,6982.08,3535.72,135.47,37373.39,101953.22,46012.74,186.59,,45648.9,7412.17,408.55,6725.73,-285.22,92.43,470.68,48528.31,24338.32,2312.5,20738.59,1138.9,65723.86,577.49,65723.86,59299.65,25938.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7444.84,18493.31,0.0,0.0,41.8065524453372,147.89,20350.01,5147.38,184.22,1100.75,3704.01,1336.4,6424.21,2180.26,13.0918512698433,1525.41,7079.06,1215.19,5863.87,893.97,6757.84,1304.1,1671.58,-371.1,0.0,5453.74,0.0,,,5453.74,93.2965803,35.9238797595778,5979.69,5863.87,1027.8,6891.67,607.49,-1519.47,-46.44,-634.67,-749.02,114.35,-2304.55,,830.53,1065.1,-27.37,-6073.16,53.32,-1396.98,0.64,-1397.62,-1151.42,-1701.51,-139.91,2078.06,,1938.15,634.67,5345.02,0.0,1.40018496419925,67948.6100000001,48528.31,1.43651138891917,69711.47,5.4301794271704,7389.28,1525.41,7.32137756795715,65723.86,8976.98,-184.885143171043,10.2340227612258,107.047145344703,302.166311276972,0.229466230439657,10558.37,46012.74,8.13254121106094,5345.02,0.0,58.1934475546628,13.0918512698433,8604.47,8.29796058843774,5453.74,13.8311510492016,53424.91,5.34925723778023,101953.22,16.6161973338259,4203.80487475288,25299.44,11.8526738464173,8.29796058843774,0.644647221539447,2.21576067845558,38.9713,0.0,26.9873813122306,3.21109672875756,17.9214805792803,1.33113590263692
2018,115206.06,36204.29,9759.36,3191.3,102.51,6465.55,,652.87,22994.26,4796.92,419.09,79014.39,2500.05,22917.45,4344.98,4318.06,394.49,44539.36,115206.06,49174.25,280.27,,48781.83,5677.32,,5495.16,-400.62,109.91,472.87,60354.49,31095.0,4129.57,23659.73,1470.19,74462.55,149.1,74462.55,69645.13,30254.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8018.02,22236.6,0.0,0.0,41.2154297697299,-1095.78,24624.72,5614.74,192.82,1014.92,3406.42,4101.45,4817.42,4761.59,12.8641981774731,1697.7,7881.31,1049.46,6831.85,430.53,7262.38,1875.08,1808.52,-98.99,0.0,5387.3,0.0,,,5387.3,140.1369456,41.6194112934272,2952.0,7262.38,676.1,7938.48,-3222.16,-1764.32,1786.87,-1013.46,-1136.78,123.32,-200.74,375.8,439.88,3228.67,-2352.13,-3489.36,49.5,-1871.42,1922.7,-3794.12,-1321.87,-1960.76,1249.51,1938.24,,3187.75,1013.46,1938.54,0.0,1.26774892804164,76514.3399999999,60354.49,1.30917169542813,79014.39,5.27777581433704,8529.55,1697.7,7.62985994983278,74462.55,9759.36,-209.204682552334,10.4270723807877,104.785117337574,324.416872270696,0.214766874939628,10561.0,49174.25,2.60337579091772,1938.54,0.0,58.7845702302701,12.8641981774731,9579.01,7.2349120463911,5387.3,15.5502385802266,54851.57,4.67622970527766,115206.06,12.7750926726517,2795.10723867382,21879.35,10.9555305876551,7.2349120463911,0.646342301785166,2.34281275260934,38.4436,0.0,34.1253160474045,3.74715119206067,19.8440179621902,1.21960515283177
2019,123817.87,33600.56,12733.07,4419.82,102.51,8210.74,,739.0,18197.3,4653.4,577.0,91017.45,3349.24,28212.55,4706.85,7619.97,619.71,46509.13,123817.87,50048.42,280.55,,49660.96,3510.1,1380.2,2391.87,-841.86,82.27,497.62,70259.35,36225.03,4086.16,28143.64,1804.52,82287.42,,82287.42,74914.25,35247.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5764.78,29482.65,0.0,0.0,42.5675637904312,-1126.17,27134.05,5732.6,121.69,1735.16,4040.13,1122.87,7373.17,3273.47,12.9383567986455,2069.98,8576.66,999.55,7577.11,1642.35,9219.46,2271.13,2409.73,-138.6,0.0,6948.33,543.06,,,7491.39,140.2729385,36.3389476320209,2556.42,10031.86,-1410.66,8621.2,-3377.46,-2687.32,1585.19,-791.57,-1576.79,785.22,-40.09,1150.28,427.47,1512.12,3365.52,-4605.59,11.31,-184.92,789.41,-974.33,-1527.61,-2243.18,-463.98,3187.75,,2723.77,791.57,1764.85,0.0,1.24777997519191,87668.2099999997,70259.35,1.29544964478037,91017.45,5.4538884433666,9647.09,2069.98,6.46249647571246,82287.42,12733.07,-219.163986402196,12.9727657641958,113.397953174373,345.534705340765,0.239561808344799,11989.69,50048.42,2.14473852746872,1764.85,0.0,57.4324362095688,12.9383567986455,10646.64,9.1039310747621,7491.39,18.0122415630604,53558.52,6.05033021485509,123817.87,21.1937538756693,4803.53676404041,22664.87,14.9682847130839,9.1039310747621,0.664584360884257,2.47396161557148,49.5336,0.0,27.9416396143224,3.88749987235068,18.6460079189303,1.30053105017882
2020,140128.39,45921.48,12109.46,4654.89,104.6,7349.97,,797.21,27975.28,7575.94,304.48,92854.74,2769.9,27912.96,6059.15,3938.39,706.19,51468.15,140128.39,52175.35,280.78,,51794.65,6572.76,1380.78,5804.93,-1428.2,204.02,611.23,80012.7,36629.39,15044.11,26154.89,2184.31,82383.65,,82383.65,75854.06,34169.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5537.59,28632.03,0.0,0.0,42.4371097905956,-64.01,27599.08,5955.98,120.28,1755.52,3799.81,1662.15,6529.59,3441.53,12.1032753465038,2591.69,7379.43,1020.51,6358.92,626.99,6985.91,961.15,1508.92,-547.77,0.0,6024.76,654.45,,,6679.21,140.3892022,41.9438651271715,-121.3,7224.3,973.1,8197.4,-6582.4,-1736.3,-6833.74,-1309.01,-1370.51,61.5,-788.79,24.46,516.2,1387.29,-9497.29,7418.62,17.56,2408.36,6617.46,-4209.1,-1893.14,-3929.61,463.58,2723.77,,3187.28,1309.01,-1430.31,0.0,1.1258817662696,90084.8399999996,80012.7,1.16050002062173,92854.74,3.69550370607596,8950.61,2591.69,6.80324721333569,82383.65,12109.46,-238.419229872363,13.5553966108566,124.331776693555,376.306403176775,0.494204638780574,25785.3,52175.35,-1.73615759923237,-1430.31,0.0,57.5628902094044,12.1032753465038,9971.12,8.10744607698251,6679.21,14.8889749082145,60115.69,4.76649307110429,140128.39,27.3755887783063,4751.11829680027,17355.31,12.8014665929409,8.10744607698251,0.58791548236585,2.68572017245692,42.9145,0.0,18.8013375432546,2.17518456400648,13.551193998267,2.23089793641941
2021,159161.35,44670.29,14740.78,5881.43,102.62,8756.73,,286.72,27180.62,6875.47,408.12,115245.33,2877.57,33331.6,22232.95,4175.54,728.7,51898.97,159161.35,61737.82,280.91,,61369.29,16718.85,1328.48,15318.25,-754.27,170.49,655.9,80704.68,40769.78,6827.9,31039.88,2067.12,87255.48,,87255.48,79079.87,35163.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12293.75,22869.85,0.0,0.0,42.1204261325478,362.1,27759.78,6398.2,92.0,1419.26,4287.09,2371.16,8175.61,3881.67,13.8183641875559,2769.22,9288.06,1150.68,8137.38,-2818.65,5318.73,2171.42,1841.99,323.7,0.0,3147.31,8650.48,,,11797.79,140.4555297,160.656908247055,9560.84,19336.61,-10735.56,8601.05,2910.9,-1951.11,-2723.17,-149.52,-781.32,631.8,-13127.63,158.58,822.08,1034.4,-2272.05,-6698.15,15.85,5720.85,9117.73,-3396.88,-1910.05,-3650.89,139.52,3442.7,-57.27,3524.95,149.52,9411.32,0.0,1.39233263795854,112367.76,80704.68,1.42798819101941,115245.33,2.92065996923321,10906.6,2769.22,5.91932584300152,87255.48,14740.78,-236.532252456578,11.8120177093748,128.096621553168,376.440891719121,0.396421350802474,24474.19,61737.82,10.7859357372167,9411.32,0.0,57.8795738674522,13.8183641875559,12057.28,13.5209731239803,11797.79,13.9014311976279,78456.67,7.41247168360912,159161.35,10.4401931523694,4156.93829886082,39816.68,19.1095020847837,13.5209731239803,0.548220280865926,2.57802024755652,22.408,0.0,63.2965905033916,3.23136582281972,18.2058473594376,2.53816053865407
2022,167361.98,46484.42,15474.88,6848.72,102.62,8523.54,,582.76,27049.5,8214.89,383.79,122017.86,3132.51,36347.35,18478.22,6498.51,514.67,57046.6,167361.98,67114.05,281.01,,66743.66,12680.45,1328.89,11639.52,-1140.3,207.07,645.27,87567.48,45385.34,2097.39,37563.4,2521.35,101000.41,,101000.41,91963.48,44036.35000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12590.86,31445.49,0.0,0.0,42.735074045739,-1944.37,32399.25,7396.88,129.77,2112.87,4764.32,1997.79,9036.93,4024.52,12.9320762163243,2147.54,10913.91,1172.5,9741.41,267.29,10008.7,2129.25,2402.09,-275.92,0.0,7879.45,0.0,,,7879.45,140.5029123,39.2300216656711,5998.79,9741.41,-351.25,9390.16,-1094.65,-2296.72,4525.87,-1349.84,-1410.29,60.45,-147.85,4012.85,848.71,1619.06,242.19,-8360.36,10.97,432.0,450.0,-18.0,-1608.47,-2528.38,2164.3,3524.95,28.98,5718.23,1349.84,4648.95,0.0,1.35764270023529,118885.35,87567.48,1.39341522674856,122017.86,5.6605418292558,11888.95,2147.54,6.5267330021299,101000.41,15474.88,-217.981541305719,10.8597539356523,125.904522318276,354.745817559647,0.302444719101291,20298.29,67114.05,4.60290210703105,4648.95,0.0,57.264925954261,12.9320762163243,13061.45,7.80140397449872,7879.45,14.8994604891315,79794.5,4.70802866935489,167361.98,16.535864629593,6191.35182026637,37441.96,11.7403881899543,7.80140397449872,0.603484793858199,2.49369513537031,56.0795,0.0,31.5168644513592,3.70513666460424,20.069390630443,1.24473110979094
2023,170885.35,47883.9,17186.55,7896.54,102.62,9187.39,,1954.77,27036.97,7338.83,258.23,122199.57,3428.56,33152.58,20224.29,4569.64,594.66,60229.84,170885.35,71527.95,281.1,,71172.23,8654.26,,9390.85,-1539.14,165.58,636.97,89704.66,41780.37,3179.36,42113.49,2631.44,110500.98,,110500.98,102538.65,51261.74000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13163.05,38098.69,0.0,0.0,44.7120921461511,-2930.73,34063.22,8298.22,160.33,2648.52,5462.05,2499.01,7962.33,5745.92,12.4055460865596,2503.91,11204.34,1371.64,9832.7,,9832.7,1983.73,2273.56,-351.03,0.0,7848.97,0.0,,,7848.97,140.548219,42.9763,7263.96,9832.7,-385.12,9447.58,146.88,-2330.5,-1752.71,-2235.72,-2396.9,161.18,-2929.52,60.43,1321.86,1713.39,-924.07,-7441.39,10.31,-3099.0,2450.0,-5549.0,-2333.01,-3091.42,-1930.14,5718.23,14.41,3802.49,2235.72,5028.24,0.0,1.324,118768.96984,89704.66,1.3622,122199.57,4.9269,12336.61,2503.91,6.42950330345532,110500.98,17186.55,-189.2142,10.8361,114.7839,314.8342,0.253762200650235,18151.09,71527.95,4.550403082398,5028.24,0.0,55.2879078538489,12.4055460865596,13708.25,7.10307727587574,7848.97,15.1964833016324,81180.69,4.5931204752192,170885.35,13.3781136130455,5261.03147388,39325.66,10.9732908604259,7.10307727587574,0.64663811145894,2.38907098553782,55.8447,0.0,38.7638,4.2581,23.1858,1.1087
2024,173695.57,50613.44,19134.41,9155.34,100.67,9878.4,,1423.67,30728.77,5415.86,418.36,123491.34,3520.97,36961.55,16813.34,4769.19,433.31,60992.98,173695.57,64416.04,274.93,,64015.42,11252.48,,11931.14,-1587.12,210.73,697.73,98027.05,40846.33,4864.65,49358.88,2957.19,126235.85,,126235.85,117090.45,54653.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11621.48,43031.68,0.0,0.0,44.4751075070988,411.83,40464.76,8864.41,156.87,2522.35,6491.34,2447.19,9145.4,6260.24,12.2038549271067,2786.31,12619.33,1751.01,10868.32,447.99,11316.31,2011.98,2228.05,-193.02,0.0,9304.33,0.0,,,9304.33,137.4668619,50.2326,8293.55,10868.32,-514.34,10353.98,568.71,-2629.14,6361.89,-2821.91,-2916.46,94.55,,4984.2,2034.17,2655.67,-3532.99,-14522.06,9.65,2605.0,7450.0,-4845.0,-2267.79,-4216.95,133.38,3802.49,3.34,3939.21,2821.91,5471.64,0.0,1.2238,119965.50379,98027.05,1.2598,123491.34,5.0614,13654.63,2786.31,6.59732126571972,126235.85,19134.41,-149.2905,10.047,101.3645,260.702,0.349920144113174,22540.47,64416.04,4.33445807985608,5471.64,0.0,55.5248924929012,12.2038549271067,15405.64,7.37059242679477,9304.33,18.0453245286151,75668.52,5.35668814121166,173695.57,18.7555299263964,6079.70442995,32415.53,14.4441198186042,7.37059242679477,0.726764937067767,2.69646457621425,67.6851,0.0,55.7597,8.0697,34.83,0.9009
