year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,steel,tyres,others,logistics,paints & coatings,pig iron,aluminum,metals,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015,32944.87,21836.96,11738.51,5809.05,,5929.46,,2178.76,11372.74,3232.26,103.44,10128.21,2437.57,2558.03,1765.42,2064.77,529.32,773.1,32944.87,19255.09,295.7,,18852.8,4715.51,,2514.13,979.7,588.65,607.34,8974.27,5365.45,106.25,2041.13,1461.44,38444.83,2187.69,38444.83,34277.95,20272.48,603.27,1366.06,17615.41,687.74,0.0,0.0,0.0,0.0,72.7158372140025,323.63,457.02,2316.93,1401.32,222.41,150.93,1773.86,4166.88,855.49,13.063837192153,214.3,4808.07,974.9,3833.17,335.72,4168.89,847.78,835.92,104.58,0.0,3321.11,0.0,,,3321.11,62.1092,21.3687770114697,3219.49,3833.17,602.64,4435.81,-369.57,-846.75,-2423.09,-2022.55,-2034.55,12.0,-72376.2,72423.04,192.73,493.89,-1325.2,-1584.82,2.6,0.0,,,-241.86,-860.09,-788.42,1705.61,,917.19,2022.55,1196.94,0.0,0.856965524772488,7690.64,8974.27,1.12858316052448,10128.21,20.4535230984601,4047.47,214.3,3.2751030582246,38444.83,11738.51,-19.7038654312716,23.5407255075491,22.7622179229839,66.0068088618046,0.193635033645649,3728.46,19255.09,3.11339652171696,1196.94,0.0,27.2841627859975,13.063837192153,5022.37,8.6386387974664,3321.11,16.8851426330588,23970.6,10.080810760522,32944.87,34.8297814865267,2542.86313570279,7300.83,17.2479588513998,8.6386387974664,1.16694435279301,1.71096941120504,28.0784,0.0,21.1399153797937,3.6685711613354,14.3103238112684,1.01082424293476
2016,35499.57,23403.81,13798.59,6202.6,,7595.99,,1562.15,11161.42,3504.87,39.46,11635.68,2687.93,2511.64,2385.98,2287.03,533.35,1229.75,35499.57,22423.17,296.32,,21989.35,3232.08,,1495.42,460.08,617.09,656.24,9844.32,6674.71,348.13,2223.1,598.38,40875.07,2763.83,40875.07,36255.13,19364.88,550.4,1239.18,16935.6,639.7,0.0,0.0,0.0,0.0,72.2106897920909,-257.97,432.13,2348.72,1561.57,230.82,716.89,1448.83,4619.94,849.93,13.3819220370754,186.05,5283.82,1068.1,4215.72,68.74,4284.46,1079.89,825.69,254.2,0.0,3204.57,0.0,,,3204.57,62.1092384,22.1923037090737,5470.5,4215.72,770.37,4986.09,1412.29,-927.88,-3537.93,-2151.59,-2162.99,11.4,-79601.2,82470.7,182.98,466.23,-3394.81,-2007.2,,0.0,,,-211.12,-846.06,-74.63,917.11,-0.17,842.31,2151.59,3318.91,0.0,0.90892514668357,8947.75,9844.32,1.18196889170608,11635.68,24.0285407148616,4401.77,186.05,2.96226426033385,40875.07,13798.59,-24.1935581262585,21.4350900228924,21.2016062503867,66.8302543995376,0.130085086096212,2916.92,22423.17,8.11964358715471,3318.91,0.0,27.7893102079091,13.3819220370754,5469.87,7.83991317935358,3204.57,17.1573849407041,25655.25,9.02706708841825,35499.57,30.52892264808,2656.60547859007,8701.93,14.2913334733671,7.83991317935358,1.1514243693656,1.58316464621193,27.0364,0.0,22.3707668180675,3.21680692570607,13.2212625894217,0.992022485843012
2017,39713.48,27360.32,15477.27,7706.23,,7771.04,,2040.4,14301.7,2650.41,341.93,12608.0,2758.01,2938.84,3606.7,1687.48,550.02,1066.95,39713.48,26785.62,296.81,,26271.98,3293.81,,2233.99,-254.84,490.21,824.45,9634.05,6881.08,538.88,1453.82,760.27,44053.5,3330.24,44053.5,39538.84,21129.65,0.0,0.0,21129.65,0.0,0.0,0.0,0.0,0.0,72.8231582053639,57.87,375.06,2714.43,1810.18,230.33,888.69,1439.0,4514.66,1389.94,13.4032483230617,204.07,5700.53,1526.38,4174.15,548.46,4722.61,1079.22,1003.94,75.28,0.0,3643.39,0.0,,,3643.39,62.1092384,21.180986642944,3710.0,4174.15,579.54,4753.69,-50.82,-992.87,-2781.83,-2074.25,-2219.48,145.23,-116944.75,116143.87,301.65,599.36,-2150.17,-1161.49,,0.0,,,-148.2,-839.11,-233.32,842.31,0.09,533.89,2074.25,1635.75,0.0,1.02241424945895,9849.99,9634.05,1.30869156792834,12608.0,24.1421081001617,4378.22,204.07,2.846335303319,44053.5,15477.27,-27.2668516176377,20.9752132271535,20.9926991833063,69.2347640280975,0.106440694671245,2851.08,26785.62,3.71309884572168,1635.75,0.0,27.1768417946361,13.4032483230617,5904.6,8.27037579306979,3643.39,14.5555284790968,30079.43,9.17418972097132,39713.48,20.1523138133414,2305.39245654416,11439.84,13.6020372125043,8.27037579306979,1.10928329625105,1.48264180556582,30.6879,0.0,20.9317027232232,2.87037390110728,13.1128207499238,1.01190939518954
2018,47446.7,30689.18,16877.99,9018.58,,7859.41,,3128.71,16645.48,2851.65,481.17,16370.18,2701.69,3172.98,3937.49,2893.73,600.61,3063.68,47446.7,30294.04,594.97,,29469.74,3823.64,,2195.9,277.24,488.69,861.81,13329.02,8603.4,668.47,3125.22,931.93,48685.55,759.44,48685.55,42461.53,23265.31,0.0,0.0,23265.31,0.0,0.0,0.0,0.0,0.0,70.1124871753528,194.87,440.68,2840.89,2177.78,247.13,1046.27,1574.13,6224.02,1129.82,15.1047692795912,205.66,7148.18,1479.42,5668.76,433.61,6102.37,1746.36,1213.46,532.9,0.0,4356.01,0.0,,,4356.01,124.3192544,20.4878848307701,7027.08,5668.76,866.66,6535.42,1780.33,-1288.67,-5110.42,-2668.81,-2683.2,14.39,-137896.75,137402.01,172.11,543.72,-1986.5,-1033.31,,0.0,,,-169.52,-923.01,883.35,533.89,0.71,1417.95,2668.81,4358.27,0.0,1.02546848905621,13668.49,13329.02,1.22816081002204,16370.18,30.6721287561996,5874.42,205.66,2.88455852859256,48685.55,16877.99,-31.6510730548615,20.151591698168,22.5585473877131,74.3612121407426,0.0976456094994263,2958.08,30294.04,8.95187586460459,4358.27,0.0,29.8875128246472,15.1047692795912,7353.84,8.9472338301611,4356.01,17.2181109618239,34117.68,9.18084924768214,47446.7,29.1545548463852,3386.803003751,11616.72,14.3790989910887,8.9472338301611,1.02611035119408,1.56620576192545,36.607,0.0,20.2201764689813,2.9296593514456,11.9860792184763,1.01323966495542
2019,52697.06,33991.87,20518.32,10436.57,,10081.75,,2419.79,19032.07,2630.88,461.51,18052.65,3839.27,3946.3,2983.96,3731.66,529.56,3021.9,52697.06,34209.23,595.8,,33379.51,4287.76,,2031.78,634.13,604.92,1016.93,14200.07,9678.15,448.54,3318.71,754.67,53614.0,,53614.0,46974.44,27095.07,0.0,0.0,27095.07,0.0,0.0,0.0,0.0,0.0,71.355410900138,-950.19,455.9,2980.22,2178.05,264.19,1258.3,1581.29,6639.56,1784.95,15.7132651919275,209.37,8215.14,1860.4,6354.74,-29.73,6325.01,1528.97,1344.19,358.75,0.0,4796.04,0.0,,,4796.04,124.3192544,21.1186945168415,4923.87,6354.74,509.25,6863.99,-505.98,-1434.14,-2548.71,-3031.6,-3082.14,50.54,-146561.11,147307.54,317.15,952.69,-1784.46,-1555.22,,0.0,,,-170.95,-1011.74,819.94,1417.95,-0.31,2237.58,3031.6,1892.27,0.0,1.00093731932307,14213.3799999999,14200.07,1.27130711327479,18052.65,31.2097244113292,6564.11,209.37,2.61298195953665,53614.0,20518.32,-35.0607242352686,21.035342753251,22.8951858681852,78.9912528567048,0.0751650943327283,2571.34,34209.23,3.52943261088522,1892.27,0.0,28.644589099862,15.7132651919275,8424.51,8.94549930988175,4796.04,17.0509694394289,38496.99,9.10115289164139,52697.06,27.6970561066878,3623.8745118822,13083.97,14.0197250858906,8.94549930988175,1.01740021170061,1.54043397059799,40.2487,0.0,16.6912223251931,2.35617240872857,9.36450523531932,1.26525751711819
2020,50502.06,33952.4,22666.25,12271.66,,10394.59,,4009.46,17748.48,2753.15,454.89,15141.49,3400.91,2998.98,2189.65,4236.51,481.97,1833.47,50502.06,34467.84,596.52,,33606.36,5061.4,,2032.03,1408.17,698.22,922.98,10972.82,6785.83,900.0,2475.07,811.92,45487.78,,45487.78,39689.72,22873.74,0.0,0.0,22873.74,0.0,0.0,0.0,0.0,0.0,69.5408525102786,409.49,291.64,2880.08,1653.23,248.32,1450.04,1533.82,5798.06,1763.71,16.62373938671,209.13,7352.64,2222.63,5130.01,-2013.98,3116.03,1785.48,876.1,781.93,0.0,1330.55,0.0,,,1330.55,124.3192544,21.0713196922691,3677.83,5130.01,939.8,6069.81,-1309.64,-1082.34,-2575.72,-3943.67,-3991.93,48.26,-114164.17,116219.1,355.6,1040.27,-2107.57,-1015.46,,0.0,,,-156.98,-1187.37,86.65,2237.58,-0.72,2323.51,3943.67,-265.84,0.0,1.06996925129547,11740.58,10972.82,1.37990871990974,15141.49,15.8999665279969,5339.14,209.13,2.00685071416754,45487.78,22666.25,-33.1074734235131,27.4931492512345,26.3733249217028,86.9739475964504,0.0878183837455437,3026.91,34467.84,-0.584420694964669,-265.84,0.0,30.4591474897214,16.62373938671,7561.77,2.92507130486474,1330.55,13.5068116665031,39529.24,2.63464500259989,50502.06,10.3218460098834,1526.71456516786,14791.1,3.86026510509507,2.92507130486474,0.90071137692205,1.46519364137701,11.1526,0.0,25.5545792012625,0.994116284944426,4.33655612376467,0.824561403508772
2021,61564.49,39301.56,27311.86,15300.56,,12011.3,,6125.46,17291.82,4313.25,1009.39,20813.27,4782.97,2202.82,4490.79,6395.21,741.69,2199.79,61564.49,34951.0,597.39,,34098.73,10424.94,,6989.84,1449.66,970.02,1015.42,16188.55,10642.72,144.25,4522.34,879.24,44629.87,,44629.87,37672.39,28023.51,0.0,0.0,28023.51,0.0,0.0,0.0,0.0,0.0,67.6152316822792,-365.62,346.26,3251.95,1004.9,240.57,1419.35,1232.77,6957.48,1447.24,18.832051269699,644.07,7760.65,2369.92,5390.73,-3087.28,2303.45,1319.29,1328.89,-9.6,0.0,984.16,0.0,,,984.16,124.3192544,106.225416403632,9593.63,5390.73,1754.32,7145.05,3586.63,-1138.05,-14535.94,-3311.27,-3385.47,74.2,-88592.66,82561.68,268.75,565.04,-4171.8,3514.15,,0.0,,,-403.78,-293.6,-1428.16,2323.51,-0.1,867.54,3311.27,6282.36,0.0,0.990224572305735,16030.3,16188.55,1.28567845792242,20813.27,4.57639697548403,6034.8,644.07,1.63408387418506,44629.87,27311.86,-44.3933409253294,32.2982390089162,20.5292574764758,97.2208374107214,0.21923092329261,7662.34,34951.0,14.0765814464618,6282.36,0.0,32.3847683177208,18.832051269699,8404.72,2.205159907479,984.16,13.2995591937049,45375.94,1.59858385897455,61564.49,11.2804744841222,1960.05689274784,17375.66,2.81582787330835,2.205159907479,0.724928769815197,1.76145146061629,8.2372,0.0,96.5255183800321,2.73797063763902,11.4535746342531,1.10049050433908
2022,66606.5,38618.43,31577.24,16673.28,1.78,14903.96,,5262.74,16302.4,2385.41,1526.1,26175.49,5970.39,3038.57,7902.06,3650.57,1107.24,4506.66,66606.5,38198.04,598.3,,37368.77,9427.73,,5681.53,1762.18,1058.87,925.15,18980.73,12970.13,499.04,4741.31,770.25,57786.94,,57786.94,50759.47,40729.87,0.0,0.0,40729.87,0.0,0.0,0.0,0.0,0.0,73.6505687963405,-541.07,533.87,3329.59,1327.65,264.72,1601.89,1141.34,7027.47,2347.69,16.2236657625408,520.12,8855.04,2498.39,6356.65,-208.67,6147.98,1278.1,1066.87,221.82,0.0,4869.88,0.0,,,4869.88,124.3192544,28.3801,6976.73,6356.65,827.25,7183.9,391.26,-598.43,-3963.59,-3291.55,-3348.95,57.4,-53615.27,52650.45,361.77,1363.02,-52.03,-3165.98,3.32,0.0,,,-482.4,-1089.06,-152.84,867.55,0.08,717.26,3291.55,3685.18,0.0,1.0645,20204.987085,18980.73,1.3791,26175.49,12.8203,6876.77,520.12,1.83001870967824,57786.94,31577.24,-44.5289,33.0191,16.0942,93.6422,0.170107419124123,6497.77,38198.04,6.37718487949007,3685.18,0.0,26.3494312036595,16.2236657625408,9375.16,8.42730208590384,4869.88,14.4391786211541,47625.77,7.31141855524611,66606.5,14.2153802330627,3587.53408788,25236.99,12.7490311021194,8.42730208590384,0.867587097355363,1.74371512255603,40.6976,0.0,19.7997,2.5396,10.5885,1.4334
2023,75779.81,39665.89,36215.03,19238.83,705.9,16976.2,,2784.62,17539.06,2377.11,1459.19,33950.97,8881.35,4041.73,9548.01,4481.75,1305.47,5692.66,75779.81,43356.73,599.05,,42497.35,6383.09,,2331.56,1470.29,1374.15,1207.09,25854.82,17145.62,,7626.21,1082.99,84960.26,,84960.26,74580.78,62226.2,0.0,0.0,62226.2,0.0,0.0,0.0,0.0,0.0,75.986396463476,-1074.8,725.83,3649.88,1603.12,343.98,2100.39,1599.34,10379.48,2790.57,15.5014238421587,455.27,12714.78,3154.46,9560.32,-1429.54,8130.78,1582.14,2033.85,-256.87,0.0,6548.64,0.0,,,6548.64,124.3528831,29.7301,9129.3,9560.32,1119.81,10680.13,387.12,-1937.95,-4753.48,-3431.27,-4354.23,922.96,-39568.12,38107.18,305.63,1607.14,-2031.65,-3783.75,8.33,0.0,,,-381.0,-1435.86,592.07,717.26,0.78,1310.11,3431.27,5698.03,0.0,0.9696,25068.833472,25854.82,1.3131,33950.97,18.8592,10015.59,455.27,2.34599446693817,84960.26,36215.03,-34.4608,30.7831,14.6753,79.9192,0.107105171446278,4643.73,43356.73,6.70670028552173,5698.03,0.0,24.013603536524,15.5014238421587,13170.05,7.70788601635635,6548.64,20.0612759261444,49924.99,8.64166853941703,75779.81,23.4317314495492,5819.13225828,24834.41,15.1040911065018,7.70788601635635,1.12114638450532,1.74782115717675,54.6585,0.0,21.1962,3.2208,10.5518,1.4026
2024,83811.38,47150.52,39466.98,21921.33,17.62,17528.03,,3755.8,21548.74,2688.8,3184.21,35105.8,9504.82,4549.46,8446.66,5525.92,1425.63,5653.31,83811.38,52276.56,599.62,,51378.18,5556.07,,1134.86,1555.06,1678.92,1187.23,25978.75,18591.95,350.0,5989.25,1047.55,98763.42,,98763.42,86097.26,71553.4,0.0,0.0,71553.4,0.0,0.0,0.0,0.0,0.0,74.9329761970576,-1574.51,803.43,4416.42,1882.47,362.46,2412.08,2214.03,12666.16,4511.43,17.3926642070516,255.77,16921.82,3438.85,13482.97,,13482.97,2765.17,2708.66,56.51,0.0,10717.8,0.0,,,10717.8,124.3528831,23.6093,11279.16,13482.97,-220.97,13262.0,868.1,-2850.94,-5182.51,-3985.89,-5029.13,1043.24,-39073.82,38148.66,541.32,1856.9,-2194.51,-5537.51,,0.0,,,-301.6,-2021.13,559.14,1310.11,0.12,1869.37,3985.89,7293.27,0.0,0.9855,25602.058125,25978.75,1.3513,35105.8,53.7152,13738.74,255.77,2.50243165299194,98763.42,39466.98,-35.1969,32.4939,15.1832,82.874,0.0303174118572454,1584.89,52276.56,7.38458631748475,7293.27,0.0,25.0670238029424,17.3926642070516,17177.59,10.8519935822393,10717.8,23.7560353039452,57832.63,12.7880008657536,83811.38,26.1315810240916,7334.91790134,28069.17,20.5021141406397,10.8519935822393,1.17840107154899,1.60323058747553,89.3716,0.0,21.4984,4.433,13.1843,1.0982
