year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,food ingredients,milk,others,processed fruits & vegetables,cocoa,glucose,coffee,processed sugar,tea,pulses & cereals,wheat,edible oils & fats,chemicals,juice & concentrates,chicory,skimed milk powder,rice,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2014,5819.5,3633.11,5008.98,1824.23,8.11,3176.64,,244.78,304.46,129.65,0.3,1963.67,844.1,99.1,507.36,445.82,19.31,47.98,5819.5,2837.21,96.42,,2740.79,1626.84,,15.46,222.72,,1388.66,1355.45,728.71,4.11,409.57,213.06,9854.84,323.23,9854.84,7814.93,3724.39,49.17,1787.15,294.63,172.49,22.66,17.59,378.34,177.75,9.0,446.82,17.9,350.89,0.0,0.0,0.0,0.0,0.0,38.2127969606813,-67.43,990.74,837.05,924.92,384.33,744.77,167.31,2039.91,87.32,21.5856371082636,14.23,2113.0,345.65,1767.35,7.0,1774.35,589.66,582.41,7.25,0.0,1184.69,0.0,,,1184.69,9.64157,51.2746637236638,1644.02,1774.35,276.98,2080.21,152.89,-589.08,-431.7,-179.28,-189.44,10.16,-109.22,,65.88,10.37,,-1635.28,,0.0,,,-15.45,-607.42,-422.96,1366.07,,943.11,179.28,1464.74,0.0,0.825976612932974,1119.57,1355.45,1.44872182669962,1963.67,125.690794096978,1781.58,14.23,1.96743448766016,9854.84,5008.98,-34.3745940137396,28.3310563790581,3.28795390481693,65.9936042976146,0.0068976212546833,19.57,2837.21,14.8631535367393,1464.74,0.0,61.7872030393187,21.5856371082636,2127.23,12.0214026813221,1184.69,39.9094992215589,4464.05,20.3572471861844,5819.5,31.5618860490818,1131.21587026235,3584.12,41.7554569453794,12.0214026813221,1.69341696021995,2.05113474152424,12.28677,0.0,51.9241427974968,21.681169740696,28.7170553254702,0.987491770901909
2015,6086.33,3427.92,5117.36,2191.29,28.22,2897.85,,230.79,341.78,130.01,0.42,2485.48,820.81,78.42,983.14,499.55,18.4,85.16,6086.33,2817.84,96.42,,2721.42,1786.89,,16.79,172.93,,1597.17,1481.6,749.41,0.94,465.93,265.32,8175.31,307.17,8175.31,6620.38,2810.53,43.71,1492.71,185.72,138.61,20.18,13.29,371.75,138.7,9.07,191.43,5.69,199.67,0.0,0.0,0.0,0.0,0.0,35.7242722294323,11.97,754.95,912.75,912.2,221.99,683.3,214.62,1554.93,110.09,20.3664448198295,3.29,1661.73,347.26,1314.47,-500.84,813.63,250.36,289.89,-39.53,0.0,563.27,0.0,,,563.27,9.64157,83.021787655944,1098.1,813.63,295.01,1108.64,331.64,-342.18,-70.48,-149.34,-150.81,1.47,-37.32,,98.61,11.98,,-498.32,,0.0,,,-3.29,-409.77,529.3,943.11,,1472.41,149.34,948.76,0.0,1.12503548112404,1666.85256883338,1481.6,1.67756479481641,2485.48,248.303951367781,1317.76,3.29,1.59756397830131,8175.31,5117.36,-52.7247095255209,35.8204292848318,3.81933113900652,92.3644699493592,0.00629205348777787,17.73,2817.84,11.6051868369517,948.76,0.0,64.2757277705677,20.3664448198295,1665.02,6.8898916371367,563.27,28.6175302352147,4604.73,9.25467399894518,6086.33,23.0104932990073,836.060962476802,3633.39,19.9894245237487,6.8898916371367,1.34322489907711,2.1599274621696,5.84184,0.0,99.6963285540172,19.9287298782046,33.4375275972661,0.832746690475782
2016,6810.460000000001,3372.32,3095.12,353.15,11.83,2730.14,,188.17,474.31,134.55,0.49,3282.8,940.06,97.93,1281.35,880.0,36.98,46.48,6810.460000000001,3282.33,96.42,,3185.91,2161.38,,33.15,155.34,0.68,1972.21,1366.75,799.16,,513.79,53.8,9141.34,333.23,9141.34,7291.5,3111.88,35.34,1472.55,276.59,136.49,21.46,13.06,323.92,175.33,8.72,348.46,14.02,285.94,0.0,0.0,0.0,0.0,0.0,35.2202193551492,-7.66,871.99,901.57,963.23,232.79,782.6,319.72,1849.84,150.9,21.8867255785257,90.91,1909.83,353.67,1556.16,-10.78,1545.38,544.02,561.19,-17.17,0.0,1001.36,0.0,,,1001.36,9.6415716,60.6620833092611,1465.91,1545.38,219.39,1764.77,204.04,-502.9,-125.9,-113.33,-207.01,93.68,-152.77,,125.9,13.36,,-665.61,,0.0,,,-3.51,-564.03,674.4,1476.27,,2150.67,113.33,1352.58,0.0,1.71553895723492,2344.71286980083,1366.75,2.40190232302908,3282.8,17.9990100098999,1647.07,90.91,2.95346868618987,9141.34,3095.12,-50.4643331081298,33.9180326917211,3.39686919828552,87.7792349981364,0.0100995329537249,33.15,3282.33,14.7962990108671,1352.58,0.0,64.7797806448508,21.8867255785257,2000.74,10.954192711353,1001.36,30.2563876473949,5443.71,14.703265271362,6810.460000000001,24.5135312953518,969.473392434223,3954.85,30.5075967376833,10.954192711353,1.34225000954414,2.07488582805507,10.3854,0.0,58.0603539584417,17.7128233907011,28.6356456111239,1.04481077315997
2017,7362.59,3303.24,3358.43,742.25,,2616.18,,94.16,585.28,129.02,0.56,3937.39,902.47,88.97,1393.59,1457.42,48.81,46.13,7362.59,3420.59,96.42,,3324.17,2449.29,,35.14,121.96,0.6,2291.59,1492.71,984.64,,420.6100000000001,87.46,10009.6,182.58,10009.6,7913.07,3522.23,0.0,0.0,3522.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1396059782609,-79.56,919.87,1017.45,1010.74,288.44,807.33,251.81,2096.53,176.92,22.7126958120205,91.9,2181.55,342.25,1839.3,,1839.3,614.11,649.17,-35.06,0.0,1225.19,0.0,,,1225.19,9.6415716,67.6802971637234,1817.79,1839.3,207.61,2046.91,374.95,-604.07,-130.56,-195.85,-198.56,2.71,-111.81,,153.83,15.94,,-996.62,,0.0,,,-0.66,-829.18,690.61,2150.67,,2841.28,195.85,1621.94,0.0,2.03444230678992,3036.83237576838,1492.71,2.63774611277475,3937.39,21.0141458106638,1931.2,91.9,2.98044026524299,10009.6,3358.43,-53.6542941260427,32.9921297504557,3.34660985186682,89.9930337283652,0.0102730815444119,35.14,3420.59,16.2038443094629,1621.94,0.0,63.8603940217391,22.7126958120205,2273.45,12.2401494565217,1225.19,32.9001615024498,5869.88,16.6407473457031,7362.59,31.5983269071124,1168.55668634807,3698.16,35.8180898616905,12.2401494565217,1.35952158140002,2.15243276744655,12.7068,0.0,61.7385966569081,22.113579821025,32.6460709494381,1.09623964308477
2018,8088.08,3292.31,3485.42,1073.72,11.08,2400.62,,105.2,733.36,111.95,0.0,4736.95,965.55,124.59,1925.13,1610.06,60.17,51.45,8088.08,3673.74,96.42,,3577.32,2559.39,,35.14,58.82,0.51,2464.92,1854.95,1240.37,,457.32,157.26,11292.27,,11292.27,8675.65,3598.66,0.0,0.0,3598.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8568773151899,-6.01,971.28,1124.15,1285.22,344.18,854.82,272.79,2616.62,259.95,25.4737975624033,111.95,2764.62,335.67,2428.95,,2428.95,822.0200000000001,884.87,-62.85,0.0,1606.93,0.0,,,1606.93,9.6415716,69.003008531172,2052.45,2428.95,92.01,2520.96,412.8,-881.31,-52.41,-162.78,-165.98,3.2,-160.39,,237.18,18.38,,-1317.42,,0.0,,,-4.05,-1089.5,682.62,2841.28,,3523.9,162.78,1889.67,0.0,2.03325318352868,3771.58299278653,1854.95,2.55368069220195,4736.95,22.6967396159,2540.9,111.95,3.23985918483282,11292.27,3485.42,-73.5371681946752,29.3210374535668,3.35210584393301,106.210311492175,0.00956518425364887,35.14,3673.74,16.7341907340154,1889.67,0.0,66.1431226848101,25.4737975624033,2876.57,14.2303540386477,1606.93,40.7644313531083,6233.13,19.8678796451074,8088.08,39.9447571628126,1509.01705819387,3777.76,43.7409833031189,14.2303540386477,1.39616200631052,2.20159292709881,16.66594,0.0,66.6464057832922,29.1517920429862,36.6829885940547,1.03535978752617
2019,7172.94,3342.33,3865.18,1523.73,,2341.45,,143.3,743.6,127.42,0.0,3817.17,1283.07,124.33,1007.45,1308.05,65.88,28.39,7172.94,1918.87,96.42,,1822.45,3063.52,,53.14,13.44,90.03,2906.91,2190.55,1491.53,,611.64,87.38,12368.9,,12368.9,9444.58,4303.1,0.0,0.0,4303.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3848765856301,-144.19,1048.63,1258.17,1363.58,340.53,858.31,198.64,2924.32,248.44,25.6511088294028,129.12,3043.64,370.15,2673.49,,2673.49,705.05,747.0,-41.95,0.0,1968.44,0.0,,,1968.44,9.6415716,167.521663930969,2295.25,2673.49,131.41,2804.9,163.2,-672.85,82.99,-152.2,-154.52,2.32,-15.86,,238.01,12.84,,-3601.53,,0.0,,,-10.98,-2950.32,-1223.29,3523.9,,2300.61,152.2,2143.05,0.0,1.15688028998475,2534.20411922609,2190.55,1.742562370181,3817.17,21.7054677819083,2802.61,129.12,3.20008382533284,12368.9,3865.18,-78.2044135186912,32.1509776761721,3.55908128681269,113.914472481676,0.0276933820425563,53.14,1918.87,17.3261163078366,2143.05,0.0,64.6151234143699,25.6511088294028,3172.76,15.9144305475831,1968.44,56.2503136045151,4982.39,27.4425828182029,7172.94,67.0842767219371,1880.58694620141,2803.32,102.583291207846,15.9144305475831,1.72438358608883,3.73810628130097,20.41527,0.0,72.4455272940304,74.3170188183671,44.5510495278559,2.31238104253226
2020,7879.81,3714.65,3998.27,1818.86,,2179.41,,638.58,740.83,135.91,0.0,4185.08,1416.48,164.93,722.94,1769.87,80.16,30.7,7879.81,2019.34,96.42,,1922.92,3367.92,,31.72,-19.92,87.85,3268.27,2492.55,1516.58,3.12,857.09,115.76,13350.03,,13350.03,10153.43,4712.74,0.0,0.0,4712.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1977463721055,-69.33,1063.62,1500.95,1371.07,313.68,870.27,201.43,3196.6,150.75,25.0737264260829,164.18,3183.17,370.38,2812.79,,2812.79,730.36,763.42,-33.06,0.0,2082.43,0.0,,,2082.43,9.6415716,92.6033528137801,2454.48,2812.79,248.03,3060.82,96.55,-702.89,-321.46,-474.12,-478.36,4.24,,,147.71,2.04,,-1955.89,,0.0,,,-9.04,-1889.75,177.13,2300.61,,2477.74,474.12,1980.36,0.0,1.1107901430715,2768.69997111287,2492.55,1.67903552586708,4185.08,18.1323547326106,2976.97,164.18,3.33895159656551,13350.03,3998.27,-73.9423186193525,35.8229918329596,3.83847627108292,113.603786723395,0.0172531619241931,34.84,2019.34,14.8341239682607,1980.36,0.0,63.8022536278945,25.0737264260829,3347.35,15.5986915385209,2082.43,55.2594454323719,5387.26,26.4274138589636,7879.81,76.3458599024679,2092.37280941699,2740.65,103.124288133747,15.5986915385209,1.69420709382587,3.90217100636842,21.5974901472724,0.0,85.1596643869264,87.8202970772629,52.4606057627676,1.08740862369409
2021,8208.29,5471.95,5118.74,2124.07,1.22,2994.67,,246.23,710.7,168.22,1326.29,2762.18,1592.65,165.97,63.28,735.41,130.59,74.28,8208.29,1946.38,96.42,,1849.96,3497.17,,27.47,-25.84,210.28,3285.26,2764.74,1748.17,6.590000000000001,871.22,138.76,14740.59,,14740.59,11178.19,5039.59,0.0,0.0,5039.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5051595628126,-67.59,1376.04,1529.94,1507.23,408.06,940.01,183.24,3562.4,124.12,25.009311024864,201.68,3484.84,391.02,3093.82,-236.5,2857.32,738.91,744.39,-5.48,0.0,2118.41,0.0,,,2118.41,9.6415716,91.030533916839,2236.0,2857.32,279.03,3136.35,-171.75,-728.6,-1920.33,-730.84,-734.84,4.0,-1378.78,,124.58,,,-2019.97,,0.0,,,-9.46,-1928.31,-1704.3,2477.74,,773.44,730.84,1505.16,0.0,0.423016269160934,1169.53,2764.74,0.999074053979759,2762.18,15.1675922253074,3295.5,201.68,2.87973016797102,14740.59,5118.74,-73.7061619032808,36.1604739473178,3.97639876946741,113.843034620066,0.0174991522724237,34.06,1946.38,10.2109888410165,1505.16,0.0,64.4948404371874,25.009311024864,3686.52,14.3712700780634,2118.41,60.5395376179148,5443.55,25.8081768553499,8208.29,61.4029308664642,2351.25330932482,3829.22,108.838459088153,14.3712700780634,1.79581739923906,4.21720835602503,21.97065,0.0,89.7039914613359,97.6324454114818,51.3569678450137,1.01478799810235
2022,8953.13,5488.59,5474.0,2430.3,29.43,3043.7,,358.36,560.19,265.35,1235.38,3490.15,1928.77,191.89,217.35,945.55,170.98,35.61,8953.13,2459.17,96.42,,2362.75,3414.21,,26.66,-25.61,208.0,3205.16,3079.75,1933.81,3.37,948.85,193.72,16896.96,,16896.96,13190.67,6312.4,0.0,0.0,6312.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.9367057742931,-250.27,1633.24,1635.46,1523.73,572.61,1129.36,286.12,3706.29,107.26,22.5694444444444,154.57,3658.98,403.01,3255.97,,3255.97,865.45,868.61,-3.16,0.0,2390.52,0.0,,,2390.52,9.6415716,88.7355,2737.43,3255.97,352.8,3608.77,-30.19,-841.15,-391.73,-540.7,-549.92,9.22,,25.48,103.14,,,-2122.74,,0.0,,,-18.11,-2024.73,222.96,773.44,,996.4,540.7,2196.73,0.0,0.5075,1562.973125,3079.75,1.1333,3490.15,22.0647,3410.54,154.57,3.08676653270004,16896.96,5474.0,-64.1944,36.8849,3.7484,104.8277,0.0122114371922234,30.03,2459.17,13.0007409616878,2196.73,0.0,62.0632942257069,22.5694444444444,3813.55,14.1476336571786,2390.52,58.0677565558503,5873.38,26.7003829945505,8953.13,59.1195396444425,2425.25496288,4102.29,97.2084077147981,14.1476336571786,1.88726847482389,3.64071211018352,24.7928,0.0,79.0504,76.8437,49.3126,1.1225
2024,10523.06,7016.3,6333.68,2843.46,29.97,3460.25,,1741.71,423.8899999999999,347.51,1054.98,3494.72,2089.36,300.46,39.98,778.85,231.89,54.18,10523.06,3340.89,96.42,,3244.47,3226.1,,25.48,12.04,271.38,2917.2,3956.07,2237.89,5.66,1412.69,299.83,24393.89,,24393.89,18580.74,8663.74,0.0,0.0,8663.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5316523932837,-45.68,1975.62,2336.06,2409.43,674.83,1614.58,414.79,5813.15,154.62,24.4641998467649,145.49,5822.28,537.78,5284.5,4.37,5288.87,1356.03,1315.68,40.35,0.0,3932.84,0.0,,,3932.84,96.415716,78.9436,4174.79,5288.87,433.56,5722.43,-248.88,-1298.76,-1237.42,-1878.3,-1882.67,4.37,,283.79,167.04,,,-3134.92,,0.0,,,-26.0,-3008.18,-197.55,996.4,,798.85,1878.3,2296.49,0.0,0.3553,1405.591671,3956.07,0.8834,3494.72,37.3521,5429.99,145.49,3.85145602556492,24393.89,6333.68,-50.4551,29.132,3.5696,83.1567,0.00932086958864255,31.14,3340.89,9.4142016709922,2296.49,0.0,62.4683476067163,24.4641998467649,5967.77,16.1222338872562,3932.84,82.6861316980839,6566.99,37.3735396358094,10523.06,78.194246853335,3922.80205959,5016.74,117.718332540132,16.1222338872562,2.3181365496348,3.14977745451062,40.7886,0.0,64.3145,75.7099,42.2588,1.2275
