year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,transportation fuel,coal,gases,naptha,crude oil,na,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,204014.03,165671.53,128477.59,49628.52,,78849.07,,56493.49,7154.07,22407.2,1746.77,37363.43,7453.0,7604.37,1878.06,12878.81,2708.82,4840.37,204014.03,81657.35,8245.46,,73411.89,91837.16,23017.83,55514.5,979.07,4321.78,7995.02,30519.52,5953.15,,16807.62,7758.75,73236.94,669.64,73236.94,57582.16,48833.57,48833.57,0.0,0.0,0.0,0.0,0.0,0.0,,2110.52,3620.71,633.48,49127.52,1245.24,844.69,15654.78,2681.65,25.0371329004188,2878.13,15458.3,4911.65,10546.65,,10546.65,255.79,2314.22,-70.65,0.0,10290.86,0.0,,,10290.86,824.546,20.0310275331702,14234.7,10546.65,6374.52,16921.17,-766.54,-1919.93,-14562.6,-17122.58,-17128.27,5.69,,1636.96,1787.17,276.75,-689.26,-1878.08,,18609.22,23360.37,-4751.15,-5690.47,-12368.21,-2205.98,15311.37,0.02,13105.41,17122.58,-2887.88,0.0,0.997895475037792,30455.2909083254,30519.52,1.22424697374009,37363.43,4.66441057214233,13424.78,2878.13,0.5700366888887,73236.94,128477.59,25.9799924149366,31.6725368025418,31.6678450687341,37.3603894563393,1.05312430540545,85995.34,81657.35,-3.94320134074417,-2887.88,0.0,100.0,25.0371329004188,18336.43,14.0514609157619,10290.86,7.73787020695929,173494.51,5.04419230383322,204014.03,7.99864203864261,10482.5747314835,131054.43,12.6024907739475,14.0514609157619,0.358979919175167,2.4984160029685,10.4005,0.0,11.8063234139384,1.48788630907077,10.6134827280992,1.69664065151001
2016.0,224522.42,193613.76,97625.3,5852.05,,91773.25,,66423.2,8014.32,26007.01,2548.19,29756.45,7010.37,7732.22,378.72,4460.78,2865.33,7309.03,224522.42,91293.7,8245.46,,83048.24,101174.33,24556.55,60540.4,1152.21,5096.29,9820.51,32054.39,5311.64,1299.5,18516.26,6926.99,70114.61,729.2,70114.61,52262.42,43798.59,43798.59,0.0,0.0,0.0,0.0,0.0,0.0,,1676.41,3581.65,44.76,44427.14,1363.46,1169.0,17852.19,1262.24,27.2616933902934,3346.32,15768.11,5172.34,10595.77,,10595.77,-173.83,2103.92,173.15,0.0,10769.6,0.0,,,10769.6,824.54644,25.6483908408855,23987.38,10595.77,8649.3,19245.07,6078.03,-1335.72,-18346.09,-20250.69,-20373.54,122.85,-117.03,1651.46,977.7,184.2,-802.34,-4549.62,0.12,4100.48,11801.22,-7700.74,-6625.16,-2762.24,1091.67,280.65,0.08,1372.4,20250.69,3736.69,0.0,0.71857584366655,23033.5103374666,32054.39,0.928311223517278,29756.45,4.16639472614693,13942.09,3346.32,0.718201224477671,70114.61,97625.3,39.3783506156175,37.258936595872,39.5084295296936,37.3890155099481,1.02008397074497,93127.24,91293.7,5.32940281633172,3736.69,0.0,100.0,27.2616933902934,19114.43,15.3599941581362,10769.6,7.2438471989348,192468.03,4.79667019445096,224522.42,8.36951234883518,12887.8705898675,153985.92,11.7966519047864,15.3599941581362,0.312283334555186,2.45934188229856,10.8843,0.0,9.86129869016228,1.16329521971396,10.1948101408203,2.60093167701863
2017.0,241094.65,210687.08,111749.82,12394.1,,99355.72,,80737.09,8248.11,20783.09,3047.91,28922.73,6504.81,8137.92,,2930.49,3191.24,8158.27,241094.65,96231.23,8245.46,,87985.77,108203.36,32704.33,64634.95,1484.84,4385.76,4980.31,36660.06,4876.08,3000.56,20743.3,8040.12,77573.85,699.59,77573.85,56464.83,47572.19,47572.19,0.0,0.0,0.0,0.0,0.0,0.0,,2068.84,4324.6,40.66,47804.75,1532.0,693.98,21109.02,1609.75,29.2866346068939,3698.92,19019.85,5920.82,13099.03,-782.95,12316.08,2930.82,2705.75,332.63,0.0,9385.26,0.0,,,9385.26,824.54644,41.9950273670524,20013.92,12316.08,10476.91,22792.99,-194.19,-2584.88,-24414.12,-23441.49,-23513.5,72.01,,343.63,167.04,166.09,-1707.91,3184.98,,12708.06,23803.92,-11095.86,-6888.72,-3595.03,-1215.22,1372.4,-0.06,157.12,23441.49,-3427.57,0.0,0.611508000805236,22417.92,36660.06,0.78894388061558,28922.73,4.32964216582138,16797.95,3698.92,0.694174272495472,77573.85,111749.82,37.6450024204786,31.5115874554638,37.0023414072513,30.8689264422365,1.11024466797317,106840.21,96231.23,-4.41846060238083,-3427.57,0.0,100.0,29.2866346068939,22718.77,12.0984842185865,9385.26,8.21678464490769,204434.59,3.89276991422249,241094.65,6.71056749324866,11573.9103620633,172472.9,9.75282140735393,12.0984842185865,0.321756828697775,2.50536805982839,9.4853,0.0,14.579577521709,1.421923098146,10.5966620860196,2.88038565833082
2018.0,275861.61,220701.54,139805.27,20046.1,,119759.17,,79076.27,10047.48,18991.97,2873.81,45112.91,6057.38,7577.97,,3978.38,11235.9,16263.28,275861.61,101777.77,8245.46,,93532.31,131529.08,30382.81,78314.79,10047.16,4250.59,8510.42,42554.76,5592.64,6500.32,22372.97,8088.83,82571.19,881.51,82571.19,60951.7,48315.47,48315.47,0.0,0.0,0.0,0.0,0.0,0.0,,2293.05,4734.67,56.45,50241.75,1652.98,1972.8,21619.49,5075.93,32.330186836353,3996.25,22699.17,7098.86,15600.31,,15600.31,5257.14,2576.8,3631.64,0.0,10343.17,0.0,,,10343.17,824.54644,40.81600114795,19249.75,15600.31,7246.72,22847.03,-5573.56,1976.28,-20389.59,-18007.92,-18016.86,8.94,,,250.38,189.17,-1501.61,1043.21,,10263.92,17230.49,-6966.57,-7857.17,-4040.28,-96.63,157.12,,60.49,18007.92,1241.83,0.0,0.917798948005885,39056.7139606429,42554.76,1.06011430918656,45112.91,4.90373725367532,19596.56,3996.25,0.590615718563399,82571.19,139805.27,32.2229930988852,27.4718454286081,34.3685695609609,29.6174218906838,1.19480521139341,121604.61,101777.77,1.50395071210673,1241.83,0.0,100.0,32.330186836353,26695.42,12.5263666419244,10343.17,8.39947905515847,233306.85,3.74940536307317,275861.61,4.80671919869363,9627.33077721533,200289.02,10.1625040517197,12.5263666419244,0.299321061745417,2.71043087306786,10.4534,0.0,13.5282938246567,1.37481353934165,9.64778550777624,3.01708898055392
2019.0,302198.73,252458.85,153399.2,27778.58,,125620.62,,91206.69,13145.94,23791.97,2893.77,45539.74,7988.02,8433.86,,2144.34,7890.26,19083.26,302198.73,107408.17,9894.56,,97513.61,139436.56,32500.7,87197.38,4200.14,3453.66,12036.51,55354.0,7550.94,15376.09,25586.61,6840.36,89403.15,904.28,89403.15,70585.93,52493.74,0.0,48970.01,3026.39,28.28,469.06,0.0,0.0,,1886.27,4779.89,363.12,55954.52,1898.94,5703.19,18817.22,1985.06,23.2679497310777,4716.74,16085.54,7254.36,8831.18,,8831.18,-2918.71,2955.0,-5767.83,0.0,11749.89,0.0,,,11749.89,989.455728,51.1995642512398,16157.28,8831.18,16637.87,25469.05,-6286.23,-3025.54,-20894.22,-17630.2,-17701.26,71.06,-2145.33,,55.93,124.19,-3051.35,4700.84,,11005.36,24844.83,-13839.47,-9248.74,-4922.55,-36.1,60.49,-0.01,24.38,17630.2,-1472.92,0.0,0.678521364584,37558.8716151827,55354.0,0.822700075875275,45539.74,2.87230587227619,13547.92,4716.74,0.582813665260314,89403.15,153399.2,26.6272362901803,28.3839934322126,32.3579020574498,34.1146591994821,1.32956897040514,142806.57,107408.17,-1.64750347163383,-1472.92,0.0,100.0,23.2679497310777,20802.28,13.142590613418,11749.89,5.48843801526571,246844.73,3.8881334809051,302198.73,7.40479791620903,15384.3917897042,207762.48,10.9394750883476,13.142590613418,0.295842242619617,2.81355440652233,11.8751,0.0,11.3977987553789,1.24685924357523,13.1997598147895,4.49205762837089
2020.0,340451.9,274730.3,193575.29,36763.99,,156811.3,,73359.28,26400.89,22336.44,3916.37,57627.62,10731.86,15615.19,,2209.11,14335.79,14735.67,340451.9,113569.44,9894.56,,103674.88,172178.3,38896.07,107642.63,8093.98,3866.42,13611.19,54704.16,9000.63,14049.36,25015.0,6639.17,96768.1,938.24,96768.1,69704.72,54241.82,0.0,51609.68,1988.36,0.57,643.21,0.0,0.0,,2566.82,4925.6,877.48,57475.45,2076.58,1782.79,27063.38,7653.27,35.8761306670277,6799.04,27917.61,8622.85,19294.76,,19294.76,9181.95,2493.29,4028.49,0.0,10112.81,0.0,,,10112.81,989.455728,30.8201084085083,21583.98,19294.76,8761.74,28056.5,-3569.38,-2903.14,-27246.84,-14460.26,-14523.88,63.62,,,768.97,210.4,-13317.48,5658.88,,21108.45,28775.62,-7667.17,-10503.9,-2968.37,-3.98,24.38,-0.03,20.37,14460.26,7123.72,0.0,0.857261312485193,46895.76,54704.16,1.05344127393602,57627.62,3.83786534569586,26093.8,6799.04,0.499899031534448,96768.1,193575.29,39.3738443653408,34.9657770416945,44.9198242918525,40.5117569682062,1.46820288979148,166742.98,113569.44,7.3616408713202,7123.72,0.0,100.0,35.8761306670277,34716.65,10.4505617037019,10112.81,9.13176076213236,285747.74,2.97040786084613,340451.9,4.1162843580002,9665.08918428112,234801.3,8.90451691934027,10.4505617037019,0.284234278028702,2.99774217430323,10.2206,0.0,8.23826389840127,0.733579343175418,7.13911236251194,3.74109263657957
2021.0,354345.48,286497.56,212304.46,47855.6,,164448.86,,75438.5,28125.65,24461.56,3183.98,58686.93,9178.94,22976.26,499.99,2338.46,15145.51,8547.77,354345.48,118985.49,9696.67,,109288.82,177310.28,37688.85,112820.15,9160.99,5217.51,12342.77,58049.71,7182.47,12859.74,31079.41,6928.09,98059.54,1147.18,98059.54,69453.47,52849.64,0.0,50664.83,1552.56,68.44,544.24,19.57,0.0,,3158.8,4942.19,1179.16,56221.11,2135.2,1817.01,28606.07,6735.37,36.0407972544028,7871.73,27469.71,10411.8,17057.91,-1363.0,15694.91,1925.39,2597.35,4267.5,0.0,13769.52,0.0,,,13769.52,969.6666134,43.3089441772357,27057.78,15694.91,14124.05,29818.96,-25.1,-2736.08,-17341.63,-18280.91,-18307.09,26.18,-499.99,,3366.11,1283.19,-1645.16,-9646.47,,10066.67,30431.12,-20364.45,-10186.07,-5531.06,69.68,20.37,,90.05,18280.91,8776.87,0.0,0.852862130987784,49508.3993738229,58049.71,1.01097714355507,58686.93,2.99383235959567,24929.64,7871.73,0.461881676908719,98059.54,212304.46,68.8032112816727,36.6277707800439,70.992566078185,38.8171255765562,1.46041328232543,173767.99,118985.49,8.95055187899107,8776.87,0.0,100.0,36.0407972544028,35341.44,14.0419993811923,13769.52,8.4137684449562,296295.77,3.88590253782834,354345.48,6.61319207235091,15962.2683182255,241370.1,11.57243626933,14.0419993811923,0.276734276390375,2.97805623189853,14.2003,0.0,7.49632050027112,0.867509577428307,7.77134667263133,5.77736026303429
2022.0,383111.64,305389.85,257083.87,61513.33,,195570.54,,73617.58,23249.37,20524.41,2612.34,67519.31,9691.0,24747.45,,2747.18,17277.26,13056.42,383111.64,128667.52,9696.67,,118970.85,184998.36,44391.76,115730.41,10184.39,4685.54,9921.64,69445.76,9734.35,7106.17,41803.72,10801.52,119894.67,1279.88,119894.67,84492.77,66570.07,0.0,63773.8,1682.71,63.41,1015.59,34.56,0.0,,3700.25,5412.07,1784.28,70109.23,2380.92,1106.02,35401.9,5736.43,34.3120590765211,8340.33,32798.0,12058.24,20739.76,,20739.76,4457.77,3398.47,4618.61,0.0,16281.99,0.0,,,16281.99,969.6666134,41.6882552274094,37898.21,20739.76,16794.04,37533.8,2063.24,-1698.83,-18080.05,-19175.05,-19267.79,92.74,,499.99,975.35,1745.08,-1396.32,-19877.37,,4231.17,19911.5,-15680.33,-10950.39,-6933.12,-59.21,176.69,,117.48,19175.05,18723.16,0.0,0.83293485821185,57843.7942590142,69445.76,0.972259645513275,67519.31,3.48668338063362,29080.09,8340.33,0.466364031317873,119894.67,257083.87,100.296152327366,28.4198625041314,71.8762898232343,,1.43596931066986,184762.61,128667.52,15.6163405762742,18723.16,0.0,100.0,34.3120590765211,41138.33,13.5802450601015,16281.99,9.27104025468119,313665.88,4.24993351807322,383111.64,6.86049095276047,18326.2120045459,267126.83,12.6543124480832,13.5802450601015,0.312949692679659,2.97753185885607,16.7913,0.0,8.03690006134129,1.01701316423912,7.60536442898873,5.18710633567988
2023.0,398767.26,307420.3,269894.32,72998.44,,196895.88,,61788.8,29719.75,26674.75,2490.01,80612.37,13679.75,24741.45,50.0,3741.73,16762.22,21637.22,398767.26,138889.88,9696.67,,129193.21,184921.24,37031.71,119283.98,10614.07,3922.24,13982.72,74956.14,12007.34,11509.73,39780.79,11658.28,162339.45,1430.32,162339.45,118881.48,96851.5,0.0,92081.38,3052.3,158.43,1495.0,64.39,0.0,,4540.03,5559.03,2690.78,100848.08,2697.3,2546.26,43457.97,2962.28,28.594559116715,9807.54,36612.71,13136.71,23476.0,,23476.0,6279.27,4293.56,4532.62,0.0,17196.73,0.0,,,17196.73,969.6666134,40.8803080965565,35398.57,23476.0,22205.93,45681.93,-6547.08,-3736.28,-14062.76,-17223.52,-17320.53,97.01,,,369.06,2342.54,5379.53,-21450.16,,-6114.38,16257.48,-22371.86,-12557.58,-7030.08,-114.35,117.48,,3.13,17223.52,18175.05,0.0,0.89497140161503,67083.6016754524,74956.14,1.07546052931754,80612.37,3.39366854481348,33283.54,9807.54,0.601492650901286,162339.45,269894.32,81.1925554087302,26.0436457534257,55.1489096553045,,1.33320325426158,185168.44,138889.88,11.1957075128689,18175.05,0.0,100.0,28.594559116715,46420.25,10.5930690291238,17196.73,10.2786896262241,323811.12,4.31247289459019,398767.26,8.44240169573346,22211.0462378514,263089.19,12.3815572452075,10.5930690291238,0.407103256170028,2.8711037838034,17.7347,0.0,9.8817572329952,1.22351708958205,7.5691288123179,4.13694721825963
2024.0,393294.53,320821.2,,,,211751.12,,47153.81,701.98,800.66,25348.51,72356.14,17369.83,27347.52,50.0,4600.5,10907.5,415.85,393294.53,149885.02,9696.67,,140188.35,165105.35,,146159.07,,2691.6,,78304.16,9474.66,39059.55,,6376.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34830.91,24919.55,20781.53,45701.08,-7594.15,-3276.02,-15118.16,-17369.08,-17444.27,75.19,,,517.72,1765.59,,-19518.72,,-3714.68,16334.16,-20048.84,-12383.23,-7272.5,194.03,3.13,,197.16,17369.08,17461.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
