year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,crude oil,natural gas,gases,liquified natural gas,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,227449.889,178997.007,261462.902,162567.899,693.246,98201.757,,28579.187,18124.283,38930.874,12894.06,30163.254,5962.295,13578.274,,2760.068,914.94,6947.677,227449.889,144600.975,4277.76,,140323.215,62530.325,,,17733.154,63.951,44733.22,20318.589,5561.127,1393.0,11286.717,2077.745,82870.961,222.506,82870.961,72094.81,884.4559999999999,71.035,570.03,243.391,0.0,0.868315018091802,-169.286,23793.736,8626.088,259.296,390.118,25383.807,12922.184,10776.151,27240.183,45.8741319531699,2.787,38013.547,11458.312,26555.235,,26555.235,8822.281,8200.0,1207.111,0.0,17732.954,0.0,,,17732.954,855.549,45.833936411444,24963.844,26555.235,17257.663,43760.438,-10851.403,-7945.191,-17991.007,-8232.705,-8238.932,6.227,-1234.221,6922.29,2633.231,488.951,,-8097.63,,0.0,,,-2.428,-7913.308,-1124.793,1243.329,,118.536,8232.705,16731.139,0.0,1.19107478378543,24200.959,20318.589,1.48451518951439,30163.254,9529.2508073197,26558.022,2.787,0.316951125249883,82870.961,261462.902,-2952.82767905023,26.0150725206832,47.7567000544098,3026.59945162532,0.00963340669037674,1393.0,144600.975,20.189386967529,16731.139,0.0,99.1316849819082,45.8741319531699,38016.334,21.3982724298322,17732.954,12.8218294386218,207131.3,7.79642235833318,227449.889,-0.310392559914491,-455.530882464193,146759.601,12.2633709765788,21.3982724298322,0.364348214740171,1.57294851573442,13.818,0.0,14.8019491484537,1.8222317319387,6.86850460646731,3.09647979139505
2016.0,253451.201,196591.563,108661.399,11931.155,2451.169,94279.075,,33895.803,36827.793,36890.502,13995.667,37559.987,5625.567,5431.423,3003.238,9956.644,175.559,13367.556,253451.201,165774.676,4277.76,,161496.916,63011.575,,,19297.277,242.365,43471.933,24664.95,5126.449,,11208.237,8330.264,77542.724,199.029,77542.724,62913.903,1504.916,82.791,653.748,233.043,535.334,0.0545673376137779,35.162,20082.117,8696.985,,511.87,25553.356,8027.262,14628.821,24620.663,50.6165916998221,1324.131,37925.353,11099.924,26825.429,-3226.585,23598.844,7458.912,5720.0,1874.662,0.0,16139.932,0.0,,,16139.932,855.549012,45.056983832494,39893.846,23598.844,14908.195,38507.039,8131.375,-6744.567999999999,-32682.709,-10140.813,-10166.566,25.753,-11308.332,278.854,2445.236,571.157,,-7315.746,,0.0,,,-5.348,-4916.868,-104.609,118.536,,13.927,10140.813,29753.033,0.0,1.29472875477145,31934.4200000001,24664.95,1.52280815489186,37559.987,18.8221369335813,28149.56,1324.131,0.713617942651373,77542.724,108661.399,71.8282557572376,27.2026901039908,44.6255656532468,0.0,0.0,0.0,165774.676,38.369857886344,29753.033,0.0,99.9454326623862,50.6165916998221,39249.484,20.8142442868012,16139.932,12.3038687320419,228786.251,6.3680629392638,253451.201,1.66324332855713,2413.5147304251,145108.938,9.73606608044283,20.8142442868012,0.305947352760818,1.52888973826135,12.5767,0.0,11.3834842738291,1.10830658100396,4.42738314088409,3.9580908032596
2017.0,247249.493,195178.999,108810.395,4003.347,,104807.048,,34955.897,50515.421,12098.21,14965.635,29907.282,6165.317,6476.206,3634.329,9510.784,306.999,3813.647,247249.493,185538.38,6416.632,,179121.748,42477.647,,,22163.212,1029.145,19285.29,19233.466,5154.803,,11332.986,2745.677,77698.479,209.251,77698.479,66225.951,1863.106,106.641,496.829,197.668,1061.968,-0.167622328874675,-132.841,23458.987,11550.766,,558.604,23296.872,7490.962,11472.528,27154.261,49.7137003158067,1221.738,37405.051,12189.538,25215.513,,25215.513,7315.536,4754.655,3024.075,0.0,17899.977,0.0,,,17899.977,1283.323518,65.0626250170274,32787.656,25215.513,9976.35,35191.863,3458.211,-5862.418,-21303.498,-9513.935,-9545.28,31.345,-1636.397,483.205,2040.899,1696.947,,-11455.426,,0.0,,,-3.225,-9516.851,28.732,13.927,,42.659,9513.935,23273.721,0.0,1.23440907634641,23741.9650000001,19233.466,1.55496060876391,29907.282,21.6390510895135,26437.251,1221.738,0.714072207898887,77698.479,108810.395,55.5141142284597,27.6203186769785,27.8937955514812,0.0,0.0,0.0,185538.38,29.953895236482,23273.721,0.0,100.167622328875,49.7137003158067,38626.789,23.0377444068114,17899.977,11.5944705062333,228016.027,7.23964153892117,247249.493,-0.326502965108414,-508.990735535304,155891.612,9.64758720001759,23.0377444068114,0.314251317797444,1.33260564741376,13.9481,0.0,13.2670399552627,1.27994549898076,5.90181625425815,4.90407997838422
2018.0,291228.178,243452.468,124872.735,5244.331,,119628.404,,35383.59,85730.8,12531.618,16437.213,21516.553,6688.908,7772.644,,1012.699,166.185,5876.117,291228.178,193384.681,6416.632,,186968.049,48505.312,,,26259.157,944.32,21301.835,49338.185,7334.547,25592.208,14516.911,1894.519,84963.078,41.022,84963.078,66037.928,1626.148,110.695,612.151,230.251,673.051,-0.0741781035757674,-63.024,22359.721,11381.053,,500.405,22896.376,8963.397,18925.15,25945.966,52.812488737755,1508.47,43362.646,14470.172,28892.474,,28892.474,8947.214,6354.919,2814.094,0.0,19945.26,0.0,,,19945.26,1283.323518,42.4658503786538,37536.851,28892.474,15403.373,44295.847,520.731,-7279.727,-53730.38,-18236.508,-18264.971,28.463,-1606.32,12309.679,2059.029,3781.026,-37098.931,16180.472,,0.0,,,-326.595,-7762.592,-13.057,42.659,,29.602,18236.508,19300.343,0.0,0.300530816040355,14827.645,49338.185,0.436103456176996,21516.553,20.153495926336,30400.944,1508.47,0.680397350150135,84963.078,124872.735,58.1890895556803,27.597446034956,30.5916435207243,0.0,0.132338341732456,25592.208,193384.681,22.7161532448248,19300.343,0.0,100.074178103576,52.812488737755,44871.116,23.4752088430695,19945.26,12.5680866839332,241889.993,6.84867107879925,291228.178,2.15643169253807,3075.39238433787,142614.876,10.3137745434965,23.4752088430695,0.291740581503758,1.50595267677898,15.5419,0.0,11.4400427232192,1.17990172250782,5.63289777593229,3.71203599550056
2019.0,299708.043,243936.827,177946.442,55215.385,795.327,121935.73,,35050.229,84881.535,11045.183,18450.258,28229.668,7703.925,8439.96,,504.061,171.692,11410.03,299708.043,201789.574,6290.154,,195499.42,51201.591,,,27426.108,150.746,23624.737,46716.878,8824.998,21593.572,14662.709,1635.599,109627.759,26.791,109627.759,77168.949,2442.993,120.094,584.022,190.667,1548.21,-0.151873942803118,-166.496,28132.267,12113.033,,535.01,24681.228,11873.907,32458.81,25518.488,52.8855998962817,2492.136,55485.162,15456.108,40029.054,,40029.054,13264.454,11142.079,2122.14,0.0,26764.6,0.0,,,26764.6,1258.0279206,32.9024676850764,42303.814,40029.054,19843.389,59872.443,-6360.994,-11207.635,-22087.536,-11245.133,-11363.488,118.355,-2734.038,823.3860000000001,1304.882,3105.441,-146.994,-20229.736,,0.0,,,-779.931,-9275.055,-13.458,29.602,,16.144,11245.133,31058.681,0.0,0.439364612506855,20525.743,46716.878,0.60427128713524,28229.668,17.0621466886237,42521.19,2492.136,0.616071654863434,109627.759,177946.442,50.9371681567249,23.9542456058595,26.9829225508654,0.0,0.107010345341232,21593.572,201789.574,28.3310370323268,31058.681,0.0,100.151873942803,52.8855998962817,57977.298,24.4140719870047,26764.6,16.8073813961053,252991.165,8.93022413816235,299708.043,7.26677705191412,11368.5054348074,156444.946,13.2636188626871,24.4140719870047,0.365781838560802,1.48525038761418,21.275,0.0,7.4994124559342,0.994691382867832,3.82577067475618,4.38733939204011
2020.0,303336.305,250006.214,208497.253,75124.602,5673.595,127699.056,,36225.544,79085.547,11169.368,22170.795,26985.995,8566.623,4777.393,,968.226,88.966,12584.787,303336.305,193094.803,6290.154,,186804.649,62196.589,,2245.097,26344.096,5668.19,27939.206,48044.913,7113.627,11704.013,28079.801,1147.472,96165.842,47.767,96165.842,68945.168,2765.392,170.657,592.058,170.481,1832.196,0.256841717249249,246.994,27077.653,11512.421,,536.748,16575.063,12996.289,27220.674,19992.735,49.0958203225632,3309.675,43903.734,18616.858,25286.876,-4899.047,20387.829,6924.145,7410.0,-124.577,0.0,13463.684,0.0,,,13463.684,1258.0279206,46.7193661116406,57806.787,20387.829,31396.498,51784.327,12687.007,-6664.547,-34979.802,-22940.784,-23278.548,337.764,-4768.402,,1077.232,2466.41,-430.368,-22747.104,,2126.996,2126.996,,-884.04,-7548.957,79.881,16.144,,96.025,22940.784,34866.003,0.0,0.383378194482317,18419.372,48044.913,0.561682669713649,26985.995,7.16006979537266,28596.551,3309.675,0.461233136726267,96165.842,208497.253,55.9332716902866,30.8623181363044,25.0709535539822,0.0,0.0722396966841205,13949.11,193094.803,36.2561199224981,34866.003,0.0,99.7431582827508,49.0958203225632,47213.409,14.0004847043298,13463.684,11.2015335793226,255291.392,4.4385336598598,303336.305,3.46305583065782,5681.77513251381,164068.251,6.97257709209294,14.0004847043298,0.317027142530796,1.57091905264794,10.7022,0.0,6.38186541085011,0.444979896298392,2.09483248159437,7.32064421669107
2021.0,318453.579,259202.765,225534.549,90050.837,4783.947,130699.765,,40949.078,81376.44,10267.669,23383.18,31777.447,8474.471,7797.325,,302.551,17.909,15185.191,318453.579,204558.566,6290.139,,198268.427,77065.116,,6327.521,27473.367,12729.045,30535.183,36829.897,6376.648,8695.143,20339.498,1418.608,68087.182,53.908,68087.182,53760.762,,0.0,0.0,0.0,0.0,-0.626182472935949,-426.35,22117.281,10126.54,,506.486,13092.499,8344.306,14326.42,19320.55,49.417480664716,2291.837,31355.133,16327.377,15027.756,1375.034,16402.79,5156.353,3056.0,951.4,0.0,11246.437,0.0,,,11246.437,1258.0279206,40.2698077116682,27665.094,16402.79,16506.21,32909.0,-2409.061,-2834.845,-20656.963,-15095.776,-15253.796,158.02,-2131.373,693.0,993.155,3063.005,1216.303,-6984.252,,4139.64,4139.64,,-593.296,-2205.319,23.879,96.025,,119.904,15095.776,12569.318,0.0,0.632719010862289,23302.976,36829.897,0.862816613361694,31777.447,8.15704912696671,17319.593,2291.837,0.301892469698733,68087.182,225534.549,5853.85917496068,45.6405915285476,33.6784462209219,-5774.54013721121,0.0734394276111615,15022.664,204558.566,18.4606230288691,12569.318,0.0,100.626182472936,49.417480664716,33646.97,16.5177007913178,11246.437,6.14990645566519,281623.682,3.53157814564866,318453.579,-0.723302995037029,-1371.93958102304,189677.022,5.49790567069188,16.5177007913178,0.213805673699148,1.55678437342976,8.9397,0.0,11.4265579381858,0.6282188142148,4.2567771412998,3.52422907488987
2022.0,337264.238,281604.508,246650.196,106261.464,3453.135,136935.597,,41970.709,85173.215,12604.859,24653.382,35926.476,7861.415,11788.484,,236.23,16.538,16023.809,337264.238,237148.086,6290.139,,230857.947,63514.786,,6396.902,19733.254,7198.393,30186.237,36601.366,6154.725,,27099.754,3346.887,110318.865,26.533,110318.865,68549.551,,0.0,0.0,0.0,0.0,-0.129577112672434,-142.948,29276.689,11082.092,,575.823,19636.293,8121.602,41769.314,19176.235,55.2449021298397,2359.862,58585.687,17545.701,41039.986,,41039.986,734.249,9454.0,-8241.752,0.0,40305.737,0.0,,,40305.737,1258.0279206,32.7727630248324,49301.425,41039.986,19042.01,60081.996,-1000.64,-9779.931,-23502.023,-17661.217,-17710.56,49.343,-1399.735,4.944,1034.026,4251.948,,-25869.201,,-8695.033,-8695.033,,-634.004,-11448.701,-69.799,119.904,,50.105,17661.217,31640.208,0.0,0.766776327419037,28065.061,36601.366,0.981561070698837,35926.476,18.3908414983588,43399.848,2359.862,0.447268507339844,110318.865,246650.196,59.4108087543442,27.0178842891119,32.3929244652323,0.0,0.0269742931848921,6396.902,237148.086,28.6806866622495,31640.208,0.0,100.129577112672,55.2449021298397,60945.549,36.5356704857324,40305.737,14.4347214244664,300662.872,11.9507888648425,337264.238,11.7396471308891,23790.2267989999,202648.568,16.9960203684714,36.5356704857324,0.327099207595203,1.42216723604508,32.0388,0.0,5.11567224740003,0.869459922269834,3.48428116415852,6.40634533251983
2023.0,367037.093,292198.236,273080.445,127634.613,3831.037,141614.795,,46368.239,84985.579,14561.587,26429.213,53077.68000000001,8319.513,10250.305,,21634.046,965.964,11907.852,367037.093,257845.841,6290.139,,251555.702,68041.341,,3949.932,21761.177,4856.43,37473.802,41149.911,6255.596,628.999,32332.652,1932.664,144513.45,11003.865,144513.45,90333.329,,0.0,0.0,0.0,0.0,-0.333303232328894,-481.668,40486.231,10620.708,,682.007,22697.054,16328.997,54180.12099999999,24945.072,54.7528226611433,2699.601,76425.592,16795.155,59630.437,-9235.114,50395.323,11566.456,12620.0,1791.28,0.0,38828.867,0.0,,,38828.867,1258.0279206,36.4491704168813,79120.988,50395.323,33029.584,83424.907,8540.923,-12844.842,-55648.489,-25116.0,-25275.541,159.541,-23180.032,,1837.216,2500.65,,-23445.41,,628.999,628.999,,-666.628,-17608.965,27.089,50.105,,77.194,25116.0,54004.988,0.0,1.08768563314754,44758.1669999999,41149.911,1.28986135595773,53077.68000000001,19.6676931146492,62330.038,2699.601,0.529197357943371,144513.45,273080.445,4747.01837550043,18.9883638358854,25.8625799480913,-4702.16743171645,0.027996879732491,7218.879,257845.841,37.3702157134855,54004.988,0.0,100.333303232329,54.7528226611433,79125.193,26.8686873090359,38828.867,19.126262535849,325887.182,10.5790035232216,367037.093,14.0711945188479,28804.5752303943,204705.97,15.0589464035606,26.8686873090359,0.393729823922728,1.42347493981879,30.8649,0.0,4.89228865151029,0.736727794651534,2.21859845321325,7.45033112582782
2024.0,446020.9,380279.29,,,,150694.36,,33330.8,105371.37,1927.6,29352.27,65741.61,10711.81,11409.74,197.51,30031.3,4653.63,282.28,446020.9,305976.51,6290.14,,299686.37,98475.89,,3988.25,,16.55,,41568.5,6382.1,2121.0,,2535.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65335.53,40525.96,34266.88,74792.84,2410.86,-11868.17,-42693.57,-24115.65,-24212.82,97.17,-10325.94,30.96,3667.29,3430.31,,-22684.6,,-2640.0,,-2640.0,-346.61,-12894.9,-42.64,77.19,,34.55,24115.65,41219.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
