year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,167026.38,152261.38,118264.26,28578.05,,89686.21,,52924.15,740.99,8164.03,3218.15,12292.85,717.75,2118.65,185.43,2062.98,46.53,7161.51,167026.38,38166.59,5231.59,,32935.0,102632.52,84554.04,4821.8,2472.15,5841.55,4942.98,26227.27,392.97,1200.0,19059.6,5574.7,17177.23,,17177.23,2425.93,,0.0,,538.05,1020.75,126.27,164.12,371.57,205.17,14751.3,602.81,89.3864144568129,3979.32,11374.79,5085.41,6289.38,,6289.38,1310.21,1281.25,29.22,0.0,4979.17,0.0,,,4979.17,523.159,21.0139039237463,15041.77,6289.38,8621.83,14911.21,1257.04,-1126.48,-23843.45,-1153.45,-1153.45,,,72.26,337.63,97.77,,6447.14,,11357.86,17756.54,-6398.68,-3678.7,-1046.32,-2354.54,4417.52,,2062.98,1153.45,13888.32,0.0,0.441338347452861,11575.1,26227.27,0.46870490142512,12292.85,2.58051626911131,10268.7,3979.32,0.145244471998556,17177.23,118264.26,37.28101246469,15.1946719581679,39.2800570872021,17.19371658068,2.49025522060001,95044.55,38166.59,80.8530828311666,13888.32,0.0,100.0,89.3864144568129,15354.11,28.9870369087449,4979.17,7.29315689566504,140799.11,2.98106802051269,167026.38,5.8940280362973,7652.28202323599,129831.11,13.0458864677195,28.9870369087449,0.102841419421291,4.37624582127982,5.35359828465151,0.0,15.2561606029616,1.99029273508584,11.0031943759684,1.37741046831956
2016.0,182242.55,166267.62,121336.82,6394.52,,114942.3,,43795.15,836.08,4385.82,4797.62,13454.91,707.43,2737.97,5.0,2240.4,483.8,7280.31,182242.55,43811.23,5231.59,,38579.64,110313.76,94119.79,6053.52,2489.38,7000.62,650.45,28117.56,313.89,2000.0,21372.77,4430.9,20665.81,,20665.81,2388.06,,0.0,,564.14,993.72,10.84,161.94,432.89,224.53,18277.75,577.49,91.2388142540747,5134.93,13720.31,6179.8,7540.51,,7540.51,1592.01,1574.81,17.22,0.0,5948.5,0.0,,,5948.5,523.1589648,20.3160866467903,15119.76,7540.51,10864.74,18405.25,-1869.9,-1415.59,-20904.41,-20638.45,-20638.45,,,170.42,106.7,84.77,,5272.7,,11424.78,17199.23,-5774.45,-4826.8,-1103.87,-511.95,2052.59,,1540.64,20638.45,-5518.69,0.0,0.453363663134354,12747.48,28117.56,0.478523385386214,13454.91,2.46847376692574,12675.44,5134.93,0.170317715595316,20665.81,121336.82,39.4557678903164,12.5857805718721,42.8888657158853,16.018878397441,2.47093975677012,108254.91,43811.23,-26.7044456520214,-5518.69,0.0,100.0,91.2388142540747,18855.24,28.7842576700357,5948.5,8.22413029840262,154124.99,3.26405661027021,182242.55,6.50863194623577,9543.73849713083,146632.02,13.5775690388058,28.7842576700357,0.113397282906764,4.1597222903808,6.3958,0.0,12.2336142468495,1.66102200052361,9.4820287039571,1.66067577282531
2017.0,200383.55,181078.87,149730.18,14222.22,,135507.96,,35884.13,1327.55,6962.06,3947.68,16754.14,906.95,3221.1,2.5,3340.59,852.45,8430.55,200383.55,49807.25,5231.59,,44575.66,120113.08,104187.54,6775.63,2550.54,5809.81,789.56,30463.22,413.98,1500.0,21890.61,6658.63,25710.07,,25710.07,3143.49,,0.0,,724.91,1377.13,14.64,223.7,495.37,307.74,22566.58,1016.04,91.7252267302267,6350.06,17232.56,7662.8,9569.76,,9569.76,2049.61,1988.45,61.16,0.0,7520.15,0.0,,,7520.15,523.1589648,30.261922153814,21250.9,9569.76,13435.77,23005.53,116.16,-1870.79,-23433.64,-21018.32,-21099.53,81.21,-419.53,,190.87,62.73,,3870.53,,11783.8,17842.85,-6059.05,-5802.2,-1313.12,1687.79,1540.64,,3228.43,21018.32,232.580000000002,0.0,0.52020731885861,15847.19,30463.22,0.549979286496962,16754.14,2.50703457920083,15919.82,6350.06,0.171709337422823,25710.07,149730.18,40.6392762494187,11.459492331215,42.2997788415201,13.1199949233164,2.38314522484177,118697.91,49807.25,0.904626086198916,232.580000000002,0.0,100.0,91.7252267302267,23582.62,29.2498231237799,7520.15,9.36899074995911,169920.33,3.75287791837204,200383.55,7.39891664658078,11711.7525587894,158290.1,15.0985047357563,29.2498231237799,0.128304294439339,4.02318036028891,8.08565625,0.0,13.7187062304631,2.07132405021357,9.26632726982837,2.20588235294118
2018.0,230553.07,198036.05,177100.25,23489.9,,153610.35,,30307.12,1608.24,11191.5,14877.7,18958.13,1038.45,3638.96,,2170.43,916.96,11193.33,230553.07,54414.96,5231.59,,49183.37,142580.25,106965.71,15454.61,13558.89,5884.17,716.87,33557.86,240.34,1000.0,24192.94,8124.58,29764.59,,29764.59,3818.68,,0.0,,843.62,1599.09,15.09,248.82,714.39,518.85,25945.91,1005.62,90.5489711096306,7590.66,19360.87,9091.25,10269.62,3284.19,13553.81,5309.16,2153.67,3140.15,0.0,8244.65,0.0,,,8244.65,523.1589648,33.3135396893743,21880.78,13598.04,12645.14,26243.18,-2133.21,-2229.19,-22980.98,-19077.07,-19077.07,,,,472.59,94.05,-318.68,-612.02,,12470.12,18706.79,-6236.67,-8959.48,-3034.33,-1712.22,3228.43,,1516.21,19077.07,2803.71,0.0,0.533993526404842,17919.68,33557.86,0.564938586667922,18958.13,2.78559044931534,17860.28,7590.66,0.168066335310086,29764.59,177100.25,43.9361899505066,11.9281165976081,42.0620929097293,10.0540195568308,2.41133982272522,131212.96,54414.96,9.41961572459086,2803.71,0.0,100.0,90.5489711096306,26951.53,27.699524838071,8244.65,9.06635242552344,196995.21,3.57603132328709,230553.07,5.63248135870659,10252.5247564338,182025.01,15.1514399716549,27.699524838071,0.129100818306171,4.23694274515685,8.86463890518944,0.0,12.3005431655894,1.86372225854802,8.55079107382772,2.70827959762703
2019.0,254049.55,218507.67,197792.69,33932.71,,163859.98,,33578.08,2756.53,12046.55,16359.52,25448.86,1226.28,4649.8,,4332.04,842.02,14398.72,254049.55,59017.14,5231.59,,53785.55,155341.72,105223.31,25816.2,10093.02,13841.04,368.15,39690.69,364.11,4300.0,26749.44,8277.14,34119.12,,34119.12,4840.11,,0.0,,1033.68,1783.57,14.96,267.17,715.73,1025.0,29279.01,1614.06,90.5447444131033,9203.42,21689.65,10200.67,11488.98,-2526.87,8962.11,-976.44,2489.43,-3465.87,0.0,9938.55,0.0,,,9938.55,523.1589648,43.8485943120475,23148.92,8268.03,21779.64,30047.67,-4696.78,-2201.97,-18648.45,-19462.03,-19462.03,,,,906.23,149.78,-1166.44,-2373.54,,9993.98,19489.58,-9495.6,-10266.04,-4514.87,2126.93,1516.21,,3643.14,19462.03,3686.89,0.0,0.610283671057369,24222.58,39690.69,0.641179581408134,25448.86,1.97378039902558,20692.4,9203.42,0.172499398233575,34119.12,197792.69,48.2412784599574,12.1138301632633,44.3358064334602,8.20835813676613,2.47532089830175,146086.36,59017.14,10.8059352058318,3686.89,0.0,100.0,90.5447444131033,30893.07,29.1289751904504,9938.55,9.6531582599385,214358.86,3.91205180249286,254049.55,10.8372921029278,21156.9637068726,195223.71,16.8401078059696,29.1289751904504,0.134301044815864,4.30467403198461,10.6859183823656,0.0,10.4278589834533,1.75606269466802,7.94327394137261,4.20494699646643
2020.0,264104.26,225758.69,215190.84,45354.41,,169836.43,,30399.63,3763.66,13601.92,19538.87,26963.72,1400.56,4867.9,,5409.4,568.32,14717.54,264104.26,64439.69,5231.59,,59208.1,162020.36,102889.71,32531.4,11381.85,14792.69,424.71,37644.21,225.72,3000.0,25099.16,9319.33,36185.54,,36185.54,4784.58,,0.0,,980.26,1959.47,18.87,287.09,791.23,747.66,31400.96,2133.19,92.6727913967845,9813.62,23720.53,11073.18,12647.35,1683.4,14330.75,3519.57,2108.83,1288.83,0.0,10811.18,0.0,,,10811.18,523.1589648,48.3905309409055,29239.47,14687.14,16646.23,31333.37,381.85,-2475.75,-9368.04,-8006.12,-8006.12,,,,1136.2,303.02,-1056.47,-18711.99,,-439.68,10325.96,-10765.64,-11696.27,-4425.92,1159.44,3645.7,,4805.14,8006.12,21233.35,0.0,0.67907282421387,25563.16,37644.21,0.716278014600386,26963.72,2.46029192082025,22460.97,9813.62,0.168155577625888,36185.54,215190.84,53.7974448619639,13.2483389773926,48.0020541354364,7.45294825086512,2.29640521237765,147979.64,64439.69,58.6791022049139,21233.35,0.0,100.0,92.6727913967845,33534.15,29.8770724438546,10811.18,9.91829243171146,226460.05,4.09352730622369,264104.26,7.52896013424067,15335.3654610122,203685.04,16.777206718406,29.8770724438546,0.13701232990335,4.0984719200232,11.6242,0.0,7.6940778720256,1.29085476668184,6.73201858404045,6.28930817610063
2021.0,262910.73,217377.16,234284.32,57340.82,,176943.5,,17971.53,4265.36,10943.69,19194.93,33330.83,1362.82,8470.2,952.18,5273.54,935.69,16336.4,262910.73,69578.84,5231.59,,64347.25,155170.14,90758.49,38321.58,11941.88,13686.26,461.93,38161.75,186.3,1800.0,26275.61,9899.84,37665.65,,37665.65,4609.83,,0.0,,1029.62,2110.74,7.65,264.67,743.48,453.67,33055.82,3084.68,95.9508199115109,8724.11,27416.39,11711.68,15704.71,-679.79,15024.92,3089.14,2527.55,560.03,0.0,11935.78,0.0,,,11935.78,523.1589648,52.5974367515823,27613.73,15109.36,16865.94,31975.3,-2153.81,-2207.76,-7802.99,-6389.23,-6389.23,,,,1100.67,662.78,-1665.59,-20185.83,,-3072.95,7840.37,-10913.32,-9084.66,-6821.99,-375.09,4805.14,,4430.05,6389.23,21224.5,0.0,0.837697694681193,31968.01,38161.75,0.873409369329237,33330.83,2.72222954547799,24428.82,8724.11,0.160768975064144,37665.65,234284.32,73.088956121214,13.389304313081,64.6266093907844,4.92695758265145,2.05596241615986,143051.48,69578.84,56.3497510331031,21224.5,0.0,100.0,95.9508199115109,36140.5,31.6887668206974,11935.78,10.8693796964062,224748.98,4.53986035488167,262910.73,8.31142368723261,16955.7614502573,204005.5,17.1543245044039,31.6887668206974,0.143264027299304,3.7786017990527,12.8333,0.0,9.45221610965223,1.62145902906688,6.93397098407604,5.56457222351032
2022.0,260082.43,216096.51,249953.7,70221.94,,179731.76,,7375.99,7228.53,14762.33,18422.68,32316.14,1352.6,8836.81,15.86,2971.04,660.41,18479.42,260082.43,76151.57,6975.45,,69176.12,139446.7,81919.46,32279.94,11424.78,13305.47,517.05,44484.16,266.14,5300.0,25780.92,13137.1,39933.39,,39933.39,5007.32,,0.0,,1163.69,2234.76,10.77,297.0,828.5,472.6,34926.07,2403.42,93.4793915567899,8210.94,29118.55,12550.58,16567.97,3236.85,19804.82,2711.06,3320.52,-571.0,0.0,17093.76,0.0,,,17093.76,697.5452864,60.1903238443458,24640.2,19694.17,15140.11,34834.28,-6484.84,-3709.24,2188.54,-3645.32,-3645.32,,-1470.0,1485.95,1239.26,664.38,2224.56,-28801.32,,-12667.27,2584.7,-15251.97,-8813.95,-10811.96,-1972.58,4430.05,,2457.47,3645.32,20994.88,0.0,0.696057652881385,30963.54,44484.16,0.726463981785876,32316.14,3.41200398492743,24778.91,8210.94,0.159763148135035,39933.39,249953.7,91.5047151018233,12.4097691180238,79.0949459837995,,1.76838468333614,134665.27,76151.57,52.5747501026084,20994.88,0.0,100.0,93.4793915567899,37329.49,42.8056821622206,17093.76,11.4930931495879,215598.27,6.57243936085955,260082.43,10.1435972726163,19312.5338146169,190391.37,22.4470224317109,42.8056821622206,0.153541283046302,3.41532590857943,18.3792,0.0,8.84899778009924,1.98633637165984,7.57998202627467,6.8019368226885
2023.0,257473.61,213719.42,255823.8,83546.25,,172277.55,,7699.21,7414.95,18032.96,18925.87,33123.07,1323.55,12381.52,260.86,4734.44,752.63,13670.07,257473.61,82832.96,6975.45,,75857.51,139086.94,74826.05,39065.24,10631.12,13986.92,577.61,35553.71,325.02,700.0,22532.63,11996.06,43343.05,,43343.05,6069.61,,0.0,,1191.56,2504.96,17.93,310.58,944.42,1100.16,37273.44,2625.38,92.0535587597089,9744.25,30154.57,12939.88,17214.69,256.43,17471.12,2138.1,2987.43,-775.57,0.0,15333.02,0.0,,,15333.02,697.5452864,67.1021863939512,35268.25,17525.41,20641.34,38166.75,-101.46,-2797.04,-4315.83,-3064.54,-3064.54,,,,1200.14,671.71,-358.83,-29263.65,,-6400.21,9140.44,-15540.65,-9709.69,-8544.93,1688.77,2457.47,,4146.24,3064.54,32203.71,0.0,0.894407925361376,31799.52,35553.71,0.93163470141372,33123.07,2.79296713446391,26958.94,9744.25,0.16942540138955,43343.05,255823.8,100.60996168936,11.2681819807328,89.3417797086269,,1.52831554009418,126594.9,82832.96,74.2995935911294,32203.71,0.0,100.0,92.0535587597089,39898.82,35.3759599289852,15333.02,12.14804981437,221919.9,5.95518119313277,257473.61,11.1379543266585,21355.6407460541,191737.55,18.5107715576022,35.3759599289852,0.168339776647401,3.10834732937227,16.4861,0.0,10.2677407027739,1.90064325239615,7.00011595581022,6.5352237483385
2024.0,245421.41,221723.08,,,,162700.51,,9581.16,8731.63,21502.52,14169.3,23698.33,1303.73,10825.8,608.26,5026.73,201.89,450.49,245421.41,86867.05,9300.6,,77566.45,128748.55,,105066.95,,9466.63,,29805.81,354.07,18381.67,,583.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34790.13,18006.22,19212.01,37218.23,819.6700000000001,-3247.77,-10433.54,-5511.8,-5511.8,,-2080.0,1483.92,1748.7,1038.02,,-25882.28,,-5387.719999999999,8053.0,-13440.72,-9339.19,-11218.85,-1525.69,4146.24,,2620.55,5511.8,29278.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
