year,assets,cash and balance with reserve bank of india,balances with banks and money at call,investments,govt securities,equity shares - corporate,debentures & bonds,units - mf/ insurance/cp/ptc,investments outside india,advances,term loans,cash credit,bills discounted,fixed assets,other assets,liabilities,shareholders funds,share capital,total reserves,deposits,term deposits / fixed deposits,savings deposit,demand deposits,borrowings,borrowings in the form of bonds / debentures,borrowings from other banks,borrowings from other financial institutions,borrowings from reserve bank of india,borrowings from out of india,other liabilities & provisions,total income,interest earned,interest/discount on advances/bills,other income,interest expended,operating_expenses,employee cost,selling and distribution expenses,general and administration expenses,depreciation and amortization,ppop,provisions and contingencies,current income tax,deferred tax,other taxes,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,free cash flow (est),operational ratios,gross npa (%),casa ratio (%),casa amount (crs),deposits (crs),casa vs total liabilities (%),liabilities (crs),sales per branch (crs),total income (crs),number of branches,profitability ratios,net interest margin (%),return on assets (%),net profit (crs),total assets (crs),credit deposit ratio (%),credit (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,eps,valuation ratios,p/e,price to book value,book value,dividend yield (%)
2015,2048079.7998,115883.8435,38871.9386,481758.7478,377654.1503,4336.4856,30527.7651,31286.8234,30357.0185,1300026.3929,665844.0549,538576.4018,95605.9362,9041.7986,102209.7128,2048079.7998,128438.2265,746.5731,127691.6534,1576793.245,924888.1237,527332.8184,124572.3029,205150.2926,38636.396,674.5205,3490.5576,2595.0,159753.8185,137698.0357,174972.9668,152397.0742,112343.912,22575.8926,97381.8236,38053.8714,23537.0676,,,1116.4932,39537.2718,26435.6998,6729.11,-477.56,-39.16,13101.572,746.573,19.9442700112258,27621.029,19313.962,24528.3017,43842.2637,-11962.333,-4258.9017,-3258.0994,-2490.3607,-2490.3607,,-1444.773,,,677.0343,,-2289.1173,,0.0,,,,-1236.3343,22073.8123,132549.6327,,154755.7821,25130.6683,0.0,4.29,41.3437286953877,651905.1213,1576793.245,31.8300645005951,2048079.7998,10.6651814458125,174972.9668,16406.0,0.0,2.840903073737,0.682226420498467,13101.572,2048079.7998,82.4474861889708,1300026.3929,10.6205793755762,7.48776924779217,0.0854326900822353,15.9460298978825,17.5489,0.0,15.2146288371351,1.55199135905228,128438.2265,1.31086142322097
2016,2357617.5391,129629.3253,37838.3312,575651.7828,459552.8765,3743.8086,41111.3635,23022.7882,39436.7134,1463700.4175,779897.3823,589442.3319,94360.7033,9819.16,140408.4051,2357617.5391,144274.436,776.2777,143498.1583,1730722.4361,993169.343,597746.0602,139807.0329,323344.5861,44539.238,,1902.5233,99154.0,177748.8248,159276.0809,191843.6662,163998.2975,115666.0122,27845.3687,106803.4921,41782.3665,25113.8246,,,1700.3045,43257.8076,33307.1539,3577.93,245.47,0.0,9950.6537,776.2777042,20.2833426948761,11196.5472,13774.0574,34491.4008,48265.4582,-29883.485,-7185.426,-3748.3717,-2738.4272,-2738.4272,,-1593.7702,,,475.8257,,4505.8753,,0.0,,,,-3058.6586,11954.0508,154755.7821,,167467.6565,8458.12,0.0,6.4,42.6153308997368,737553.093100001,1730722.4361,31.2838312774665,2357617.5391,0.0,191843.6662,0.0,0.0,2.59172968848193,0.451717534572379,9950.6537,2357617.5391,84.571644012329,1463700.4175,7.29753698180406,5.18685547305288,0.0813718353457935,16.341200870125,12.8184,0.0,15.157898021594,1.04544340142144,144274.436,1.3381369016984
2017,2705966.3041,127997.6177,43974.0321,765989.6309,575238.7065,5445.6997,59847.4025,72363.6394,41730.7293,1571078.3811,892064.177,605016.3399,73997.8642,42344.9908,154007.7244,2705966.3041,188286.0626,797.3504,187488.7122,2044751.3947,1133368.9037,758961.3854,152421.1056,317693.6583,41671.338,1475.0,69489.2676,5000.0,200058.0527,155235.1885,210979.1679,175518.2404,119510.003,35460.9275,113658.5034,46472.7694,26489.2801,,,2293.3095,50847.8951,40363.7925,4033.29,337.78,0.0,10484.1026,797.3504442,19.7738179439793,11060.3211,14855.1627,40074.9787,54930.1414,-43762.1886,-107.6317,-3148.4494,-2960.5619,-2960.5619,,-2631.2415,,,688.354,,-1780.2706,,0.0,,,,-2337.4638,6131.6011,167467.6565,,171971.6498,8099.7592,0.0,6.9,44.5717994550489,911382.490999999,2044751.3947,33.6804818899297,2705966.3041,11.9507855386881,210979.1679,17654.0,0.0,2.46547465716909,0.414098114088871,10484.1026,2705966.3041,76.8346893012147,1571078.3811,6.96676326628883,4.96925962139033,0.077968143054971,14.3715698694525,13.1487,0.0,22.2531505015705,1.48885840834802,188286.0626,0.888585099111415
2018,3454751.9966,150397.1814,41501.4605,1060986.715,848395.8444,10516.6901,77962.9346,72882.5659,46150.7057,1934880.1891,1121014.2525,746252.3811,67613.5555,39200.712,226994.1995,3454751.9966,219128.5603,892.4588,218236.1015,2706343.285,1502394.9273,1013774.4709,190173.8868,362142.0745,44375.838,1603.8543,2411.8326,94252.0,219498.5496,167138.0768,265100.0027,220499.3156,141363.1678,44600.6871,145645.6,59943.4464,33178.6795,,,2919.4663,59510.9563,66058.41,673.54,-9654.33,0.0,-6547.4537,892.4587534,0.0,-85425.2472,-15528.2416,77492.932,61964.6904,-140409.7318,-6980.2058,879.0816,-4104.9778,-4104.9778,,-1104.1039,,,448.517,,4290.9199,,0.0,,,,-2416.2671,-80255.2457,171971.6498,,191898.6419,-89530.225,0.0,10.91,44.4861656824145,1203948.3577,2706343.285,34.8490530980188,3454751.9966,11.8820314060329,265100.0027,22311.0,0.0,2.34815624047152,-0.212554880142988,-6547.4537,3454751.9966,71.4942631196914,1934880.1891,-3.73094495248391,-2.46980521814985,0.0767348866028296,15.7658681819943,-7.3364,0.0,0.0,1.14887423644206,219128.5603,0.0
2019,3680914.2489,176932.4175,45557.694,967021.9475,761883.1215,9878.7438,84948.3668,53388.5385,51315.1765,2185876.9177,1328964.5875,776633.4581,80278.8721,38508.9414,266327.7028,3680914.2489,220913.8245,892.4612,220021.3633,2911386.0107,1613758.7891,1091751.9736,205875.248,403017.1182,47409.038,260.0,27853.8924,94319.0,233175.1878,145597.2955,279643.5413,242868.6535,161640.2323,36774.8878,154519.778,69687.7374,41054.7068,,,3212.3065,55436.0259,54573.7961,491.13,954.12,0.0,862.2298,892.4611534,0.0,34627.5128,1607.4831,62491.0236,64098.5067,-22893.156,-6577.8379,-3958.5972,-2663.4331,-2663.4331,,-2116.2959,,,348.0118,,-1087.8276,,0.0,,,,,29581.088,191898.6419,,222490.1115,31964.0797,0.0,7.53,44.5707720251086,1297627.2216,2911386.0107,35.2528511629355,3680914.2489,12.7249518247179,279643.5413,21976.0,0.0,2.61744279281186,0.0241667637004114,862.2298,3680914.2489,75.0802851173431,2185876.9177,0.44155722329997,0.308331741184398,0.0759712186676363,16.6622177549599,0.9661,0.0,332.056722906531,1.45878794770732,220913.8245,0.0
2020,3951393.918,166735.779,84361.2264,1046954.5175,803270.121,8221.4331,102363.8219,74057.2282,47297.8415,2325289.5607,1532545.162,708726.9291,84017.4696,38023.3916,289613.5526,3951393.918,232007.4275,892.4612,231114.9663,3241620.7343,1807913.162,1206371.9879,227335.5844,314655.6521,55542.438,40.0,6165.7542,33533.0,219374.4599,163110.1041,302545.0702,257323.5922,179748.8355,45221.478,159238.7657,75173.6902,45714.9678,,,3303.8133,68132.6143,53644.5037,2803.14,7510.99,0.0,14488.1106,892.4611534,0.0,25687.8616,25062.765,44755.5887,69818.3537,-31028.165,-13102.3271,-2976.7716,-3268.3796,-3268.3796,,-6136.0714,,,212.0335,,3352.1684,,0.0,,,,,26063.2584,222490.1115,,251097.0054,22419.482,0.0,6.15,44.2281096344726,1433707.5723,3241620.7343,36.2835900963696,3951393.918,13.612214082606,302545.0702,22226.0,0.0,2.70702713978412,0.379652138859708,14488.1106,3951393.918,71.7323139038388,2325289.5607,7.16338403584539,4.78874456305717,0.0765666689979452,17.0313250768663,16.2339,0.0,12.1320200321549,0.844055964820912,232007.4275,0.0
2021,4534429.6312,213201.5363,129837.1731,1351705.2051,1055288.6435,7981.3803,208888.6089,18640.3306,47431.0673,2449497.7911,1678023.3748,676439.314,95035.1023,38067.4074,351768.6837,4534429.6312,253875.1897,892.4612,252982.7285,3681277.0796,2009995.798,1384583.8891,286697.3925,417297.6988,66125.6,37.0,154138.6961,24956.0,172040.4027,181979.6631,308647.0085,265150.6338,171429.1389,43496.3747,154440.6333,82652.2235,50936.0001,,,3317.5525,71554.1517,51143.6823,10760.88,-3630.23,0.0,20410.4694,892.4611534,17.4902631097744,89865.5392,27541.1161,50959.0945,78500.2106,13759.8532,-2394.5246,-3354.2596,-3336.0865,-3440.6473,104.5608,-1592.1127,,,642.8622,,5632.6321,,0.0,,,,,92143.9117,251097.0054,,343038.7094,86529.4527,0.0,4.98,45.3994971164083,1671281.2816,3681277.0796,36.8575855737276,4534429.6312,13.8830068594818,308647.0085,22232.0,0.0,2.67141755632642,0.481048640280158,20410.4694,4534429.6312,66.53934865903,2449497.7911,9.30831769736485,6.61288424572565,0.0680674381572262,17.860861616916,22.8699,0.0,15.9314207757795,1.41194652714114,253875.1897,1.09784547824894
2022,4987597.4054,318265.2071,76287.114,1481445.4698,1162182.6396,12424.3966,215804.4259,23582.2418,53439.3779,2733966.5929,1853157.0863,713526.8772,167282.6294,37467.4882,339924.8633,4987597.4054,280088.0601,892.4612,279195.5989,4051534.1227,2247953.4825,1526856.8029,276723.8373,426043.3798,71999.6,,144073.3411,24956.0,185014.4387,229931.8428,316021.2044,275457.2904,171823.7309,40563.914,154749.7043,93397.5152,57561.9854,,,3248.5859,67873.9849,36198.0044,11427.3,318.57,0.0,31675.9805,892.4611534,20.004057160889,58415.453,43421.8536,32727.3932,76149.2468,-9921.4304,-7812.3634,-2612.7177,-2520.6712,-2715.3118,194.6406,-160.0961,,,718.3749,,-5177.5148,,0.0,,,,-3569.8446,50625.2205,343038.7094,,394552.3211,55894.7818,0.0,3.97,44.5159928456451,1803580.6402,4051534.1227,36.1613116216496,4987597.4054,18.8838484852106,316021.2044,16735.0,0.0,2.61840604504846,0.665320112582046,31675.9805,4987597.4054,67.479786917802,2733966.5929,13.0084015964952,10.0233718683973,0.0633614100564429,17.807247490733,35.4928,0.0,13.9014109903981,1.71532088747251,280088.0601,1.43899473044183
2023,5516978.5265,247087.5752,60812.0428,1570366.2257,1238328.9216,14087.8539,213392.7678,29076.3169,61430.1342,3199269.2968,2180610.1528,836849.2483,181809.8957,42100.731,397061.5829,5516978.5265,327608.4489,892.4612,326715.9877,4423777.7763,2536329.2093,1588405.5242,299043.0428,493135.1562,108850.6,150.0,88372.104,24956.0,270806.4522,272457.1451,368718.6578,332103.0602,221400.6468,36615.5976,187262.5556,97743.1361,57291.8428,,,3297.2704,83712.9661,33480.5125,21223.93,-4250.74,0.0,50232.4536,892.4611934,20.0762899016262,-91351.8152,67205.6325,30010.8765,97216.509,-173215.5698,-15352.7544,-3297.0367,-3422.5221,-4066.0804,643.5583,125.4854,,,855.108,,5201.7575,,0.0,,,,-6336.7216,-89447.0944,394552.3211,,307899.618,-94774.3373,0.0,2.78,42.6659896234354,1887448.567,4423777.7763,34.2116351900577,5516978.5265,65.8308619532226,368718.6578,5601.0,0.0,2.85257512931239,0.956391841529852,50232.4536,5516978.5265,72.3198464882166,3199269.2968,18.0509697181692,13.6235182400905,0.0668334408098407,16.8401594800872,56.2853,0.0,9.304383204851,1.55870774395835,327608.4489,2.15772388772198
2024,6179693.945,225141.6961,85660.2919,1671339.6561,1365740.193,7199.2577,177647.0812,38937.3234,66256.052,3703970.854,2485139.4694,1001454.4322,217376.9524,42126.3691,450964.1944,6179693.945,377246.5337,892.4612,376354.0725,4916076.7693,2954655.2478,1661843.6348,299577.8867,597560.9078,133518.4,,57817.4102,97399.0,308826.0976,288809.7342,466812.8192,415130.6555,288038.2404,51682.1637,255254.8288,124860.8135,78336.9841,,,3351.9161,86697.1769,25620.5567,22871.63,-2165.29,0.0,61076.6202,892.4611934,20.0186451030303,19021.8923,81782.9636,10949.0027,92731.9663,-44933.9673,-28776.1067,-3052.9178,-3505.0166,-3505.0166,,452.0988,,,1961.6163,,-13855.3692,,0.0,,,,-10084.8115,2113.6053,307899.618,,310801.988,15516.8757,0.0,2.24,39.8981060212224,1961421.5215,4916076.7693,31.7397841860273,6179693.945,0.0,466812.8192,0.0,0.0,2.8116894759543,1.04434180488201,61076.6202,6179693.945,75.34404013238,3703970.854,18.8060260821199,13.0837495646906,0.0755397958790013,16.3810489771506,68.4362,0.0,10.9971038719274,1.92074293230359,377246.5337,1.82035609885729
