year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,cables,silver,hot rolled coil(strip),others,sheet metal components,steel,integrated circuits,phenol,wire rods,copper,brass,electronics,aluminum alloy ingots,turbines,vacuum systems,circuit boards,bearing,engineering & capital goods,aluminum,insulators,s,machine tools,gears,engine & motors,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,13995.6,5505.2,2920.9,1559.8,,1361.1,,32.1,168.6,3625.4,0.5,8807.9,950.9,3018.3,,2095.9,49.9,2692.9,13995.6,5126.6,71.2,,5055.4,2712.0,,,-317.5,106.6,2907.8,6157.0,2364.7,,1268.7,2523.6,8937.1,336.2,8937.1,8023.0,2441.9,20.2,30.8,45.1,1907.7,35.8,65.1,3.0,5.4,22.6,57.3,5.6,7.0,32.2,147.0,31.5,1.9,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.2934285170805,108.9,704.5,1383.1,8.8,51.3,607.4,236.9,914.1,189.9,12.3530004140045,28.1,1075.9,215.6,860.3,782.8,1643.1,487.3,431.7,55.6,0.0,1155.8,27.5,,,1183.3,35.612,30.8011692123833,618.0,1696.4,-799.5,896.9,-49.6,-229.3,624.1,-218.8,-251.0,32.2,,872.6,127.8,,-55.0,-267.9,,0.0,,,-11.8,-256.1,974.2,1117.1,0.7,2092.0,218.8,399.2,0.0,1.27610849439662,7856.99999999999,6157.0,1.43055059282118,8807.9,59.4733096085409,888.4,28.1,3.05970762436235,8937.1,2920.9,-12.2054145135455,39.3229217215015,131.969228861355,183.497565096402,0.0,0.0,5126.6,4.46677333810744,399.2,0.0,43.7065714829195,12.3530004140045,1104.0,13.2403128531627,1183.3,11.333656520297,7838.6,8.45480008002515,13995.6,25.2139054409158,491.343375327126,1948.7,23.0815745328288,13.2403128531627,0.638564977564377,2.72999648890103,32.4663,0.0,40.7591872187468,9.18922482737097,40.7731702898551,0.755686541222701
2016.0,16069.3,6226.8,1419.2,223.7,,1195.5,,79.1,55.0,4429.7,22.7,10177.6,999.3,3005.9,,3509.4,180.8,2482.2,16069.3,6820.8,71.2,,6749.6,3506.6,,,-335.1,39.0,3789.5,5741.9,2192.0,,1344.0,2205.9,9534.1,420.0,9534.1,8554.2,2702.4,0.0,0.0,56.7,1451.8,45.7,226.1,0.0,0.0,0.0,126.9,0.0,0.0,0.0,80.0,0.0,0.0,0.0,108.0,148.8,117.4,29.1,163.5,42.4,106.0,56.1437366925038,-158.9,842.7,1413.9,15.3,50.4,654.1,225.0,979.9,184.2,12.2098572492422,35.1,1129.0,226.4,902.6,2992.3,3894.9,1008.3,1003.9,4.4,0.0,2886.6,30.5,,,2917.1,35.6120255,41.3150264601162,508.4,3941.6,-2911.9,1029.7,-172.0,-349.3,239.6,2442.0,-298.2,2740.2,-2277.5,,132.7,,,-1612.3,,0.0,,,-5.0,-1335.4,-864.3,2092.0,0.1,1227.8,-2442.0,2950.4,0.0,1.59847785576203,9178.3,5741.9,1.77251432452672,10177.6,111.965811965812,937.7,35.1,6.7179396843292,9534.1,1419.2,-9.15364737557019,35.7552666740338,110.448609115842,155.357523165446,0.0,0.0,6820.8,30.9457631029672,2950.4,0.0,43.8562633074962,12.2098572492422,1164.1,30.5964904920234,2917.1,9.07972965121909,10327.4,18.1532487413889,16069.3,25.1140576444237,558.436185781406,2223.6,42.7677105324889,30.5964904920234,0.593311469696875,2.35592599108609,81.0843,0.0,15.2995092761484,6.47483872859489,34.9232711966326,2.70041513844666
2017.0,18154.5,5989.8,1634.8,408.3,,1226.5,,143.0,55.0,4187.0,26.2,12408.9,1016.5,3415.6,,4071.3,188.3,3717.2,18154.5,7704.7,71.2,,7633.5,3144.9,,,-244.2,55.4,3329.6,7304.9,2651.5,,1600.2,3053.2,11014.8,333.5,11014.8,10029.4,3296.8,0.0,0.0,0.0,3296.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3494934088681,69.2,2316.7,1392.6,15.7,50.2,673.4,255.2,985.4,344.9,12.0773867886843,32.1,1298.2,196.6,1101.6,567.5,1669.1,535.5,458.7,88.8,0.0,1133.6,0.0,,,1133.6,35.6120255,21.9830604816803,553.8,1669.1,-478.3,1190.8,174.4,-811.4,1314.1,328.9,-286.3,615.2,,1052.4,213.7,,,-259.8,,0.0,,,-2.6,-213.7,1608.1,1227.8,-1.0,2834.9,-328.9,882.7,0.0,1.55955591452313,11392.4,7304.9,1.69870908568221,12408.9,52.9968847352025,1133.7,32.1,6.73770491803279,11014.8,1634.8,-30.2930254023016,32.4174986561864,103.268661385406,165.979185443894,0.0,0.0,7704.7,8.01376330028689,882.7,0.0,51.6505065911319,12.0773867886843,1330.3,10.2916076551549,1133.6,10.4492331514526,10849.6,6.24418188327963,18154.5,22.0609473338091,535.728045054221,2428.4,14.7130972004101,10.2916076551549,0.606725605221846,2.35628901839137,31.8427,0.0,37.66012304233,5.54097109556505,29.0312110050365,0.583722481654436
2018.0,19754.9,8137.9,1842.0,594.8,,1247.2,,62.4,55.0,6379.2,23.4,11883.5,1138.9,3650.4,,3645.7,266.5,3182.0,19754.9,8305.4,71.2,,8234.2,4971.8,,,-266.5,60.4,5177.7,6477.7,3030.1,,1632.5,1815.1,12725.1,,12725.1,11437.8,2923.7,0.0,0.0,0.0,2923.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8499422401396,-92.2,3170.9,1448.7,22.6,53.5,706.7,328.2,1287.3,336.2,12.7582494440122,35.6,1587.9,196.7,1391.2,,1391.2,497.3,526.8,-29.5,0.0,893.9,0.0,,,893.9,35.6120255,27.877783795839,42.2,1391.2,70.5,1461.7,-836.1,-583.4,-157.2,-178.8,-190.3,11.5,,6.0,269.1,,,-305.4,,0.0,,,-5.4,-249.3,-420.4,1262.8,0.8,843.2,178.8,-136.6,0.0,1.65870602219924,10744.6,6477.7,1.83452459978079,11883.5,40.0786516853933,1426.8,35.6,6.90830618892508,12725.1,1842.0,-49.4305185193903,30.9121735782037,101.338692819703,181.681384917297,0.0,0.0,8305.4,-1.0734689707743,-136.6,0.0,55.1500577598604,12.7582494440122,1623.5,7.0246992165091,893.9,10.7462416774621,13277.2,4.52495330272489,19754.9,22.6553565060104,700.752832087407,3093.1,10.7628771642546,7.0246992165091,0.644149046565662,2.37856093625834,25.1096,0.0,37.4916366648612,4.0351867459725,18.397376039421,0.743573401317187
2019.0,21286.2,7886.3,1970.0,779.7,,1190.3,,58.3,55.0,6299.3,42.3,13640.9,1095.0,3808.9,,4891.3,270.0,3575.7,21286.2,9043.6,71.2,,8972.4,5154.8,,,-241.0,45.7,5348.4,7087.8,3289.0,,1610.0,2188.8,13000.5,,13000.5,11568.9,2955.4,0.0,0.0,0.0,2955.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0914195607861,-49.8,3423.2,1547.5,38.1,51.7,760.6,145.7,1431.6,501.3,14.8678896965501,38.6,1894.3,198.0,1696.3,,1696.3,573.2,535.8,37.3,0.0,1123.1,-36.2,,,1086.9,35.6120255,22.1885519750981,1211.6,1641.6,-261.2,1380.4,444.2,-613.0,-1032.4,-14.1,-100.2,86.1,-1375.1,,333.3,,,-311.2,,0.0,,,-10.7,-249.3,-132.0,843.2,-1.1,710.1,14.1,1197.5,0.0,1.77006969722622,12545.9,7087.8,1.92456051242981,13640.9,44.9455958549223,1734.9,38.6,6.5992385786802,13000.5,1970.0,-69.7853768661628,31.3593131033422,104.713068728126,205.857758697631,0.0,0.0,9043.6,9.21118418522365,1197.5,0.0,56.9085804392139,14.8678896965501,1932.9,8.36044767508942,1086.9,12.2189824205544,14198.4,5.10612509513206,21286.2,27.6611863088045,816.751848140069,2952.7,12.0184439824849,8.36044767508942,0.61074780843927,2.3537308151621,31.5478,0.0,48.0160264741123,5.96298819054359,25.3689171710901,0.462107208872458
2020.0,21995.4,8558.5,2044.1,879.1,,1165.0,,88.0,55.0,6998.7,3.6,13092.5,1106.4,3123.9,,5551.7,271.9,3038.6,21995.4,9474.0,71.2,,9402.8,5664.9,,,-248.1,164.3,5733.0,6657.8,2773.3,,1831.5,2053.0,9869.4,,9869.4,8868.0,2162.1,0.0,0.0,0.0,2162.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9883072932498,105.4,2562.9,1540.4,14.8,38.0,527.9,138.7,1001.4,329.3,13.4830891442236,59.7,1271.0,250.4,1020.6,,1020.6,263.2,266.8,-3.6,0.0,757.4,-0.9,,,756.5,35.6120255,32.9020037320273,676.5,1019.3,94.0,1113.3,-142.6,-294.2,828.9,-9.8,-17.2,7.4,,460.0,305.7,,,-384.7,,0.0,,,-30.2,-249.3,1120.7,710.1,0.3,1831.1,9.8,666.7,0.0,1.80030941151732,11986.1,6657.8,1.96649043227493,13092.5,18.0954773869347,1080.3,59.7,4.82823736607798,9869.4,2044.1,-104.590055478616,40.707185847164,128.197864105214,273.495105430994,0.0,0.0,9474.0,6.75522321519039,666.7,0.0,59.0116927067502,13.4830891442236,1330.7,7.66510628812288,756.5,7.04347485916962,15337.6,3.43935550160488,21995.4,26.0481620220028,557.326474622771,2139.6,7.98501161072409,7.66510628812288,0.448702910608582,2.32165927802407,21.2753,0.0,59.4492204575259,4.75267891070298,29.6649733223116,0.553447185325743
2021.0,24088.4,10660.0,2020.6,1005.7,,1014.9,,30.4,2212.0,6894.3,205.3,13634.3,1584.7,3435.2,,4848.8,224.4,3541.2,24088.4,10343.7,71.2,,10272.5,6167.4,,,-205.9,413.5,5921.0,7577.3,3466.7,2.5,1820.8,2287.3,12522.4,,12522.4,11136.9,2622.9,0.0,0.0,0.0,2622.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0892161247045,-313.1,2990.9,1551.6,1.0,35.2,586.4,75.1,1385.5,290.7,13.3856129815371,45.7,1630.5,225.0,1405.5,,1405.5,361.5,359.8,1.4,0.0,1044.0,59.0,,,1103.0,35.6120255,27.2797332042093,1333.8,1516.5,-19.6,1496.9,181.9,-345.0,-2507.1,-99.4,-109.7,10.3,-991.1,,204.3,,-1958.8,-320.5,,0.0,,,-22.0,-249.3,-1493.8,1831.1,-0.1,337.2,99.4,1234.4,0.0,1.59022343050955,12049.6,7577.3,1.79936125004949,13634.3,31.7549234135667,1451.2,45.7,6.19736711867762,12522.4,2020.6,-58.3136301203972,39.2197781575417,95.5915599246151,193.124968202554,0.000241693011204888,2.5,10343.7,9.85753529674823,1234.4,0.0,52.9107838752955,13.3856129815371,1676.2,8.80821567750591,1103.0,8.78923875453483,16511.1,4.5789674698195,24088.4,35.0583594152443,862.014941302028,2458.8,10.6634956543597,8.80821567750591,0.519851878912672,2.32879917244313,29.3258,0.0,72.5487454732693,7.32240687568278,42.2947619615798,0.376019364997297
2022.0,26694.9,11080.3,2062.9,1114.3,,948.6,,49.3,2220.1,7520.8,27.0,15834.6,1923.8,3546.2,,6276.3,263.4,3824.9,26694.9,11595.9,71.2,,11524.7,6222.5,,,-239.2,155.0,6304.0,8876.5,3873.0,,2533.0,2470.5,14831.5,,14831.5,13206.5,2867.5,0.0,0.0,0.0,2867.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.490038094596,-172.2,3243.6,1658.2,12.6,39.4,690.7,370.2,1625.0,326.0,13.1544348177865,61.2,1889.8,209.6,1680.2,,1680.2,430.5,455.6,-30.5,0.0,1249.7,281.1,,,1530.8,35.6120255,28.4868368408418,928.4,2050.2,-335.5,1714.7,-293.4,-492.9,17.4,-100.9,-125.6,24.7,-664.1,,214.0,26.4,,-382.7,,0.0,,,-35.4,-284.9,563.1,337.2,2.1,902.4,100.9,827.5,0.0,1.56714921421732,13910.8,8876.5,1.78387878105109,15834.6,28.4542483660131,1741.4,61.2,7.18963594939163,14831.5,2062.9,-57.1760460023201,43.1717122340963,85.9053703266696,186.253128563086,0.0,0.0,11595.9,5.57934126689816,827.5,0.0,51.509961905404,13.1544348177865,1951.0,10.3212756632842,1530.8,9.77304359538455,17818.4,5.73442867364178,26694.9,61.6831852689611,1052.74692298536,1706.7,13.2012176717633,10.3212756632842,0.555593015894422,2.30209815538251,35.1039,0.0,78.910035637066,8.5041937236437,47.3282829318298,0.361004314001552
2023.0,29302.3,11276.4,2197.7,1241.6,,956.1,,47.6,2220.1,7696.4,8.2,18271.4,2261.1,4384.5,,7217.9,220.4,4187.5,29302.3,13024.5,71.2,,12953.3,6619.1,,,-282.6,175.5,6725.0,9570.6,4030.8,,2569.1,2970.7,17965.1,,17965.1,15756.4,3451.7,0.0,0.0,0.0,3451.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5530278150414,-296.4,4079.7,1853.1,52.4,45.1,822.6,180.9,2208.7,617.4,15.7310563258763,57.5,2768.6,223.5,2545.1,,2545.1,633.8,661.5,-34.5,0.0,1911.3,0.0,,,1911.3,35.6120255,18.6260668079764,1179.4,2545.1,-175.5,2369.6,-442.7,-747.5,-658.8,-131.9,-178.8,46.9,-862.1,,397.8,78.2,,-440.2,,0.0,,,-16.9,-356.1,80.4,902.4,-0.2,982.6,131.9,1047.5,0.0,1.67286272542996,16010.3,9570.6,1.90911750569452,18271.4,45.2626086956522,2602.6,57.5,8.17450061427856,17965.1,2197.7,-42.2911699003117,42.5126634418957,80.5646920974556,165.368525439663,0.0,0.0,13024.5,5.83074962009674,1047.5,0.0,51.4469721849586,15.7310563258763,2826.1,10.6389610967932,1911.3,13.1899430865055,19731.7,6.52269617060777,29302.3,59.7575164900613,1490.83052139405,2494.8,14.6746516181043,10.6389610967932,0.613095217781539,2.24978310107874,53.6882,0.0,68.4349633625266,10.0425920380821,43.7287569441987,0.272171794836901
2024.0,22386.5,5114.3,,,,834.8,,37.6,2220.1,115.2,659.8,17272.2,2525.6,4998.3,,7251.3,1609.6,695.0,22386.5,13908.4,71.2,,13837.2,494.3,,,,,,7983.8,4369.6,,,1238.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1386.0,3060.8,-525.4,2535.4,-476.9,-672.5,-744.2,-1.8,-182.6,180.8,,,427.3,146.2,,-447.8,,0.0,,,-5.6,-356.1,194.0,,,,1.8,1384.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
