year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,others,packaging,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015,38535.0,33084.72,5995.07,2809.8,,3185.27,,1090.59,25782.23,2978.67,47.96,5450.28,2189.25,1802.82,93.93,416.46,322.73,625.09,38535.0,22786.27,207.12,,22522.56,4696.65,7.73,1162.59,,14.37,3511.96,11052.08,1576.75,4252.81,3155.83,2066.69,8028.44,140.3,8028.44,8595.65,2261.11,1881.4,379.71,39.0151760491453,316.69,1547.71,1216.27,431.67,338.62,1374.76,554.31,-567.21,220.17,-4.32263303954442,551.25,-898.29,660.68,-1558.97,,-1558.97,-84.84,108.0,-192.84,0.0,-1474.13,0.0,,,-1474.13,207.116,,148.59,-1558.97,585.98,-972.99,1315.06,-193.48,2152.81,-1013.14,-1027.98,14.84,-10714.23,11793.02,89.26,0.02,894.7,-2674.09,74.87,0.0,,,-331.98,-310.48,-372.69,76.32,1.64,193.2,1013.14,-864.55,0.0,0.295060296342408,3261.03,11052.08,0.49314518172145,5450.28,-1.82806349206349,-1007.72,551.25,1.3391736877134,8028.44,5995.07,17.5924569385667,69.428391037051,62.1750753482177,114.011009446702,0.298894026973261,6810.68,22786.27,-10.7685926531182,-864.55,0.0,60.9848239508547,-4.32263303954442,-347.04,-18.3613503993304,-1474.13,-3.66671372619794,27482.92,-3.82543142597639,38535.0,68.5221993500805,-1161.0675546675,-1694.44,-6.4693782703356,-18.3613503993304,0.208341507720254,1.69114997759616,-7.1173,0.0,0.0,9.31506382843929,-628.523052097741,0.293470286133529
2016,34604.21,30039.65,4103.7,529.08,,3574.62,,767.73,22298.13,2497.9,149.57,5316.26,2132.15,1997.81,73.56,169.11,228.94,714.69,34604.21,21890.7,240.66,,21644.48,4086.21,7.73,1915.11,-751.7,0.49,2914.58,8627.3,1772.45,3733.72,1941.52,1179.61,7733.26,130.43,7733.26,8151.93,1838.31,1838.31,0.0,38.8939464081125,-0.54,1422.73,1183.44,700.86,332.59,849.6299999999999,654.91,-418.67,445.09,0.34164117073524,574.1,-547.68,464.25,-1011.93,-70.13,-1082.06,5.45,5.45,,0.0,-1087.51,0.0,,,-1087.51,240.6728499,,-1254.49,-1082.06,765.34,-316.72,-585.04,-352.73,3639.2,-549.49,-563.94,14.45,-13199.94,13438.49,55.0,39.45,3830.5,-2368.03,9.13,0.0,,,-364.49,-721.68,16.68,120.85,0.52,138.05,549.49,-1803.98,0.0,0.369073754245245,3184.11,8627.3,0.616213647375193,5316.26,-0.884793589966905,-437.83,574.1,1.88446036503643,7733.26,4103.7,-14.7211311094386,100.290766802862,88.2047709154354,203.216668827736,0.266270151251445,5828.84,21890.7,-23.3275487957213,-1803.98,0.0,61.1060535918875,0.34164117073524,26.42,-14.0627626641287,-1087.51,-1.68545835513154,25976.91,-3.14271009221132,34604.21,-87.704418365558,-887.366993697207,1011.77,-4.9679087466367,-14.0627626641287,0.223477432370223,1.58077220006669,-4.5189,0.0,0.0,9.01108409633203,7678.59829674489,0.122033070962231
2017,34209.66,28570.53,4988.08,949.45,,4038.63,,1100.5,19293.29,3325.06,63.99,6388.19,2308.28,2714.7,40.01,170.28,315.77,839.15,34209.66,21012.47,239.93,,20769.9,2234.54,10.82,749.82,-749.06,0.68,2222.28,10962.65,2072.6,4054.04,2988.58,1847.43,7683.96,109.24,7683.96,7744.61,2228.45,2228.45,0.0,42.8444447914877,-172.8,1448.61,1196.89,665.08,314.95,619.86,207.07,-60.65,689.7,8.1865340267258,223.57,405.48,422.28,-16.8,,-16.8,6.04,5.77,0.27,0.0,-22.84,0.0,,,-22.84,239.9291181,,-1621.0,-16.8,-51.25,-68.05,-769.35,-783.6,2381.38,-1084.28,-1094.01,9.73,-17642.59,17655.61,16.9,204.07,3231.23,-752.99,2.48,0.0,,,-143.56,-239.92,7.39,140.99,-0.86,147.52,1084.28,-2705.28,0.0,0.372164576995526,4079.91,10962.65,0.582723155441431,6388.19,0.924855749876996,206.77,223.57,1.54046446729002,7683.96,4988.08,1.19223414810401,103.985330159626,110.35685918493,213.149955196452,0.287762933153504,6046.61,21012.47,-35.206846469789,-2705.28,0.0,57.1555552085123,8.1865340267258,629.05,-0.297242567634397,-22.84,0.889447718222687,23247.01,-0.0667647676124229,34209.66,-143.233743473392,-656.554833333333,458.38,-0.108697359234778,-0.297242567634397,0.224613749449717,1.62806466826603,-0.0952,0.0,0.0,7.85346007083351,271.641667593991,0.508942852988222
2018,37129.71,28306.2,6572.660000000001,1928.09,,4644.57,,987.84,18310.5,3600.73,10.86,9575.21,2135.64,5271.44,44.76,155.27,630.86,1337.24,37129.71,22322.61,239.93,,22082.68,2248.68,10.82,1553.87,-751.7,0.91,1434.78,12558.42,2565.97,5213.81,2125.89,2652.75,8982.49,23.76,8982.49,8127.8,2210.12,2210.12,0.0,39.4912769176476,135.67,1413.74,1302.11,550.9,347.33,800.99,165.43,854.69,1251.61,23.4489545771829,388.31,1717.99,487.24,1230.75,-950.5,280.25,-25.39,2.02,-27.41,0.0,305.64,0.0,,,305.64,239.932318,156.998194520763,-1171.23,280.25,-294.77,-14.52,-865.29,-291.42,1391.62,-739.89,-746.16,6.27,-16911.0,16910.88,144.0,815.48,1152.95,-272.1,0.91,0.0,,,-283.69,-798.14,-51.71,147.52,1.99,97.8,739.89,-1911.12,0.0,0.592396973504629,7439.57,12558.42,0.762453397800042,9575.21,1.72171718472355,1619.06,388.31,1.3666445548682,8982.49,6572.660000000001,-47.3916776489986,68.3750896826394,122.876433130685,238.643200462323,0.308387325675627,6884.01,22322.61,-21.2760604242254,-1911.12,0.0,60.5087230823524,23.4489545771829,2106.3,3.40261998621763,305.64,6.58923483463831,24571.29,0.823168292992323,37129.71,15.9989507204998,400.740117752007,2504.79,1.36919473126126,3.40261998621763,0.241921900278779,1.66332297164176,1.2739,0.0,388.88452782793,5.32470539959261,59.6259136875089,0.40371417036738
2019,38052.03,27633.96,7461.34,2482.92,,4978.42,,642.54,17656.16,3592.57,12.57,11169.77,2792.62,5031.47,247.95,340.77,1503.56,1253.4,38052.03,22843.61,239.93,,22603.68,1936.59,9.73,1412.77,-751.7,19.12,1246.67,13271.83,2154.92,4428.05,4145.13,2543.73,10303.21,,10303.21,8561.66,2727.71,2727.71,0.0,35.651607605785,-251.3,1540.29,1248.55,645.96,378.64,601.07,473.89,1741.55,1286.15,29.3859874738067,540.92,2486.78,552.95,1933.83,-1214.38,719.45,-97.15,1.55,-98.7,0.0,816.6,0.0,,,816.6,239.933497,80.7991773174673,1242.18,719.45,448.66,1168.11,111.5,-37.43,433.69,-584.4,-596.71,12.31,-17405.28,17200.78,119.2,890.93,858.04,-1468.59,0.38,0.0,,,-267.57,-480.18,207.28,97.8,-2.32,302.76,584.4,657.78,0.0,0.63119780768741,8377.15,13271.83,0.841614909172285,11169.77,2.33004880573837,2474.75,540.92,1.38087930586195,10303.21,7461.34,-10.4350569176557,72.5154902414503,151.599260096574,234.54980725568,0.28176982534722,6436.64,22843.61,6.38422394574118,657.78,0.0,64.348392394215,29.3859874738067,3027.7,7.92568529613586,816.6,9.98680398059741,24780.2,2.14600903026724,38052.03,42.2822911371251,1349.10106331225,3190.7,3.5747414703718,7.92568529613586,0.270766369100413,1.6657625480386,3.4035,0.0,140.810929925077,5.03363752489208,39.9915191399412,0.573813249869588
2020,38747.21,27945.8,8244.71,3015.97,,5228.74,,596.61,16966.65,4013.14,0.95,11941.12,2633.67,6168.13,395.07,654.78,1148.91,940.56,38747.21,24396.22,239.93,,24156.29,3147.25,6.18,1250.51,-1139.71,161.72,2868.55,11203.74,2129.27,4488.27,3488.26,1097.94,12531.93,,12531.93,9820.28,3201.71,3201.71,0.0,36.4486555542522,138.6,1635.48,1370.35,841.43,363.1,681.67,360.53,2711.65,1510.92,33.6944907927191,408.01,3814.56,561.56,3253.0,,3253.0,41.86,386.46,-344.6,0.0,3211.14,0.0,,,3211.14,239.933497,29.8871014741813,1305.85,3253.0,-217.09,3035.91,-1393.0,-337.06,1479.29,-565.45,-571.8,6.35,-14894.11,14841.39,28.35,925.83,857.09,-2871.15,,0.0,,,-155.07,-1379.19,-86.01,302.76,3.75,220.5,565.45,740.4,0.0,0.830744911966897,9307.45,11203.74,1.06581552231666,11941.12,8.97284380284797,3661.01,408.01,1.5199964583351,12531.93,8244.71,48.1196008688592,71.5714179886532,147.719943627362,171.171760747156,0.262576743446321,6405.88,24396.22,5.90810832808674,740.4,0.0,63.5513444457478,33.6944907927191,4222.57,25.6236669052572,3211.14,13.2917529998943,27543.47,8.28740959671677,38747.21,35.9190776649022,2122.42238014141,5908.9,13.1624489367615,25.6236669052572,0.323427931972392,1.5882464578529,13.3837,0.0,26.3155928480166,3.46378848854454,21.3742924332812,1.13571834185122
2021,44117.86,32725.23,15812.29,6143.5,,9668.79,,1090.38,15506.2,5120.85,1.56,12730.08,3423.42,6585.239999999999,31.0,360.98,820.21,1509.23,44117.86,26938.47,239.93,,26698.54,7228.06,5.41,5294.61,-1337.45,921.39,2344.1,9951.33,4028.54,1651.98,3066.15,1204.66,14116.05,,14116.05,11859.04,4082.91,4082.91,0.0,36.1820764307296,-179.64,2080.73,1441.58,1817.8,356.06,703.18,352.21,2257.01,192.07,17.3496126749339,267.52,2181.56,1236.43,945.13,-89.56,855.57,13.17,244.91,-231.74,0.0,842.4,0.0,,,842.4,239.933497,213.614354884648,-416.51,855.57,1717.87,2573.44,-2752.28,-237.67,1463.81,-737.85,-808.07,70.22,-7837.28,8211.48,67.18,38.34,,-999.73,,0.0,,,-292.88,-1559.47,47.57,314.83,-11.34,351.06,737.85,-1154.36,0.0,0.935217704568133,9306.66,9951.33,1.27923403203391,12730.08,4.19815340909091,1212.65,267.52,0.89272648047816,14116.05,15812.29,-4.4210417678777,69.4275761686733,146.18167586783,220.030293804381,0.264917421071056,7136.47,26938.47,-8.17764176239104,-1154.36,0.0,63.8179235692704,17.3496126749339,2449.08,5.96767509324492,842.4,3.54923370912996,34166.53,1.90943078381408,44117.86,7.62507083793521,1004.86996037729,13178.5,3.12712637354683,5.96767509324492,0.319962255648846,1.63772701270711,3.511,0.0,170.207917972088,5.32258023562585,61.3118632302742,1.25502008032129
2022,41057.63,31677.92,17194.98,7482.2,,9712.78,,828.64,15355.83,5451.94,4.69,9703.75,3403.74,4245.16,193.04,534.96,459.5,867.35,41057.63,24587.95,239.93,,24348.02,6363.85,,4865.64,-324.04,808.43,1013.82,10105.83,2710.44,3.07,4829.77,2562.55,15585.98,,15585.98,12917.42,4584.97,4584.97,0.0,36.2530299666752,-183.18,1064.32,2000.78,2065.85,422.33,1448.2,265.55,2668.56,1196.88,24.8007504180039,388.1,3477.34,1349.95,2127.39,-1820.53,306.86,406.85,-553.58,960.43,0.0,-99.99,0.0,,,-99.99,239.933497,,7636.36,306.86,1266.29,1573.15,3903.67,2159.54,-2702.1,-803.4,-849.9,46.5,-5590.78,5331.6,22.6,13.54,1154.57,-4870.85,,0.0,,,-352.34,-2158.92,63.41,351.06,5.06,419.53,803.4,6832.96,0.0,0.623403520542103,6300.01,10105.83,0.960213065131711,9703.75,1.7906725070858,2515.49,388.1,0.906426177872844,15585.98,17194.98,-12.5980930946973,79.2856092890837,125.776290997207,217.659993380988,0.198012034350159,4868.71,24587.95,43.8404258185882,6832.96,0.0,63.7469700333248,24.8007504180039,3865.44,-0.641538100267035,-99.99,8.12712023210282,30951.8,-0.243535732578817,41057.63,-4.47148003040723,-429.667646157852,9609.07,-0.406662613190608,-0.641538100267035,0.379612266952574,1.66982729345065,-0.4167,0.0,0.0,8.92664756516912,57.903295355768,1.09313511149978
2023,41324.07,25891.31,17744.68,9033.01,,8711.67,,852.91,12412.98,2866.3,15.06,16443.75,3989.19,7125.02,200.26,421.28,367.97,4340.03,41324.07,23748.36,239.93,,23508.43,9209.65,,7586.73,-1032.39,1080.18,1575.13,8365.44,3125.58,5.94,4424.42,809.5,20812.14,,20812.14,14389.54,5165.63,5165.63,0.0,29.0895602278286,-237.93,1037.32,2156.95,2498.71,495.21,1827.71,319.48,6422.6,329.29,32.4420746737241,472.18,6279.71,1600.87,4678.84,-2937.79,1741.05,50.33,752.77,-702.44,0.0,1690.72,0.0,,,1690.72,239.933497,163.197,507.08,1741.05,4823.4,6564.45,-5625.38,-431.99,-705.17,-954.13,-962.43,8.3,-3692.95,3799.6,152.23,,6.0,169.31,,0.0,,,-18.25,-2518.88,-28.78,419.53,19.53,410.28,954.13,-447.05,0.0,1.4888,12454.467072,8365.44,1.9657,16443.75,4.6873,5151.02,472.18,1.17286645913029,20812.14,17744.68,-11.3921,64.828,99.7042,175.9243,0.319713445475814,7592.67,23748.36,-2.14802514301749,-447.05,0.0,70.9104397721714,32.4420746737241,6751.889999999999,8.12372009798128,1690.72,15.6287442772955,32958.63,4.0913685413852,41324.07,27.1650117404348,4682.34342916,17236.67,7.11931265990578,8.12372009798128,0.503632386645362,1.74008099927742,7.0467,0.0,139.5121,9.9323,35.9968,1.1698
2024,41985.34,28025.45,18251.74,10515.0,,7736.74,,766.11,12429.97,6077.91,20.2,14912.54,3423.619999999999,8834.16,,338.39,420.3,1896.07,41985.34,23694.4,239.93,,23454.47,13845.8,,11036.01,-994.52,1669.51,2134.8,4444.51,2619.58,10.6,1205.25,609.08,20275.17,,20275.17,14775.28,4429.38,4429.38,0.0,27.6402614626659,180.32,1195.3,2373.95,2567.85,450.42,2187.01,396.64,5499.89,553.48,29.8560751895052,784.08,5269.29,1600.62,3668.67,-219.02,3449.65,591.47,546.1,45.37,0.0,2858.18,0.0,,,2858.18,239.933497,113.3254,-292.42,3449.65,1768.91,5218.56,-5169.11,-341.87,-262.91,-734.52,-749.24,14.72,-2834.67,3040.45,267.36,,,473.95,,0.0,,,-65.35,-2898.17,-81.38,410.28,-2.44,326.46,734.52,-1026.94,0.0,2.585,11489.05835,4444.51,3.3553,14912.54,5.3996,4452.75,784.08,1.11086230682664,20275.17,18251.74,23.2817,66.7239,143.6511,187.0933,0.466211847525154,11046.61,23694.4,-5.06501301838653,-1026.94,0.0,72.3597385373341,29.8560751895052,6053.37,14.0969471526009,2858.18,11.8610856499443,37540.83,6.80756664111807,41985.34,17.3203380549401,3230.70896434,18652.69,12.0626814774799,14.0969471526009,0.48291070168778,1.7719520224188,11.9126,0.0,136.0324,16.4092,65.9987,0.8331
