year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,paints & coatings,tyres,engine & transmission,steel,metals,others,ferro alloy,aggregates - rmc,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015,49943.17,41370.2,31814.21,16030.98,,15783.23,,6040.79,16966.95,1275.88,1303.35,8572.97,4802.08,1114.48,20.22,944.75,117.03,1574.41,49943.17,14862.59,643.78,,14218.81,14709.95,1203.36,11115.6,,286.8,2104.19,20370.63,8852.65,7762.01,3142.88,613.09,36301.63,3229.6,36301.63,37539.11,22155.23,188.0,2375.75,1841.64,609.75,89.7,17050.39,0.0,0.0,74.8910172904082,-733.81,3552.14,3091.46,1174.12,395.88,1703.86,434.99,-1237.48,1881.41,1.77383219431194,1611.68,-967.75,2603.22,-3570.97,-403.75,-3974.72,764.23,37.34,-50.29,0.0,-4738.95,0.0,,,-4738.95,273.671,0.0,-2214.3,-3974.72,3355.13,-619.59,-1517.1,-77.61,253.37,-3054.79,-3079.31,24.52,-864.28,716.93,80.13,1698.48,1693.34,2631.53,,2971.57,7811.23,-4839.66,-1844.93,-648.74,670.6,198.68,-7.33,861.95,3054.79,-5269.09,0.0,0.185114058818996,3770.89,20370.63,0.420849526990574,8572.97,-1.46619676362553,-1959.29,1611.68,1.14105080717076,36301.63,31814.21,-9.0056109198412,40.0010656131873,10.7621328757036,59.7688094087321,1.42198701572202,21134.41,14862.59,-14.5147476848836,-5269.09,0.0,25.1089827095918,1.77383219431194,643.93,-13.05437248961,-4738.95,-6.62536934602168,29572.54,-9.48868483918822,49943.17,-44.094167119312,-4579.1616176737,10384.96,-31.8850886689332,-13.05437248961,0.726858747652582,3.36032750684773,-14.5675,0.0,0.0,11.9281396924595,306.243406503813,0.0
2016,56676.0,44742.92,39305.42,18229.61,,21075.81,,5686.53,15217.48,1506.03,1328.46,11861.69,5117.92,2045.58,1745.84,788.42,257.18,1906.75,56676.0,23262.11,679.18,,22582.93,14712.15,1213.77,9386.19,71.39,3289.91,750.89,18701.74,9028.45,3654.72,5489.03,529.54,42845.47,4538.14,42845.47,40121.82,24313.08,181.59,2807.59,2110.72,581.37,77.01,18554.8,0.0,0.0,67.9404847233558,10.05,3741.56,3188.97,1162.12,430.77,2127.28,361.7,2723.65,1402.31,9.6298628536459,1592.0,2533.96,2329.22,204.74,-271.84,-67.1,-4.8,-7.34,2.54,0.0,-62.3,0.0,,,-62.3,288.7203602,,2702.98,-67.1,3569.52,3502.42,-775.94,-23.5,-3264.22,-3249.21,-3283.63,34.42,-9375.81,5596.35,253.9,1061.71,613.81,-78.87,7433.22,-949.9,468.45,-1418.35,-2085.91,,-640.11,1066.47,0.71,427.07,3249.21,-546.23,0.0,0.360595858994938,6743.76999999999,18701.74,0.63425595693235,11861.69,0.95785175879397,1796.74,1592.0,1.0900651869386,42845.47,39305.42,-10.4415690258968,38.2073041712103,12.1711062116204,60.8199794087275,0.708161899328995,16473.34,23262.11,-1.27488390254559,-546.23,0.0,32.0595152766442,9.6298628536459,4125.96,-0.145406270487872,-62.3,4.73146810497427,37974.26,-0.109923071494107,56676.0,1.78970059192984,366.214441132638,20462.33,-0.267817493769912,-0.145406270487872,0.755972016373774,2.43640839115626,-0.1835,0.0,0.0,5.63896574508019,35.5938689420159,0.0517732332384157
2017,58878.28,45973.62,39885.96,19113.04,,20772.92,,7270.99,14858.39,1725.14,1493.76,12757.08,5553.01,2128.0,2437.42,326.61,237.89,2074.15,58878.28,21162.61,679.22,,20483.39,16177.32,1461.17,12224.92,147.58,1451.47,892.18,21538.35,11462.24,5158.52,4356.74,560.85,44316.34,4738.15,44316.34,42959.89,27654.4,0.0,0.0,0.0,0.0,0.0,27654.4,0.0,0.0,70.7312020803162,-252.14,3649.31,3764.35,1341.69,483.48,2099.13,276.45,1356.45,1235.12,5.84788816043924,1569.01,1022.56,3037.12,-2014.56,-338.71,-2353.27,76.33,57.06,19.27,0.0,-2429.6,0.0,,,-2429.6,288.7348428,0.0,1453.45,-2353.27,4014.91,1661.64,-93.09,-115.1,-2859.0,-3496.49,-3513.6,17.11,-687.13,379.0,258.87,673.93,-139.08,1208.8,4.55,1474.3,4070.52,-2596.22,-1936.45,-73.0,-196.75,427.07,-1.38,228.94,3496.49,-2043.04,0.0,0.334476410681412,7204.06999999999,21538.35,0.592296067247491,12757.08,-0.49984385058094,-445.55,1569.01,1.111076178184,44316.34,39885.96,-15.9445949795335,39.6996222975715,15.5271892542354,71.1714065313404,0.914678293461912,19356.98,21162.61,-4.61012800244785,-2043.04,0.0,29.2687979196838,5.84788816043924,2591.57,-5.4824022019869,-2429.6,-1.1932266611105,37339.93,-4.12647923818427,58878.28,-8.49339976902748,-1735.1837366728,20429.79,-11.4806254994067,-5.4824022019869,0.752677218152432,2.7821842390896,-7.1546,0.0,0.0,7.4768662557838,68.3986929737572,0.0
2018,59212.3,44086.03,43165.71,21561.96,,21603.75,,5196.6,14260.79,2056.64,1122.86,14748.33,5670.13,3479.81,2502.78,795.42,666.34,1633.85,59212.3,20170.98,679.22,,19491.76,14822.37,990.25,12165.66,154.61,502.37,1009.48,24218.95,14225.63,3099.87,6008.76,884.69,57896.53,793.28,57896.53,55632.14,37080.45,0.0,0.0,0.0,0.0,0.0,37080.45,0.0,0.0,73.7261974076858,842.05,4058.36,3966.73,1486.36,545.12,1878.05,1012.61,2264.39,2601.67,8.40475240916856,1744.43,3121.63,3101.89,19.74,-966.66,-946.92,87.93,92.63,-4.7,0.0,-1034.85,0.0,,,-1034.85,288.7348694,0.0,4133.94,-946.92,5037.77,4090.85,51.5,-8.41,-710.27,-2794.8,-2822.95,28.15,-812.8,1683.3,399.34,1054.69,-300.0,-3105.63,,1034.7,1621.8,-587.1,-2098.44,-2.75,318.04,228.94,-0.16,546.82,2794.8,1339.14,0.0,0.374838711009354,9078.2,24218.95,0.608958274409089,14748.33,0.457175123106115,1764.17,1744.43,1.34126208048008,57896.53,43165.71,-18.1833584460598,34.8991255892633,17.4378708160752,70.5203548513983,0.915366531522018,18463.84,20170.98,2.31298836044233,1339.14,0.0,26.2738025923142,8.40475240916856,4866.06,-1.78741282076836,-1034.85,5.04144358856754,34993.35,-1.74769431351256,59212.3,-5.18355644385092,-915.269373336712,17657.17,-5.13039029338188,-1.78741282076836,0.977778772315887,2.93551924596623,-3.0474,0.0,0.0,5.51274077347946,26.4825193791281,0.0
2019,60909.63,47474.47,45396.9,23110.07,,22286.83,,6286.59,15434.19,2214.91,1457.81,13067.06,4662.0,3250.64,1433.18,1306.61,713.47,1701.16,60909.63,22162.52,679.22,,21474.86,15806.3,750.64,13164.1,205.86,404.11,1281.59,22940.81,13502.11,3617.72,4593.99,1226.99,69202.76,,69202.76,64269.11,43748.77,0.0,0.0,0.0,0.0,0.0,43748.77,0.0,0.0,73.1412735561414,144.69,4622.94,4273.1,1735.6,598.62,1800.77,622.3,4933.65,2560.56,10.8293513148898,1793.57,5700.64,3098.64,2602.0,-203.07,2398.93,378.33,294.66,83.67,0.0,2020.6,0.0,,,2020.6,288.7348694,0.0,6292.63,2398.93,3768.06,6166.99,307.86,-182.22,-3820.55,-4753.23,-4783.48,30.25,-1327.72,676.0,327.16,1532.15,-305.12,-2529.7,,-703.98,3119.71,-3823.69,-2354.7,-2.63,-57.62,546.82,-1.8,487.4,4753.23,1539.4,0.0,0.366380262946252,8405.06000000001,22940.81,0.569598893848997,13067.06,2.33751679611055,4395.57,1793.57,1.52439395641553,69202.76,45396.9,-26.4653974072864,27.2476664948045,17.7493950385794,71.4624589406703,0.840649889994459,18630.92,22162.52,2.22447775204342,1539.4,0.0,26.8587264438586,10.8293513148898,7494.21,2.91982574105426,2020.6,11.5767885333281,37968.82,3.3173736238424,60909.63,8.19916846810924,1545.61458900426,18850.87,9.11719425408302,2.91982574105426,1.13615466060129,2.74831697839415,5.9502,0.0,29.2931330039326,2.67173356269717,10.2097453233897,0.0
2020,62589.87,48822.52,51749.9,26541.92,,25207.98,,4494.8,15730.86,1834.27,1753.2,13377.69,3831.92,1978.06,885.31,3532.19,738.32,2411.89,62589.87,18387.65,719.54,867.5,16787.47,18391.4,793.75,13982.76,198.59,1646.56,1769.74,25810.82,10843.94,6121.36,7407.28,1438.24,43928.17,,43928.17,44611.09,26171.85,0.0,0.0,0.0,0.0,0.0,26171.85,0.0,0.0,74.1540337327961,722.68,3419.94,4384.31,1416.7,428.85,1948.83,437.95,-682.92,1414.79,1.66606075327062,1973.0,-1241.13,3375.29,-4616.42,-2510.92,-7127.34,162.29,33.05,129.24,0.0,-7289.63,0.0,,,-7289.63,308.8973894,0.0,-1454.59,-7127.34,7566.76,439.42,-1801.47,-92.54,-4718.86,-4513.42,-4668.58,155.16,-4060.5,3601.53,471.35,241.22,-441.18,7749.21,3888.79,3847.52,4972.45,-1124.93,-2269.66,-3.52,1575.76,487.4,82.14,2145.3,4513.42,-5968.01,0.0,0.369835983513891,9545.77000000001,25810.82,0.518297752647921,13377.69,-2.61243791180943,-2643.42,1973.0,0.848855166869888,43928.17,51749.9,-46.698313554132,35.2880714129453,21.7226838723307,103.709068839408,1.38379673313338,25444.77,18387.65,-13.5858379713974,-5968.01,0.0,25.8459662672039,1.66606075327062,731.87,-16.5944313182179,-7289.63,-7.18729820373283,36779.05,-11.6466610331672,62589.87,-26.7943115934807,-4150.61570828668,15490.66,-39.6441633378926,-16.5944313182179,0.701841528030015,3.40390805785405,-20.2633,0.0,0.0,1.45998404348899,64.8646101766707,0.0
2021,65059.66,48938.57,55235.28,28812.18,,26423.1,,3006.46,16114.91,1641.18,2019.42,15633.79,4551.71,2087.51,1578.26,4318.94,771.97,2325.4,65059.66,19055.97,765.81,,18267.98,19752.14,4725.39,11601.38,266.5,1786.93,1371.94,26251.55,15988.13,2542.5,6639.54,1081.38,30175.03,,30175.03,28741.31,19050.74,0.0,0.0,0.0,0.0,0.0,19050.74,0.0,0.0,71.5757034872873,-609.55,2105.89,3341.53,532.34,247.89,805.87,109.8,1433.72,440.64,6.21162597021445,2110.83,-236.47,1730.7,-1967.17,-307.55,-2274.72,20.72,20.16,0.56,0.0,-2295.44,-100.0,,,-2395.44,332.0307765,0.0,6680.32,-2312.57,4273.39,1960.82,4782.75,-63.25,-2991.32,-1677.94,-1856.3,178.36,-4015.09,3604.0,153.55,20.45,10.3,-3471.91,2602.51,139.75,4702.66,-4562.91,-2427.35,-1.56,217.09,2145.3,3.15,2365.54,1677.94,5002.38,0.0,0.42214954926471,11082.08,26251.55,0.59553778729256,15633.79,-0.0776424439675388,143.66,2110.83,0.546299937286459,30175.03,55235.28,-61.740235904664,50.7045883632924,24.5887584867356,137.033582754692,1.14130742229338,21748.72,19055.97,16.5778791272121,5002.38,0.0,28.4242965127127,6.21162597021445,1874.36,-7.93848423680109,-2395.44,0.370180356631642,38808.11,-3.68191287811833,65059.66,-1.81492280533809,-299.68513540128,16512.28,-12.5705487571611,-7.93848423680109,0.463805528648628,3.41413530772771,-5.9952,0.0,0.0,6.07197156207871,70.958678162146,0.0
2022,63899.87,48106.54,30438.99,16363.23,,14075.76,,1467.24,29256.39,1429.66,2051.21,15619.61,3718.49,2111.78,5143.08,2605.43,618.13,1422.7,63899.87,19944.15,765.88,,19133.61,16962.91,2384.39,11718.35,173.72,1212.34,1474.11,26992.81,13986.06,6004.97,6344.05,657.73,47263.68,,47263.68,45764.75,31693.11,0.0,0.0,0.0,0.0,0.0,31693.11,0.0,0.0,76.8438682726356,-403.87,3065.26,3601.51,1038.85,344.78,1225.6,169.51,1498.93,659.91,4.56765110122614,2121.73,37.11,1760.57,-1723.46,83.41,-1640.05,99.18,51.18,48.0,0.0,-1739.23,348.37,,,-1390.86,332.0662007,0.0,5281.93,-1247.54,3930.6,2683.06,2754.81,-155.94,-3149.49,-1731.1,-1830.67,99.57,-4701.34,3559.3,301.49,80.08,-870.91,-515.84,18.61,-1580.05,1999.79,-3579.84,-2272.49,-1.53,1616.6,2365.54,9.3,2450.23,1731.1,3550.83,0.0,0.440899632161305,11901.12,26992.81,0.578658168601194,15619.61,0.227022288415585,398.27,2121.73,1.55273483121483,47263.68,30438.99,-23.2907008585208,31.933854917772,16.2147853277612,71.439341104054,1.16488544259846,23232.65,19944.15,7.51280898990515,3550.83,0.0,23.1561317273644,4.56765110122614,2158.84,-2.94276704649321,-1390.86,1.07911602820707,36907.06,-2.1766241464967,63899.87,-7.67407597529796,-277.462356147678,3615.58,-6.97377426463399,-2.94276704649321,0.739652208995104,3.20394050385702,-4.5421,0.0,0.0,8.34162431204094,86.4449762372385,0.0
2023,60293.51,50219.66,29658.31,15115.99,,14542.32,,1084.95,29181.62,1575.52,2409.15,11499.95,3027.9,2307.72,3142.96,1414.65,381.83,1224.89,60293.51,22469.85,766.02,,21639.88,12020.13,46.31,10399.39,-1426.1,1411.78,1588.75,25803.53,13001.99,5926.92,6412.07,462.55,65757.33,,65757.33,61226.28,42226.81,0.0,0.0,0.0,0.0,0.0,42226.81,0.0,0.0,74.931296632634,484.69,3758.4,4021.63,1435.94,420.98,1965.2,351.31,4531.05,820.94,8.1390013858531,2047.51,3304.48,1766.86,1537.62,-282.82,1254.8,-1473.33,81.6,-1554.93,0.0,2728.13,0.0,,,2728.13,332.1344325,28.0769,4775.43,1254.8,3755.45,5010.25,-66.67,-168.15,922.67,-1574.66,-1697.36,122.7,-776.64,3020.53,185.27,187.52,-191.18,-7021.32,19.6,-4905.85,8.99,-4914.84,-2007.76,,-1323.22,2450.23,-5.58,1121.43,1574.66,3200.77,0.0,0.3283,8471.298899,25803.53,0.4457,11499.95,1.6128,3585.13,2047.51,2.21716375612771,65757.33,29658.31,-18.1414,18.7236,12.2657,49.1307,0.839900577885478,18872.44,22469.85,4.86754860636829,3200.77,0.0,25.068703367366,8.1390013858531,5351.99,4.14878462978956,2728.13,10.3947001418963,34489.98,4.52474901527544,60293.51,259.244389349018,6009.77750945,2318.19,12.1412915529031,4.14878462978956,1.09062036693501,2.68330718718639,7.1233,0.0,59.0457,7.1893,33.3598,0.4755
2024,64525.09,50826.29,31352.08,16926.71,81.32,14344.05,,1233.95,30315.57,1598.83,1825.02,15171.06,3470.38,2765.16,1993.5,5150.96,616.86,1174.2,64525.09,30143.05,766.5,,29290.79,7055.88,64.99,5170.68,-1508.87,1392.16,1936.92,27326.16,13334.47,6683.84,6100.32,1207.53,73303.08,,73303.08,65687.97,45025.05,0.0,0.0,0.0,0.0,0.0,45025.05,0.0,0.0,71.1959170064887,-600.44,4306.45,4308.15,1901.31,424.04,2223.58,335.64,7615.11,1149.88,11.957191976108,1705.74,7059.25,2016.84,5042.41,2808.41,7850.82,-51.26,114.22,-165.48,0.0,7902.08,0.0,,,7902.08,332.3739001,29.0981,8661.71,7850.82,671.97,8522.79,385.3,-246.38,1488.19,-1951.79,-1991.27,39.48,-1982.38,1550.31,180.05,655.33,3147.79,-7930.45,81.87,-6005.64,25.71,-6031.35,-1839.62,-769.04,2219.45,1121.43,4.01,3344.89,1951.79,6709.92,0.0,0.4282,11701.061712,27326.16,0.5552,15171.06,5.6026,6748.15,1705.74,2.33806114299275,73303.08,31352.08,-27.1041,16.1785,12.6298,55.9124,0.456856223905676,13771.04,30143.05,9.15366721289201,6709.92,0.0,28.8040829935113,11.957191976108,8764.99,10.7800108808525,7902.08,18.1407099612811,37198.93,12.2465230191853,64525.09,5811.4904133974,5634.82110483,96.959999999998,26.2152635516313,10.7800108808525,1.13603994973118,2.14062910024035,20.6199,0.0,48.1574,12.6606,44.3997,0.6042
