year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,sulphur,limestone,iron,coal,coke,ferro alloy,zinc,others,na,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015,115863.64,101446.35,42583.38,17333.61,1.25,25248.52,,23036.67,52164.24,3207.9,39.43,11994.56,8042.0,491.46,1000.08,478.59,55.27,1927.16,115863.64,66663.89,971.41,,65692.48,32430.57,2232.36,23943.01,2250.41,218.68,2875.92,16769.18,5801.98,34.88,9256.91,1675.41,41785.0,4792.26,41785.0,31853.61,13839.7,2092.26,786.58,3666.84,1247.47,5580.94,169.38,296.23,0.0,0.0,28.1390690439153,-609.01,6985.2,4601.92,3047.67,2704.42,2354.34,988.84,9931.39,660.19,25.3478042359698,1975.95,8615.63,1997.59,6618.04,1890.85,8508.89,2069.77,1908.6,278.38,0.0,6439.12,0.0,,,6439.12,97.1215,12.0663650075415,4851.89,8508.89,2149.04,10657.93,-3752.76,-2053.28,-2382.1,-5872.46,-6922.58,1050.12,-235.46,2985.73,155.74,119.6,-13.9,-2957.21,,0.0,,,-1891.75,-971.21,-487.42,909.33,0.02,421.93,5872.46,-1020.57,0.0,0.235703832864815,3952.56,16769.18,0.715274092114224,11994.56,5.30622738429616,8593.99,1975.95,0.981251370839985,41785.0,42583.38,-158.322462617254,55.0502611145439,4.94585286897512,218.318576600773,0.457120639074617,30473.44,66663.89,-2.44243149455546,-1020.57,0.0,71.8609309560847,25.3478042359698,10591.58,15.4101232499701,6439.12,8.67252316627993,99094.46,5.55749845249122,115863.64,13.9394541767616,6003.91946023512,43071.41,9.65908230077783,15.4101232499701,0.360639455138817,1.73802698882408,6.3169,0.0,4.77901889597323,0.462808765257807,5.73735352515866,2.52485403187628
2016,105114.46,84550.51,55808.43,5682.58,37.46,50088.39,,28205.88,7460.42,3528.82,877.7,14953.25,7137.38,1133.17,4325.0,1036.13,213.95,1107.62,105114.46,46637.38,971.41,,45665.97,37744.75,2338.91,23862.85,5610.7,2421.28,3114.5,20732.33,6196.88,5888.0,7577.56,1069.89,38221.49,4475.95,38221.49,30610.91,9700.009999999998,2171.05,812.45,3119.97,1406.17,4727.48,161.64,273.29,0.0,-2972.04,28.0342812381202,23.57,7714.63,4319.89,3177.66,2545.82,1802.89,933.79,7610.58,392.37,20.9383516969119,1848.05,6154.9,2962.28,3192.62,-1649.28,1543.34,587.69,1193.28,-605.59,0.0,955.65,0.0,,,955.65,97.1215439,81.3024654972662,7371.8,1543.34,6078.53,7621.87,994.03,-1244.1,-4351.72,-4745.78,-4777.91,32.13,-3565.05,3980.35,24.67,107.08,-171.22,-2540.44,,-82.82,,-82.82,-2871.06,-776.97,479.64,495.16,-0.12,974.68,4745.78,2626.02,0.0,0.376989465245826,7815.87,20732.33,0.721252748726265,14953.25,1.83511809745407,5040.67,1848.05,0.684869472228479,38221.49,55808.43,-132.539945237891,64.8806310167542,6.94409254981095,204.364668804456,0.710128013194566,33118.51,46637.38,6.87053278142741,2626.02,0.0,71.9657187618798,20.9383516969119,8002.95,2.50029499111625,955.65,5.97362261417198,84382.13,0.909151795100313,105114.46,3.97788560502998,2878.26914030609,72356.76,2.04910738982336,2.50029499111625,0.363617812430373,2.25386717692975,0.9375,0.0,32.4704736794133,0.625934903508082,7.88615941621527,2.50391236306729
2017,111465.41,85243.74,81823.38,9217.62,38.61,72567.15,,6163.96,8355.9,3310.65,957.35,20110.4,10236.85,2006.52,5309.81,970.31,507.78,1079.13,111465.41,49659.01,971.41,,48687.59,38750.07,2420.65,24548.72,6111.27,2142.26,3508.95,23056.33,10717.44,3239.67,7876.32,1222.9,47993.02,5267.94,47993.02,36190.93,12496.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12496.78,0.0,25.1042964164372,-1329.65,9006.41,4605.13,3990.7,2880.92,3669.07,207.91,11802.09,488.32,25.6087447716355,2688.55,9601.86,3541.55,6060.31,-703.38,5356.93,1912.38,1400.54,511.84,0.0,3444.55,0.0,,,3444.55,97.1215439,28.1955417209431,11166.64,5356.93,6203.75,11560.68,1146.83,-1540.87,-3956.4,-3205.92,-3212.72,6.8,-852.64,3.9,117.34,87.51,-100.12,-7279.71,0.01,-111.63,,-111.63,-2624.51,-776.97,-69.47,974.68,,905.21,3205.92,7960.72,0.0,0.428235976844537,9873.55,23056.33,0.872229014765143,20110.4,2.99249781480724,8748.86,2688.55,0.586544090454342,47993.02,81823.38,-185.915713799122,59.5332298741893,10.7582256309312,256.207169304243,0.615389432854179,30559.63,49659.01,16.5872453952679,7960.72,0.0,74.8957035835628,25.6087447716355,12290.41,7.17718951630883,3444.55,9.89588399743556,88409.08,3.0902411788554,111465.41,7.00995046032002,5311.5950846847,75772.22,6.93640489409676,7.17718951630883,0.430564244100479,2.24461603241788,3.3792,0.0,13.60841208889,1.021148865844,6.22149876611114,2.07189474774681
2018,125114.34,84211.34,84681.58,12913.89,38.61,71729.08,,5673.27,9636.56,2480.8,950.72,34643.91,11023.41,1875.63,14640.37,4696.74,257.8,2149.96,125114.34,61514.84,1146.12,,60368.7,37992.16,2494.42,24349.53,6259.09,1660.4,3208.94,25607.34,11242.75,669.88,12414.87,1279.84,59616.82,902.55,59616.82,43957.67,16877.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16877.63,0.0,30.3105734254192,545.36,10443.46,4828.85,4296.1,2925.2,2960.37,770.15,15659.15,883.47,27.7482428616622,2810.62,13732.0,3727.46,10004.54,-3366.29,6638.25,2468.7,1586.78,881.92,0.0,4169.55,0.0,,,4169.55,120.411944,27.4830978947947,11791.45,6638.25,8470.73,15108.98,-815.02,-2502.51,-12273.35,-2514.18,-2527.46,13.28,-8664.24,3877.78,92.67,88.57,-5018.88,4165.58,9087.23,-108.14,,-108.14,-2769.66,-971.22,3683.68,905.21,,4588.89,2514.18,9277.27,0.0,0.922411308632603,23620.5,25607.34,1.35288983549248,34643.91,3.3618454291224,12815.16,2810.62,0.704011663457389,59616.82,84681.58,-145.968424693207,64.1116629270926,11.706869635292,221.786957255592,0.494202699706282,30400.8,61514.84,15.5614975773616,9277.27,0.0,69.6894265745808,27.7482428616622,16542.62,6.99391547553191,4169.55,12.878651753143,99507.0,3.33259161180085,125114.34,9.06294450372573,7494.41163552141,82692.9,6.77812053156604,6.99391547553191,0.476498697111778,2.03388873319024,3.6386,0.0,15.6901005881383,1.06529252624534,5.50847645657097,1.75162024873008
2019,137498.36,112655.78,87965.86,16702.17,41.67,71222.02,,5796.29,38929.25,3326.37,1188.85,17035.58,11255.34,1363.04,477.47,718.11,515.44,2706.18,137498.36,70454.71,1146.12,,69308.59,41450.0,2564.1,26362.09,7807.0,1243.21,3348.53,25593.65,10969.56,8.09,13377.51,1238.49,70610.92,0.21,70610.92,50049.4,19840.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19840.29,0.0,29.8732972180507,-554.33,11864.33,5131.06,4508.27,3033.34,4712.33,505.96,20561.52,2406.5,32.5275750549632,2823.58,20144.44,3802.96,16341.48,-114.23,16227.25,5694.06,6297.11,-603.05,0.0,10533.19,0.0,,,10533.19,120.4126385,14.1428712857284,15193.11,16227.25,3721.63,19948.88,-223.23,-4532.54,-16349.98,-3657.92,-3676.86,18.94,-481.31,15066.32,1696.86,96.25,-29076.49,-2887.17,-6.03,1462.96,5911.02,-4448.06,-2607.88,-1145.92,-4044.04,4588.89,,544.85,3657.92,11535.19,0.0,0.225846645554659,5780.24,25593.65,0.665617448077941,17035.58,6.74704807372201,19165.06,2823.58,0.802708232489286,70610.92,87965.86,-126.225100576257,57.5813468370048,8.37062135714986,192.177068770412,0.453858514214309,31976.47,70454.71,16.3362692342771,11535.19,0.0,70.1267027819493,32.5275750549632,22968.02,14.9172252677065,10533.19,17.1262317734437,111904.71,7.66059318816603,137498.36,15.7810987260725,10878.0660066493,68930.98,14.9502992773656,14.9172252677065,0.513540088769059,1.951585067911,9.1919,0.0,5.66640194083922,0.847808132646453,3.95957523547959,2.49592013055582
2020,150392.56,124521.09,91825.67,20550.62,41.67,71233.38,,8247.05,46860.91,3781.82,260.21,19959.03,10716.66,1016.73,3235.16,1226.87,654.26,3109.35,150392.56,74563.12,1146.13,,73416.99,44958.14,5575.11,28081.85,5862.28,807.31,4338.0,30871.3,10600.96,7857.27,11365.34,1047.73,60435.97,,60435.97,45576.86,17407.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17407.03,0.0,30.4549260978189,-564.4,12502.33,5036.62,4227.14,3104.4,3384.35,587.42,14859.11,406.58,25.2592785389231,3031.01,12234.68,3920.12,8314.56,-1703.58,6610.98,-132.82,1787.95,-1920.77,0.0,6743.8,0.0,,,6743.8,120.4126999,16.9923534409516,13453.66,6610.98,7157.3,13768.28,1504.16,-1818.78,-17634.66,-4576.21,-4749.28,173.07,-2802.93,,117.34,89.73,-8945.16,4629.79,0.04,2186.7,5052.88,-2866.18,-3084.03,-1489.67,448.79,544.85,,993.64,4576.21,8877.45,0.0,0.299383893778364,9242.37000000001,30871.3,0.646523793944537,19959.03,3.18111454597642,11345.57,3031.01,0.658159858784586,60435.97,91825.67,-140.344483801812,66.3493942431966,7.18625058884634,213.880128633855,0.586052058980365,43697.87,74563.12,14.6890171531954,8877.45,0.0,69.5450739021811,25.2592785389231,15265.69,11.1585865172678,6743.8,9.49251204346407,119521.26,4.4841313958616,150392.56,16.5066799758036,11158.7632638429,67601.5,9.0444176692177,11.1585865172678,0.401854785901643,2.01698319490923,5.885,0.0,4.58368734069669,0.413522298914726,4.80701899160798,3.70713623725672
2021,180490.93,142698.75,125757.29,28528.4,85.61,97143.28,,10908.28,29087.33,13820.63,257.01,28890.78,12857.51,2878.58,7096.8,2396.9,1285.6,2375.39,180490.93,94410.12,1198.78,,93207.56,56013.21,9626.43,22693.98,8517.78,9999.73,4716.68,30067.6,13426.21,315.8,14478.83,1846.76,84132.92,,84132.92,57009.21,20757.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20757.04,0.0,29.2661184230858,2176.56,13251.43,5741.94,5542.62,3746.26,5128.84,296.92,27123.71,755.11,33.136636645917,4541.02,23337.8,5469.26,17868.54,741.3,18609.84,1531.87,-1329.78,2861.65,0.0,17077.97,0.0,,,17077.97,120.4126999,17.5457065656034,37554.77,18609.84,8617.36,27227.2,10699.82,-372.25,-13665.22,-2229.97,-2266.22,36.25,-3694.91,179.7,260.86,68.11,-916.01,-23385.49,3240.91,-10498.49,9777.19,-20275.68,-4311.1,-1145.92,504.06,1717.25,,2221.31,2229.97,35324.8,0.0,0.533240764144794,16033.27,30067.6,0.960860860195027,28890.78,5.09816296779138,22409.56,4541.02,0.669010281630592,84132.92,125757.29,-118.501468586031,51.1367729183773,8.44965413063044,178.087895635039,0.352770338603531,33305.09,94410.12,41.9868940719043,35324.8,0.0,70.7338815769142,33.136636645917,27878.82,20.2987962381432,17077.97,14.8976624836054,150423.33,9.46195468104685,180490.93,18.9735916563688,19871.9627609104,104734.85,18.0891306991242,20.2987962381432,0.466133783010592,1.91177524189144,14.2485,0.0,5.69849457837667,1.03388233408103,4.59943760532189,3.07900732803744
2022,221986.22,182609.08,128078.07,33786.43,1.21,94290.43,,14541.96,43401.43,37276.89,1185.94,31289.57,19942.94,3280.3,96.11,2855.29,1485.81,3629.12,221986.22,125433.76,1222.37,,124211.39,42887.63,2714.29,17576.52,8087.57,8625.11,5000.91,53664.83,21091.14,9128.92,21167.67,2277.1,129021.35,,129021.35,77891.5,35256.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35256.98,0.0,29.0844422260347,-1820.87,18487.99,6365.8,6920.29,4663.69,5332.23,1054.45,51129.85,1452.02,40.7543945246271,2792.08,49789.79,5463.69,44326.1,-235.45,44090.65,11079.47,11611.94,-532.47,0.0,33011.18,0.0,,,33011.18,122.1530046,18.8816858753883,41986.12,44090.65,6216.05,50306.7,2919.65,-11240.23,-34167.79,-6155.68,-6288.29,132.61,-76.99,7193.3,144.32,243.92,-12897.0,-7368.05,325.72,-9343.84,36.88,-9380.72,-2868.17,-3007.08,450.28,2221.31,,2671.59,6155.68,35830.44,0.0,0.211435124270402,11346.63,53664.83,0.583055420095433,31289.57,16.7913276123893,47118.18,2792.08,1.00736488299675,129021.35,128078.07,-112.764134306926,46.3960586755603,8.71170236553873,167.871895348025,0.257310870693823,32275.47,125433.76,27.7709386857291,35830.44,0.0,70.9155577739653,40.7543945246271,52581.87,25.5858274618891,33011.18,27.9929841358843,168321.39,14.8708239637578,221986.22,40.325130075791,34190.7825733755,84787.78,26.3176197540439,25.5858274618891,0.581213329367922,1.76974859081,27.0103,0.0,4.83907990655417,1.28226069668139,3.59751202933635,3.90191652958953
2023,242695.73,193606.69,138750.91,41326.85,1.21,97422.85,,22168.77,39467.38,40506.6,2549.42,40515.33,25420.36,2561.79,2968.25,2849.95,1713.14,5001.84,242695.73,136608.88,1222.4,,135386.48,54295.42,3439.09,28129.72,8508.33,7750.71,4710.56,51791.43,20355.76,1003.45,26614.34,3817.88,142913.32,,142913.32,114708.8,59948.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59948.72,0.0,46.2120955555437,-1329.69,22609.01,7220.74,7784.03,6630.38,3072.36,2434.27,28204.52,2596.6,21.5523087700992,3974.63,26826.49,5956.32,20870.17,-780.47,20089.7,5404.45,4918.39,486.06,0.0,14685.25,0.0,,,14685.25,1222.1537,29.9603,13505.75,20089.7,5913.68,26003.38,-7489.49,-5008.14,-14794.2,-9036.14,-9067.96,31.82,-453.49,5761.42,281.98,201.93,-11574.4,-5192.78,1.37,13724.25,16628.55,-2904.3,-4028.27,-6267.84,-6481.23,7666.83,,1185.6,9036.14,4469.61,0.0,0.2915,15097.201845,51791.43,0.7823,40515.33,6.0545,24844.8,3974.63,1.02999915460014,142913.32,138750.91,-49.1428,57.9288,7.4603,114.5319,0.284512470931611,38866.93,136608.88,3.12749714302348,4469.61,0.0,53.7879044444563,21.5523087700992,30801.12,10.2756342096034,14685.25,13.0142694533334,190904.3,6.05088931725334,242695.73,15.0563160065098,16263.0782288,108014.99,10.7498502293555,10.2756342096034,0.58885799103264,1.77657360195033,12.0159,0.0,8.6968,0.9396,5.3158,3.445
2024,245634.06,200852.38,144731.04,47114.79,180.11,97436.14,,27729.06,65498.27,16466.75,1738.93,36764.91,24547.2,1606.14,500.35,5954.68,1415.09,2741.45,245634.06,137693.65,1248.6,,136445.05,57300.01,2829.25,33886.66,8016.77,6109.73,5094.28,50640.4,22062.46,,25387.65,3190.29,140987.43,,140987.43,111179.18,48018.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48018.48,0.0,41.2027015458045,369.85,22670.3,7402.31,7992.52,6562.18,8071.24,1377.54,29808.25,3147.98,23.3752966487864,4178.61,28777.62,5969.79,22807.83,-13635.68,9172.15,4364.75,4954.21,-589.46,0.0,4807.4,0.0,,,4807.4,1248.3531541,93.4822,27328.27,9172.15,20228.15,29400.3,2973.34,-5045.37,-15557.89,-10205.05,-10426.0,220.95,-0.01,2815.78,212.91,313.21,-684.41,-8414.51,,2553.08,9696.09,-7143.01,-5098.45,-4414.0,3355.87,1185.6,,4541.47,10205.05,17123.22,0.0,0.2413,12219.52852,50640.4,0.726,36764.91,3.195,26986.44,4178.61,0.974134021285275,140987.43,144731.04,-63.1877,64.6801,5.3951,133.2629,0.294548296163258,40557.43,137693.65,12.1452103921605,17123.22,0.0,58.7972984541955,23.3752966487864,32956.23,3.40980752681285,4807.4,13.8396499660553,194993.66,1.95713900588542,245634.06,11.6689921992238,12494.4520398,107073.96,3.49137378521086,3.40980752681285,0.573973454658527,1.78391712326603,3.851,0.0,40.483,1.4298,6.9553,2.3092
