year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,others,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,62761.83,22363.7,14205.25,6208.96,,7996.29,,2706.94,2651.23,8049.48,927.75,40430.14,12.34,19476.12,747.47,16502.5,2007.47,1684.24,62761.83,45416.44,195.87,,45220.57,881.76,64.13,0.58,-32.01,321.34,460.19,16463.63,6767.25,185.56,2491.47,7019.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16319.89,24549.97,-1916.39,22633.58,6.88,-6320.57,611.01,-2564.49,-2568.72,4.23,-78049.31,77795.32,1934.38,1335.54,,-16914.2,,-0.47,,-0.47,-78.83,-17020.46,16.7,438.37,-27.26,429.78,2564.49,13755.4,0.0,2.45497499640116,40417.8,16463.63,2.45572452733692,40430.14,309.532989820284,24101.16,79.57,5.17963851392971,73578.06,14205.25,90.7636906505178,0.0518614229130299,90.7118292276048,0.0,0.00600773640558353,272.85,45416.44,18.6949751053507,13755.4,0.0,99.9119710413675,34.6501796867164,25494.93,26.1721496870127,19256.96,52.0563650422695,46298.2,30.6825980058262,62761.83,80.6019909164544,15390.9421052979,19094.99,42.4008574868484,26.1721496870127,1.1723377090821,1.38191875012661,49.1575,0.0,25.9070335147231,10.9848038177365,18.9316477236847,3.10162737284309
2016.0,75117.0,23904.0,17251.0,8171.0,,9080.0,,1640.0,2229.0,7646.0,1145.0,53377.0,9.0,21770.0,21930.0,4806.0,1927.0,2935.0,75117.0,65013.0,197.0,,64816.0,-1205.0,50.0,,-2164.0,759.0,88.0,11309.0,5370.0,113.0,4011.0,1815.0,85864.0,,85864.0,58810.0,39.0,39.0,0.0465852976800522,1.0,2527.0,42420.0,,,12013.0,119.0,27054.0,3757.0,35.8834901705022,13.0,30798.0,1459.0,29339.0,,29339.0,6264.0,6344.0,-112.0,0.0,23075.0,0.0,,,23075.0,197.0427941,37.1375883618482,17986.0,29339.0,-1314.0,28025.0,-3575.0,-6464.0,-4518.0,-1759.0,-1765.0,6.0,-114269.0,110363.0,1798.0,705.0,,-9586.0,,-21.0,,-21.0,-13.0,-9479.0,3882.0,461.0,40.0,4383.0,1759.0,16227.0,0.0,4.71907330444779,53368.0000000001,11309.0,4.71986913078079,53377.0,2257.84615384615,29352.0,13.0,4.97733464726682,85864.0,17251.0,87.7120964548589,0.0453571927699618,87.6667392620889,0.0,0.0027379139556704,178.0,65013.0,18.8984906363552,16227.0,0.0,99.9534147023199,35.8834901705022,30811.0,26.8738935991801,23075.0,46.0005015045135,63808.0,30.7187454238055,75117.0,40.9761633318671,20130.3597600464,49127.0,35.4929014197161,26.8738935991801,1.14307014390884,1.15541507083199,58.566,0.0,21.4804664822593,7.63037993195708,15.9369656940703,1.72890045905288
2017.0,87311.0,21002.0,18749.0,9518.0,,9231.0,,1477.0,2201.0,5529.0,431.0,68442.0,21.0,20707.0,40729.0,1316.0,2686.0,2983.0,87311.0,78022.0,197.0,,77825.0,-1412.0,44.0,,-2133.0,331.0,329.0,10701.0,4190.0,200.0,3823.0,2488.0,92693.0,,92693.0,65604.0,94.0,94.0,0.100331200845803,-1.0,2783.0,48116.0,,,12841.0,107.0,27089.0,4568.0,34.152525001888,16.0,31641.0,1575.0,30066.0,,30066.0,6413.0,6762.0,-230.0,0.0,23653.0,0.0,,,23653.0,197.0427941,39.1451368414039,23132.0,30066.0,-1462.0,28604.0,994.0,-6466.0,-15782.0,-1636.0,-1655.0,19.0,-118283.0,100431.0,1740.0,394.0,,-10891.0,,-15.0,,-15.0,-16.0,-9162.0,-3541.0,4383.0,-52.0,790.0,1636.0,21496.0,0.0,6.39388842164284,68421.0,10701.0,6.39585085506027,68442.0,1880.125,30082.0,16.0,4.94389034081818,92693.0,18749.0,83.6905429751977,0.0590659488850291,83.6314770263127,0.0,0.00320422444951424,250.0,78022.0,23.1905321868965,21496.0,0.0,99.8996687991542,34.152525001888,31657.0,25.5175687484492,23653.0,39.2664143062263,76610.0,27.0905155135092,87311.0,29.7080247188744,20071.9298210603,67564.0,30.3158083617441,25.5175687484492,1.06164171753845,1.11905616364615,60.033,0.0,20.2480302500291,6.18097542718497,15.0949458255678,1.9332812307186
2018.0,88005.0,22410.0,20396.0,10956.0,,9440.0,,1238.0,2186.0,6211.0,708.0,68222.0,25.0,24212.0,35073.0,3487.0,2343.0,3082.0,88005.0,75866.0,191.0,,75675.0,-1919.0,39.0,,-2627.0,336.0,315.0,14058.0,4775.0,181.0,6309.0,2793.0,97356.0,,97356.0,69551.0,85.0,85.0,0.0883355930810633,1.0,3079.0,51486.0,255.0,,12630.0,95.0,27805.0,5803.0,34.5207280496323,30.0,33578.0,1647.0,31931.0,,31931.0,6690.0,6966.0,-217.0,0.0,25241.0,0.0,,,25241.0,191.4287591,37.8352773098815,21587.0,31931.0,-3806.0,28125.0,-493.0,-6045.0,5634.0,-1577.0,-1606.0,29.0,-96604.0,100614.0,2564.0,2212.0,,-26827.0,,-6.0,,-6.0,-33.0,-10726.0,394.0,790.0,94.0,1278.0,1577.0,20010.0,0.0,4.85111680182103,68197.0,14058.0,4.8528951486698,68222.0,1065.36666666667,31961.0,30.0,4.77328888017258,97356.0,20396.0,84.2897458810962,0.0862299190599449,84.2035159620362,0.0,0.00296575541085598,225.0,75866.0,20.5534327622335,20010.0,0.0,99.9116644069189,34.5207280496323,33608.0,25.9264965692921,25241.0,43.2214964772066,73947.0,28.6813249247202,88005.0,33.3169937847344,20677.5258526197,62063.0,33.2705032557404,25.9264965692921,1.10625532640191,1.16000579969947,66.0759,0.0,21.5608111278091,7.17168704865321,16.0959979766722,1.75481697258976
2019.0,97403.0,20129.0,21954.0,12293.0,,9661.0,,834.0,2189.0,4922.0,765.0,79032.0,10.0,28418.0,28280.0,8900.0,3374.0,10050.0,97403.0,78898.0,375.0,,78523.0,-391.0,33.0,,-1758.0,1056.0,308.0,18896.0,7692.0,,7097.0,4107.0,123170.0,,123170.0,88206.0,40.0,40.0,0.0324754404481611,,3275.0,59377.0,3897.0,,19466.0,188.0,34964.0,7627.0,34.5790371031907,170.0,42421.0,1716.0,40705.0,,40705.0,10640.0,8672.0,697.0,0.0,30065.0,0.0,,,30065.0,375.2384706,37.4189412185852,23998.0,40705.0,-4644.0,36061.0,-3359.0,-8704.0,5883.0,-1619.0,-1717.0,98.0,-97710.0,101900.0,2554.0,3574.0,-66.0,-27825.0,,0.0,,,-170.0,-11424.0,2056.0,1278.0,-7.0,3327.0,1619.0,22379.0,0.0,4.1819432684166,79022.0000000001,18896.0,4.18247248094835,79032.0,240.441176470588,40875.0,170.0,5.61036713127448,123170.0,21954.0,78.0333076236097,0.0518592189656572,77.981448404644,0.0,7.60475550711045e-05,6.0,78898.0,18.1691970447349,22379.0,0.0,99.9675245595518,34.5790371031907,42591.0,24.4093529268491,30065.0,52.0654209178799,78507.0,30.8666057513629,97403.0,39.2940463752879,24557.2072226999,62496.0,38.1061623868793,24.4093529268491,1.26454010656756,1.2345433344318,80.1733,0.0,24.9509500045526,9.53903865717192,17.4040524993543,1.499700059988
2020.0,102756.0,25434.0,30705.0,14583.0,,16122.0,,781.0,2189.0,3123.0,1347.0,79194.0,5.0,33423.0,25686.0,4824.0,4413.0,10843.0,102756.0,74368.0,375.0,,73993.0,4362.0,5262.0,,-1872.0,5914.0,317.0,24026.0,8734.0,,9861.0,5431.0,131306.0,,131306.0,93953.0,18.0,18.0,0.012946856960078,-1.0,2175.0,64906.0,3547.0,,21597.0,132.0,37353.0,8082.0,34.6023791753614,743.0,44692.0,2701.0,41991.0,,41991.0,8731.0,8440.0,1168.0,0.0,33260.0,0.0,,,33260.0,375.2384706,82.3061042942364,26603.0,41991.0,-3997.0,37994.0,-5025.0,-6366.0,12829.0,-2512.0,-2642.0,130.0,-84190.0,92477.0,3353.0,3995.0,,-39045.0,,0.0,,,-743.0,-37634.0,387.0,3327.0,138.0,3852.0,2512.0,24091.0,0.0,3.29597103138267,79189.0,24026.0,3.2961791392658,79194.0,57.5154777927322,42734.0,743.0,4.27637192639635,131306.0,30705.0,85.9726135896303,0.0208482476048315,85.9517653420255,0.0,0.0,0.0,74368.0,18.3472194720729,24091.0,0.0,99.9870531430399,34.6023791753614,45435.0,25.330144852482,33260.0,54.2791820144799,78730.0,32.3679395850364,102756.0,40.0136532380216,27446.9653020885,68594.0,44.7235370051635,25.330144852482,1.27784265638989,1.38172332185886,88.6933,0.0,20.5545401963846,9.30304751925537,14.9404588973259,4.00427854419791
2021.0,106221.0,25856.0,31513.0,15454.0,,16059.0,,861.0,2405.0,2548.0,1188.0,83160.0,7.0,30621.0,28324.0,3142.0,7413.0,13653.0,106221.0,74794.0,370.0,,74424.0,2902.0,,,-2795.0,5363.0,334.0,28525.0,7962.0,,10905.0,9658.0,135963.0,,135963.0,95653.0,15.0,15.0,0.0110324132300699,,1708.0,69046.0,2944.0,,20540.0,185.0,40310.0,5400.0,33.6194405830998,537.0,45173.0,3053.0,42120.0,-1218.0,40902.0,9942.0,10300.0,-358.0,0.0,30960.0,0.0,,,30960.0,369.9051373,45.4134234909299,33822.0,40902.0,73.0,40975.0,652.0,-7805.0,-4576.0,-2383.0,-2414.0,31.0,-57500.0,53950.0,2605.0,2211.0,-212.0,-32023.0,,0.0,,,-537.0,-10850.0,-2777.0,3852.0,37.0,1112.0,2383.0,31439.0,0.0,2.91509202453988,83153.0000000001,28525.0,2.91533742331288,83160.0,77.1675977653631,42657.0,537.0,4.3145051248691,135963.0,31513.0,85.9808918602855,0.0161073233159021,85.9647845369696,0.0,0.0,0.0,74794.0,23.1232026360113,31439.0,0.0,99.9889675867699,33.6194405830998,45710.0,22.7709009068644,30960.0,54.9024402800659,77696.0,29.1467788855311,106221.0,40.5180755605048,28200.9857708669,69601.0,41.3936946813916,22.7709009068644,1.28000112972011,1.42018076316282,83.6757,0.0,37.9751827591523,15.9142369853001,25.6523736600306,1.19587109768379
2022.0,118484.0,26942.0,34860.0,18336.0,,16524.0,,1146.0,2405.0,2505.0,1712.0,94192.0,19.0,36102.0,29262.0,13692.0,5844.0,9273.0,118484.0,77173.0,366.0,,76807.0,3410.0,,,-2650.0,5957.0,103.0,37901.0,10082.0,,16848.0,10971.0,160341.0,,160341.0,114096.0,26.0,26.0,0.0162154408417061,,1707.0,81097.0,3733.0,,26442.0,107.0,46245.0,7486.0,33.5104558409889,486.0,53245.0,3522.0,49723.0,,49723.0,11536.0,12912.0,-395.0,0.0,38187.0,0.0,,,38187.0,365.9051373,41.2129646402348,36127.0,49723.0,-2326.0,47397.0,-934.0,-10336.0,3642.0,-2588.0,-2617.0,29.0,-85479.0,80652.0,2594.0,3554.0,,-32797.0,,0.0,,,-478.0,-13317.0,6972.0,1112.0,113.0,8197.0,2588.0,33539.0,0.0,2.48471016595868,94172.9999999999,37901.0,2.48521147199282,94192.0,103.310699588477,50209.0,486.0,4.59956970740103,160341.0,34860.0,75.9736592636942,0.0295931795361137,75.9440660841581,0.0,0.0,0.0,77173.0,20.9172950149993,33539.0,0.0,99.9837845591583,33.5104558409889,53731.0,23.8161169008551,38187.0,62.3071863792611,80583.0,32.229668140846,118484.0,52.9372503926995,32811.0371658991,61981.0,49.4823319036451,23.8161169008551,1.35327132777421,1.53530379796043,104.3361,0.0,35.8341935341651,17.8658728604442,25.2127970817591,1.15010163688884
2023.0,117363.0,26853.0,36501.0,20811.0,,15690.0,,1103.0,2405.0,3077.0,2304.0,92784.0,27.0,42798.0,35738.0,4543.0,3453.0,6225.0,117363.0,74538.0,366.0,,74172.0,3501.0,,,-2274.0,5680.0,95.0,39324.0,13768.0,,13984.0,11572.0,190354.0,,190354.0,139533.0,37.0,37.0,0.0183867951290753,-2.0,2178.0,96218.0,4777.0,,34658.0,286.0,50821.0,5504.0,29.589606732719,695.0,55630.0,3940.0,51690.0,,51690.0,12584.0,13623.0,-362.0,0.0,39106.0,0.0,,,39106.0,365.9051373,107.630537123176,37029.0,51690.0,-838.0,50852.0,-2889.0,-10934.0,3250.0,-2446.0,-2475.0,29.0,-126249.0,121755.0,2933.0,2112.0,,-47224.0,,0.0,,,-697.0,-41347.0,-6945.0,8197.0,210.0,1462.0,2446.0,34583.0,0.0,2.35878852609094,92757.0000000001,39324.0,2.35947512969179,92784.0,75.3741007194245,52385.0,695.0,5.21503520451494,190354.0,36501.0,75.6886905449846,0.0441020414595963,75.644588503525,0.0,0.0,0.0,74538.0,18.1677295985375,34583.0,0.0,99.9816132048709,29.589606732719,56325.0,20.5438288662177,39106.0,67.1266930637245,78039.0,33.3205524739484,117363.0,52.1477306377519,35467.7575159605,68014.0,52.4645147441573,20.5438288662177,1.6219251382463,1.5745391612332,106.847,0.0,30.0036500790851,15.7704677419355,20.7506400355082,3.58724811279556
2024.0,118624.0,26076.0,39281.0,24328.0,,14953.0,,1450.0,2405.0,2140.0,2758.0,94918.0,27.0,46068.0,29840.0,6599.0,4134.0,8250.0,118624.0,72120.0,362.0,,71758.0,3443.0,,,-2370.0,5669.0,144.0,43061.0,14599.0,,14572.0,13890.0,202359.0,,202359.0,146512.0,42.0,42.0,0.0232260487549355,5.0,2511.0,103139.0,5118.0,,32300.0,97.0,55847.0,7273.0,31.1920893066283,673.0,62447.0,3887.0,58560.0,-958.0,57602.0,14043.0,14422.0,-135.0,0.0,43559.0,0.0,,,43559.0,361.8087518,60.6671558821794,39142.0,57602.0,-2298.0,55304.0,-5579.0,-10583.0,10807.0,-2134.0,-2148.0,14.0,-135253.0,141980.0,2670.0,3288.0,,-47793.0,,0.0,,,-590.0,-25137.0,2156.0,1462.0,26.0,3644.0,2134.0,37008.0,0.0,2.20364134599754,94891.0000000001,43061.0,2.20426836348436,94918.0,86.5898959881129,59233.0,673.0,5.15157455258267,202359.0,39281.0,80.1936162957912,0.0487005766978489,80.1449157190933,0.0,0.0,0.0,72120.0,18.2882896238863,37008.0,0.0,99.9767739512451,31.1920893066283,63120.0,21.5256054833242,43559.0,78.3888940354406,75563.0,36.7202252495279,118624.0,60.9951778113905,39292.4835943197,64419.0,60.39794786467,21.5256054833242,1.70588582411654,1.64481419855796,120.3287,0.0,32.2745114008545,19.5851980329056,22.1680307351077,1.87972344890628
