year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,gems & jewellery,brass,steel,others,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015,5852.57,1033.29,1253.41,570.18,,683.23,,54.93,32.63,242.83,0.0,4838.95,4047.43,187.35,,210.2,20.54,373.43,5852.57,3092.01,88.78,,3003.23,67.78,,,-19.67,,87.45,2692.78,1939.31,99.79,308.95,344.73,11903.21,33.5,11903.21,10749.85,7833.99,6987.0,13.83,15.38,817.78,73.5273930309555,-205.81,223.02,625.65,497.39,39.75,328.79,283.13,1153.36,70.58,10.2824364184115,80.66,1143.28,87.39,1055.89,,1055.89,232.82,241.0,-8.18,0.0,823.07,0.0,,,823.07,88.7786,24.8088254947939,507.83,1055.89,111.71,1167.6,-414.89,-244.88,-124.34,-206.5,-208.81,2.31,-135.0,135.24,76.4,,-6.06,-1004.05,,0.0,,,-80.66,-185.23,-620.56,788.16,,167.6,206.5,301.33,0.0,0.293941577106188,791.520000000001,2692.78,1.79700903898573,4838.95,14.0906273245723,1136.55,80.66,9.49666110849602,11903.21,1253.41,67.8714429157783,121.006539909238,5.18861771794741,58.3237147114071,0.0322735049369181,99.79,3092.01,2.53150200660158,301.33,0.0,26.4726069690445,10.2824364184115,1223.94,6.91468939891004,823.07,35.969162507635,3159.79,14.0633943720451,5852.57,31.0728123072345,830.927395751451,2674.13,26.6192541421276,6.91468939891004,2.03384325176803,1.89280435703636,9.2709,0.0,42.2828420110237,11.2553840382146,28.3439956207004,0.586734693877551
2016,8028.8,2834.28,714.84,60.48,,654.36,,76.84,80.37,1984.6,44.69,5178.22,4381.76,134.85,,111.66,34.41,515.54,8028.8,3534.69,88.78,,3445.91,1836.63,,,16.3,,1820.33,2657.48,1628.8,113.05,897.69,17.94,11084.05,21.33,11084.05,10163.71,7423.950000000001,5654.47,0.0,0.0,1769.48,73.5507328097582,-171.81,155.96,623.2,566.3,37.56,313.77,314.52,920.34,97.46,9.18256413495067,42.28,975.52,87.12,888.4,,888.4,190.83,186.93,20.53,0.0,697.57,0.0,,,697.57,88.778616,27.9994400111998,566.71,888.4,76.78,965.18,-195.74,-202.73,-150.61,-214.03,-215.39,1.36,-1075.02,1083.1,48.75,,-41.32,-504.76,,0.0,,,-42.28,-394.41,-88.66,167.6,,78.94,214.03,352.68,0.0,0.299704983668739,796.46,2657.48,1.9485452383461,5178.22,22.0122989593188,930.68,42.28,15.5056376252028,11084.05,714.84,63.9398869437205,138.520894827552,5.29486609193022,79.8758739757617,0.0319830027527166,113.05,3534.69,3.1818694430285,352.68,0.0,26.4492671902418,9.18256413495067,1017.8,6.29345771626797,697.57,17.3268395850554,5371.32,8.68834695097648,8028.8,20.5415676865902,654.242768347591,3184.97,19.7349696861677,6.29345771626797,1.3805363192507,2.27142974348528,7.8573,0.0,43.1191376172477,8.50956208323785,29.5539929259186,0.649350649350649
2017,8315.29,1626.46,806.66,110.0,,696.66,,147.83,511.6,213.26,44.22,6691.07,4806.49,115.36,374.53,772.74,53.64,568.31,8315.29,4312.01,88.78,,4223.23,107.19,,,-2.24,,109.43,3896.09,710.66,1867.09,1300.36,17.98,12896.52,102.35,12896.52,11701.31,8449.38,0.0,0.0,0.0,8449.38,72.1562871224175,-271.6,133.8,695.54,824.82,38.83,329.94,372.73,1195.21,64.94,9.77124061374696,37.13,1223.02,93.23,1129.79,-96.37,1033.42,271.56,300.0,-28.44,0.0,761.86,0.0,,,761.86,88.778616,30.2979550048565,1768.22,1033.42,83.09,1116.51,927.06,-275.35,-1020.35,-199.69,-204.4,4.71,-433.09,,38.66,,-431.23,-153.73,,0.0,,,-37.13,-3.55,594.14,78.94,,673.08,199.69,1568.53,0.0,0.483710591901111,1884.58,3896.09,1.71738075865804,6691.07,28.8324804740102,1166.92,37.13,15.9875536161456,12896.52,806.66,86.6320919339141,129.000107317021,3.51286881090433,45.8808841940112,0.432997604365481,1867.09,4312.01,12.1624283139948,1568.53,0.0,27.8437128775825,9.77124061374696,1260.15,5.90748512001687,761.86,26.4056842867487,4419.2,9.16215790429438,8315.29,27.9085502335709,812.403943024133,2910.95,17.6683263721559,5.90748512001687,1.55094049636272,1.92840229962361,8.5814,0.0,53.755797422332,9.49770849325489,33.3679038209737,0.563624539345328
2018,9348.36,2119.09,1141.78,190.61,,951.17,,41.17,733.75,263.06,59.21,7277.32,5749.2,192.99,,612.28,117.71,605.14,9348.36,5193.99,88.78,,5105.21,55.89,,,-48.05,,103.94,4098.48,786.32,1603.86,1665.35,42.95,15621.3,34.55,15621.3,13887.98,10240.21,0.0,0.0,0.0,10240.21,72.5566374117391,-982.83,162.72,762.26,901.42,39.83,283.45,404.01,1733.32,86.4,11.6489664752613,47.68,1772.04,109.67,1662.37,-91.65,1570.72,407.85,446.43,-38.58,0.0,1162.87,0.0,,,1162.87,88.778616,28.6295974614531,298.86,1570.72,154.07,1724.79,-975.77,-450.16,-180.42,-260.59,-263.6,3.01,-44.5,393.7,62.99,,-297.02,-325.07,,0.0,,,-47.68,-230.4,-206.63,671.81,1.26,466.44,260.59,38.27,0.0,0.372850422595694,1528.12,4098.48,1.77561437410943,7277.32,33.9429530201342,1710.05,47.68,13.6815323442344,15621.3,1141.78,102.538199100518,123.047514187987,3.59443115512732,24.1037462425966,0.308791507107253,1603.86,5193.99,0.244986012687804,38.27,0.0,27.4433625882609,11.6489664752613,1819.72,7.44413077016638,1162.87,32.5731254809634,5249.88,12.4392941649658,9348.36,33.2233210854198,1202.05630252368,3618.11,22.3887608562974,7.44413077016638,1.67102037148762,1.79984174016508,13.0983,0.0,71.8566531534627,16.0877737538963,46.4639153276328,0.398427539311517
2019,11385.06,2384.56,1352.21,306.88,,1045.33,,25.63,806.7,291.87,106.25,9085.26,6719.18,358.23,69.22,1001.0,90.98,846.65,11385.06,6181.72,88.78,,6092.94,34.09,,,-84.76,,118.85,5169.25,772.34,2287.63,2042.43,66.85,19069.97,,19069.97,17071.7,11822.04,0.0,0.0,0.0,11822.04,73.346628232766,-663.78,183.78,878.79,1050.51,42.11,276.43,652.9,1998.27,182.44,11.4353090225103,44.45,2136.26,138.89,1997.37,-70.0,1927.37,553.01,602.01,-49.0,0.0,1374.36,0.0,,,1374.36,88.778616,32.2987,1248.99,1927.37,252.06,2179.43,-308.66,-621.78,-911.28,-225.44,-226.47,1.03,-523.7,,83.95,,-131.09,-441.83,,0.0,,,-44.45,-328.94,-104.12,466.44,1.73,364.05,225.44,1023.55,0.0,0.4577,2365.965725,5169.25,1.7576,9085.26,44.3604,2041.82,44.45,14.1028168701607,19069.97,1352.21,104.2609,119.3226,5.2752,20.3369,0.37006367159949,2287.63,6181.72,5.36733932984687,1023.55,0.0,26.653371767234,11.4353090225103,2180.71,7.20693320440462,1374.36,32.8488161639432,6215.81,12.0716096357858,11385.06,32.3999539003279,1325.8773935,4092.22,22.2326472243971,7.20693320440462,1.67499951691076,1.84173013336094,15.4805,0.0,73.4795,16.3364,46.8993,0.4396
2020,13016.0,3654.0,2610.0,581.0,,2029.0,,14.0,909.0,343.0,163.0,9534.0,7741.0,214.0,74.0,356.0,370.0,779.0,13016.0,6825.0,89.0,,6736.0,947.0,,,-172.0,967.0,152.0,5244.0,510.0,2133.0,2483.0,118.0,20010.0,,20010.0,17592.0,12489.0,0.0,0.0,0.0,12489.0,72.5237381309345,-836.0,264.0,1040.0,1112.0,45.0,207.0,412.0,2418.0,146.0,12.8135932033983,149.0,2415.0,310.0,2105.0,,2105.0,588.0,552.0,36.0,0.0,1517.0,0.0,,,1517.0,88.778616,23.4674,-289.0,2105.0,320.0,2425.0,-2177.0,-537.0,243.0,-302.0,-310.0,8.0,,358.0,69.0,,-101.0,-268.0,,0.0,,,-149.0,-445.0,-314.0,364.0,5.0,50.0,302.0,-591.0,0.0,0.3419,1792.9236,5244.0,1.8181,9534.0,15.1275,2254.0,149.0,7.66666666666667,20010.0,2610.0,120.9757,131.8832,5.219,16.1265,0.312527472527473,2133.0,6825.0,-2.95352323838081,-591.0,0.0,27.4762618690655,12.8135932033983,2564.0,7.58120939530235,1517.0,29.0015440041173,7772.0,11.6548862937923,13016.0,24.7420491856678,1519.16182,6140.0,22.2271062271062,7.58120939530235,1.53733866011063,1.90710622710623,17.0449,0.0,54.7671,12.1731,33.0961,0.4285
2021,15755.0,3359.0,2789.0,854.0,,1935.0,,25.0,759.0,330.0,181.0,12501.0,7984.0,291.0,2753.0,512.0,108.0,853.0,15755.0,7553.0,89.0,,7464.0,1009.0,,,-105.0,971.0,143.0,7193.0,695.0,4094.0,2301.0,103.0,20602.0,,20602.0,18901.0,13143.0,0.0,0.0,0.0,13143.0,76.5411125133482,164.0,869.0,911.0,774.0,32.0,129.0,417.0,1701.0,181.0,9.13503543345306,181.0,1701.0,331.0,1370.0,-137.0,1233.0,356.0,351.0,5.0,0.0,877.0,0.0,,,877.0,88.778616,40.5931,4101.0,1233.0,486.0,1719.0,2645.0,-263.0,-2744.0,-104.0,-111.0,7.0,-2705.0,43.0,60.0,24.0,-30.0,-1260.0,,0.0,,,-181.0,-355.0,97.0,50.0,,147.0,104.0,3997.0,0.0,0.628,4517.204,7193.0,1.7379,12501.0,7.8122,1551.0,181.0,7.38687701685192,20602.0,2789.0,129.8254,139.2978,4.4735,13.9459,0.542036276976036,4094.0,7553.0,19.4010290263081,3997.0,0.0,23.4588874866518,9.13503543345306,1882.0,4.25686826521697,877.0,18.114926419061,8562.0,5.56648682957791,15755.0,14.0470521839412,974.44401,6937.0,11.6112802859791,4.25686826521697,1.30764836559822,2.0859261220707,9.8539,0.0,158.0491,18.3515,75.5529,0.2568
2022,20001.0,3758.0,3062.0,1138.0,,1924.0,,71.0,869.0,361.0,396.0,16379.0,12787.0,495.0,15.0,1049.0,733.0,1300.0,20001.0,9373.0,89.0,,9284.0,1069.0,,,-136.0,1026.0,179.0,9559.0,1055.0,5386.0,3008.0,110.0,27210.0,,27210.0,23949.0,20939.0,0.0,0.0,0.0,20939.0,75.9206174200662,-4468.0,169.0,1143.0,1285.0,38.0,175.0,481.0,3261.0,264.0,12.954796030871,195.0,3330.0,347.0,2983.0,-51.0,2932.0,752.0,779.0,-27.0,0.0,2180.0,0.0,,,2180.0,88.778616,30.6192,-1126.0,2932.0,292.0,3224.0,-3554.0,-796.0,1564.0,-167.0,-173.0,6.0,-668.0,2815.0,52.0,24.0,-169.0,-468.0,,0.0,,,-195.0,-355.0,-30.0,147.0,,117.0,167.0,-1293.0,0.0,0.3758,3592.2722,9559.0,1.7135,16379.0,16.0359,3178.0,195.0,8.88634879163945,27210.0,3062.0,129.1247,139.313,5.2718,15.4601,0.574629254240905,5386.0,9373.0,-4.75192943770673,-1293.0,0.0,24.0793825799338,12.954796030871,3525.0,8.01176038221242,2180.0,30.4347826086957,10442.0,10.8994550272486,20001.0,26.5451761823083,2166.61728,8162.0,23.2582951029553,8.01176038221242,1.36043197840108,2.13389523098261,24.4944,0.0,103.54,24.0817,65.2636,0.2957
2023,24944.0,4402.0,3586.0,1426.0,,2160.0,,127.0,1116.0,456.0,398.0,20686.0,14952.0,908.0,2143.0,792.0,705.0,1186.0,24944.0,11994.0,89.0,,11905.0,1429.0,,,-144.0,1359.0,214.0,11521.0,965.0,6280.0,4085.0,191.0,38270.0,,38270.0,33559.0,25085.0,0.0,0.0,0.0,25085.0,75.8975698980925,-1477.0,208.0,1362.0,1912.0,48.0,315.0,668.0,4711.0,358.0,13.2453619022733,240.0,4829.0,364.0,4465.0,,4465.0,1132.0,1140.0,-8.0,0.0,3333.0,0.0,,,3333.0,88.778616,26.7027,1810.0,4465.0,349.0,4814.0,-1862.0,-1142.0,-1653.0,-278.0,-288.0,10.0,-2082.0,260.0,135.0,,-15.0,-155.0,,0.0,,,-240.0,-666.0,2.0,117.0,,119.0,278.0,1532.0,0.0,0.4977,5734.0017,11521.0,1.7955,20686.0,19.6042,4705.0,240.0,10.6720580033463,38270.0,3586.0,126.279,132.2803,6.6906,12.6919,0.523595130898783,6280.0,11994.0,4.00313561536452,1532.0,0.0,24.1024301019075,13.2453619022733,5069.0,8.70917167494121,3333.0,35.0517768010132,13423.0,13.3619307248236,24944.0,29.3445300325556,3244.918131,11058.0,27.7888944472236,8.70917167494121,1.53423669018602,2.07970651992663,37.4494,0.0,67.16,18.663,45.242,0.3976
2024,32709.0,10169.0,4409.0,1719.0,,2690.0,,87.0,6178.0,517.0,543.0,22693.0,16874.0,937.0,1635.0,805.0,816.0,1626.0,32709.0,14457.0,89.0,,14322.0,4890.0,,3139.0,-153.0,1666.0,238.0,13362.0,943.0,7468.0,4813.0,138.0,47114.0,,47114.0,42092.0,33556.0,0.0,0.0,0.0,33556.0,78.4098144925075,-2149.0,254.0,1503.0,2177.0,55.0,389.0,772.0,5022.0,512.0,11.7459778409814,480.0,5054.0,447.0,4607.0,,4607.0,1063.0,1072.0,-9.0,0.0,3544.0,0.0,,,3544.0,88.778616,27.6242,2030.0,4607.0,509.0,5116.0,-1946.0,-1140.0,-4634.0,-520.0,-529.0,9.0,-393.0,892.0,209.0,,-4726.0,2757.0,,3139.0,3139.0,,-480.0,-888.0,153.0,119.0,,272.0,520.0,1510.0,0.0,0.4355,5819.151,13362.0,1.6983,22693.0,10.5979,5087.0,480.0,10.6858698117487,47114.0,4409.0,121.0016,123.2807,7.1468,9.4259,0.74337691083904,10747.0,14457.0,3.20499214670798,1510.0,0.0,21.5901855074925,11.7459778409814,5534.0,7.5221802436643,3544.0,26.2934821936217,19347.0,10.8349383961601,32709.0,29.7094614215769,3519.3828,11846.0,24.5140762260497,7.5221802436643,1.44039866703354,2.26250259389915,39.8202,0.0,95.5482,23.4975,62.986,0.2891
