year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,fabric,others,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015,1958.19,1522.32,555.64,163.71,4.16,387.77,,46.18,1012.81,71.6,,439.83,250.37,2.21,24.64,28.62,13.0,120.99,1958.19,1371.92,33.23,,1338.69,110.38,,75.0,-3.96,2.61,36.73,475.89,142.64,,213.95,119.3,1358.0,82.04,1358.0,1293.28,1.38,1.38,0.0,50.1502209131075,13.84,184.42,123.99,69.36,43.84,181.79,8.84,64.72,74.47,10.2496318114875,16.86,122.33,39.84,82.49,56.4,138.89,38.86,41.0,-2.2,0.0,100.03,0.0,,,100.03,3.32315,33.2200529527644,25.9,82.49,-42.84,39.65,-18.53,4.78,4.1,-111.66,-112.2,0.54,-2084.14,2044.19,25.8,0.07,,-34.23,-0.03,0.0,,,-7.04,-27.16,-4.23,32.85,,28.62,111.66,-85.76,0.0,0.398117211960747,189.46,475.89,0.924226186723823,439.83,9.23784104389087,99.35,16.86,2.44402850766683,1358.0,555.64,-15.9917894058981,65.2546109830283,0.769266825921502,82.0156672148479,0.164003731996035,225.0,1371.92,-6.31516936671576,-85.76,0.0,49.8497790868925,10.2496318114875,139.19,7.3659793814433,100.03,6.70242191189368,1482.3,5.10828877688069,1958.19,4.85250107762725,17.9188307293542,369.27,7.29124147180594,7.3659793814433,0.693497566630409,1.42733541314362,3.0102,0.0,48.7791508869842,3.55656820368535,36.466032401753,0.681036537610243
2016,2074.31,1635.32,590.31,173.94,0.38,415.99,,53.65,1079.12,26.38,51.61,447.56,270.1,2.03,6.6,25.17,14.73,128.93,2074.31,1433.23,33.23,,1400.0,96.92,,95.99,-8.57,,9.5,544.16,149.23,,391.38,3.55,1491.91,91.11,1491.91,1389.54,0.62,0.62,0.0,48.3447392939252,-15.8,134.32,132.34,75.42,45.34,273.52,7.34,102.37,88.76,12.8110945030196,47.22,143.91,34.54,109.37,-0.11,109.26,22.71,16.6,6.11,0.0,86.55,0.0,,,86.55,3.3231673,34.5546481760905,108.09,109.37,-10.4,98.97,27.97,-18.85,-89.2,-134.23,-138.48,4.25,-989.06,982.39,14.83,34.94,1.68,-21.07,300.01,0.0,,,-20.36,-75.17,-2.18,27.35,,25.17,134.23,-26.14,0.0,0.326117318435754,177.46,544.16,0.822478682740371,447.56,3.3138500635324,156.59,47.22,2.52733309616981,1491.91,590.31,-13.3599944616889,60.002890045609,0.488812522899268,73.8516970301972,0.276173398547337,395.82,1433.23,-1.75211641452903,-26.14,0.0,51.6552607060748,12.8110945030196,191.13,5.8012882814647,86.55,10.2336372251086,1530.15,4.17247180990305,2074.31,13.4503210846258,53.7313426688632,399.48,6.03880744890911,5.8012882814647,0.719231937367125,1.44729736329828,2.6046,0.0,60.8941872072487,3.67731916719577,29.5144359859781,0.567447432300369
2017,2177.41,1667.21,652.74,196.48,,456.26,,5.48,1043.45,68.16,50.08,520.31,298.28,3.1,69.22,31.56,21.98,96.17,2177.41,1540.83,33.23,,1507.6,105.14,,99.82,-10.11,2.35,13.08,531.44,156.45,190.87,175.32,8.8,1716.58,109.26,1716.58,1582.82,0.08,0.08,0.0,46.9544093488215,-29.61,135.2,166.05,84.71,47.97,334.27,8.61,133.76,59.05,11.2322175488471,44.86,147.95,37.61,110.34,24.7,135.04,28.17,31.58,-3.41,0.0,106.87,0.0,,,106.87,33.231673,31.0935605236156,64.17,110.34,18.77,129.11,-33.61,-31.33,-10.54,-67.51,-69.54,2.03,-921.72,939.28,17.21,2.08,18.67,-47.24,100.0,0.0,,,-33.0,-0.64,6.39,25.17,,31.56,67.51,-3.34,0.0,0.417789402378443,222.03,531.44,0.979056902002107,520.31,4.01025412394115,155.2,44.86,2.62980666115145,1716.58,652.74,-11.8886702232338,56.8118509836568,0.512763988082198,69.2132851949728,0.254239598138666,391.74,1540.83,-0.19457292989549,-3.34,0.0,53.0455906511785,11.2322175488471,192.81,6.22575120297335,106.87,9.42909044514785,1645.97,4.90812479046206,2177.41,16.2199481850694,76.0926429206161,469.13,6.93587222471006,6.22575120297335,0.788358646281591,1.41314096947749,3.2161,0.0,82.6000435309847,5.72908724518603,47.6517270888439,0.376435159043855
2018,2311.5,1723.42,762.27,217.55,,544.72,,9.59,1028.51,55.24,49.37,590.91,339.15,13.06,23.38,30.32,22.37,162.63,2311.5,1617.15,33.23,,1583.92,110.0,,99.89,-2.83,2.34,10.6,584.35,194.62,291.54,85.2,12.99,2066.29,180.98,2066.29,1852.33,998.79,0.0,0.0,46.3995857309477,-40.04,141.07,202.56,95.56,49.55,386.13,18.71,213.96,42.55,12.4140367518596,43.16,213.35,41.71,171.64,,171.64,54.91,61.0,-6.09,0.0,116.73,0.0,,,116.73,33.231673,32.7374174447734,102.88,171.64,47.22,218.86,-66.84,-49.14,-30.17,-129.58,-130.07,0.49,-965.7,1053.82,16.73,1.01,-7.35,-73.95,-102.38,0.0,,,-31.7,-39.9,-1.24,31.56,,30.32,129.58,-26.7,0.0,0.430837682895525,251.76,584.35,1.01122614871224,590.91,4.97683039851715,214.8,43.16,2.71070618022485,2066.29,762.27,-13.7490717735926,51.7654643189292,1.31234787097234,66.8268839634941,0.24204928423461,391.43,1617.15,-1.29217099245508,-26.7,0.0,53.6004142690523,12.4140367518596,256.51,5.64925542881203,116.73,12.4366731320383,1727.15,5.04996755353667,2311.5,20.2001746100258,117.144852598462,579.92,7.21825433633244,5.64925542881203,0.893917369673372,1.42936647806326,3.5128,0.0,98.5396265087679,7.11286182481526,46.2503391680636,0.332225913621262
2019,2553.4,1724.87,836.23,241.57,,594.66,,85.03,880.93,73.6,50.99,835.71,489.4,14.13,60.12,50.95,28.37,192.74,2553.4,1696.8,33.23,,1663.57,307.13,,299.56,-7.18,0.44,14.31,549.47,228.88,94.62,217.1,8.87,2531.68,229.85,2531.68,2282.4,1378.81,0.0,0.0,48.6771629905833,-146.46,148.79,252.46,117.34,55.68,463.23,12.55,249.28,36.85,11.3019812930544,50.05,236.08,46.47,189.61,-0.45,189.16,61.67,68.17,-3.88,0.0,127.49,0.0,,,127.49,33.231673,33.8841682739926,28.19,189.61,52.25,241.86,-135.62,-78.05,-45.72,-185.88,-192.99,7.11,-1246.99,1470.43,15.77,1.96,-103.16,38.16,,299.45,299.45,,-21.98,-45.92,20.63,30.32,,50.95,185.88,-157.69,0.0,0.630261888729139,346.31,549.47,1.5209383587821,835.71,4.77942057942058,239.66,50.05,3.02749243629145,2531.68,836.23,-6.16365053090527,54.7560138763656,1.79689338880983,62.7165577960807,0.291218764733616,494.14,1696.8,-6.22867029008406,-157.69,0.0,51.3228370094167,11.3019812930544,286.13,5.03578651330342,127.49,11.9594995833188,2003.93,4.99295057570298,2553.4,14.1505246437516,136.689822901248,965.97,7.51355492692126,5.03578651330342,0.991493694681601,1.50483262611975,3.8366,0.0,93.7939842568941,7.04727457567185,43.3404588823262,0.361261636793108
2020,5288.13,3848.73,3022.83,433.35,,2589.48,,23.14,926.85,126.61,46.93,1541.77,586.52,13.33,679.97,44.06,42.38,175.51,5288.13,2498.99,35.55,,2463.44,2362.73,,299.74,-106.96,2154.01,15.94,426.41,256.47,,163.2,6.74,3177.67,266.51,3177.67,2603.4,1681.92,0.0,0.0,50.4690543700258,-78.18,123.08,313.1,138.75,60.64,357.37,6.72,574.27,156.68,23.0027032385364,254.27,476.68,231.13,245.55,-0.03,245.52,90.94,60.04,33.59,0.0,154.58,0.0,,,154.58,35.5487461,22.9980221700934,368.52,245.55,314.92,560.47,-111.24,-80.71,-756.98,-104.98,-146.49,41.51,-2801.81,2277.96,18.99,14.66,-108.19,381.5,949.79,-100.0,,-100.0,-243.66,-52.01,-6.96,48.18,,41.22,104.98,263.54,0.0,2.24021481672569,955.250000000002,426.41,3.6156985061326,1541.77,1.96558776104141,499.82,254.27,1.05122352232841,3177.67,3022.83,3.23470061063202,57.0107834085327,1.45504880697292,55.2311316048736,0.119944457560855,299.74,2498.99,8.29349806619315,263.54,0.0,49.5309456299742,23.0027032385364,730.95,4.86457058158966,154.58,10.280723694495,4861.72,2.92315052769126,5288.13,5.79068560097272,216.041793743891,3730.85,6.18569902240505,4.86457058158966,0.60090618044564,2.11610690719051,4.3482,0.0,110.206522239087,6.81697805913589,23.655845133046,0.208681135225376
2021,5599.06,4391.86,3516.97,620.35,1.48,2895.14,,34.03,1114.61,165.9,46.06,1307.09,394.57,20.57,614.57,66.92,38.95,171.51,5599.06,2515.86,35.55,,2480.31,2409.47,,,-108.01,2505.97,11.51,673.73,219.59,299.93,447.5,6.64,2047.53,162.03,2047.53,1834.58,854.87,0.0,0.0,50.2864426894844,174.76,113.49,255.02,107.43,43.61,270.74,14.66,212.95,204.24,20.3752814366578,247.12,170.07,235.87,-65.8,-6.34,-72.14,-21.12,,-14.55,0.0,-51.02,0.0,,,-51.02,35.5487461,,324.46,-65.8,277.28,211.48,113.12,-0.14,-39.27,-80.75,-103.09,22.34,-603.91,701.15,22.84,4.81,-89.95,-262.34,,0.0,,,-172.82,-35.54,22.85,41.22,,64.07,80.75,243.71,0.0,1.35442981609844,912.520000000002,673.73,1.94007985394743,1307.09,0.708077047588216,181.32,247.12,0.582185801982957,2047.53,3516.97,-0.547010032837278,81.0337465377722,2.79999185358171,84.3807484241912,0.119215695626943,299.93,2515.86,11.9026339052419,243.71,0.0,49.7135573105156,20.3752814366578,417.19,-2.49178278218146,-51.02,3.68137769448951,4925.33,-0.911224384093044,5599.06,-0.457689381526614,-16.2098475187136,3541.67,-2.02793478174461,-2.49178278218146,0.365691741113687,2.22550539378185,-1.4352,0.0,0.0,10.6189632968448,64.596071334404,0.0798403193612774
2022,7689.62,6207.47,5324.51,842.77,1.29,4480.45,,44.82,1282.19,201.41,48.22,1598.28,822.45,16.33,441.74,74.38,67.34,176.04,7689.62,2720.04,35.55,,2684.49,4408.74,,497.38,-122.53,4015.34,18.55,560.84,314.18,,233.82,12.84,3880.73,310.21,3880.73,3230.95,2328.24,0.0,0.0,48.9822791072814,-427.37,160.47,337.94,242.48,64.15,520.76,4.28,649.78,278.97,23.9323529335975,309.51,619.24,283.08,336.16,-13.16,323.0,73.37,87.28,-13.82,0.0,249.63,0.0,,,249.63,35.5487461,24.209971660092,149.21,336.16,293.25,629.41,-402.03,-78.17,-5.86,-197.88,-254.89,57.01,-1237.32,1470.13,13.45,,-213.72,-135.91,,-300.0,,-300.0,-234.97,-42.64,7.44,64.07,,71.51,197.88,-48.67,0.0,1.38333571071963,775.829999999997,560.84,2.84979673347122,1598.28,2.04358502148557,645.67,309.51,0.72884265406582,3880.73,5324.51,3.35704965021215,52.9967382019308,1.60685908173345,51.2465476334521,0.18285760503522,497.38,2720.04,-1.25414548293749,-48.67,0.0,51.0177208927186,23.9323529335975,928.75,6.43255263829228,249.63,9.05722998886205,7128.78,3.24632426569844,7689.62,5.11877379574347,283.403470588235,5536.55,9.1774385670799,6.43255263829228,0.504671232128506,2.82702460257937,7.0219,0.0,181.774163687891,16.6821149688975,49.3125383580081,0.133187088686932
2023,8167.09,6095.37,5516.45,1176.14,1.55,4338.76,,41.54,1191.79,296.87,45.25,2217.06,1336.88,31.43,456.48,78.86,71.53,241.88,8167.09,3079.94,35.55,,3044.39,4042.54,,497.95,-154.03,3642.48,56.14,1044.61,643.65,,388.76,12.2,7715.19,615.12,7715.19,6559.84,4727.95,0.0,0.0,54.6402616137775,-512.35,262.05,580.08,406.42,134.34,954.82,6.53,1155.35,411.7,20.3112301835729,393.33,1173.72,463.21,710.51,,710.51,155.94,167.43,-11.4,0.0,554.57,0.0,,,554.57,35.5487461,14.1028353109355,662.84,710.51,409.91,1120.42,-270.73,-186.85,-143.0,-214.38,-494.96,280.58,-1561.05,1567.98,7.15,,-99.71,-515.2,,0.0,,,-355.71,-39.26,4.64,71.51,,76.15,214.38,448.46,0.0,0.842591972123568,880.18,1044.61,2.12238060137276,2217.06,2.80639666437851,1103.84,393.33,1.39857879614607,7715.19,5516.45,14.4663263051518,47.3064897944974,1.04632360620433,33.8864870955499,0.161675227439496,497.95,3079.94,5.8126889940494,448.46,0.0,45.3597383862225,20.3112301835729,1567.05,7.18802777378133,554.57,15.4979726162797,7122.48,6.79030107418922,8167.09,9.78833254624189,540.231776892655,5519.14,18.0058702442255,7.18802777378133,0.944668174343616,2.65170425397897,15.5997,0.0,88.1491310730334,15.8719991298532,31.4628729140742,0.159988364482583
2024,7402.74,4500.65,3289.55,915.31,0.95,2373.29,,161.41,1282.0,557.02,44.68,2944.31,1564.81,78.6,620.18,286.19,115.57,278.96,7402.74,4447.19,35.55,,4411.64,1452.81,,498.56,-55.34,853.95,155.64,1502.74,752.28,,704.87,45.59,11926.56,899.93,11926.56,9954.01,6711.69,0.0,0.0,54.8412953944809,-171.01,333.54,937.93,464.4,219.33,1447.26,10.87,1972.55,350.93,19.4815604834923,354.99,1968.49,638.52,1329.97,543.35,1873.32,437.5,339.41,98.09,0.0,1435.82,0.0,,,1435.82,35.5489821,7.92300816812623,1348.39,1329.97,585.11,1915.08,-272.48,-294.21,-498.54,-381.9,-724.09,342.19,-1759.24,1667.88,1.96,,-100.98,-642.47,,0.0,,,-307.59,-78.26,207.38,76.15,,283.53,381.9,966.49,0.0,0.917989805289005,1379.5,1502.74,1.95929435564369,2944.31,6.27710639736331,1684.96,354.99,3.62559012630907,11926.56,3289.55,8.78733575788218,41.2863086471825,1.56554716060278,34.0645200499031,0.112106746057623,498.56,4447.19,8.10367784172469,966.49,0.0,45.1587046055191,19.4815604834923,2323.48,12.0388443943602,1435.82,28.5586440677966,5900.0,19.3957912880906,7402.74,27.3773196138015,1022.47718200841,3734.76,32.2860053202134,12.0388443943602,1.61110075458546,1.66458820063906,40.3887,0.0,97.7612550044938,31.5631662915234,60.5039714135693,0.0810444604844939
