year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,sand,aggregates - rmc,gypsum,limestone,others,fly ash,slag,bauxite,iron,clinker,clay,chemicals,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,35214.95,24618.67,31874.14,10926.68,,20947.46,,2073.69,2685.77,1690.39,13.37,7804.27,2751.41,1203.19,2522.98,200.57,15.99,1110.13,35214.95,18857.68,274.4,,18574.63,7570.46,2813.21,1800.54,2792.01,,163.36,8786.81,1553.47,1898.08,4195.61,1139.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4082.93,2886.25,1336.17,4222.42,9.07,-148.56,-1879.42,-2567.88,-2579.93,12.05,-601.57,1263.21,58.24,26.14,-1.35,-2266.75,1.58,697.28,1008.25,-310.97,-549.48,-246.0,-63.24,129.51,,66.27,2567.88,1515.05,0.0,0.575050558735195,5052.86,8786.81,0.888180124527559,7804.27,6.27217097451822,3433.7,547.45,0.719303799255447,22927.19,31874.14,-150.51302342043,35.9508402886046,17.444033023623,203.907896732658,0.393165012875391,7414.18,18857.68,6.60809283649675,1515.05,0.0,84.4722358038643,19.9187514911335,4566.81,8.78751386454249,2014.73,12.9925904736391,26428.14,5.72123487325695,35214.95,9.78131580624108,2137.35542021654,21851.41,10.6838699140085,8.78751386454249,0.651064107715615,1.86740627691211,73.4231,0.0,39.1566141990736,4.185361262622,18.8542133349099,0.31304347826087
2016.0,38290.57,26123.13,23911.63,1224.09,,22687.54,,1415.56,3433.2,729.56,289.26,9721.0,2277.61,1414.89,2359.98,2235.2,628.65,804.67,38290.57,21631.83,274.43,,21332.2,5360.59,1761.53,906.36,2431.99,7.98,252.73,11298.15,1581.46,2338.75,6745.82,632.12,23708.79,3238.35,23708.79,19082.19,3550.88,257.75,305.04,321.39,1020.83,1118.0,527.87,0.0,0.0,0.0,0.0,0.0,0.0,16.7564434962729,-17.81,1857.62,1343.02,6783.29,4240.81,332.94,588.11,4626.6,480.66,21.5416307622616,511.66,4595.6,1297.04,3298.56,,3298.56,928.4,623.81,304.59,0.0,2370.16,0.0,,,2370.16,27.4431377,10.9996160596753,4354.4,3298.56,1370.23,4668.79,521.08,-835.47,-3756.7,-2059.46,-2076.97,17.51,-4718.52,2946.3,57.65,19.11,-1.78,-582.42,2.67,-194.7,706.91,-901.61,-538.8,-246.18,15.28,60.49,,75.77,2059.46,2294.94,0.0,0.658814938728907,7443.39,11298.15,0.860406349712121,9721.0,7.44678106555134,3810.22,511.66,0.991517098583409,23708.79,23911.63,-92.222139766589,34.0591302082521,17.7309948291359,144.012264803977,0.381362094654035,8249.56,21631.83,9.67970107289322,2294.94,0.0,83.2435565037271,21.5416307622616,5107.26,9.99696736948617,2370.16,14.1158888310126,26992.42,6.18993135907875,38290.57,11.6250422586411,2392.43485933256,20580.01,10.9568168758723,9.99696736948617,0.619180910600182,1.77010313043325,86.3667,0.0,37.3639377213672,4.09867531401241,18.5173500076362,0.294391075302138
2017.0,39281.09,24032.48,25674.12,2442.36,,23231.76,,878.39,2002.72,613.52,79.65,12468.35,2224.99,1276.17,5405.95,2217.74,376.51,966.99,39281.09,23941.01,274.51,,23645.56,7281.68,2484.4,1715.72,2773.56,37.26,270.73,8058.4,1713.8,1015.84,4610.39,718.37,23891.43,3270.99,23891.43,18922.48,3467.82,0.0,0.0,0.0,0.0,3467.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8449942092206,73.13,1900.58,1413.44,6693.73,3926.55,346.23,636.45,4968.95,659.95,23.5603310475765,571.39,5057.51,1267.87,3789.64,-13.69,3775.95,1148.23,806.66,341.57,0.0,2627.72,0.0,,,2627.72,27.4507906,10.4466990394715,4722.87,3775.95,1176.25,4952.2,501.33,-730.66,-2365.12,-1229.01,-1260.94,31.93,-3385.46,2228.6,45.2,13.75,-34.0,-2382.64,6.6,-210.49,2878.48,-3088.97,-547.04,-255.48,-24.89,75.77,,50.88,1229.01,3493.86,0.0,1.27114067308647,10243.36,8058.4,1.54724883351534,12468.35,7.60835856420308,4361.03,571.39,0.930564708741721,23891.43,25674.12,-101.097538750487,30.2522566104198,18.0808061284672,149.430601489374,0.2606585937686,6240.43,23941.01,14.623904889745,3493.86,0.0,83.1550057907794,23.5603310475765,5628.9,10.9985881966881,2627.72,13.9675024797671,31222.69,6.68952923658687,39281.09,9.76277867135776,2575.61724535547,26382.01,10.9758109620271,10.9985881966881,0.608217083589076,1.6407448975628,95.724,0.0,41.6818143830178,4.57892127615011,20.1728237222193,0.250629707139187
2018.0,54373.0,40613.34,41355.34,4144.5,,37210.84,,1473.88,2214.19,2869.14,19.34,10543.26,3101.5,1714.2,3948.71,199.32,601.39,978.14,54373.0,25923.02,274.61,,25631.12,17224.03,12339.88,1538.48,3174.05,34.84,136.78,11225.95,2224.16,2687.83,5386.89,927.07,29357.92,893.83,29357.92,23474.64,3978.36,0.0,0.0,0.0,0.0,3978.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9399916615346,-113.08,2207.29,1706.24,7879.82,5959.5,371.03,709.43,5883.28,599.55,22.0820480470006,1191.15,5291.68,1763.56,3528.12,-226.28,3301.84,1070.56,712.0,392.53,0.0,2231.28,0.0,,,2231.28,27.4613985,12.9226474935602,3617.68,3301.84,2421.98,5723.82,-1267.07,-839.07,1896.74,-1829.62,-1938.0,108.38,-3961.46,7619.47,64.47,13.68,-3.64,-5501.39,15.72,9612.17,15772.26,-6160.09,-1159.04,-274.79,13.03,50.88,,63.91,1829.62,1788.06,0.0,0.662906925471786,7441.76,11225.95,0.939186438564219,10543.26,3.77197666120975,4719.27,1191.15,0.709894296601116,29357.92,41355.34,-103.401901489016,32.1331633707141,18.0400315684217,153.575096428152,0.671970318273102,17419.5,25923.02,6.09055409920049,1788.06,0.0,84.0600083384654,22.0820480470006,6482.83,7.60026595889627,2231.28,10.9376423185363,43147.05,4.10365438728781,54373.0,7.36072654321911,2783.9776735396,37822.05,8.60733047306988,7.60026595889627,0.539935629816269,2.09747938318915,81.2527,0.0,48.5873084832873,4.18486214632825,19.3792045834921,0.265967551958661
2019.0,69270.95,51346.48,53012.38,6375.63,,46636.75,,1110.88,5549.66,3021.86,273.85,12622.77,3787.47,2353.19,1514.85,656.47,1083.8,3226.99,69270.95,33297.36,274.64,,27611.36,21434.0,14120.78,1917.72,5246.52,6.27,142.71,14539.59,2971.33,3586.82,6959.83,1021.61,39998.61,,39998.61,32919.57,5039.32,0.0,0.0,0.0,0.0,5039.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7121057456747,62.94,2862.15,2158.29,11145.32,8828.3,378.48,886.57,7079.04,496.86,18.9404081791842,1648.44,5927.46,2321.2,3606.26,-113.88,3492.38,1079.93,717.55,366.07,0.0,2412.45,0.0,,,2412.45,27.464272,13.0919190035027,6116.32,3492.38,3532.99,7025.37,-208.68,-700.37,-4000.34,-1579.26,-1726.3,147.04,-1789.17,4485.27,120.14,22.45,-3407.7,-1768.8,5.21,402.88,7100.47,-6697.59,-1574.91,-286.89,347.18,63.91,,423.48,1579.26,4537.06,0.0,0.607671880706402,8835.3,14539.59,0.868165470965825,12622.77,3.11859697653539,5254.7,1648.44,0.754514511515989,39998.61,53012.38,-91.8546339118484,31.4320178876216,18.558111769384,141.844763568854,0.619772558545182,20636.79,33297.36,11.3430441707849,4537.06,0.0,83.2878942543253,18.9404081791842,7575.9,6.03133458887696,2412.45,9.60089425879423,54731.36,3.48262872098621,69270.95,7.2315279625252,3286.59856831158,45448.19,7.24516898637009,6.03133458887696,0.577422570355972,2.08037363923146,87.8404,0.0,45.5263181861649,3.93853220971097,17.1346281233913,0.287568297470649
2020.0,71816.92,52988.52,55516.05,8740.76,,46775.29,,870.08,5838.93,3183.01,398.09,14714.15,3833.88,1848.28,4243.69,310.52,1200.79,3276.99,71816.92,38296.32,288.63,,37971.86,19257.3,11435.05,2712.58,4076.88,819.66,213.13,14263.3,3038.78,3953.21,6135.71,1135.6,40649.17,,40649.17,31996.87,4960.81,0.0,0.0,0.0,0.0,4960.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8782044012215,-362.74,2812.23,2336.17,10604.0,7703.19,497.96,1196.77,8652.3,726.58,23.0727466268069,1704.22,7674.66,2454.9,5219.76,,5219.76,-235.78,915.38,-1154.41,0.0,5455.54,0.0,,,5455.54,28.8625105,6.87776102425733,8258.79,5219.76,3493.97,8713.73,432.63,-887.57,-3950.86,-1500.89,-1573.26,72.37,-6138.17,3494.73,226.98,32.47,-10.88,-4591.35,2.74,-2834.33,1111.77,-3946.1,-1668.19,-379.98,-283.42,423.48,,140.06,1500.89,6757.9,0.0,0.762815757924183,10880.27,14263.3,1.03160909466954,14714.15,4.06284399901421,6923.98,1704.22,0.732205731495666,40649.17,55516.05,-106.789978658636,34.2170916404935,18.8630733419649,159.870143641094,0.47737067164678,18281.54,38296.32,16.6249396974157,6757.9,0.0,83.1217955987785,23.0727466268069,9378.88,13.4210366410925,5455.54,12.0304856584173,57553.62,7.59645498581671,71816.92,13.4429870361961,6477.34064324796,48183.79,14.245598532705,13.4210366410925,0.566011045864958,1.87529558975902,189.015,0.0,17.2168875486073,2.45494549991388,11.9308955600242,0.399477606207267
2021.0,80416.1,52204.59,56504.7,11038.58,,45466.12,,1527.79,6757.67,3119.37,552.78,22982.92,3722.05,2285.99,10812.01,1876.55,2082.35,2203.97,80416.1,43352.64,288.65,,43020.37,17475.7,5858.21,4826.35,5219.14,1242.92,329.08,19587.76,4228.79,4230.15,9910.36,1218.46,43188.34,,43188.34,32223.52,5174.94,0.0,0.0,0.0,0.0,5174.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.453970215109,426.44,2849.51,2181.99,10749.77,7552.02,377.0,998.56,10964.82,804.31,27.2507116504131,1274.71,10494.42,2434.35,8060.07,-164.0,7896.07,2554.0,1415.05,1138.95,0.0,5342.07,0.0,,,5342.07,28.8653398,19.9923488740525,11548.52,7896.07,2963.17,10859.24,1979.33,-1290.05,-8984.05,-1720.97,-1803.14,82.17,-15601.79,7162.51,172.37,1.12,,-2585.95,6.99,-1168.4,4014.89,-5183.29,-1250.47,-374.8,-21.48,140.06,,118.58,1720.97,9827.55,0.0,0.98331151698816,19260.87,19587.76,1.17333069222821,22982.92,7.194405001922,9334.78,1274.71,0.764331816645341,43188.34,56504.7,-126.551826226198,31.928923987354,17.4700920433617,175.950842256914,0.399481323398068,17318.57,43352.64,22.7551001034075,9827.55,0.0,82.546029784891,27.2507116504131,11769.13,12.3692413276361,5342.07,15.3461034774252,60828.34,6.64303541206301,80416.1,11.7624309272852,5771.27202176526,49065.3,12.3223637591621,12.3692413276361,0.537060862190531,1.85492971131631,185.0708,0.0,36.4039059646362,4.49033860613794,17.8359984552809,0.549181422825167
2022.0,80661.73,56440.02,58975.64,13398.73,,45576.91,,4626.53,6880.97,3645.82,939.71,18983.48,5162.54,2706.82,4843.54,259.86,1813.05,4197.67,80661.73,49270.64,288.67,,48932.26,12218.5,659.04,4643.96,5229.92,1099.74,585.84,19172.59,5343.26,4262.86,8807.53,758.94,50663.49,,50663.49,39727.07,6459.77,0.0,0.0,0.0,0.0,6459.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8949869027973,-358.37,3604.89,2359.08,12685.12,10951.95,420.26,1203.88,10936.42,611.8,22.793968595531,798.37,10749.85,2456.76,8293.09,,8293.09,1226.55,1213.53,13.02,0.0,7066.54,0.0,,,7066.54,28.8670847,15.5230977567081,8669.66,8293.09,2497.52,10790.61,-566.99,-1553.96,789.27,-5355.4,-5419.18,63.78,-7831.39,15540.13,279.29,6.92,,-9500.93,4.36,-7392.41,138.55,-7530.96,-892.61,-1065.0,-42.0,118.58,,76.58,5355.4,3314.26,0.0,0.720869741646799,13820.94,19172.59,0.99013643957337,18983.48,11.3875270864386,9091.46,798.37,0.859057909333413,50663.49,58975.64,-160.030847952244,28.2054891922639,15.8504386239576,204.086775768466,0.20075058899174,9891.11,49270.64,6.5417127797552,3314.26,0.0,83.1050130972027,22.793968595531,11548.22,13.9479929235037,7066.54,14.7854726867216,61489.14,8.76070969467181,80661.73,14.2531475057953,7225.51625225338,50694.18,14.3422939097199,13.9479929235037,0.628098231962047,1.63711553168378,244.7965,0.0,26.9699525932765,3.87201672235774,17.3373484441758,0.575570079443818
2023.0,88414.51,62700.55,73090.4,16528.33,,56562.07,,3998.1,3629.55,3837.9,930.52,19439.68,6266.13,3242.17,5803.46,1071.05,1416.02,1640.85,88414.51,53408.08,288.69,,53039.21,12503.59,668.1,3866.57,6257.59,1109.36,601.97,22502.84,6751.74,3148.55,11051.85,1550.7,61237.28,,61237.28,50951.61,8493.25,0.0,0.0,0.0,0.0,8493.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1270108665832,-491.62,4239.42,2620.83,15178.27,17725.57,532.78,1463.32,10285.67,504.54,17.6203286625402,755.6,10034.61,2772.66,7261.95,,7261.95,2310.46,2046.0,264.46,0.0,4951.49,0.0,,,4951.49,28.8686345,22.1554,9757.09,7261.95,2998.61,10260.56,620.18,-1123.65,-7121.59,-6011.16,-6104.08,92.92,-7794.18,7193.15,289.7,5.9,-805.0,-2378.83,4.7,-245.9,84.87,-330.77,-705.1,-1091.27,256.67,77.46,,334.13,6011.16,3745.93,0.0,0.5854,13173.162536,22502.84,0.8639,19439.68,10.6108,8017.55,755.6,0.837829318214157,61237.28,73090.4,-192.6035,30.0442,15.639,238.2867,0.163839254285119,8750.34,53408.08,6.11707443570322,3745.93,0.0,84.8729891334168,17.6203286625402,10790.21,8.0857445007355,4951.49,12.1640826275529,65911.67,5.60031379464751,88414.51,8.93128507607161,5122.6707384,57356.48,9.27105037290238,8.0857445007355,0.69261572563146,1.65545194659684,171.5158,0.0,44.4274,4.1251,21.0989,0.4987
2024.0,96630.99,69156.36,79347.7,19417.64,,59930.06,,6764.59,3754.33,3958.61,1173.79,21036.06,8035.82,3496.54,5482.99,770.5,1351.64,1898.57,96630.99,59095.23,288.69,,58684.58,12574.7,672.48,3801.09,6425.02,1031.53,644.58,24961.06,8115.97,3064.38,11554.03,2226.68,68640.63,,68640.63,56020.57,9543.46,0.0,0.0,0.0,0.0,9543.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2986557669998,-56.85,4788.06,2910.46,17298.66,17602.38,573.11,1756.26,12620.06,662.15,19.3503614404472,866.8,12415.41,3027.43,9387.98,-72.0,9315.98,2411.11,2226.19,184.92,0.0,6904.87,0.0,,,6904.87,28.8692005,29.2667,10898.79,9315.98,3351.57,12667.55,-121.45,-1647.31,-7830.0,-8877.77,-8998.64,120.87,-7750.12,7672.51,156.54,5.99,962.85,-2860.52,1.87,-629.08,439.63,-1068.71,-835.51,-1094.43,208.27,334.13,,542.4,8877.77,2021.02,0.0,0.5208,12999.720048,24961.06,0.8428,21036.06,11.7476,10254.78,866.8,0.865061369138614,68640.63,79347.7,-193.6691,33.2154,15.6502,242.5347,0.136852500616378,8087.33,59095.23,2.94434943269023,2021.02,0.0,83.7013442330002,19.3503614404472,13282.21,10.0594502119226,6904.87,14.3083438200651,71669.93,7.14560618700067,96630.99,11.2546971206026,7109.92305918,63172.94,11.6843102226694,10.0594502119226,0.710337646338923,1.635174107961,239.1794,0.0,40.7437,4.7705,21.7318,0.7183
