year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,others,tubes,circuit boards,hot rolled bars,edible oils & fats,hardware,consumer products,bearing,forging & casting,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,53242.6,13496.3,9453.8,5415.4,,4038.4,,361.2,5579.7,2810.8,597.0,39855.5,479.4,8144.2,5188.8,15667.5,2706.0,7669.6,53242.6,34621.6,493.7,,34046.4,1255.7,114.3,948.9,-109.2,28.1,273.6,17365.3,5728.8,4970.4,2551.1,4115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7703.6,10557.0,-702.7,9854.3,146.4,-2297.1,-1495.0,-829.4,-873.9,44.5,-55099.0,56110.6,,22.4,-342.5,-1836.1,0.5,0.0,,,-25.3,-2923.9,4372.5,10554.9,15.1,14942.5,829.4,6874.2,0.0,2.26751625367831,39376.1,17365.3,2.29512303271467,39855.5,30.0906585836319,10919.9,362.9,4.35907254225814,41209.8,9453.8,-717.700457397282,3.13407546711963,73.9348641106528,794.769396975054,0.176265683850544,6102.6,34621.6,16.6809836495203,6874.2,0.0,93.8230712112168,28.3871797485064,11698.3,19.8814359691141,8193.1,30.4367942961148,35877.3,15.3882417462708,53242.6,55.2751663714517,6533.13773894099,11819.3,23.6647064260462,19.8814359691141,0.774000518381897,1.53784342722462,12.4465,0.0,18.9149560117302,4.48673947093378,12.4298000564185,1.91143676330041
2016.0,58499.5,13592.4,10176.0,6108.5,,4067.5,,325.1,5781.1,2306.9,758.6,45260.3,526.2,8398.0,20419.5,8408.8,1954.2,5553.6,58499.5,41225.7,494.1,,40508.7,2061.9,120.1,1026.4,-353.2,46.4,1222.2,15211.9,4362.3,5549.5,4021.2,1278.9,44680.8,,44680.8,35371.9,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82599237256271,-53.1,,21267.1,222.2,,4041.2,752.0,9308.9,2710.6,26.9008164580759,549.9,11469.6,875.4,10594.2,,10594.2,2393.7,2452.3,-58.6,0.0,8200.5,0.0,,,8200.5,247.071329,18.0757191876772,6686.7,10594.2,-746.5,9847.7,-621.1,-2539.9,-9805.0,-988.4,-1058.3,69.9,-89706.2,79327.5,1876.2,6.6,-320.7,-3489.7,0.4,0.0,,,-89.3,-2963.6,-6608.0,14919.8,31.3,8343.1,988.4,5698.3,0.0,2.94073061221807,44734.1000000001,15211.9,2.97532195189293,45260.3,20.26568466994,11144.1,549.9,4.39080188679245,44680.8,10176.0,-635.799580560354,4.10740183703067,67.5670869814327,707.474069378817,0.165258564439173,6812.9,41225.7,12.7533526704983,5698.3,0.0,94.1740076274373,26.9008164580759,12019.5,18.3535209754525,8200.5,25.7443240096471,43287.6,14.0180685305003,58499.5,24.3665662538708,6527.99803194201,26790.8,19.8917180302578,18.3535209754525,0.763780887016128,1.41900562028055,12.4476,0.0,16.9716451364118,3.3942954505546,11.4463760971754,1.06505724682702
2017.0,62921.7,14290.7,11050.9,6688.7,,4362.2,,694.1,5999.4,2234.3,904.6,48727.1,355.9,8129.9,29146.7,3516.6,2203.7,5374.3,62921.7,46705.6,486.1,,45864.0,2376.2,116.1,1030.2,-96.1,42.8,1283.2,13839.9,3818.6,5018.6,3696.6,1306.1,46047.8,,46047.8,36770.0,2186.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.10534705241076,164.0,,21854.4,273.7,,3827.4,1002.2,9277.8,2925.0,26.5002888303024,468.0,11734.8,1047.7,10687.1,,10687.1,2525.4,2430.4,95.0,0.0,8161.7,0.0,,,8161.7,243.0900565,5.95586703750444,7370.7,10687.1,-836.5,9850.6,-122.6,-2357.3,-7890.8,-1605.4,-1686.7,81.3,-81270.4,73445.0,1695.5,31.1,-99.5,-4367.6,,0.0,,,-89.2,-729.1,-4887.7,8343.1,-93.2,3362.2,1605.4,5765.3,0.0,3.49505415501557,48371.2,13839.9,3.52076965874031,48727.1,23.8356837606838,11155.1,468.0,4.1668823353754,46047.8,11050.9,-566.0814078723,3.49600306637885,65.5045789375388,635.081989876218,0.135099431331575,6309.9,46705.6,12.5202506960159,5765.3,0.0,94.8946529475892,26.5002888303024,12202.8,17.7244081150457,8161.7,22.7275690785587,49081.8,12.9712007145389,62921.7,16.8364461604835,6285.29789840088,37331.5,17.474778185057,17.7244081150457,0.731827016752567,1.34719819464904,12.5926,0.0,15.3468108254054,2.70238505418543,10.4934209771528,0.388085766954497
2018.0,58219.3,15657.7,11360.7,6993.7,,4367.0,,1290.6,5841.6,2988.3,764.5,42922.2,294.3,9502.0,24841.2,2322.0,1253.5,4709.2,58219.3,42262.6,904.8,,41180.6,920.8,53.9,18.5,-405.7,229.6,1024.5,15035.9,4176.2,4647.7,4522.5,1689.5,44710.0,,44710.0,35791.2,1469.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41601431447104,57.7,,21756.2,259.6,,3681.1,704.7,8918.8,2514.6,25.5723551778126,384.3,11049.1,1014.8,10034.3,,10034.3,2311.5,2434.5,-123.0,0.0,7722.8,0.0,,,7722.8,452.3784491,5.85799059206711,6470.9,10034.3,-241.8,9792.5,-705.9,-2615.7,5002.3,-1542.1,-1623.7,81.6,-77903.2,82976.4,1387.2,60.9,23.1,-12918.4,2.4,0.0,,,-127.2,-452.2,-1445.2,3362.2,5.2,1922.2,1542.1,4928.8,0.0,2.83507472116734,42627.9,15035.9,2.85464787608324,42922.2,27.1105906843612,10418.6,384.3,3.93549693240733,44710.0,11360.7,-880.688963910215,2.65402594497875,71.9709628718408,955.313952727035,0.137303431402706,5802.8,42262.6,11.0239320062626,4928.8,0.0,96.583985685529,25.5723551778126,11433.4,17.2730932677253,7722.8,24.1264004223845,43183.4,13.2650169273763,58219.3,19.0181940506502,6083.23562181716,31986.4,18.2733669958782,17.2730932677253,0.767958391804779,1.37756077477486,12.803,0.0,16.4873467156135,3.02546678895769,11.4409344551927,0.3553028957186
2019.0,66607.1,19257.3,11922.4,7521.4,,4401.0,,2112.7,8250.3,3299.3,813.4,47730.4,340.3,9046.3,21998.8,10390.2,1839.3,4115.5,66607.1,49392.0,1206.8,,47923.5,1070.5,15.2,6.8,-380.6,311.7,1117.4,16144.6,4765.5,5052.2,4679.4,1647.5,48123.8,,48123.8,39362.7,1142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25813422880155,-55.3,,23808.5,230.4,,3661.4,1653.2,8761.1,2568.6,23.5428208079994,524.9,10804.8,934.3,9870.5,,9870.5,2256.5,2272.5,-16.0,0.0,7614.0,0.0,,,7614.0,603.3935388,7.92487522983977,10210.1,9870.5,8.6,9879.1,2709.9,-2378.9,-370.6,-1766.5,-1868.8,102.3,-92439.7,95397.9,1960.4,35.3,-3558.0,-1395.1,0.4,0.0,,,-435.7,-452.4,8444.4,1922.2,3.0,10389.9,1766.5,8443.6,0.0,2.93535299728702,47390.1,16144.6,2.95643125255503,47730.4,19.8045341969899,10395.4,524.9,4.03641884184392,48123.8,11922.4,-1428.91846631705,2.4065950735395,70.3407617436695,1501.66582313426,0.10382045675413,5127.9,49392.0,17.5455803573284,8443.6,0.0,97.7418657711984,23.5428208079994,11329.7,15.8216932162464,7614.0,20.6002477086946,50462.5,11.4312137895209,66607.1,21.1673905037788,6037.51129122132,28522.7,15.4154518950437,15.8216932162464,0.722502556033816,1.34854024943311,12.6185,0.0,20.1886119586322,3.12874437974122,13.1030698076736,0.392541707556428
2020.0,64873.1,19593.1,15042.1,8402.7,,6639.4,,1873.5,7735.0,2166.7,745.2,45713.3,174.1,9257.0,18963.5,10444.0,1587.6,5287.1,64873.1,46453.7,1142.7,,45156.0,1975.6,,25.1,-433.3,1005.1,1378.7,16443.8,4542.6,5001.9,4793.3,2106.0,50407.0,,50407.0,40476.3,798.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.90092645862678,159.9,,26171.8,222.7,,3790.4,541.4,9930.7,2753.3,25.163171781697,535.2,12148.8,1141.1,11007.7,,11007.7,2327.0,2206.7,120.3,0.0,8680.7,0.0,,,8680.7,571.335739,6.58184247814116,9068.1,11007.7,-136.8,10870.9,-1212.4,-590.4,3202.7,-1783.6,-1832.6,49.0,-118022.9,120977.8,2270.7,110.1,597.8,-12233.0,0.5,0.0,,,-255.8,-571.3,37.8,10389.9,16.3,10444.0,1783.6,7284.5,0.0,2.76938420559725,45539.2000000001,16443.8,2.77997178267797,45713.3,21.5674514200299,11542.9,535.2,3.35106135446513,50407.0,15042.1,-1704.70262839447,1.86240006348325,66.2676265201262,1772.83265497808,0.108622133436088,5045.9,46453.7,14.4513658817228,7284.5,0.0,98.0990735413732,25.163171781697,12684.0,17.2212192751007,8680.7,23.8345381824639,48429.3,13.3810469979082,64873.1,24.6816673866873,6931.50074220773,28083.6,18.6867784482183,17.2212192751007,0.777009268864907,1.39651093454343,15.1933,0.0,12.9399143043315,2.42614609049498,8.43025149795017,0.508646998982706
2021.0,65688.9,20226.3,16428.3,9140.2,,7288.1,,1848.0,8206.7,2336.5,630.1,45379.5,91.0,8046.2,17495.2,9783.2,1891.2,8072.7,65688.9,45241.6,1095.8,,43838.7,2314.9,,14.1,83.1,1218.2,999.5,18132.4,4123.9,5801.1,5211.9,2995.5,50299.4,,50299.4,38553.9,587.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23739050565215,34.5,,26467.3,83.9,,2860.7,484.4,11745.5,2691.2,28.7015352071794,402.6,14034.1,1349.3,12684.8,,12684.8,2623.9,2243.0,380.9,0.0,10060.9,0.0,,,10060.9,547.9138555,5.44582223747052,12727.7,12684.8,-693.5,11991.3,3012.3,-2275.9,-1275.0,-1549.8,-1616.4,66.6,-116830.8,118605.9,1912.8,4.5,-154.6,-12105.7,0.6,0.0,,,-225.7,-547.8,-653.0,10444.0,-7.8,9783.2,1549.8,11177.9,0.0,2.4976561293596,45288.5,18132.4,2.50267477002493,45379.5,32.5072031793343,13087.4,402.6,3.06175319418321,50299.4,16428.3,-2477.44674340084,0.961855409806081,62.7807488757321,2541.18934768638,0.128536568114302,5815.2,45241.6,22.2227302910174,11177.9,0.0,98.7626094943479,28.7015352071794,14436.7,20.0020278571911,10060.9,27.5196871090177,47556.5,15.3159818477703,65688.9,30.2815846150505,8245.70577226287,27230.1,22.2381613382374,20.0020278571911,0.765721453700701,1.45195793252228,18.3627,0.0,22.5565957076029,5.05046634545839,15.4448163361433,0.241429261226461
2022.0,80329.5,28610.6,17830.8,9793.1,,8037.7,,1584.5,16557.2,1577.6,800.3,51772.2,87.5,9295.4,24073.7,4898.1,5369.6,8047.9,80329.5,54350.7,1096.4,,52728.5,2805.1,,5.7,-53.3,1183.4,1669.3,23173.7,4685.1,7673.4,8613.1,2202.1,59574.4,,59574.4,47266.8,488.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.809743782564323,-6.4,,31542.4,162.4,,2964.1,113.7,12307.6,4809.7,28.7326435515926,367.4,16749.9,1485.7,15264.2,,15264.2,3128.9,3194.1,-65.2,0.0,12135.3,0.0,,,12135.3,548.2070115,27.104397913525,7240.5,15264.2,-2131.5,13132.7,-3802.6,-2089.6,-12611.1,-1549.6,-1585.5,35.9,-100600.6,93941.0,1207.7,2853.9,-8140.5,494.7,0.6,0.0,,,-357.9,-548.1,-4875.9,9783.2,-9.2,4898.1,1549.6,5690.9,0.0,2.23031712674282,51684.7000000001,23173.7,2.23409295882833,51772.2,42.5465432770822,15631.6,367.4,3.34109518361487,59574.4,17830.8,-3278.92123656311,0.546816249932857,53.1241942847935,3332.59224709784,0.141287968692216,7679.1,54350.7,9.55259306010635,5690.9,0.0,99.1902562174357,28.7326435515926,17117.3,20.3699911371327,12135.3,27.3491054276206,57155.8,15.1069034414505,80329.5,25.21355319113,8603.5955418561,34122.9,22.3277713074533,20.3699911371327,0.74162543025912,1.47798464417202,22.1366,0.0,26.7430409367292,6.02944733757053,19.1219059080579,1.01351351351351
2023.0,85240.8,31076.7,18046.4,9221.7,,8824.7,,603.8,19372.8,1780.8,680.9,53977.8,91.3,9961.7,29712.6,4527.0,2139.8,7545.4,85240.8,62762.3,1097.6,,61101.5,3635.7,,,186.3,1420.5,2028.9,18842.8,5300.2,5180.7,5648.0,2713.9,67753.4,,67753.4,56097.4,378.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553034976842491,-3.5,,37201.6,249.5,,3500.7,1224.3,11656.0,2833.9,21.3862330156125,628.9,13861.0,1592.1,12268.9,,12268.9,3092.2,2740.5,351.7,0.0,9176.7,0.0,,,9176.7,548.7917741,5.9804,11191.6,12268.9,825.7,13094.6,277.3,-2180.3,-4761.6,-1188.0,-1217.9,29.9,-77956.8,72522.5,1413.0,181.7,-3319.3,-6803.6,1.2,0.0,,,-509.7,-3289.7,-373.6,4898.1,2.5,4527.0,1188.0,10003.6,0.0,2.8598,53886.63944,18842.8,2.8646,53977.8,20.5085,12897.8,628.9,3.75439976948311,67753.4,18046.4,-4811.051,0.4816,51.8708,4863.4034,0.0825447760837318,5180.7,62762.3,14.7647202944797,10003.6,0.0,99.4469650231575,21.3862330156125,14489.9,13.5442649372578,9176.7,19.4249826802012,66398.0,10.7656192809077,85240.8,18.4870225004543,7527.4348996,40717.4,14.6213570885707,13.5442649372578,0.794847068539948,1.35815290389294,16.7214,0.0,21.8463,3.2231,13.8807,0.2737
2024.0,81623.5,30636.0,16444.2,8584.7,,7859.5,,669.7,20680.6,1364.7,485.2,50563.8,72.9,8515.3,30143.7,3790.6,2118.2,5923.1,81623.5,57781.9,1045.0,,56098.5,5396.2,,,423.7,1437.3,3535.2,18445.4,5839.4,4175.0,5101.4,3329.6,66792.4,,66792.4,55241.1,264.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.422353441409502,17.9,,38289.5,293.5,,3404.2,94.0,11551.3,3177.7,22.051910097556,819.7,13909.3,1491.8,12417.5,,12417.5,3298.9,3148.5,150.4,0.0,9118.6,0.0,,,9118.6,522.5138246,5.73,14215.9,12417.5,-163.7,12253.8,2983.0,-1020.9,2237.0,-372.8,-750.8,378.0,-94332.4,94479.9,1944.1,521.8,-1275.3,-17158.7,1.3,0.0,,,-634.0,-522.4,-705.8,4527.0,-30.6,3790.6,372.8,13843.1,0.0,2.7373,50490.59342,18445.4,2.7413,50563.8,16.1488,13237.2,819.7,4.06176037751912,66792.4,16444.2,-7155.6485,0.4487,50.4856,7206.5828,0.0722544603067743,4175.0,57781.9,20.7255615908397,13843.1,0.0,99.5776465585905,22.051910097556,14729.0,13.6521520412502,9118.6,20.9521970429627,63178.1,11.1715376086544,81623.5,19.7820239099464,7387.0429325,37342.2,15.7810663893018,13.6521520412502,0.818298651736326,1.41261363852694,17.4519,0.0,27.507,4.3894,17.0555,0.2083
