year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,683.1223153,488.6209226,22.3748837,8.390581,,13.9843027,,2.104828,469.6946919,2.382394,0.454706,194.5013927,,8.9543519,164.2353079,13.0333991,1.8361577,6.4421761,683.1223153,661.8663112,0.1408759,,489.6280014,2.9897726,,,,,0.8981801,18.2662315,8.3527923,0.0265389,9.8346648,0.0522355,78.8357088,,78.8357088,161.0360726,,0.0,,2.0721209,97.8843024,18.3237453,0.9177042,39.2928127,2.5453871,-82.2003638,16.1466989,-83.7864793828048,0.7869576,-66.8406225,5.0146664,-71.8552889,,-71.8552889,,,,0.0,-71.8552889,0.0,,,-71.8552889,,0.0,-60.1835761,-71.8552889,14.6100069,-57.245282,-2.3149116,-0.6233825,-435.4316994,-14.9422447,-15.0186108,0.0763661,-893.0147297,470.9193512,1.6059238,,,477.1619691,157.4143113,0.0,,,-0.6631547,,-18.4533064,28.7863093,-0.2074002,10.1256027,14.9422447,-75.1258208,0.0,10.6481401322435,194.5013927,18.2662315,10.6481401322435,194.5013927,-90.3077005673495,-71.0683313,0.7869576,3.52340194733616,78.8357088,22.3748837,8.5571853288482,0.0,25.8143566757657,17.2571713469175,4.00970702858157e-05,0.0265389,661.8663112,-95.2941527938669,-75.1258208,0.0,100.0,-83.7864793828048,-66.0536649,-91.1456115429763,-71.8552889,-10.6892804370244,664.8560838,-10.5186563651407,683.1223153,-48.5213717511063,-87.2150302,179.7455988,-10.8564656765386,-91.1456115429763,0.115404967799037,1.03211525309615,-0.3661,0.0,0.0,0.0,0.194780778923896,
2016.0,1001.5987583,736.1901176,51.5275666,24.9436206,,26.583946,,1.2796286,698.2512302,7.8066232,2.2686896,265.4086407,,8.6565709,48.3869935,182.9911009,8.7494934,16.624482,1001.5987583,557.7123766,0.1687393,,521.1047237,5.8793019,,,,,1.4630403,438.0070798,13.5340335,303.8762304,120.0001661,0.5966498,134.0154495,,134.0154495,306.5180711,,0.0,,5.2326164,167.9883897,30.5815003,1.5352342,77.1096994,24.0706311,-172.5026216,20.9021156,-113.121663633266,3.6423918,-155.2428978,21.8321843,-177.0750821,-103.7280908,-280.8031729,,,,0.0,-280.8031729,0.0,,,-280.8031729,,0.0,-66.2280583,-280.8031729,141.5468501,-139.2563228,74.9493331,-1.9210686,-393.7912592,-34.537558,-38.3847422,3.8471842,-494.7657846,123.1217438,12.3903396,,,463.2786341,161.6513922,0.0,,,-2.2224496,,3.2593166,10.1256027,,13.3849193,34.537558,-100.7656163,0.0,0.605946006217957,265.4086407,438.0070798,0.605946006217957,265.4086407,-76.0930718930347,-173.4326903,3.6423918,2.60084957126619,134.0154495,51.5275666,6.415165445046,0.0,23.9822604258772,17.5670949808312,0.544861909381553,303.8762304,557.7123766,-75.1895521568206,-100.7656163,0.0,100.0,-113.121663633266,-151.600506,-209.530448875598,-280.8031729,-30.7727556875203,563.5916785,-28.0354953091798,1001.5987583,59.7113109308463,-194.3348059,-325.4572758,-50.3491019173484,-209.530448875598,0.133801533188263,1.79590556050787,-1.405,0.0,0.0,0.0,-0.798505704196001,
2017.0,439.85,240.235,52.55800000000001,39.835,,12.723,,0.683,216.566,8.309,1.954,199.615,,13.903,34.193,84.147,12.98,54.392,439.85,384.072,131.38,,194.08,9.328,,,,,5.709,46.45,25.819,,18.548,2.083,245.116,,245.116,339.474,,0.0,,11.675,186.587,22.086,1.741,80.404,36.981,-94.358,67.263,-11.0539499665465,14.678,-41.773,17.929,-59.702,-525.562,-585.264,,,,0.0,-585.264,0.0,,,-585.264,,0.0,-77.748,-585.264,537.523,-47.741,-27.783,-2.224,97.322,-4.676,-5.299,0.623,-297.85,427.465,11.882,,-39.499,-5.912,0.001,0.0,,,-3.865,,13.662,13.385,,27.047,4.676,-82.424,0.0,4.29741657696448,199.615,46.45,4.29741657696448,199.615,-38.8735522550756,-45.024,14.678,4.66372388599262,245.116,52.55800000000001,-13.1036583566181,0.0,16.7966256354134,29.9002839920315,0.0,0.0,384.072,-33.6265278480393,-82.424,0.0,100.0,-11.0539499665465,-27.095,-238.770214918651,-585.264,-11.4448398576512,393.4,-133.059906786404,439.85,-133.076157292185,-112.287,84.378,-152.383928013497,-238.770214918651,0.557271797203592,1.14522797808744,-3.2353,0.0,0.0,0.0,-1.74323675954973,
2018.0,1512.662,473.766,46.668,42.47,,4.198,,1.286,417.591,5.021,45.67,1038.896,,19.049,819.6629999999999,146.648,30.793,22.743,1512.662,1419.145,174.405,,1172.306,8.242,,,,,5.71,85.275,52.049,,31.495,1.731,371.03,,371.03,423.961,,0.0,,44.292,194.914,80.151,2.153,93.744,8.707,-52.931,17.777,-9.47470554941649,24.13,-59.284,12.509,-71.793,-6.7,-78.493,,,,0.0,-78.493,0.0,,,-78.493,,0.0,-61.668,-78.493,13.844,-64.649,6.420999999999999,-3.44,-895.263,-5.031,-5.254,0.223,-1207.244,331.275,6.167,,-20.43,968.986,969.959,0.0,,,-0.003,,12.055,27.047,,39.102,5.031,-66.699,0.0,12.1828906479038,1038.896,85.275,12.1828906479038,1038.896,-2.2529216742644,-47.663,24.13,7.9504157024085,371.03,46.668,-26.3154680948219,0.0,16.2082311403391,42.523699235161,0.0,0.0,1419.145,-17.976713473304,-66.699,0.0,100.0,-9.47470554941649,-35.154,-21.1554321752958,-78.493,-3.33917851290505,1427.387,-5.18906404735493,1512.662,-7.6259108500257,-65.44,858.127,-5.53100634536992,-21.1554321752958,0.245282819294727,1.06589671950364,-0.3905,0.0,0.0,0.0,-0.789582977755021,
2019.0,3489.209,588.172,242.893,69.028,,173.865,,0.738,403.066,7.201,3.302,2901.037,,62.611,2137.254,180.629,388.047,132.496,3489.209,2812.449,243.754,,2396.094,61.025,,,,48.96,12.065,615.739,359.546,,253.875,2.318,1162.874,,1162.874,3303.821,,0.0,,1336.879,467.252,1218.686,2.691,258.37,19.943,-2140.947,94.161,-176.010986572922,58.505,-2105.291,23.192,-2128.483,1188.016,-940.467,,,,0.0,-940.467,0.0,,,-940.467,,0.0,-1718.544,-940.467,-928.24,-1868.707,158.334,-8.171,-1347.316,-39.895,-39.937,0.042,-4139.395,2966.81,13.434,,-148.27,3150.317,2264.487,0.0,,,,,84.457,39.102,32.07,155.629,39.895,-1758.439,0.0,4.71147190611607,2901.037,615.739,4.71147190611607,2901.037,-15.0749850440133,-2069.978,58.505,4.78759783114375,1162.874,242.893,-11.7631508126881,0.0,12.8156188890628,24.5787697017509,0.0,0.0,2812.449,-151.214920963062,-1758.439,0.0,100.0,-176.010986572922,-2046.786,-80.874368160265,-940.467,-72.0375712988129,2873.47,-26.9535874749836,3489.209,-94.8113401799898,-2164.139,2282.574,-33.4394330350524,-80.874368160265,0.333277255676,1.24063014120434,-4.1285,0.0,0.0,0.0,-0.0308410356529701,
2020.0,2985.345,1803.286,1717.131,137.621,,1579.51,,0.767,200.307,17.659,5.043,1182.059,,132.716,323.921,279.375,104.752,341.295,2985.345,853.841,252.43,,330.274,1468.931,,,,1456.062,12.869,662.573,256.802,,400.825,4.946,2336.349,,2336.349,4574.634,,0.0,,2105.802,621.01,1329.033,5.286,440.47,73.033,-2238.285,181.01,-88.0551236138094,11.126,-2068.401,73.598,-2141.999,-309.178,-2451.177,,,,0.0,-2451.177,0.0,,,-2451.177,,0.0,-2073.905,-2451.177,419.716,-2031.461,-10.577,-31.867,1642.873,-15.619,-15.695,0.076,-2460.47,4193.967,26.437,,-101.442,362.283,391.611,0.0,,,-10.426,,-68.749,155.629,3.169,90.049,15.619,-2089.524,0.0,1.78404341861199,1182.059,662.573,1.78404341861199,1182.059,-219.310713643717,-2130.873,11.126,1.3606119742757,2336.349,1717.131,-11.8232477055431,0.0,15.2576423727791,27.0808900783222,0.0,0.0,853.841,-89.4354396539216,-2089.524,0.0,100.0,-88.0551236138094,-2057.275,-104.914847910137,-2451.177,-91.7383626115693,2322.772,-82.1069926591399,2985.345,-126.64861065688,-2311.883,1825.431,-287.076516587983,-104.914847910137,0.782606030458791,3.49637110422198,-12.1949,0.0,0.0,0.0,0.013097422561398,
2021.0,8748.3,4772.3,1675.6,225.1,,1450.5,,0.1,311.7,8.0,3002.0,3976.0,,123.7,2194.2,765.2,31.8,861.1,8748.3,8209.4,454.9,,7400.3,66.4,,,,46.7,19.7,472.5,274.1,,193.5,4.9,1713.9,,1713.9,2052.9,,0.0,,73.2,578.4,1033.5,0.8,338.0,29.0,-339.0,136.6,-11.8093237645137,7.9,-210.3,128.9,-339.2,-546.8,-886.0,,,,0.0,-886.0,0.0,,,-886.0,,0.0,-281.0,-886.0,736.1,-149.9,-130.3,-0.8,-6114.0,-9.1,-9.2,0.1,-13096.8,7283.8,14.2,,-270.7,6474.5,6608.3,0.0,,,-5.4,,79.5,90.0,-0.9,168.6,9.1,-290.1,0.0,8.41481481481481,3976.0,472.5,8.41481481481481,3976.0,-111.151898734177,-331.3,7.9,1.02285748388637,1713.9,1675.6,-25.7609115738976,0.0,27.303763346753,53.0646749206506,0.0,0.0,8209.4,-16.9263084193944,-290.1,0.0,100.0,-11.8093237645137,-202.4,-51.6949647003909,-886.0,-4.00323835762102,8275.8,-10.1276819496359,8748.3,-6.50683502760433,-467.9,7190.9,-10.7925061514849,-51.6949647003909,0.195912348684887,1.06564426145638,0.0,0.0,0.0,0.0,1.53310276679842,
2022.0,17500.7,10163.9,1686.0,338.5,,1347.5,,0.0,3535.6,79.2,5201.6,7336.8,,166.9,1600.8,1464.7,165.1,3939.3,17500.7,16767.2,764.3,,14877.6,70.4,,,,18.4,52.0,663.1,393.7,,252.9,16.5,3611.0,,3611.0,5249.0,,0.0,,174.5,1479.0,3027.8,0.8,535.6,31.3,-1638.0,508.1,-31.2905012461922,5.5,-1135.4,133.4,-1268.8,171.0,-1097.8,0.2,0.2,,0.0,-1098.0,0.0,,,-1098.0,787.1932776,0.0,-508.6,-1097.8,356.8,-741.0,267.1,-34.7,-8130.8,-31.6,-33.1,1.5,-18565.5,10999.0,113.6,,-311.3,8762.8,9007.9,0.0,,,-4.4,,123.4,168.6,2.1,294.1,31.6,-540.2,0.0,11.0643945106319,7336.80000000001,663.1,11.0643945106319,7336.8,-198.6,-1263.3,5.5,2.1417556346382,3611.0,1686.0,14.6869288285793,0.0,14.6869288285793,,0.0,0.0,16767.2,-14.9598449183052,-540.2,0.0,100.0,-31.2905012461922,-1129.9,-30.4070894489061,-1098.0,-7.50285076257899,16837.6,-6.2740347528956,17500.7,-15.0681038446994,-1771.7227181636,11758.1,-6.5484994513097,-30.4070894489061,0.206334603758707,1.04374612338375,-1.4366,0.0,0.0,4.02137144464547,-54.3740065492522,0.0
2023.0,21928.3,13184.8,1599.2,196.9,,1402.3,,0.0,8861.9,1075.5,1845.1,8743.5,0.3,62.2,3832.5,398.3,419.8,4030.4,21928.3,20806.8,836.4,,18676.8,184.5,,,,126.1,58.4,937.0,366.0,,549.6,21.4,4707.4,,4707.4,5270.5,0.7,0.00849725963376811,-0.3,205.3,1116.5,3228.6,1.3,641.5,76.9,-563.1,837.5,5.82912010876492,16.9,257.5,140.3,117.2,,117.2,0.3,0.3,,0.0,116.9,0.0,,,116.9,855.350977,0.0,225.0,117.2,-88.3,28.9,222.8,-26.7,-382.4,-57.5,-58.4,0.9,-15761.9,17706.1,592.1,,-2278.2,-14.8,10.7,0.0,,,-14.1,,-172.2,294.1,0.9,122.8,57.5,167.5,0.0,9.33105656350053,8743.2,937.0,9.33137673425827,8743.5,7.93491124260355,134.1,16.9,2.9435967983992,4707.4,1599.2,8.90518120406169,0.0232612482474402,8.88191995581425,0.0,0.0,0.0,20806.8,3.5582274716404,167.5,0.0,99.9915027403662,5.82912010876492,274.4,2.48332412796873,116.9,0.638836089236969,20991.3,0.533101061185774,21928.3,-6.58432643919261,-701.599488054608,10655.6,0.56183555376127,2.48332412796873,0.214672364022747,1.05390064786512,0.1398,0.0,364.520743919886,2.18431338786053,153.879897959184,0.0
2024.0,24325.0,20778.0,,,,1275.0,,,18445.0,,165.0,3547.0,,69.0,927.0,459.0,77.0,,24325.0,22775.0,868.0,,21907.0,156.0,,,,,,1394.0,481.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379.0,1372.0,-246.0,1126.0,334.0,-81.0,-1301.0,-37.0,-38.0,1.0,-20995.0,23145.0,599.0,,,-20.0,,0.0,,,,,58.0,123.0,,181.0,37.0,1342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
