Company Alias Name,TickerName,Sub Sector,Market Cap
Reliance Industries Ltd,RELIANCE,Oil & Gas - Refining & Marketing,1979299.052
Tata Consultancy Services Ltd,TCS,IT Services & Consulting,1554985.068
HDFC Bank Ltd,HDFCBANK,Private Banks,1225771.729
Bharti Airtel Ltd,BHARTIARTL,Telecom Services,880097.325
ICICI Bank Ltd,ICICIBANK,Private Banks,817954.9711
Infosys Ltd,INFY,IT Services & Consulting,755616.1491
State Bank of India,SBIN,Public Banks,717073.4112
Hindustan Unilever Ltd,HINDUNILVR,FMCG - Household Products,639951.5945
ITC Ltd,ITC,FMCG - Tobacco,615849.6038
Larsen and Toubro Ltd,LT,Construction & Engineering,487753.6598
HCL Technologies Ltd,HCLTECH,IT Services & Consulting,440057.8583
Sun Pharmaceutical Industries Ltd,SUNPHARMA,Pharmaceuticals,418129.18
Oil and Natural Gas Corporation Ltd,ONGC,Oil & Gas - Exploration & Production,413067.853
Bajaj Finance Ltd,BAJFINANCE,Consumer Finance,399689.4964
Tata Motors Ltd,TATAMOTORS,Four Wheelers,390319.4275
NTPC Ltd,NTPC,Power Generation,384556.3739
Maruti Suzuki India Ltd,MARUTI,Four Wheelers,383977.4446
Axis Bank Ltd,AXISBANK,Private Banks,356517.2757
Kotak Mahindra Bank Ltd,KOTAKBANK,Private Banks,347710.5661
Adani Enterprises Ltd,ADANIENT,Commodities Trading,346778.2548
Mahindra and Mahindra Ltd,M&M,Four Wheelers,329139.6525
UltraTech Cement Ltd,ULTRACEMCO,Cement,317283.4389
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,Ports,315989.6918
Coal India Ltd,COALINDIA,Mining - Coal,311218.2359
Power Grid Corporation of India Ltd,POWERGRID,Power Transmission & Distribution,310359.9634
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches",301971.4792
Asian Paints Ltd,ASIANPAINT,Paints,290251.5891
Bajaj Auto Ltd,BAJAJ-AUTO,Two Wheelers,272351.286
Wipro Ltd,WIPRO,IT Services & Consulting,258711.4723
Bajaj Finserv Ltd,BAJAJFINSV,Insurance,243840.301
Nestle India Ltd,NESTLEIND,FMCG - Foods,238732.5012
JSW Steel Ltd,JSWSTEEL,Iron & Steel,217109.5464
Tata Steel Ltd,TATASTEEL,Iron & Steel,182580.5112
SBI Life Insurance Company Ltd,SBILIFE,Insurance,169577.8069
Grasim Industries Ltd,GRASIM,Cement,168560.1881
LTIMindtree Ltd,LTIM,IT Services & Consulting,160796.1511
Tech Mahindra Ltd,TECHM,IT Services & Consulting,149118.6937
HDFC Life Insurance Company Ltd,HDFCLIFE,Insurance,147718.2216
Bharat Petroleum Corporation Ltd,BPCL,Oil & Gas - Refining & Marketing,141107.1533
Hindalco Industries Ltd,HINDALCO,Metals - Aluminium,139123.9243
Britannia Industries Ltd,BRITANNIA,FMCG - Foods,136392.2062
Eicher Motors Ltd,EICHERMOT,Trucks & Buses,129797.0825
Cipla Ltd,CIPLA,Pharmaceuticals,126361.4713
Divi's Laboratories Ltd,DIVISLAB,Labs & Life Sciences Services,123835.1985
Tata Consumer Products Ltd,TATACONSUM,Tea & Coffee,115595.8467
Dr Reddy's Laboratories Ltd,DRREDDY,Pharmaceuticals,113356.1168
Shriram Finance Ltd,SHRIRAMFIN,Consumer Finance,108909.3994
Indusind Bank Ltd,INDUSINDBK,Private Banks,104272.7055
Hero MotoCorp Ltd,HEROMOTOCO,Two Wheelers,101499.36
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,Hospitals & Diagnostic Centres,93743.75217
